cG	cZTL	cL	cL_m	cLm	cNI	cNI_m	cP	cP7	cP7_m	cP9	cP9_m	cT	cT_m	cTm	cY	cY_m	cG_m	cZG	Values[L]	Values[D]
0.0238	0.323	0.416	1.0	0.054	0.044	0.0065	0.825	0.019	0.075	0.056	0.35	0.393	0.25	0.24	0.1	0.093	0.119	0.0774	0.5	0.5
0.008647276052811084	0.31677471554389225	0.5919106842779105	0.7552755899570316	0.10539990604014106	0.034339579246113326	0.009871408941329927	0.3679778806519728	0.058045723880828154	0.21093912652013702	0.4681882032209199	0.9894579074640086	0.3680471004127908	0.19932930638527002	0.21508317333163812	0.13719546199833169	0.20457133653780848	0.36080321440019936	0.12979934413035016	0.9820137900379085	0.01798620996209155
0.008656718179304081	0.3094550136356854	0.6260625820532375	0.4532716074481208	0.15774306710057578	0.0314883337918387	0.034070393703705716	0.1364300793889793	0.16071614891699768	0.47580632488884017	0.8810903632399313	0.7726628973155714	0.33874649815887525	0.15894045330145176	0.18970038219443508	0.17392723727733736	0.16682339090096046	0.35218319519118296	0.18107052433101287	0.9996646498695334	0.000335350130466594
0.007678072646044151	0.31174985382764564	0.5693886274044795	0.2683172983822172	0.19913847008469232	0.045769621512437506	0.12002327615332781	0.05020443851326438	0.3304035411573875	0.7364638669582088	0.9958288274095771	0.4479785716414013	0.30406783039426377	0.1301705640156783	0.16734717607187413	0.18198461586240122	0.119796469546731	0.31642662122393106	0.21659779484700253	0.9999938558253976	6.144174602429331e-06
0.007841596269376003	0.31403602277642834	0.4786687079760817	0.15882434371324375	0.22558016428337474	0.09695309965151683	0.2884432870822609	0.01846941506331597	0.5310882576745076	0.9181034718866046	0.9195354584682083	0.23910070632650413	0.26879766477042916	0.11187297869625135	0.14664886841820732	0.17719613713014715	0.11115690676323604	0.33209680633840155	0.2423958955907548	0.9999998874648253	1.1253517473441832e-07
0.009563599366990921	0.30902547232054534	0.38629143857478976	0.09428943356481856	0.23476693801862472	0.19511194454813227	0.4951805014890503	0.006794522161969377	0.7238475704739336	1.0056198836292918	0.7727231363070481	0.12992451468556138	0.23635672205175443	0.10323522329952467	0.12699634843278243	0.18007369134095347	0.15284560811656686	0.4046384795193295	0.2714510505727781	0.9999999979381549	2.0618451390674863e-09
0.012777956778756918	0.29530590208172514	0.30750119987251123	0.05624677062556518	0.2274336540795853	0.3306248444566801	0.6861565671037804	0.0024995650933399382	0.8785603260710364	1.0020730734941674	0.6202160061216835	0.07646006762027326	0.20876913609471326	0.1043505140349844	0.10849637933061024	0.21011216051516893	0.2569661856610663	0.5202624889160609	0.31353213235077965	0.9999999999244973	7.55027151910781e-11
0.017278040269911726	0.27496163868543405	0.24546879317207776	0.03380433441599787	0.20833159871076673	0.48383834279141363	0.8348027083279543	0.0009195387378424036	0.9768741073679138	0.925449374607967	0.48662981723439575	0.04874244112878977	0.1874946628495706	0.11798550932508596	0.09163524676371809	0.28589706431957185	0.43088322423146025	0.6565969441899224	0.3728752764164631	0.9999999979381549	2.0618451390674863e-09
0.02268346868280177	0.25170781902023825	0.197580929173388	0.0205666898433124	0.18352540762208192	0.6358254603526708	0.9362706570532369	0.0003382861111008247	1.0138094159647586	0.8050577498787655	0.37693134786653765	0.031983453172328154	0.17502269423989308	0.1554812709687119	0.07701230086089964	0.41992867567997505	0.6582474474255037	0.7890206172522033	0.44816667457175186	0.9999998874648253	1.1253517473441832e-07
0.028200886004428626	0.22969481965199515	0.16029166489699287	0.012773036226230857	0.15760392267613652	0.7728485457159087	0.9950867031364166	0.00012481480529115074	0.9961290187302597	0.67011463927583	0.2890149714163868	0.020367338873227864	0.17746454951764287	0.2416260740481236	0.06539347124716809	0.606917509430557	0.8775235159161663	0.8916547696256556	0.5335988965141067	0.9999938558253976	6.144174602429331e-06
