R	Ep	E	Values[Km3]	Values[Km4]
1.2750402454759553	0.9936537921347187	0.006346207865281236	0.01	0.01
1.2813608477361011	0.9937047975465606	0.0062952024534395495	0.01	0.01
1.2876310537894449	0.9937545926191071	0.00624540738089302	0.01	0.01
1.2938520501999387	0.9938032244748299	0.0061967755251702014	0.01	0.01
1.300024977680635	0.9938507377070452	0.0061492622929547065	0.01	0.01
1.306150933550369	0.9938971745519154	0.0061028254480846224	0.01	0.01
1.3122309739983498	0.9939425750461698	0.006057424953830341	0.01	0.01
1.3182661162197555	0.9939869771722744	0.006013022827725721	0.01	0.01
1.324257340384771	0.9940304169918677	0.0059695830081323	0.01	0.01
1.3302055915274125	0.9940729287690858	0.005927071230914344	0.01	0.01
1.3361117812895587	0.9941145450841743	0.005885454915825787	0.01	0.01
1.3419767894782453	0.9941552969379145	0.00584470306208556	0.01	0.01
1.3478014656890527	0.9941952138493426	0.005804786150657448	0.01	0.01
1.353586630687687	0.9942343239452273	0.005765676054772894	0.01	0.01
1.3593330777644865	0.9942726540433995	0.005727345956600491	0.01	0.01
1.3650415740412176	0.9943102297302834	0.005689770269716679	0.01	0.01
1.3707128616093178	0.9943470754322925	0.005652924567707654	0.01	0.01
1.3763476587008043	0.9943832144828596	0.005616785517140517	0.01	0.01
1.3819466607389694	0.9944186691844585	0.005581330815541605	0.01	0.01
1.3875105413189779	0.9944534608663099	0.005546539133690162	0.01	0.01
1.3930399531895363	0.9944876099385301	0.005512390061469934	0.01	0.01
1.3985355291156385	0.9945211359422502	0.005478864057749797	0.01	0.01
1.403997882737326	0.9945540575966916	0.005445942403308495	0.01	0.01
1.4094276093766296	0.9945863928431279	0.005413607156872195	0.01	0.01
1.4148252867729083	0.9946181588858399	0.005381841114160153	0.01	0.01
1.420191475823546	0.9946493722307186	0.0053506277692814954	0.01	0.01
1.4255267212515599	0.994680048721228	0.005319951278772174	0.01	0.01
1.430831552249427	0.9947102035721892	0.005289796427810964	0.01	0.01
1.4361064831025385	0.994739851401551	0.0052601485984491055	0.01	0.01
1.4413520137513363	0.9947690062600538	0.005230993739946288	0.01	0.01
1.4465686303665803	0.994797681659335	0.005202318340665142	0.01	0.01
1.4517568058835983	0.9948258905982822	0.0051741094017178435	0.01	0.01
1.4569170004663232	0.9948536455875931	0.005146354412406947	0.01	0.01
1.4620496619896004	0.9948809586731251	0.0051190413268750535	0.01	0.01
1.467155226526035	0.9949078414580389	0.005092158541961198	0.01	0.01
1.4722341187615058	0.994934305123417	0.00506569487658314	0.01	0.01
1.477286752378904	0.9949603604476547	0.005039639552345485	0.01	0.01
1.4823135304922617	0.9949860178251193	0.005013982174880747	0.01	0.01
1.4873148460158765	0.9950112872835375	0.0049887127164625076	0.01	0.01
