R	Ep	E	Values[Km3]	Values[Km4]
0.0	8.881784197001252e-16	0.9999999999999992	0.01	0.01
0.5630034875930263	0.9276126778433158	0.07238732215668428	0.01	0.01
0.6153993107098884	0.9589547271674393	0.041045272832560764	0.01	0.01
0.6511531943417519	0.9683299144645914	0.03167008553540857	0.01	0.01
0.6801384712114503	0.9732801183435097	0.026719881656490457	0.01	0.01
0.7051687395116583	0.9764584504175897	0.023541549582410365	0.01	0.01
0.7275227892551157	0.9787194383190259	0.021280561680974277	0.01	0.01
0.7479103699930066	0.9804334946824611	0.01956650531753904	0.01	0.01
0.7667739362119921	0.9817906287166362	0.018209371283363713	0.01	0.01
0.7844113754994955	0.9828996665928785	0.017100333407121585	0.01	0.01
0.8010345870029718	0.9838280131444844	0.016171986855515703	0.01	0.01
0.8168006736410827	0.9846199402884613	0.01538005971153872	0.01	0.01
0.8318299392560203	0.9853058855383714	0.014694114461628688	0.01	0.01
0.8462169316615669	0.9859075558633463	0.014092444136653816	0.01	0.01
0.8600375586544416	0.9864409041212769	0.013559095878723006	0.01	0.01
0.8733538597581194	0.9869179524066571	0.01308204759334297	0.01	0.01
0.8862173135939151	0.9873479555782604	0.012652044421739781	0.01	0.01
0.8986711953668313	0.9877381697686799	0.012261830231320199	0.01	0.01
0.910752298081269	0.9880943751728359	0.011905624827164127	0.01	0.01
0.9224922155040282	0.9884212408721856	0.01157875912781447	0.01	0.01
0.9339183161212122	0.9887225851737208	0.011277414826279333	0.01	0.01
0.9450544941746395	0.9890015650739027	0.010998434926097478	0.01	0.01
0.9559217574917575	0.989260816586455	0.010739183413545036	0.01	0.01
0.9665386932169738	0.9895025603102535	0.010497439689746604	0.01	0.01
0.9769218411750807	0.989728681977564	0.010271318022436061	0.01	0.01
0.9870859963780955	0.9899407947024996	0.010059205297500462	0.01	0.01
0.9970444562668764	0.9901402876446145	0.009859712355385594	0.01	0.01
1.0068092247187126	0.9903283644614872	0.009671635538512904	0.01	0.01
1.0163911816445	0.9905060739879007	0.009493926012099434	0.01	0.01
1.02580022503355	0.9906743349333877	0.009325665066612388	0.01	0.01
1.035045390709977	0.9908339559290007	0.009166044070999399	0.01	0.01
1.0441349539385634	0.9909856519242346	0.009014348075765516	0.01	0.01
1.0530765161333808	0.9911300576943056	0.008869942305694411	0.01	0.01
1.0618770793123762	0.9912677390418415	0.008732260958158652	0.01	0.01
1.0705431101852623	0.991399202141501	0.00860079785849906	0.01	0.01
1.0790805957856169	0.9915249013838867	0.008475098616113308	0.01	0.01
1.0874950918372999	0.9916452459933991	0.008354754006600965	0.01	0.01
1.0957917650510594	0.9917606056413025	0.008239394358697553	0.01	0.01
1.1039754302204523	0.9918713152289194	0.008128684771080724	0.01	0.01
1.1120505828911391	0.9919776789823556	0.008022321017644404	0.01	0.01
1.1200214282322731	0.9920799739728807	0.00792002602711941	0.01	0.01
1.1278919066208155	0.9921784531556115	0.007821546844388676	0.01	0.01
1.135665716448677	0.9922733480032976	0.007726651996702575	0.01	0.01
1.1433463344010375	0.9923648707960778	0.007635129203922244	0.01	0.01
1.1509370336445623	0.992453216620376	0.0075467833796240644	0.01	0.01
1.158440900092101	0.9925385651185356	0.007461434881464597	0.01	0.01
1.1658608471070497	0.992621082026499	0.00737891797350101	0.01	0.01
1.1731996286984256	0.9927009205277616	0.007299079472238507	0.01	0.01
1.1804598514503883	0.9927782224496755	0.007221777550324645	0.01	0.01
1.1876439853637497	0.9928531193236798	0.007146880676320258	0.01	0.01
1.1947543736558228	0.9929257333266054	0.0070742666733947055	0.01	0.01
1.2017932416858392	0.9929961781190151	0.00700382188098499	0.01	0.01
1.2087627051031753	0.9930645595936569	0.006935440406343203	0.01	0.01
1.2156647772592617	0.9931309765448031	0.006869023455197028	0.01	0.01
1.2225013759929821	0.9931955212684793	0.006804478731520772	0.01	0.01
1.2292743299214977	0.9932582801024837	0.006741719897516313	0.01	0.01
1.235985384046092	0.9933193339110462	0.00668066608895386	0.01	0.01
1.2426362050884752	0.993378758523774	0.006621241476226129	0.01	0.01
1.2492283862639453	0.9934366251311187	0.00656337486888137	0.01	0.01
1.2557634517930836	0.9934930006434713	0.00650699935652879	0.01	0.01
1.2622428609664544	0.993547948016011	0.006452051983989028	0.01	0.01
1.268668011990045	0.9936015265446377	0.006398473455362404	0.01	0.01
