Y	B	WAA	TTWAA	TTWWAA	W	AA	TTAA	WWAA	TTW	TT	TTWWAAp	AAp	WAAp	TTWAAp	TTWW	TTAAp	WWAAp	Yp	Bp	Values[Bias]
8.350740002552929e-06	9.381141493681372e-07	8.181018474857098e-07	4.24449460093238e-10	1.089322239960176e-06	2.022064207753317e-08	3.6218059296064564e-07	1.419319730242015e-09	1.6251619198723893e-07	8.521753811983327e-07	1.5400870921633496e-07	6.591619667651802e-08	3.209632445396469e-11	7.24998534113878e-11	3.7614577855184013e-14	3.367335403640133e-07	1.2577971049759358e-13	1.4402167224334258e-11	1.6492599974470668e-06	1.0618858506318591e-06	0.6900104699943015
8.350691616122165e-06	9.380862163525037e-07	8.181980286761342e-07	4.2440103494558926e-10	1.0893528038600708e-06	2.021736194758685e-08	3.621542336093338e-07	1.4190529400754557e-09	1.6241385495814656e-07	8.520992834556353e-07	1.5399115812435813e-07	6.591846534049307e-08	3.209418900527065e-11	7.250884524855758e-11	3.761051968438903e-14	3.367946718770624e-07	1.2575683720303441e-13	1.4393179190945941e-11	1.649308383877832e-06	1.0619137836474926e-06	0.6899853684481774
8.350655202526223e-06	9.380652834524565e-07	8.182704795366373e-07	4.243645747965741e-10	1.0893758081063478e-06	2.021489183760176e-08	3.6213438998681987e-07	1.4188521366732305e-09	1.623367749912507e-07	8.520419561758401e-07	1.5397794784137603e-07	6.592017271167519e-08	3.2092581280871904e-11	7.251561816620335e-11	3.760746402108213e-14	3.368407351062036e-07	1.2573962078378806e-13	1.4386409268220756e-11	1.6493447974737743e-06	1.06193471654754e-06	0.6899664778261525
8.35062779092675e-06	9.38049571197679e-07	8.183250559111941e-07	4.243371189543182e-10	1.08939312697817e-06	2.0213031509046364e-08	3.6211944830055516e-07	1.4187009587028762e-09	1.6227871596759574e-07	8.519987703859234e-07	1.539680021071537e-07	6.592145803259127e-08	3.20913706370974e-11	7.252071991708264e-11	3.760516288882606e-14	3.3687544108668087e-07	1.2572665884431525e-13	1.4381309862490532e-11	1.649372209073246e-06	1.0619504288023174e-06	0.6899522571110939
8.350607151502271e-06	9.38037764413535e-07	8.18366168291947e-07	4.2431644132018403e-10	1.0894061679838245e-06	2.021163031809192e-08	3.621081959661654e-07	1.41858712047964e-09	1.622349825569877e-07	8.519662379378711e-07	1.5396051278344424e-07	6.592242582846152e-08	3.209045888261992e-11	7.252456295628312e-11	3.760342979777112e-14	3.3690158858426876e-07	1.2571689825056223e-13	1.4377468648507424e-11	1.6493928484977254e-06	1.0619622355864615e-06	0.6899415496149333
8.3505916089314e-06	9.38028885598508e-07	8.18397138410143e-07	4.2430086736745947e-10	1.0894159889886705e-06	2.0210574896495097e-08	3.6209972121517854e-07	1.4185013888492052e-09	1.6220203937244406e-07	8.519417309962392e-07	1.5395487249857849e-07	6.592315464049016e-08	3.2089772169057235e-11	7.252745787628975e-11	3.760212444103437e-14	3.369212873081304e-07	1.2570954745691767e-13	1.4374575140631347e-11	1.6494083910685977e-06	1.0619711144014883e-06	0.6899334862618849
8.35057990333403e-06	9.380222050833261e-07	8.18420468506306e-07	4.242891367403503e-10	1.0894233857272148e-06	2.020977988955715e-08	3.620933379706874e-07	1.4184368185682155e-09	1.6217722370864764e-07	8.519232697182731e-07	1.539506243707158e-07	6.592370353766133e-08	3.2089254919820956e-11	7.252963861881819e-11	3.7601141203189474e-14	3.36936127385672e-07	1.2570401103100193e-13	1.4372395485015342e-11	1.6494200966659668e-06	1.0619777949166701e-06	0.689927413471868
8.35057108675299e-06	9.380171766873468e-07	8.184380435447961e-07	4.242803005620674e-10	1.0894289570244375e-06	2.020918102194324e-08	3.620885297927723e-07	1.4183881829687703e-09	1.6215852998686975e-07	8.519093625397248e-07	1.5394742456132026e-07	6.592411696712112e-08	3.2088865295303117e-11	7.253128140279121e-11	3.76004005637153e-14	3.3694730712362163e-07	1.2569984085444565e-13	1.4370753533880685e-11	1.6494289132470045e-06	1.0619828233126494e-06	0.6899228394705053
8.350564445884866e-06	9.380133909236823e-07	8.184512830908386e-07	4.242736445342736e-10	1.0894331535246672e-06	2.020872990021598e-08	3.6208490795552843e-07	1.4183515481919652e-09	1.6214444795866763e-07	8.518988861213836e-07	1.5394501430253067e-07	6.592442837365644e-08	3.2088571801292275e-11	7.253251892784618e-11	3.759984265771486e-14	3.3695572918849086e-07	1.2569669965731743e-13	1.4369516644875004e-11	1.6494355541151283e-06	1.061986609076314e-06	0.6899193942105295
8.35055944365928e-06	9.380105402134764e-07	8.184612566374237e-07	4.242686306621678e-10	1.0894363145709814e-06	2.0208390071106116e-08	3.6208217969573893e-07	1.4183239524607345e-09	1.6213383989179566e-07	8.518909941348997e-07	1.5394319872724702e-07	6.592466294040846e-08	3.2088350716921935e-11	7.253345116605739e-11	3.7599422394413106e-14	3.369620737495819e-07	1.2569433351417672e-13	1.4368584891004854e-11	1.6494405563407156e-06	1.06198945978652e-06	0.689916799068016
8.350555675531757e-06	9.380083932789322e-07	8.184687700742129e-07	4.2426485365195436e-10	1.0894386957709376e-06	2.0208134069408336e-08	3.620801244625152e-07	1.4183031647407429e-09	1.6212584852276625e-07	8.518850488519337e-07	1.5394183104463423e-07	6.592483963892655e-08	3.2088184169061036e-11	7.253415345744778e-11	3.759910580336827e-14	3.3696685338351677e-07	1.2569255108172356e-13	1.4367882967362127e-11	1.6494443244682389e-06	1.0619916067210641e-06	0.6899148441698882
8.350552837016738e-06	9.380067762553788e-07	8.184744301762314e-07	4.242620083777664e-10	1.0894404895302044e-06	2.020794121762889e-08	3.6207857622719016e-07	1.4182875051003763e-09	1.6211982842227373e-07	8.518805701133199e-07	1.539408007580589e-07	6.592497274513874e-08	3.2088058706086055e-11	7.253468251232028e-11	3.759886731026398e-14	3.369704540497225e-07	1.2569120835846509e-13	1.4367354191360333e-11	1.649447162983257e-06	1.0619932237446176e-06	0.68991337155161
8.35055069884251e-06	9.380055583337688e-07	8.184786939110688e-07	4.242598650781815e-10	1.0894418407230505e-06	2.020779594421082e-08	3.6207740996547584e-07	1.4182757090703914e-09	1.6211529352577452e-07	8.518771963110625e-07	1.5394002466312295e-07	6.592507301048777e-08	3.208796419640311e-11	7.253508104706963e-11	3.7598687656835404e-14	3.369731664292414e-07	1.2569019691545368e-13	1.4366955867733675e-11	1.6494493011574863e-06	1.0619944416662276e-06	0.6899122622684468
8.35054908814554e-06	9.380046409377169e-07	8.184819058805434e-07	4.2425825050052466e-10	1.0894428585860277e-06	2.0207686507008376e-08	3.620765314032795e-07	1.4182668231009388e-09	1.6211187729743032e-07	8.518746547583407e-07	1.5393944002141053e-07	6.592514854105731e-08	3.20878930005952e-11	7.253538127246637e-11	3.7598552321174905e-14	3.369752097315735e-07	1.2568943499268737e-13	1.4366655801974829e-11	1.649450911854457e-06	1.0619953590622795e-06	0.6899114266395906
8.350547874737253e-06	9.380039498585341e-07	8.184843256434548e-07	4.242570341560209e-10	1.0894436253907658e-06	2.020760406193365e-08	3.620758695373491e-07	1.418260127985232e-09	1.6210930366190765e-07	8.518727400653059e-07	1.5393899958227113e-07	6.592520544051073e-08	3.208783936618013e-11	7.253560744505311e-11	3.759845036557574e-14	3.369767490716924e-07	1.256888609342914e-13	1.4366429750168918e-11	1.6494521252627436e-06	1.0619960501414622e-06	0.6899107971236433
8.350546960618946e-06	9.380034292590512e-07	8.184861485789119e-07	4.242561178246078e-10	1.089444203056541e-06	2.0207541951867248e-08	3.6207537091962617e-07	1.4182550861231296e-09	1.6210736481025648e-07	8.518712976292431e-07	1.5393866777673784e-07	6.592524830767157e-08	3.2087798958352165e-11	7.253577784139107e-11	3.75983735577088e-14	3.369779087390544e-07	1.2568842861178e-13	1.436625944470178e-11	1.6494530393810497e-06	1.0619965707409453e-06	0.6899103228791121
8.350546272023565e-06	9.380030371034323e-07	8.184875218065098e-07	4.242554275514732e-10	1.0894446382171312e-06	2.020749516410737e-08	3.620749953141023e-07	1.4182512836378994e-09	1.6210590426487607e-07	8.518702110362185e-07	1.5393841783166514e-07	6.592528059389368e-08	3.2087768524715327e-11	7.253590618094644e-11	3.7598315697523036e-14	3.3697878232348116e-07	1.256881026084544e-13	1.4366131174541753e-11	1.6494537279764304e-06	1.061996962896564e-06	0.689909965635773
8.350545753292088e-06	9.380027416972624e-07	8.184885562705213e-07	4.242549075626424e-10	1.0894449660182986e-06	2.0207459918534814e-08	3.620747123621184e-07	1.418248425148566e-09	1.6210480402491318e-07	8.518693924977524e-07	1.5393822954060377e-07	6.592530492231016e-08	3.2087745591516914e-11	7.253600288692051e-11	3.759827211184071e-14	3.369794404021916e-07	1.2568785748284731e-13	1.4366034519857112e-11	1.6494542467079064e-06	1.061997258302734e-06	0.6899096965177902
8.350545362506443e-06	9.380025191521408e-07	8.184893356008467e-07	4.242545158246685e-10	1.0894452129739081e-06	2.0207433365737593e-08	3.6207449919926045e-07	1.418246268454363e-09	1.621039751419946e-07	8.518687758392226e-07	1.5393808769209464e-07	6.592532324803763e-08	3.208772831703284e-11	7.253607573286663e-11	3.759823927585512e-14	3.369799361765436e-07	1.2568767253410572e-13	1.4365961712911943e-11	1.6494546374935516e-06	1.0619974808478555e-06	0.6899094937780985
8.350545068077133e-06	9.380023514832731e-07	8.184899227684812e-07	4.242542206764749e-10	1.0894453990365657e-06	2.0207413360188624e-08	3.620743385959126e-07	1.4182446447369156e-09	1.6210335064059607e-07	8.518683112332033e-07	1.5393798081878016e-07	6.59253370545074e-08	3.2087715302399934e-11	7.253613061486973e-11	3.7598214536099394e-14	3.369803097057803e-07	1.256875333268033e-13	1.436590686042287e-11	1.6494549319228601e-06	1.0619976485167232e-06	0.6899093410280822
8.35054484626208e-06	9.380022251680301e-07	8.184903651231463e-07	4.2425399832301015e-10	1.0894455392102e-06	2.0207398288612045e-08	3.620742176032016e-07	1.418243420547811e-09	1.6210288016005002e-07	8.518679612130612e-07	1.5393790030467856e-07	6.592534745591374e-08	3.208770549766759e-11	7.253617196138737e-11	3.759819589808721e-14	3.3698059111164965e-07	1.2568742835445452e-13	1.4365865536172885e-11	1.6494551537379128e-06	1.0619977748319663e-06	0.6899092259503549
8.350544679193307e-06	9.380021300278144e-07	8.184906983058855e-07	4.2425383084551027e-10	1.0894456447889876e-06	2.02073869366638e-08	3.620741264709801e-07	1.4182424987418904e-09	1.6210252579294868e-07	8.518676975770654e-07	1.5393783966104636e-07	6.592535529045482e-08	3.2087698112467765e-11	7.253620310451927e-11	3.7598181859903684e-14	3.3698080306732535e-07	1.2568734931045333e-13	1.436583440975268e-11	1.6494553208066866e-06	1.061997869972182e-06	0.689909139275011
8.350544553368203e-06	9.380020583741519e-07	8.184909492394457e-07	4.2425370471085025e-10	1.0894457243044892e-06	2.0207378387048928e-08	3.620740578352352e-07	1.4182418048642594e-09	1.6210225890464978e-07	8.518674990220987e-07	1.5393779398749804e-07	6.592536119106894e-08	3.208769255021116e-11	7.253622656014357e-11	3.7598171287142523e-14	3.369809626998073e-07	1.2568728981522448e-13	1.4365810966685887e-11	1.6494554466317896e-06	1.0619979416258445e-06	0.6899090739968963
8.350544458596807e-06	9.380020044070721e-07	8.184911382346684e-07	4.242536097158208e-10	1.0894457841945308e-06	2.0207371947753787e-08	3.6207400614461133e-07	1.4182412786369637e-09	1.6210205789292138e-07	8.518673494768346e-07	1.5393775959131943e-07	6.59253656336101e-08	3.2087688362961346e-11	7.253624421965724e-11	3.7598163324266584e-14	3.3698108292994297e-07	1.2568724466716e-13	1.4365793316979243e-11	1.6494555414031864e-06	1.0619979955929241e-06	0.6899090248294553
8.350544387193283e-06	9.380019637408485e-07	8.184912806501966e-07	4.2425353811116617e-10	1.08944582931776e-06	2.020736709547419e-08	3.6207396717918617e-07	1.4182408965510919e-09	1.6210190642232206e-07	8.518672367885192e-07	1.539377336577654e-07	6.592536898776299e-08	3.208768519942631e-11	7.25362575531055e-11	3.759815732320918e-14	3.3698117352815867e-07	1.256872119941843e-13	1.4365779989591597e-11	1.6494556128067097e-06	1.0619980362591479e-06	0.6899089877852761
8.350544333331091e-06	9.38001933086263e-07	8.184913880036953e-07	4.2425348420562627e-10	1.0894458633540694e-06	2.020736343784156e-08	3.620739378534462e-07	1.4182405620116566e-09	1.621017922436322e-07	8.51867151843397e-07	1.53937714156123e-07	6.59253714932101e-08	3.208768284337112e-11	7.253626751153246e-11	3.7598152801337223e-14	3.369812418216452e-07	1.256871830743612e-13	1.4365770040412144e-11	1.6494556666689006e-06	1.0619980669137335e-06	0.6899089598415473
8.350544292848861e-06	9.380019099797556e-07	8.184914689276413e-07	4.2425344334008705e-10	1.0894458889315117e-06	2.0207360680561164e-08	3.6207391559302436e-07	1.4182404641192187e-09	1.621017061730169e-07	8.518670878115975e-07	1.539376992991478e-07	6.592537346351443e-08	3.208768096680192e-11	7.253627534686307e-11	3.759814938851835e-14	3.3698129330144274e-07	1.256871753637442e-13	1.4365762195610384e-11	1.6494557071511318e-06	1.0619980900202407e-06	0.6899089388393472
8.350544262183597e-06	9.380018925621647e-07	8.184915299217578e-07	4.242534128424498e-10	1.0894459083245496e-06	2.0207358602509238e-08	3.6207389902020737e-07	1.4182401851889962e-09	1.6210164130207445e-07	8.518670395487012e-07	1.5393768830919047e-07	6.592537483082952e-08	3.2087679695211e-11	7.253628077960202e-11	3.759814681917726e-14	3.369813321033985e-07	1.25687151047018e-13	1.4365756779144729e-11	1.6494557378163959e-06	1.0619981074378315e-06	0.689908922930194
8.35054423912512e-06	9.380018794272859e-07	8.184915759221177e-07	4.2425338970413674e-10	1.089445922886825e-06	2.020735703521075e-08	3.620738864255914e-07	1.4182400705281527e-09	1.6210159237686442e-07	8.51867003150335e-07	1.5393767992375617e-07	6.592537592686701e-08	3.208767865963523e-11	7.253628513665907e-11	3.7598144882872967e-14	3.3698136136669687e-07	1.2568714109123536e-13	1.4365752421708156e-11	1.6494557608748729e-06	1.0619981205727104e-06	0.6899089109674454
8.350544221752712e-06	9.380018695347449e-07	8.184916105665706e-07	4.24253372288746e-10	1.0894459338651757e-06	2.0207355854832103e-08	3.6207387694903355e-07	1.4182399752954322e-09	1.621015555296865e-07	8.518669757374258e-07	1.5393767361740254e-07	6.592537674122256e-08	3.2087677891964396e-11	7.253628837374032e-11	3.759814342298788e-14	3.3698138340591077e-07	1.2568713294460285e-13	1.436574918642961e-11	1.6494557782472819e-06	1.0619981304652514e-06	0.6899089019546314
8.350544208692248e-06	9.380018620960316e-07	8.184916366175343e-07	4.242533591946343e-10	1.089445942120062e-06	2.02073549672447e-08	3.620738698239487e-07	1.4182399028548706e-09	1.6210152782238986e-07	8.518669551242307e-07	1.539376688761695e-07	6.592537735387169e-08	3.20876773144441e-11	7.253629080919402e-11	3.759814232545717e-14	3.3698139997834474e-07	1.2568712672295438e-13	1.436574675223851e-11	1.6494557913077464e-06	1.0619981379039647e-06	0.6899088951788563
8.35054419888269e-06	9.380018565105699e-07	8.18491656178307e-07	4.2425334936178646e-10	1.0894459483185108e-06	2.02073543007855e-08	3.620738644734189e-07	1.4182398490103336e-09	1.621015070179282e-07	8.518669396464958e-07	1.5393766531558496e-07	6.592537781375626e-08	3.208767688093233e-11	7.253629263723749e-11	3.7598141501225804e-14	3.369814124220129e-07	1.256871221132988e-13	1.4365744925206585e-11	1.649455801117304e-06	1.0619981434894265e-06	0.6899088900896532
8.350544191524918e-06	9.380018523209316e-07	8.184916708507904e-07	4.242533419864811e-10	1.089445952967896e-06	2.020735380087638e-08	3.620738604601702e-07	1.4182398084526516e-09	1.621014914125595e-07	8.518669280366879e-07	1.5393766264497155e-07	6.592537815876638e-08	3.2087676555711237e-11	7.253629400868466e-11	3.759814088301788e-14	3.3698142175597586e-07	1.2568711863633102e-13	1.4365743554502977e-11	1.6494558084750769e-06	1.0619981476790647e-06	0.689908886272437
8.3505441859849e-06	9.380018491662872e-07	8.184916818986359e-07	4.2425333643317197e-10	1.08944595646872e-06	2.020735342446303e-08	3.620738574383563e-07	1.4182397778981575e-09	1.6210147966228563e-07	8.518669192949254e-07	1.539376606341132e-07	6.592537841853995e-08	3.208767631083914e-11	7.253629504130876e-11	3.7598140417530344e-14	3.369814287841099e-07	1.2568711601677344e-13	1.4365742522438722e-11	1.6494558140150933e-06	1.0619981508337091e-06	0.6899088833982738
8.35054418178757e-06	9.380018467760159e-07	8.184916902695742e-07	4.2425333222546787e-10	1.0894459591212876e-06	2.0207353139255142e-08	3.620738551487501e-07	1.4182397547288249e-09	1.6210147075911872e-07	8.518669126713031e-07	1.53937659110507e-07	6.592537861537208e-08	3.2087676125295224e-11	7.253629582374422e-11	3.7598140064834256e-14	3.3698143410931813e-07	1.2568711402988866e-13	1.4365741740422944e-11	1.6494558182124247e-06	1.0619981532239806e-06	0.6899088812206964
8.350544178596903e-06	9.380018449590377e-07	8.184916966327898e-07	4.242533290269435e-10	1.0894459611376516e-06	2.0207352922452758e-08	3.620738534082846e-07	1.4182397371250287e-09	1.6210146399132632e-07	8.518669076363199e-07	1.5393765795232056e-07	6.592537876499522e-08	3.2087675984252535e-11	7.253629641851614e-11	3.759813979672896e-14	3.3698143815730494e-07	1.256871125204474e-13	1.4365741145970538e-11	1.6494558214030907e-06	1.0619981550409586e-06	0.6899088795653774
