Y	B	WAA	TTWAA	TTWWAA	W	AA	TTAA	WWAA	TTW	TT	TTWWAAp	AAp	WAAp	TTWAAp	TTWW	TTAAp	WWAAp	Yp	Bp	Values[Bias]
1.0000000000000003e-05	2.0000000000000003e-06	0.0	0.0	0.0	5.000000000000001e-06	2.5000000000000006e-06	0.0	0.0	0.0	2.5000000000000006e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
8.942926841325351e-06	1.7752373463298585e-06	6.315751665160396e-07	7.601172899623579e-10	7.551414711539789e-07	2.0202982184208212e-07	6.396353241637928e-07	7.425298751097352e-09	4.234492227387504e-07	7.746169231852893e-07	4.4519743043987494e-07	4.187474610194816e-08	5.211999737731254e-11	5.138930540428846e-11	6.196109074747027e-14	4.7498334452579304e-07	6.065909644590361e-13	3.4475429594020064e-11	1.0570731586746533e-06	2.2476265367013737e-07	0.9295278635973597
8.596528942311477e-06	1.438350499124551e-06	6.708327843590517e-07	5.743673642702644e-10	9.480440587656705e-07	4.567534219371066e-08	4.869685330354804e-07	3.456678252738954e-09	3.3488813323506065e-07	8.27813292165849e-07	2.755484680365766e-07	5.510794863913968e-08	4.149792386246503e-11	5.7111142016632926e-11	4.894171443989706e-14	3.894548428849334e-07	2.94949106806416e-13	2.8543391888871612e-11	1.403471057688528e-06	5.616495008754443e-07	0.8093328566895177
8.484617552481856e-06	1.2188469087345815e-06	7.184551980688875e-07	5.141854716484423e-10	1.0118552859103191e-06	2.7838954013841624e-08	4.298708661511296e-07	2.3576136583713114e-09	2.769399732120132e-07	8.668760321266199e-07	2.1408925537748085e-07	5.988306236040088e-08	3.7276653183959094e-11	6.226774382258333e-11	4.458709687292054e-14	3.4442431591812134e-07	2.045899409515435e-13	2.402159318629421e-11	1.515382447518149e-06	7.811530912654151e-07	0.7574599221042743
8.429199284627186e-06	1.0931777218585714e-06	7.482022620457862e-07	4.808636867260964e-10	1.043607728329161e-06	2.4076494148374095e-08	4.0163549481939003e-07	1.912422145446653e-09	2.4169567449120217e-07	8.786077795961931e-07	1.8643200521753077e-07	6.234358371780598e-08	3.514816310114661e-11	6.545641335806715e-11	4.208197423127197e-14	3.266154077973687e-07	1.6742779334703515e-13	2.1156678255767056e-11	1.5708007153728165e-06	9.06822278141425e-07	0.7301006039132589
8.398502844544684e-06	1.0237801267902472e-06	7.675182187003051e-07	4.6102589721671487e-10	1.0612041795985231e-06	2.2603882856836663e-08	3.8630824491007354e-07	1.70144999899014e-09	2.1895959079739392e-07	8.788257522844093e-07	1.7272864515060221e-07	6.372635873393392e-08	3.3979631192920906e-11	6.749770765468403e-11	4.0552378086505076e-14	3.213523980911777e-07	1.496927683918356e-13	1.9263779570619925e-11	1.601497155455315e-06	9.762198732097491e-07	0.714577189264263
8.380896215756926e-06	9.85932170986653e-07	7.809075210569454e-07	4.4890921414983346e-10	1.0713510791533957e-06	2.180711197327901e-08	3.7756066292086597e-07	1.5914143860159573e-09	2.034938861929509e-07	8.752796374271905e-07	1.654477485375771e-07	6.452620754912904e-08	3.330635413910324e-11	6.887885391918471e-11	3.9600885537450545e-14	3.2135482372769503e-07	1.4040396101877027e-13	1.7954313644725664e-11	1.6191037842430703e-06	1.0140678290133433e-06	0.7055739975715529
8.370462157519138e-06	9.653019710923418e-07	7.9053854353315e-07	4.4126705215634023e-10	1.0774244370835143e-06	2.1317980046400094e-08	3.723515367008797e-07	1.5297577568783524e-09	1.92591241233465e-07	8.709593016803105e-07	1.6134125064306638e-07	6.500327198294703e-08	3.290193848954158e-11	6.984824067341543e-11	3.899194138299924e-14	3.233005396255178e-07	1.3518366736489824e-13	1.7020302239934894e-11	1.6295378424808577e-06	1.0346980289076545e-06	0.7002081574009904
8.364046732756042e-06	9.53964468517293e-07	7.976007510870222e-07	4.3627471505172753e-10	1.081206015295337e-06	2.099830133872308e-08	3.691178502170943e-07	1.4930843236632376e-09	1.8472815194376816e-07	8.669428216981443e-07	1.5889650785722692e-07	6.529816695969749e-08	3.26488743955887e-11	7.054465346249506e-11	3.8589326132958957e-14	3.257269584903506e-07	1.3207120223191573e-13	1.6341269981764598e-11	1.63595326724395e-06	1.0460355314827034e-06	0.6968985674040638
8.359949796752077e-06	9.476351460191123e-07	8.028340610689741e-07	4.3290407070045567e-10	1.083653371872244e-06	2.0780629772235978e-08	3.670286095339086e-07	1.4701149016974029e-09	1.7897405115597508e-07	8.63556544044338e-07	1.57367776353893e-07	6.548734042524741e-08	3.2484182876934264e-11	7.105268811955212e-11	3.8314819909488504e-14	3.2803177989927953e-07	1.3011777921439963e-13	1.5841667659687602e-11	1.6400502032479137e-06	1.052364853980884e-06	0.6947811068011016
8.357238325747539e-06	9.440208627933844e-07	8.067357926267215e-07	4.305634714837531e-10	1.0852935788801424e-06	2.062796446951395e-08	3.656291527476696e-07	1.455078683862765e-09	1.7472338349711136e-07	8.608328427682668e-07	1.5636951716524513e-07	6.561301157618723e-08	3.2373165160644664e-11	7.142714065065255e-11	3.81227214219038e-14	3.300052404953391e-07	1.2883675049129906e-13	1.547125154074849e-11	1.6427616742524502e-06	1.0559791372066118e-06	0.6933780792324511
8.355386819241967e-06	9.418968935559646e-07	8.096554637931854e-07	4.2890131848881125e-10	1.0864258169214189e-06	2.051856274236656e-08	3.6466271484269464e-07	1.444870182812399e-09	1.7156378552846412e-07	8.586978500738178e-07	1.556934537261283e-07	6.569908506738763e-08	3.229609312753499e-11	7.170506778008981e-11	3.798549668117639e-14	3.3160985675873166e-07	1.2796571654585817e-13	1.5195233429787095e-11	1.6446131807580209e-06	1.058103106444032e-06	0.6924193031558833
8.354089610650548e-06	9.406065339021293e-07	8.118452510116252e-07	4.2770069532913426e-10	1.0872261047021562e-06	2.0438947334599592e-08	3.639789194310577e-07	1.4377368196277385e-09	1.6920544724029694e-07	8.5704944815421e-07	1.552220339004757e-07	6.575953233015916e-08	3.2241331886861464e-11	7.191232968829254e-11	3.78859395256824e-14	3.328772781557783e-07	1.273563225411216e-13	1.4988865913056667e-11	1.6459103893494376e-06	1.059393466097867e-06	0.6917472148550815
8.353162298854599e-06	9.39794282827596e-07	8.134900040261791e-07	4.268225459423434e-10	1.0878020906381296e-06	2.03803772775974e-08	3.6348612051018186e-07	1.4326421595210734e-09	1.6744023216661643e-07	8.557884150956935e-07	1.548858839287427e-07	6.580281986810158e-08	3.2201739061755306e-11	7.206738999888176e-11	3.7812890754621555e-14	3.338611610302996e-07	1.2692067763065014e-13	1.483422270171296e-11	1.6468377011453897e-06	1.0602057171724003e-06	0.6912665978002738
8.352489308907227e-06	9.392647446271345e-07	8.147265469849438e-07	4.261744823066658e-10	1.0882222253357707e-06	2.0336964336565994e-08	3.6312615848231807e-07	1.428944752034588e-09	1.661164342406104e-07	8.548292389541805e-07	1.5464220293066057e-07	6.583427680188712e-08	3.217274880765784e-11	7.218364981922893e-11	3.775885801327982e-14	3.3461677238002404e-07	1.2660427590996939e-13	1.4718158370115824e-11	1.6475106910927633e-06	1.0607352553728617e-06	0.6909177034686025
8.351995464500146e-06	9.389082301742896e-07	8.156567737775859e-07	4.2569319760464686e-10	1.0885316537142465e-06	2.0304619387408557e-08	3.6286069478071835e-07	1.4262304462201021e-09	1.651223557782509e-07	8.541022924770204e-07	1.544634502748673e-07	6.585738098097177e-08	3.2151332049993846e-11	7.22709458247874e-11	3.771866912233529e-14	3.35193134818506e-07	1.2637189245065771e-13	1.463095596765239e-11	1.6480045354998436e-06	1.0610917698257066e-06	0.6906616346969966
8.351630203476227e-06	9.38661479913593e-07	8.163568590877264e-07	4.253341852645451e-10	1.0887611114506604e-06	2.0280435495675114e-08	3.6266360520621186e-07	1.424221731387761e-09	1.6437518468950003e-07	8.535526056571973e-07	1.5433122895205875e-07	6.58744824013343e-08	3.2135410335478024e-11	7.23365629583999e-11	3.768865211787028e-14	3.3563085173362006e-07	1.2619982306916659e-13	1.4565386147983436e-11	1.6483697965237652e-06	1.0613385200864032e-06	0.69047221318679
8.351358533672256e-06	9.384868269626115e-07	8.16883891629652e-07	4.250655728660434e-10	1.0889320874053848e-06	2.0262310066138496e-08	3.6251660040699244e-07	1.4227268582438943e-09	1.6381323152423804e-07	8.531375546820531e-07	1.5423285949827104e-07	6.588720736543472e-08	3.212352423834416e-11	7.238591671234097e-11	3.766617766774527e-14	3.3596233487982397e-07	1.2607174349402525e-13	1.4516058318727427e-11	1.6486414663277362e-06	1.061513173037385e-06	0.6903313130899718
8.35115568477292e-06	9.383610373736498e-07	8.172807269693734e-07	4.2486417199965214e-10	1.0890599132915435e-06	2.0248703172094985e-08	3.6240660446228405e-07	1.4216100946348696e-09	1.6339038881017046e-07	8.528244475202921e-07	1.5415938360219343e-07	6.589671195900554e-08	3.2114624727084236e-11	7.242305627441168e-11	3.764931747228215e-14	3.3621290573497215e-07	1.259760397794643e-13	1.4478934632281386e-11	1.648844315227074e-06	1.0616389626263464e-06	0.6902260986737614
8.351003811907516e-06	9.382692549916209e-07	8.175795696280949e-07	4.2471294648365484e-10	1.0891557007911507e-06	2.0238477082917477e-08	3.623241223983828e-07	1.4207736035777211e-09	1.6307211742052946e-07	8.525883797619576e-07	1.5410435259052373e-07	6.590382972084298e-08	3.210794822450036e-11	7.24510135208352e-11	3.7636652849959547e-14	3.3640208704446465e-07	1.2590434373804704e-13	1.4450988197614063e-11	1.6489961880924803e-06	1.0617307450083754e-06	0.690147320272791
8.350889890824086e-06	9.382016480323503e-07	8.178046394967815e-07	4.245992825000103e-10	1.0892275954437613e-06	2.0230786009381213e-08	3.6226218099891086e-07	1.420145915911618e-09	1.6283250074541766e-07	8.524104587803299e-07	1.540630598650354e-07	6.590916969662107e-08	3.2102932745904e-11	7.247206342701621e-11	3.762713134387795e-14	3.3654480753816867e-07	1.2585053841119167e-13	1.4429946254925963e-11	1.649110109175911e-06	1.0617983519676462e-06	0.6900882254649587
8.350804326493934e-06	9.381515101773884e-07	8.179741599560618e-07	4.2451379160961995e-10	1.0892816169776616e-06	2.022499857155331e-08	3.622156185405259e-07	1.4196743313929938e-09	1.626520708597861e-07	8.522763911823745e-07	1.5403203674340308e-07	6.591318093542112e-08	3.209916164691437e-11	7.248791505088096e-11	3.761996853622295e-14	3.366524226080559e-07	1.2581011102452924e-13	1.4414100765642857e-11	1.6491956735060604e-06	1.061848489822608e-06	0.6900438388882553
