CDK2cycA	CyclinA	Cdk2	CDK2cycA_star_	Values[total_fluorescence]
0.0	4.0000000000000003e-07	1.0000000000000001e-07	0.0	1.21210648148148
1.8995827712683726e-08	3.687284803509515e-07	6.872848035095129e-08	1.2275691936364863e-08	1.646425904496125
1.759767496326383e-08	3.640582329190762e-07	6.40582329190761e-08	1.834409211765993e-08	1.7112893710852632
1.694155562665346e-08	3.618273856263108e-07	6.182738562631081e-08	2.1231058747035588e-08	1.7422728448627227
1.66309203192096e-08	3.607621020281806e-07	6.076210202818066e-08	2.260697765260961e-08	1.757068203798883
1.6483216997031837e-08	3.6025347912910813e-07	6.025347912910822e-08	2.3263303873859823e-08	1.7641322929936625
1.6412839777658392e-08	3.60010652912837e-07	6.001065291283706e-08	2.3576507309504434e-08	1.7675048231209898
1.6379273219587076e-08	3.598947270285254e-07	5.989472702852538e-08	2.372599975188739e-08	1.7691148780128447
1.6363255944273277e-08	3.59839384604006e-07	5.983938460400607e-08	2.37973594517205e-08	1.7698835099870889
1.635561108521605e-08	3.5981296461697673e-07	5.98129646169768e-08	2.3831424297807023e-08	1.770250448135647
1.6351961884270852e-08	3.598003519922359e-07	5.980035199223586e-08	2.3847686123493147e-08	1.7704256205596818
1.6350219877303014e-08	3.597943308462808e-07	5.979433084628073e-08	2.3855449276416118e-08	1.7705092461930525
1.6349388290904626e-08	3.5979145644920715e-07	5.97914564492071e-08	2.3859155259888126e-08	1.770549167709261
1.6348991306508795e-08	3.5979008424866834e-07	5.979008424866833e-08	2.3860924444822734e-08	1.7705682257324384
1.6348801788860355e-08	3.5978942916595044e-07	5.97894291659504e-08	2.3861769045189097e-08	1.770577323951881
1.6348711315695556e-08	3.597891164375112e-07	5.978911643751125e-08	2.3862172246793042e-08	1.7705816673300339
1.634866812430451e-08	3.5978896714249887e-07	5.978896714249891e-08	2.3862364733196417e-08	1.7705837408373126
1.6348647504450306e-08	3.597888958680311e-07	5.978889586803114e-08	2.386245662751838e-08	1.7705847307439773
1.634863766121226e-08	3.597888618439414e-07	5.978886184394139e-08	2.3862500494846186e-08	1.7705852032929035
1.6348632961793906e-08	3.5978884559995684e-07	5.978884559995683e-08	2.3862521438249083e-08	1.77058542890004
1.634863071804275e-08	3.5978883784421565e-07	5.978883784421566e-08	2.38625314377414e-08	1.770585536616872
