V_membrane	n	jm	Ca_er_Ca_equations	Ca_i	Values[i_K]	Values[n_infinity]	Values[tau_n]	Values[i_K_ATP]	Values[g_K_ATP]	Values[i_Ca_f]	Values[m_f_infinity]	Values[i_Ca_s]	Values[m_s_infinity]	Values[jm_infinity]	Values[tau_j]	Values[i_Ca]	Values[i_K_Ca]	Values[i_CRAC]	Values[r_infinity]	Values[i_leak]	Values[J_er_p]	Values[a_infinity]	Values[b_infinity]	Values[h_infinity]	Values[O]	Values[J_er_tot]	Values[J_er_IP3]	Values[J_er_leak]	Values[J_mem_tot]	Values[Jmp]
-61.00000000000001	0.0005	0.12000000000000001	60.00000000000001	0.11000000000000001	17.55	0.00046795672563293525	9.085746273363997	1350.0	150.0	-548.7020358915785	0.00420751503635901	-793.8813162702453	0.01098694263059318	0.01798620996209155	8145.055720851992	-1342.5833521618238	3.454894433781189	-5.814899403597213	0.001271016263081358	-0.0	0.14376237623762375	0.2391304347826087	0.0	0.7843137254901962	0.0	0.035907623762376245	0.0	0.17967	-2.3489808977864777e-05	0.0071916790490341755
-61.00365145248652	0.0004940697069655024	0.11998746965415676	59.999856622338314	0.11011980725243056	17.334810833455077	0.0004676721584607093	9.085748860079592	1349.4522821270216	150.0	-548.4485212754048	0.004205475675475569	-793.6239692489238	0.010982975586841902	0.01795399105822859	8139.210281221269	-1342.0724905243287	3.472334650507301	-5.815525061656355	0.001271076932432665	-0.0	0.1438878546843849	0.23932855207864748	0.0	0.7841295207775804	0.0	0.03578135576087274	0.0	0.17966921044525763	-2.3650859919233726e-05	0.007205941465244626
-61.007267790645045	0.0004891797781465049	0.11997492795807041	59.99971374796998	0.11023895060359948	17.15634471370244	0.00046739049831857096	9.085751420370284	1348.9098314032442	150.0	-548.1975592240215	0.004203456896325497	-793.3692964101806	0.01097904808842391	0.01792213783505403	8133.425738348798	-1341.566855634202	3.489750225747112	-5.81614644404064	0.0012711373916955947	-0.0	0.14401244866195068	0.23952546923510504	0.0	0.7839464226061347	0.0	0.03565597573014845	0.0	0.17966842439209912	-2.3811030467067694e-05	0.007220134694979336
-61.01085441090017	0.0004851390465219944	0.11996237502577428	59.999571373359146	0.11035743445357218	17.007843528558812	0.00046711132023816057	9.085753958099033	1348.3718383649752	150.0	-547.948772123358	0.004201455659989319	-793.1168984542797	0.01097515423673546	0.01789060117277652	8127.693332233561	-1341.0656705776378	3.5071389055328317	-5.816764071304439	0.0012711976423362941	-0.0	0.14413616612189636	0.23972119530243385	0.0	0.7837644227290833	0.0	0.03553147569482035	0.0	0.1796676418167167	-2.3970352104169076e-05	0.007234259084190447
-61.01441571155809	0.00048179149244913146	0.11994981095404952	59.99942949500158	0.11047526314196342	16.883794452937995	0.00046683427792185443	9.08575647641369	1347.837643266287	150.0	-547.7018522512881	0.0041994694900328745	-792.8664499690265	0.010971289224787358	0.017859341051174482	8122.0059250185495	-1340.5683022203145	3.5244987841356687	-5.817378368879722	0.0012712576858078964	-0.0	0.14425901490131574	0.23991573920422332	0.0	0.783583513014929	0.0	0.03540784779426309	0.0	0.17966686269557883	-2.4128851083388335e-05	0.007248314974447508
-61.017955276711206	0.000479009781330109	0.11993723582561644	59.999288109424285	0.11059244095311707	16.779700387319316	0.00046655908919975594	9.085758977879173	1347.306708493319	150.0	-547.456548867841	0.00419749636859688	-792.6176857921067	0.01096744913568287	0.017828324857157796	8116.357700794571	-1340.0742346599477	3.5418282427184775	-5.817989684588711	0.0012713175235507048	-0.0	0.1443810027292008	0.24010910974627586	0.0	0.7834036854390648	0.0	0.035285084276212686	0.0	0.17966608700541348	-2.4286549390812473e-05	0.007262302703499679
-61.021476026236876	0.0004766899899953005	0.119924649711738	59.99914721318506	0.11070897212038913	16.691892762580277	0.00046628552417812976	9.08576146458522	1346.7785960644696	150.0	-547.2126576923806	0.0041955346517019544	-792.3703898928482	0.010963630778332754	0.017797526007772735	8110.743921030254	-1339.5830475852288	3.559125898971513	-5.818598302928602	0.0012713771569923633	-0.0	0.1445021372318291	0.2403013156241712	0.0	0.7832249320767919	0.0	0.03516317749136491	0.0	0.179665314723194	-2.4443465530942042e-05	0.007276222605734124
-61.024980338169826	0.0004747473022771073	0.11991205267434481	59.99900680287211	0.11082486082970075	16.61737885211771	0.00046601339557848586	9.08576393823419	1346.2529492745273	150.0	-546.9700123241225	0.004193583000197202	-792.1243863056148	0.010959831553491861	0.017766922829446585	8105.160725262322	-1339.0943986297375	3.576390565754401	-5.819204456726075	0.0012714365875480204	-0.0	0.14462242593734176	0.24049236542959956	0.0	0.7830472450974785	0.0	0.035042119888785445	0.0	0.1796645458261272	-2.4599615166925256e-05	0.007290075012549989
-61.02847014852543	0.00047311249612779833	0.11989944476776884	59.99886687510365	0.11094011122249513	16.55371724025314	0.00046574255086294787	9.085766400212655	1345.7294777211857	150.0	-546.7284772476518	0.004191640323467269	-791.8795317369063	0.010956049344530455	0.017736497645785776	8099.604968679349	-1338.6080089845582	3.593621217137996	-5.8198083366448525	0.0012714958166204816	-0.0	0.14474187627966037	0.2406822676556879	0.0	0.7828706167596521	0.0	0.034921904011983085	0.0	0.17966378029164345	-2.4755011642561372e-05	0.0073038602526634385
-61.03194703273167	0.00047172907669189827	0.11988682604015824	59.998727426527545	0.11105472739820767	16.498916249296766	0.00046547286581517897	9.08576885164974	1345.2079450902502	150.0	-546.4879421302779	0.004189705733537701	-791.6357095368713	0.010952282428368378	0.01770623603502275	8094.074089759448	-1338.1236516671493	3.610816960520682	-5.820410098942142	0.0012715548456003725	-0.0	0.14486049560186223	0.24087103070150498	0.0	0.7826950394068556	0.0	0.03480252249552576	0.0	0.179663018097388	-2.490966640793139e-05	0.007317578652356546
