Dihydroxyacetone phosphate	Phosphates in Glycosome	Glyceraldehyde 3-phosphate	Pyruvate	Glucose 6-phosphate	Phosphates cytosol	Glucose	NAD	Fructose 6-phosphate	1,3-bisphosphoglycerate	3-PGA 2-PGA PEP	Fructose 1,6-bisphosphate	NADH	Glycerol 3-phosphate	ATP gly.	ADP gly.	DHAP gly.	Gy3P g.	3-PGA g.	ATP cyt.	ADP cyt.	DHAP cyt.	Gy3P c.	PEP c.	Values[Vc]	Values[Vg]
3.89921	7.63936	0.0399329	4.77413	2.07199	6.51839	0.0340009	3.9551400000000005	0.511773	0.0326745	1.59603	16.5371	0.0448639	0.9561786007298237	2.616849708091616	2.4056605838167675	1.3090576692585685	0.32101193074143275	0.6711336282216187	2.770675886608102	0.9770382267837974	4.015342870201884	0.9846571297981158	0.8408633227988661	5.4554	0.24459999999999998
3.897935824176433	7.6799855509489925	0.0398261568849765	4.797244005353393	2.069619539445632	6.518913230510609	0.03374052196864234	3.9550999225262475	0.5111613338685776	0.03241122681742693	1.5220210229146958	16.52013438032067	0.044903977473747116	0.9573093564759771	2.641460227110503	2.397065096727986	1.3059853612058903	0.3207420701871636	0.6400127136321492	2.7710848227352844	0.9767435850400394	4.014149315990525	0.985850684009475	0.8018719289097198	5.4554	0.24459999999999998
3.8979358244792137	7.679985550248302	0.03982615688570803	4.784794823510648	2.0696195395222055	6.518913229655409	0.03374052197341046	3.955099922524678	0.511161333887251	0.03241122681532581	1.5220210227927613	16.52013438066739	0.044903977475316915	0.9573093561694779	2.6414602266850955	2.3970650968781113	1.3059853612387737	0.3207420700676341	0.6400127135808755	2.771084822066863	0.9767435855216826	4.014149316305407	0.9858506836945926	0.801871928845479	5.4554	0.24459999999999998
3.89793582447942	7.679985550247702	0.0398261568855941	4.782227514518015	2.0696195395222854	6.518913229655154	0.033740521973410896	3.9550999225247536	0.5111613338871001	0.03241122681524391	1.5220210227926834	16.520134380666434	0.04490397747524025	0.9573093561693918	2.64146022668473	2.397065096878242	1.305985361241054	0.3207420700681484	0.6400127135808428	2.771084822066666	0.9767435855218229	4.01414931630552	0.9858506836944798	0.801871928845438	5.4554	0.24459999999999998
3.8979358244792772	7.679985550248379	0.03982615688570755	4.781699011087638	2.0696195395222525	6.5189132296551495	0.033740521973407565	3.955099922524678	0.5111613338872575	0.032411226815325156	1.5220210227927122	16.520134380667304	0.04490397747531585	0.9573093561694173	2.6414602266851404	2.397065096878098	1.3059853612388463	0.3207420700676264	0.6400127135808549	2.771084822066661	0.9767435855218274	4.0141493163054704	0.9858506836945297	0.8018719288454531	5.4554	0.24459999999999998
3.8979358244802635	7.6799855502447585	0.03982615688639946	4.781590253284548	2.0696195395183863	6.518913229655164	0.0337405219735405	3.9550999225240977	0.5111613338870953	0.0324112268158041	1.5220210227924793	16.520134380661474	0.044903977475895335	0.9573093561692091	2.641460226682943	2.3970650968788734	1.3059853612535015	0.3207420700710748	0.6400127135807568	2.7710848220666713	0.9767435855218212	4.014149316305843	0.9858506836941574	0.8018719288453303	5.4554	0.24459999999999998
3.897935824478713	7.679985550248533	0.03982615688541355	4.7815678740106105	2.069619539528159	6.518913229655134	0.03374052197318467	3.955099922524899	0.5111613338885103	0.032411226815130194	1.522021022792845	16.520134380669138	0.044903977475095044	0.957309356169533	2.641460226685235	2.3970650968780634	1.305985361230364	0.3207420700656285	0.6400127135809108	2.7710848220666486	0.9767435855218372	4.01414931630526	0.9858506836947402	0.8018719288455233	5.4554	0.24459999999999998
3.8979358244790525	7.679985550255049	0.039826156886968375	4.781563268938254	2.0696195395095764	6.518913229655144	0.03374052197384215	3.95509992252351	0.5111613338861306	0.032411226816345555	1.522021022792736	16.52013438067225	0.04490397747648331	0.9573093561694264	2.64146022668919	2.397065096876669	1.3059853612347794	0.3207420700666492	0.640012713580865	2.771084822066656	0.9767435855218319	4.014149316305417	0.9858506836945828	0.8018719288454658	5.4554	0.24459999999999998
3.8979358244792737	7.679985550248428	0.039826156885707995	4.781562321037015	2.0696195395221855	6.518913229655151	0.03374052197340978	3.9550999225246763	0.5111613338872464	0.03241122681532594	1.5220210227927136	16.52013438066737	0.044903977475316714	0.9573093561694161	2.641460226685171	2.3970650968780864	1.3059853612387446	0.3207420700676014	0.6400127135808554	2.771084822066662	0.9767435855218255	4.0141493163054704	0.9858506836945297	0.8018719288454539	5.4554	0.24459999999999998
3.8979358244792723	7.679985550248424	0.03982615688570787	4.781562125971491	2.0696195395221824	6.518913229655152	0.03374052197340994	3.9550999225246772	0.5111613338872456	0.032411226815325864	1.522021022792714	16.52013438066737	0.04490397747531665	0.957309356169418	2.6414602266851688	2.3970650968780864	1.305985361238759	0.3207420700676057	0.6400127135808557	2.771084822066664	0.9767435855218247	4.014149316305469	0.9858506836945314	0.8018719288454541	5.4554	0.24459999999999998
3.8979358244792386	7.679985550248691	0.03982615688570892	4.781562085946138	2.069619539521985	6.5189132296551495	0.033740521973416995	3.955099922524678	0.5111613338871901	0.03241122681532696	1.5220210227927198	16.52013438066769	0.04490397747531645	0.9573093561694235	2.64146022668533	2.3970650968780314	1.3059853612382217	0.32074207006747835	0.6400127135808581	2.771084822066661	0.9767435855218274	4.014149316305457	0.9858506836945428	0.8018719288454572	5.4554	0.24459999999999998
