IR	IRS1	IRp	IRS1p	PKB	PKB308p473p	X	mTORC1	mTORC2	AS160	GLUT4m	S6K	S6	IRip	IRS1p307	PKB308p	IRins	IRS1307	IRi	PKB473p	AS160p	S6p	GLUT4	mTORC2a	Xp	mTORC1a	S6Kp	Values[measuredIRp]	Values[measuredIRint]	Values[measuredIRS1p]	Values[measuredIRS1307]	Values[measuredPKB308p]	Values[measuredPKB473p]	Values[measuredAS160p]	Values[measuredmTORC1a]	Values[measuredS6Kp]	Values[measuredS6p]	Values[measuredmTORC2a]	Values[glucoseuptake]
49.93446434211361	86.24189600592561	0.0009312215005880881	0.00095272377217019	78.02193221158592	0.061992532897245	99.99867128964232	96.927052256569	99.9045223943705	95.46990074862731	4.588085835024301	99.8296860066098	98.2037625421647	0.011815001204792001	0.00891531075576947	12.2197372437326	0.0	13.748235909475701	0.0527894351383809	9.696338994578403	4.530099251372891	1.7962374578351201	45.4119141649757	0.09547760562947952	0.00132871035763352	3.0729477434309205	0.170313993390069	0.06630585051338722	0.0646044363431729	0.003711367785958106	0.8069944905787779	0.534992149069996	0.12685830985718338	0.12075432564459576	3.07294774343092	0.12713939606568653	0.20638768390525528	0.0954776056294795	518.2345880862299
5.996838988313739	81.99106411326781	0.01941427858718428	0.010415865474983488	16.024791669548698	21.40555668647845	99.99775821885318	38.22166509048609	99.28833081946028	45.59614833104562	27.40753173231067	99.76834128328706	97.61501080855554	0.15782603017710542	1.9578642835020685	26.609582497323114	43.47907944518281	16.040655687684104	0.3468412576965886	35.960070129443885	54.403851668954495	2.384989191444229	22.59246826768918	0.7116691805396316	0.002241781146755264	61.77833490951383	0.23165871671273466	0.922004086191835	0.504667287873694	0.7402701640302691	1.055793181509781	2.0915394628463964	0.7457531486069904	1.450189070087651	61.77833490951382	0.17293323202605643	0.2740352580969419	0.7116691805396315	1344.5267240269695
5.952860646096208	79.00349086766589	0.019298379480459534	0.0070284924025918955	8.101946012620049	24.646673274700216	99.99685090393747	35.047937155994994	99.0944170370519	40.68090468282047	28.475056615866826	99.62892066298609	96.20942949394467	0.10827478643551842	1.3918092434892488	8.564847672593734	43.21984062617199	19.597671346371285	0.699725561773192	58.686534022880146	59.31909531717965	3.790570506054948	21.524943384133024	0.9055829629481136	0.003149096062445411	64.95206284400479	0.3710793370136601	0.6636356090949173	0.8080003482087104	0.5261028724689212	1.2312429314012188	1.4466938524641244	1.0833316948685445	1.5812098047747407	64.95206284400477	0.2770107250806973	0.4355365511457135	0.9055829629481135	1383.1818000605376
5.946751043917887	77.98049465791259	0.019229817204249412	0.005775004023679812	9.589933554640266	19.818392130487908	99.99632217287916	40.106753170973654	99.18206150829266	44.00361480382912	27.76578594711788	99.50329234391367	94.97102920662066	0.08988465318947672	1.0539375306177157	8.318205345181237	43.06570825564613	20.959792757375006	0.8784262299996066	62.27346995248475	55.99638519617101	5.028970793379122	22.23421405288197	0.8179384917073595	0.003677827120672883	59.8932468290261	0.4967076560861052	0.5676134749881633	0.9683108831890832	0.39855788427862887	1.2913254186936527	1.225630186040148	1.0671942070786444	1.4926396437891343	59.89324682902609	0.3707922652682775	0.5778287441592611	0.8179384917073595	1357.4991091451386
5.943354098918204	77.72944158987686	0.01919292789300422	0.005208054142693277	11.810600982380574	16.635578468136558	99.9959525053544	44.28335626992682	99.27496773516164	46.67270029725462	27.161237281590687	99.39358187292761	93.91558830743034	0.08084134400237564	0.8839822813433496	9.337157078939537	42.98278299187318	21.38136802456606	0.9738286372705596	62.21666445333752	53.32729970274551	6.0844116925694225	22.838762718409164	0.725032264838366	0.004047494645495111	55.71664373007293	0.6064181270721708	0.520378282399766	1.054669981272935	0.3344244851763007	1.306085448944646	1.1313723604306347	1.025079157979163	1.4214925008763841	55.716643730072924	0.45269113185937543	0.6990989034762266	0.7250322648383659	1335.6084019663988
5.9415753962967015	77.84964528908051	0.019173084781423773	0.004883312013949952	13.793094170384755	14.4992449739218	99.99567364988374	47.596930626812025	99.34251837082289	48.70771802413348	26.67774830177491	99.29704242960086	93.00638370010306	0.07525805785870618	0.7794640180558267	10.312829718901105	42.938174821802896	21.366007330778725	1.025818639217646	61.394832119586525	51.29228197586665	6.993616299896719	23.322251698224942	0.6574816291770766	0.004326350116134075	52.403069373187726	0.7029575703989909	0.49123080401395597	1.1010766970763521	0.294993030839243	1.2990533493226344	1.0808139736193658	0.9866230022156081	1.3672470683487012	52.40306937318772	0.5247578263028466	0.803566512858133	0.6574816291770766	1318.1012660072695
5.940695147811386	78.14178223215626	0.019162539878835014	0.004675472036114471	15.426081594960179	13.00510386174805	99.99545499935013	50.21894668045887	99.3891559459911	50.268705911511766	26.292778960778524	99.21136655951693	92.21436665481303	0.07144065245984482	0.7088851147033133	11.110630474009696	42.91446690671644	21.14465713103334	1.0542347530908676	60.45818505207625	49.73129408848836	7.785633345186744	23.707221039221327	0.6108440540089166	0.004545000649769395	49.78105331954088	0.7886334404829098	0.4713178065458124	1.1256754055507123	0.26837013667269877	1.2819287881349122	1.0504813876656074	0.9550227558797159	1.3256373752227455	49.781053319540874	0.5887148633204923	0.8945692713619567	0.6108440540089165	1304.1615261697902
5.940299964504622	78.50078538800636	0.019157069265219644	0.00453275918624552	16.734946930230105	11.926521573345031	99.99527944650562	52.29553893042582	99.42179694555867	51.4758638415288	25.98624391213456	99.13470130948129	91.51720219094526	0.06866922753055489	0.6585375816803499	11.736086437224442	42.902165040208814	20.83614422105612	1.0697086984481667	59.602446041994625	48.524136158471336	8.482797809054478	24.01375608786529	0.5782030544413684	0.004720553494238513	47.70446106957393	0.8652986905185631	0.4568723959316191	1.1383779259787217	0.2493807551999265	1.260878034548521	1.0307432049404062	0.9298765789994154	1.2934593734402118	47.704461069573924	0.6459454724721073	0.9746734682603596	0.5782030544413683	1293.0618920583925
5.94015957770449	78.87087024049681	0.019154351851638843	0.004429751166456076	17.7773031751668	11.126638461592346	99.99513627179928	53.948291452120166	99.44536844978342	52.41911641404437	25.741149702794345	99.06557241302332	90.89770918031368	0.06657628607575648	0.6212463135330163	12.221940022305164	42.89605217557605	20.50345364473285	1.0780576087494185	58.87411932372986	47.58088358595576	9.102290819686106	24.258850297205505	0.5546315502166075	0.004863728200543484	46.051708547879585	0.9344275869765206	0.44597077849831046	1.1446338948251749	0.2353167679334715	1.2391748995518757	1.0170640787585754	0.9100098512091884	1.2683160328672367	46.05170854787958	0.6975501936779727	1.0458532151819335	0.5546315502166075	1284.1870307381832
5.940147700257559	79.22342872208863	0.019153110611987025	0.004352590778677839	18.610853257204553	10.51892466070197	99.99501823253966	55.2745499838933	99.46295550125441	53.16528926815095	25.54369180831326	99.00281405427826	90.34264911717649	0.06495166449128545	0.5928244157898466	12.601423031310413	42.893257961351964	20.179394221271977	1.08248956324456	58.26880003357718	46.83471073184918	9.657350882823279	24.456308191686592	0.5370444987455948	0.004981767460159773	44.72545001610645	0.9971859457215478	0.43751304008722336	1.1474412277358454	0.22459827217042205	1.2184983452500464	1.0071223454640594	0.8942404210256287	1.2484260492681714	44.72545001610645	0.7443993084811356	1.1096296164363948	0.5370444987455947	1277.0370803790233
