G*T	D	Pi	GD	RG*T	RGA	RG*AT	RGD	R	A	GA	RGAD	G	RG	G*AT	GAD	T	Values[Z]	Values[v]
9.587948040406268e-12	0.00014900271619707866	0.004400002828380762	4.009277298949777e-16	9.87779067349652e-09	-8.750919163996888e-30	-2.623551380482351e-28	1.1218328286206344e-10	9.990009588349318e-06	-6.391735616242296e-28	-1.2016992393855893e-38	-2.4128991577684234e-27	3.246960652624731e-19	4.3769431251630243e-13	-9.544355277654459e-35	-2.2194031872531587e-33	0.00046798728424062155	0.9887378621536923	0.012853592207998
9.587974207468363e-12	0.00014900284475920976	0.004400002956916022	4.0086352654035813e-16	9.877817604876217e-09	-8.732633929763218e-30	-2.626096451644771e-28	1.1215641234805506e-10	9.99000958837542e-06	-7.228337011651944e-28	-1.199264595753398e-38	-2.4076674887528136e-27	3.246986600231637e-19	4.376073435470081e-13	-1.074622639900943e-34	-2.5096842829336315e-33	0.0004679871556784035	0.9887405579083686	0.012853627252808789
9.587978853485591e-12	0.00014900297329946126	0.004400003085451502	4.0085212717995396e-16	9.877822386550737e-09	-8.619897257624916e-30	-2.5952800428739397e-28	1.1215164152985541e-10	9.990009588380057e-06	-7.995503857538391e-28	-1.1838621370715017e-38	-2.3765622782873395e-27	3.246997924562629e-19	4.375918523478605e-13	-1.18333847749685e-34	-2.792136491709309e-33	0.0004679870271381365	0.9887410365404222	0.012853633475025487
9.587961978457952e-12	0.0001490031018178332	0.004400003213987204	4.0089353181376526e-16	9.877805018520077e-09	-8.412709147581985e-30	-2.531102154169859e-28	1.1216897040746449e-10	9.990009588363223e-06	-8.693236153901637e-28	-1.1554918633398999e-38	-2.3195835263720015e-27	3.2469946256177077e-19	4.3764783891885953e-13	-1.2805830405531655e-34	-3.0667598135801912e-33	0.00046798689861982063	0.9887392980498536	0.012853610874648095
9.588052030229126e-12	0.00014900323044490923	0.004400003342521807	4.0067258105505466e-16	9.877897700773789e-09	-8.794237769255391e-30	-2.6681688502715602e-28	1.1207649746957725e-10	9.990009588453054e-06	-9.764889422046843e-28	-1.2079536530013014e-38	-2.4240921480797555e-27	3.2470616911479985e-19	4.3734869112713443e-13	-1.4470699415776867e-34	-3.412222867236299e-33	0.00046798676999244544	0.9887485752804016	0.012853731478645219
9.588236561679114e-12	0.00014900335916803533	0.004400003471055439	4.0021981513392655e-16	9.878087622593643e-09	-9.698281340377883e-30	-2.9837458465517976e-28	1.1188700451066312e-10	9.990009588637133e-06	-1.1167500703520133e-27	-1.332157915226553e-38	-2.6719321064981407e-27	3.247190885493754e-19	4.3673574942850366e-13	-1.674977702288999e-34	-3.8209023426386475e-33	0.00046798664126870647	0.9887675859155319	0.012853978616901917
9.588411355649747e-12	0.00014900348788126133	0.004400003599589171	3.997909410729342e-16	9.878267522488683e-09	-1.0570546046745165e-29	-3.2874836855236996e-28	1.1170751084902718e-10	9.9900095888115e-06	-1.2541350043732413e-27	-1.4519993882281254e-38	-2.911086664216497e-27	3.2473132531813043e-19	4.3615514889897066e-13	-1.8988187046676966e-34	-4.2289698434261094e-33	0.00046798651255490004	0.9887855933844332	0.01285421271399763
9.588576412141018e-12	0.00014900361658458724	0.004400003728123002	3.9938595887207776e-16	9.878437400458911e-09	-1.1411031888357239e-29	-3.5793823671872643e-28	1.1153801648466946e-10	9.990009588976153e-06	-1.38864374426837e-27	-1.567478072006019e-38	-3.1415558212348244e-27	3.24742879421065e-19	4.3560688953853534e-13	-2.1185929487137795e-34	-4.63642536959869e-33	0.00046798638385102593	0.9888025976871053	0.012854433769932368
9.58873173115293e-12	0.00014900374527801311	0.0044000038566569324	3.9900486853135703e-16	9.87859725650433e-09	-1.2219738865214101e-29	-3.8594418915424914e-28	1.1137852141758994e-10	9.99000958913109e-06	-1.520276290037397e-27	-1.6785939665602332e-38	-3.363339577553122e-27	3.24753750858179e-19	4.3509097134719785e-13	-2.3343004344272474e-34	-5.0432689211563836e-33	0.0004679862551570843	0.9888185988235482	0.012854641784706128
9.588877312685481e-12	0.00014900387396153886	0.004400003985190962	3.986476700507722e-16	9.878747090624936e-09	-1.2996666977315757e-29	-4.127662258589384e-28	1.1122902564778862e-10	9.990009589276316e-06	-1.649032641680325e-27	-1.7853470718907686e-38	-3.5764379331713905e-27	3.2476393962947255e-19	4.3460739432495814e-13	-2.545941161808102e-34	-5.449500498099199e-33	0.00046798612647307506	0.9888335967937619	0.012854836758318906
9.589013156738672e-12	0.00014900400263516455	0.004400004113725092	3.9831436343032305e-16	9.87888690282073e-09	-1.3741816224662202e-29	-4.384043468327942e-28	1.110895291752655e-10	9.990009589411826e-06	-1.7749127991971526e-27	-1.8877373879976256e-38	-3.78085088808963e-27	3.2477344573494553e-19	4.3415615847181615e-13	-2.753515130856342e-34	-5.85512010042713e-33	0.0004679859977989983	0.9888475915977467	0.012855018690770706
9.589139263312503e-12	0.00014900413129889013	0.004400004242259319	3.9800494867000976e-16	9.87901669309171e-09	-1.445518660725344e-29	-4.628585520758164e-28	1.1096003200002058e-10	9.990009589537625e-06	-1.8979167625878796e-27	-1.9857649148808036e-38	-3.9765784423078406e-27	3.2478226917459805e-19	4.337372637877719e-13	-2.9570223415719677e-34	-6.260127728140177e-33	0.0004679858691348539	0.9888605832355022	0.01285518758206153
9.589255632406974e-12	0.00014900425995271563	0.0044000043707936465	3.9771942576983224e-16	9.879136461437881e-09	-1.513677812508947e-29	-4.861288415880047e-28	1.1084053412205387e-10	9.99000958965371e-06	-2.0180445318525067e-27	-2.079429652540303e-38	-4.163620595826023e-27	3.2479040994843006e-19	4.333507102728254e-13	-3.1564627939549798e-34	-6.66452338123834e-33	0.00046798574048064194	0.9888725717070288	0.012855343432191373
9.589362264022087e-12	0.00014900438859664106	0.004400004499328073	3.974577947297906e-16	9.87924620785924e-09	-1.5786590778170289e-29	-5.082152153693596e-28	1.1073103554136537e-10	9.990009589760078e-06	-2.1352961069910332e-27	-2.1687316009761228e-38	-4.341977348644176e-27	3.247978680564416e-19	4.329964979269767e-13	-3.351836488005377e-34	-7.068307059721617e-33	0.00046798561183636236	0.9888835570123261	0.012855486241160239
9.589459158157838e-12	0.0001490045172306664	0.004400004627862599	3.9722005554988473e-16	9.879345932355786e-09	-1.64046245664959e-29	-5.291176734198807e-28	1.1063153625795506e-10	9.990009589856737e-06	-2.2496714880034588e-27	-2.2536707601882636e-38	-4.5116487007622974e-27	3.2480464349863257e-19	4.3267462675022573e-13	-3.5431434237231586e-34	-7.471478763590013e-33	0.00046798548320201526	0.9888935391513943	0.012855616008968123
9.589546314814229e-12	0.00014900464585479166	0.004400004756397224	3.970062082301146e-16	9.879435634927521e-09	-1.69908794900663e-29	-5.488362157395683e-28	1.1054203627182297e-10	9.99000958994368e-06	-2.3611706748897852e-27	-2.3342471301767264e-38	-4.672634652180392e-27	3.2481073627500306e-19	4.3238509674257253e-13	-3.730383601108327e-34	-7.874038492843524e-33	0.00046798535457760054	0.9889025181242336	0.012855732735615034
9.58962373399126e-12	0.00014900477446901686	0.004400004884931948	3.9681625277048033e-16	9.879515315574445e-09	-1.7545355548881495e-29	-5.673708423284222e-28	1.1046253558296906e-10	9.990009590020908e-06	-2.4697936676500106e-27	-2.41046071094151e-38	-4.8249352028984574e-27	3.2481614638555304e-19	4.3212790790401706e-13	-3.913557020160881e-34	-8.275986247482155e-33	0.0004679852259631183	0.9889104939308435	0.012855836421100962
9.589691415688932e-12	0.00014900490307334194	0.004400005013466771	3.9665018917098185e-16	9.879584974296557e-09	-1.8068052742941482e-29	-5.847215531864427e-28	1.1039303419139337e-10	9.990009590088424e-06	-2.5755404662841365e-27	-2.4823115024826143e-38	-4.9685503529164936e-27	3.2482087383028256e-19	4.3190306023455936e-13	-4.092663680880821e-34	-8.6773220275059e-33	0.00046798509735856844	0.9889174665712246	0.012855927065425914
9.589749359907242e-12	0.00014900503166776692	0.0044000051420016945	3.965080174316192e-16	9.879644611093856e-09	-1.8558971072246254e-29	-6.008883483136293e-28	1.1033353209709589e-10	9.990009590146227e-06	-2.6784110707921615e-27	-2.5497995048000405e-38	-5.1034801022345004e-27	3.248249186091915e-19	4.317105537341994e-13	-4.267703583268146e-34	-9.078045832914761e-33	0.00046798496876395096	0.988923436045376	0.012856004668589887
9.589797566646194e-12	0.00014900516025229187	0.0044000052705367165	3.9638973755239226e-16	9.879694225966344e-09	-1.9018110536795824e-29	-6.158712277099825e-28	1.1028402930007661e-10	9.990009590194316e-06	-2.778405481174086e-27	-2.6129247178937873e-38	-5.229724450852478e-27	3.2482828072227994e-19	4.315503884029372e-13	-4.4386767273228575e-34	-9.47815766370874e-33	0.000467984840179266	0.988928402353299	0.012856069230592885
9.589836035905786e-12	0.0001490052888269167	0.0044000053990718374	3.962953495333012e-16	9.879733818914018e-09	-1.9445471136590182e-29	-6.29670191375502e-28	1.1024452580033553e-10	9.99000959023269e-06	-2.875523697429911e-27	-2.6716871417638547e-38	-5.3472833987704256e-27	3.2483096016954794e-19	4.314225642407728e-13	-4.605583113044954e-34	-9.877657519887835e-33	0.0004679847116045134	0.9889323654949924	0.012856120751434899
9.589864767686017e-12	0.00014900541739164145	0.004400005527607058	3.9622485337434594e-16	9.879763389936883e-09	-1.984105287162933e-29	-6.422852393101878e-28	1.1021502159787266e-10	9.990009590261352e-06	-2.9697657195596352e-27	-2.7260867764102433e-38	-5.4561569459883455e-27	3.248329569509954e-19	4.313270812477061e-13	-4.768422740434436e-34	-1.0276545401452046e-32	0.0004679845830396932	0.9889353254704569	0.012856159231115938
9.58988376198689e-12	0.00014900554594646614	0.004400005656142378	3.961782490755265e-16	9.879782939034934e-09	-2.0204855741913267e-29	-6.537163715140401e-28	1.1019551669268799e-10	9.990009590280302e-06	-3.0611315475632592e-27	-2.7761236218329535e-38	-5.556345092506235e-27	3.2483427106662233e-19	4.312639394237372e-13	-4.9271956094913035e-34	-1.0674821308401373e-32	0.0004679844544848055	0.9889372822796922	0.012856184669635994
9.589893018808403e-12	0.0001490056744913907	0.004400005784677797	3.961555366368428e-16	9.879792466208176e-09	-2.0536879747441998e-29	-6.639635879870588e-28	1.1018601108478152e-10	9.990009590289535e-06	-3.1496211814407833e-27	-2.821797678031985e-38	-5.647847838324097e-27	3.2483490251642876e-19	4.31233138768866e-13	-5.081901720215558e-34	-1.1072485240735819e-32	0.00046798432593985015	0.9889382359226985	0.012856197066995074
9.589892538150554e-12	0.00014900580302641523	0.004400005913213314	3.9615671605829493e-16	9.879791971456606e-09	-2.083712488821552e-29	-6.730268887292438e-28	1.1018650477415325e-10	9.990009590289057e-06	-3.235234621192207e-27	-2.863108945007337e-38	-5.7306651834419285e-27	3.2483485130041473e-19	4.312346792830926e-13	-5.232541072607197e-34	-1.1469537198455379e-32	0.00046798419740482725	0.9889381863994756	0.012856196423193179
