Cdc20	O-Mad2	Bub3:BubR1	APC	MCC	Mad1:C-Mad2:O-Mad2*	Bub3:BubR1:Cdc20	APC:Cdc20	Mad1:C-Mad2	MCC:APC	Cdc20:C-Mad2
2.2000000000000004e-07	1.3e-07	1.2700000000000004e-07	9.000000000000001e-08	0.0	0.0	0.0	0.0	5.0000000000000004e-08	0.0	0.0
1.6583214704858033e-07	1.287010688141004e-07	1.2627194104677915e-07	3.693178318088275e-08	1.7652136188956736e-10	7.583069697490495e-11	2.1403661735459203e-10	5.2730715845140334e-08	4.9924169303025086e-08	3.375009739768881e-10	7.090781530583987e-10
1.48224214801621e-07	1.2742710005242333e-07	1.2508506348974037e-07	1.9940305751659486e-08	4.38045627745272e-10	8.431982344049246e-11	3.52200854208391e-10	6.893500422003431e-08	4.99156801765595e-08	1.124690028306166e-09	9.258444680849341e-10
1.4104332418282024e-07	1.2616996048295819e-07	1.2379792279417996e-07	1.3199140457861762e-08	7.141875599350897e-10	8.789932609525605e-11	4.507828649900069e-10	7.47637527612431e-08	4.991210067390474e-08	2.037106780895136e-09	9.908458501165389e-10
1.3776598436521325e-07	1.2492700699672978e-07	1.2250506007611123e-07	1.0269633133608634e-08	9.660503216899595e-10	8.9179576507036e-11	5.243624719155251e-10	7.672583973610787e-08	4.991082042349294e-08	3.0045271302834777e-09	1.0132359747899526e-09
1.361331295674703e-07	1.2369716029316948e-07	1.2122907267026906e-07	8.905597206691068e-09	1.1691034405056611e-09	8.939589393929597e-11	5.804238577774754e-10	7.707300276186091e-08	4.99106041060607e-08	4.021400031447983e-09	1.0229403409377404e-09
1.352448422873509e-07	1.2247990153621387e-07	1.1997386716863596e-07	8.214886065705202e-09	1.3183126128447717e-09	8.911413498290954e-11	6.234398340352279e-10	7.670073354981057e-08	4.991088586501708e-08	5.08438038448421e-09	1.028291331474397e-09
1.3471489132774063e-07	1.2127492998994944e-07	1.1873887822737696e-07	7.824618408600557e-09	1.4215920702291867e-09	8.859274593367927e-11	6.56389759568446e-10	7.59922416485739e-08	4.991140725406632e-08	6.183139942825525e-09	1.0317452510624413e-09
1.3436778085736722e-07	1.2008203704499686e-07	1.1752273347239804e-07	7.57430417867772e-09	1.4909543099498204e-09	8.795225767936248e-11	6.814124208194242e-10	7.51207960244894e-08	4.991204774232064e-08	7.304899796832849e-09	1.0341565905413731e-09
1.3411920902478056e-07	1.1890105676353284e-07	1.163241059404702e-07	7.392554084825554e-09	1.5373094782857003e-09	8.725115173330847e-11	7.001187782776836e-10	7.41689801122079e-08	4.991274884826669e-08	8.438465802966555e-09	1.0359168034817985e-09
1.3392638968359165e-07	1.1773184496736887e-07	1.1514185859954468e-07	7.2462248214786145e-09	1.5688236209678348e-09	8.651908488964627e-11	7.137584848165301e-10	7.317821588385033e-08	4.991348091511034e-08	9.57555929467109e-09	1.037253032102798e-09
1.3376648124723103e-07	1.1657426960733602e-07	1.1397503486296045e-07	7.119158887372099e-09	1.591047517514328e-09	8.577187072216014e-11	7.233183688622615e-10	7.217024186196483e-08	4.991422812927783e-08	1.0710599250663064e-08	1.038311753764661e-09
1.3362675035292067e-07	1.154282059496424e-07	1.1282282764851788e-07	7.0030916383450005e-09	1.6075651622476574e-09	8.501820927329648e-11	7.295863167872406e-10	7.115688748920764e-08	4.991498179072671e-08	1.1840020872447329e-08	1.0391898063896031e-09
1.3349984049102825e-07	1.1429353399613873e-07	1.1168455226719585e-07	6.893615142876827e-09	1.620627964736442e-09	8.426311993653587e-11	7.331957679957668e-10	7.01447608570511e-08	4.991573688006348e-08	1.2961624000072074e-08	1.0399509191165158e-09
1.3338137310600625e-07	1.1317013703544671e-07	1.1055962509720421e-07	6.7882989551462995e-09	1.6316307022971365e-09	8.350952715586449e-11	7.346583061206472e-10	6.91376151504756e-08	4.991649047284414e-08	1.4074085894378118e-08	1.0406368407224705e-09
1.332686735832056e-07	1.1205790079724932e-07	1.0944754649605289e-07	6.685769127634707e-09	1.6414323310684725e-09	8.275918796768524e-11	7.343883512623337e-10	6.81375980507489e-08	4.9917240812032315e-08	1.517663282161642e-08	1.0412748620984176e-09
1.3316006814477947e-07	1.1095671294725548e-07	1.0834788673145188e-07	6.585234620504813e-09	1.6505612755760359e-09	8.201318478889409e-11	7.327223003708412e-10	6.714593568689384e-08	4.99179868152111e-08	1.6268829692601354e-08	1.0418828997785673e-09
1.330544839436674e-07	1.0986646277634966e-07	1.0726027421023183e-07	6.486233767488252e-09	1.6593433564822532e-09	8.12721754961307e-11	7.299336044762373e-10	6.616331740370198e-08	4.991872782450387e-08	1.735044882880978e-08	1.0424728628625447e-09
1.3295121625580421e-07	1.0878704100163192e-07	1.0618438559871117e-07	6.388494240288926e-09	1.667980450213624e-09	8.053657950744206e-11	7.262447583495679e-10	6.519011656698534e-08	4.991946342049257e-08	1.8421389192725765e-08	1.043052775921668e-09
1.328497902881549e-07	1.0771833966088511e-07	1.0511993761603818e-07	6.29185389014967e-09	1.6765985623590885e-09	7.980665247149397e-11	7.218368684769901e-10	6.422651915672451e-08	4.992019334752851e-08	1.9481626953125867e-08	1.0436281711588643e-09
1.3274987746949956e-07	1.0666025199602618e-07	1.04066680037772e-07	6.196215125175073e-09	1.6852772590838195e-09	7.908257093691811e-11	7.16857462891323e-10	6.327259963457198e-08	4.9920917429063094e-08	2.053118524025298e-08	1.0442029337005122e-09
1.3265124431456196e-07	1.0561267241996921e-07	1.0302439005736637e-07	6.10151846717502e-09	1.6940675551623647e-09	7.836441624620942e-11	7.11426688149838e-10	6.232836583350345e-08	4.9921635583753794e-08	2.1570115699321586e-08	1.0447799093010452e-09
1.3255372045823823e-07	1.0457549648335052e-07	1.0199286754649704e-07	6.00772696966928e-09	1.7030029258187474e-09	7.765225739577823e-11	7.05642389930744e-10	6.139378589257716e-08	4.992234774260423e-08	2.2598487137753608e-08	1.0453611956817667e-09
1.324571782336416e-07	1.0354862081267267e-07	1.0097193107421188e-07	5.914817005801215e-09	1.7121060696910572e-09	7.694611927927648e-11	6.995842801042572e-10	6.046880441820587e-08	4.992305388072073e-08	2.3616378575992965e-08	1.0459484223644744e-09
1.3236151963651297e-07	1.0253194310945889e-07	9.99614147284135e-08	5.822772843604019e-09	1.7213930547807569e-09	7.62460111740018e-11	6.93317272264765e-10	5.955335221185493e-08	4.9923753988826e-08	2.462387494454111e-08	1.0465428800456759e-09
1.3226666783212634e-07	1.0152536212783917e-07	9.896116556319439e-08	5.73158343166881e-09	1.7308758632314854e-09	7.555193115513289e-11	6.868941160553677e-10	5.8647352110812346e-08	4.992444806884487e-08	2.5621064457518916e-08	1.0471456202557191e-09
1.321725610510202e-07	1.0052877764826769e-07	9.797104127227173e-08	5.641240408464176e-09	1.7405640518873347e-09	7.486386484732087e-11	6.803577731998889e-10	5.775072268889468e-08	4.992513613515268e-08	2.6608036902641213e-08	1.0477575323568697e-09
1.3207914879399522e-07	9.954209046919319e-08	9.699090851423444e-08	5.551737012674081e-09	1.7504657038515324e-09	7.418179160497944e-11	6.737431306954741e-10	5.686338033610727e-08	4.992581820839502e-08	2.7584882651218717e-08	1.048379384131996e-09
1.319863889272348e-07	9.85652023910325e-08	9.602064140746491e-08	5.46306738368354e-09	1.7605880737097496e-09	7.350568522383934e-11	6.670785257651627e-10	5.598524062325618e-08	4.992649431477616e-08	2.8551691993060346e-08	1.0490118569739714e-09
1.3189424569617063e-07	9.759801620409742e-08	9.506012034915601e-08	5.375226175341063e-09	1.7709379720769357e-09	7.283551650363948e-11	6.603869392692369e-10	5.5116219085161026e-08	4.992716448349636e-08	2.950855473949798e-08	1.0496555678244362e-09
1.318026882755655e-07	9.664043567678429e-08	9.410923105301844e-08	5.288208337553716e-09	1.781522008539472e-09	7.217125165234082e-11	6.536869644334104e-10	5.425623168843749e-08	4.992782874834766e-08	3.045555997400886e-08	1.0503110890154623e-09
1.3171168962701973e-07	9.569236554585301e-08	9.316786373271226e-08	5.202008972472308e-09	1.7923467608900639e-09	7.151285627800609e-11	6.469936269905758e-10	5.340519514812049e-08	4.992848714372201e-08	3.139279587940728e-08	1.050978957572089e-09
1.3162122566094188e-07	9.475371150176199e-08	9.223591243692027e-08	5.116623270087703e-09	1.8034188723976766e-09	7.086029298287546e-11	6.403190472862956e-10	5.2563027086516466e-08	4.9929139707017135e-08	3.23203496433959e-08	1.0516596894620037e-09
1.3153127458977647e-07	9.382438017449221e-08	9.131327450252864e-08	5.032046473242294e-09	1.8147451201377392e-09	7.021352425065672e-11	6.336729797710708e-10	5.1729646129195084e-08	4.992978647574935e-08	3.3238307397562694e-08	1.05235378355714e-09
1.314418164643538e-07	9.290427914367501e-08	9.03998501785108e-08	4.948273862109994e-09	1.8263324619895307e-09	6.957251094100386e-11	6.270632059358421e-10	5.09049719843261e-08	4.993042748905901e-08	3.414675415356397e-08	1.053061729830924e-09
1.3135283271722364e-07	9.199331690334947e-08	8.949554217683901e-08	4.865300749037754e-09	1.8381880643878136e-09	6.893721345321626e-11	6.204959536949142e-10	5.0088925445883886e-08	4.9931062786546806e-08	3.5045773805078425e-08	1.0537840137315351e-09
1.3126430588557623e-07	9.109140286699399e-08	8.860025543060346e-08	4.783122481611108e-09	1.8503193275824168e-09	6.83075916797537e-11	6.139761482612857e-10	4.928142842483597e-08	4.993169240832027e-08	3.593544909355299e-08	1.0545211201913052e-09
1.3117621934260387e-07	9.019844735556869e-08	8.771389683389898e-08	4.701734446960873e-09	1.8627339032664492e-09	6.768360516975801e-11	6.07507663964928e-10	4.848240395416938e-08	4.993231639483026e-08	3.6815861598869806e-08	1.0552735371257482e-09
1.3108855709962253e-07	8.93143615871909e-08	8.683637504658877e-08	4.621132077871455e-09	1.875439708122619e-09	6.706521328289836e-11	6.010935120055882e-10	4.769177618884541e-08	4.993293478671713e-08	3.7687091733283197e-08	1.0560417581208212e-09
1.310013036187558e-07	8.843905766754554e-08	8.5967600310063e-08	4.541310860072015e-09	1.8884449381811682e-09	6.64523752915486e-11	5.947360179544897e-10	4.690947040612655e-08	4.993354762470848e-08	3.8549218733801503e-08	1.056826285180681e-09
1.309144436826419e-07	8.757244858175672e-08	8.510748431837509e-08	4.4622663385199096e-09	1.901758080381981e-09	6.584505046336913e-11	5.884369446704323e-10	4.6135413004907496e-08	4.993415494953665e-08	3.940232065657266e-08	1.0576276308257095e-09
1.3082796230304002e-07	8.67144481866486e-08	8.425594012694098e-08	4.383994122958446e-09	1.915387922713532e-09	6.524319811226876e-11	5.821975775123059e-10	4.5369531504208275e-08	4.993475680188775e-08	4.0246474372833345e-08	1.058446319692698e-09
1.3074184461527093e-07	8.586497120133365e-08	8.341288204785248e-08	4.306489893942077e-09	1.9293435667516045e-09	6.46467776457048e-11	5.76018821523126e-10	4.4611754542185045e-08	4.9935353222354315e-08	4.1081755563872945e-08	1.0592828903965214e-09
1.3065607579100742e-07	8.502393319854753e-08	8.257822556385576e-08	4.2297494082043686e-09	1.943634439480092e-09	6.40557486198572e-11	5.699012805141608e-10	4.386201187564554e-08	4.993594425138017e-08	4.190823871615016e-08	1.0601378972027975e-09
1.305706409702555e-07	8.419125059618501e-08	8.175188726245815e-08	4.153768503294536e-09	1.958270305410631e-09	6.347007078448136e-11	5.638453160698099e-10	4.312023438064397e-08	4.993652992921555e-08	4.2725997116061563e-08	1.0610119115587367e-09
1.3048552521169065e-07	8.336684064929396e-08	8.093378478878317e-08	4.0785431017015176e-09	1.9732612785515494e-09	6.288970409272724e-11	5.578510880313661e-10	4.2386354053664454e-08	4.9937110295907295e-08	4.35351028446341e-08	1.0619055234281001e-09
1.304007134452083e-07	8.255062144195098e-08	8.012383680140088e-08	4.004069214857235e-09	1.9886178351775664e-09	6.23146087294653e-11	5.51918591875404e-10	4.1660304013596515e-08	4.993768539127056e-08	4.433562677154632e-08	1.0628193425960973e-09
1.3031619043029953e-07	8.174251187922844e-08	7.932196293478034e-08	3.930342946935363e-09	2.0043508271798098e-09	6.17447451326084e-11	5.460476895183002e-10	4.094201850454299e-08	4.9938255254867415e-08	4.512763854852172e-08	1.0637539999378674e-09
1.3023194071744974e-07	8.094243167921354e-08	7.852808376538008e-08	3.857360498401721e-09	2.020471495703026e-09	6.118007400681825e-11	5.402381365445547e-10	4.023143289922584e-08	4.9938819925993206e-08	4.5911206602372516e-08	1.0647101487045272e-09
1.301479486140803e-07	8.015030136508309e-08	7.774212078381456e-08	3.785118169233082e-09	2.036991485858452e-09	6.062055633499744e-11	5.344896034488656e-10	3.952848370388871e-08	4.993937944366503e-08	4.668639812687829e-08	1.065688465845593e-09
1.3006419815213895e-07	7.936604225730502e-08	7.696399636828147e-08	3.7136123621690414e-09	2.053922861011549e-09	6.006615339310925e-11	5.288016957175111e-10	3.8833108562841405e-08	4.9939933846606914e-08	4.745327907498963e-08	1.0666896533011313e-09
1.299806730652925e-07	7.858957646611565e-08	7.619363376924662e-08	3.642839585790228e-09	2.0712781184557413e-09	5.951682675636555e-11	5.231739628336046e-10	3.814524626474564e-08	4.994048317324366e-08	4.8211914149464205e-08	1.0677144392084741e-09
1.2989735675480833e-07	7.782082688365873e-08	7.54309570815911e-08	3.572796457769404e-09	2.0890702040751758e-09	5.897253831111061e-11	5.176059196322249e-10	3.7464836747529015e-08	4.9941027461688916e-08	4.896236679470166e-08	1.068763579253772e-09
1.2981423227908907e-07	7.705971717690435e-08	7.467589124480567e-08	3.50347970745903e-09	2.1073125301026317e-09	5.843325025143187e-11	5.120970403086402e-10	3.679182110775783e-08	4.994156674974859e-08	4.97046991847832e-08	1.0698378579588155e-09
1.2973128232283814e-07	7.63061717800385e-08	7.392836202021336e-08	3.4348861791209455e-09	2.1260189912506226e-09	5.7898925096001743e-11	5.066467749765527e-10	3.61261416073195e-08	4.9942101074904024e-08	5.043897221355962e-08	1.070938090055694e-09
1.2964848917730742e-07	7.55601158871208e-08	7.318829598044075e-08	3.3670128347780057e-09	2.145203981460421e-09	5.7369525685180845e-11	5.012545541876204e-10	3.546774168131068e-08	4.994263047431485e-08	5.116524548391139e-08	1.0720651218226383e-09
1.2956583471954874e-07	7.482147544503103e-08	7.245562050075351e-08	3.2998567570567717e-09	2.1648824128090134e-09	5.6845015169032743e-11	4.959197920727104e-10	3.481656594857836e-08	4.9943154984831e-08	5.188357729436494e-08	1.0732198326264176e-09
