preMPF	slp1	ste9	slp1T	Total cdc13	IEP	rum1T	SK	Cell Mass	M-phase promoting factor	Values[sigma]	Values[Trimer]	Values[TF]	Values[kwee]	Values[k25]
0.0	2.2	1.0	0.0	0.2	0.0	0.0	0.0	1.0	0.20000000000000004	0.201	0.0	0.8803808142671367	1.2562727804297182	0.23821716249816743
0.04798186789736341	1.7543314384229045	0.9998752225575853	0.008958636294544119	0.07608094581943213	0.0005583050893508318	0.09257392880291807	0.09206845231162203	1.0050125208594016	0.0013317791216986307	0.16965487462235018	0.0724750262414866	0.9807264100718116	1.2999390231305414	0.050262465655486525
0.026905681175541287	1.349770274070013	0.9997501954052903	0.012864238436303597	0.041046172159098386	1.4714769975216324e-05	0.17240313203992205	0.17665967680306743	1.0100501670841686	0.00010658686676238451	0.21444930419902045	0.040736778172134634	0.981138874736641	1.2999951434987869	0.05002090407042935
0.018202568063449193	0.9836275609733399	0.9995127931457094	0.016398173389907438	0.031191974595725525	2.0066778457615383e-06	0.22649913361295973	0.2532293167286834	1.01511306461572	6.611531529626411e-05	0.25869110820868524	0.031033209279543828	0.9814119939816103	1.299996988018836	0.05001296461458161
0.015722890329929285	0.6524146820806799	0.9990702514441888	0.019595809968810926	0.028763402490145164	1.4662260120705498e-06	0.25397616797433953	0.3225378585516926	1.0202013400267576	5.761474343146575e-05	0.28373957046448467	0.02863632189435833	0.9816753352512315	1.299997375363359	0.05001129734902679
0.015364585778651522	0.3529161772482492	0.9979741178550929	0.02248915119470962	0.028609720809750886	1.4080959856454512e-06	0.2597424329637867	0.38527553968472295	1.0253151205244302	5.702819764990457e-05	0.28935215377353757	0.02848653891623178	0.9819317889199168	1.2999974020894467	0.050011182310604106
0.015719578039539182	0.08272706792795549	0.9912191715996659	0.02510715459904415	0.029207874192606842	1.4710628550903213e-06	0.2510362289800373	0.4420670405983001	1.0304545339535187	6.049665918723298e-05	0.28124410317264414	0.02907687330186707	0.9821819971360568	1.2999972440463776	0.05001186258299144
0.016422123920336817	0.028476028588051	0.9692772513144629	0.027476022039845643	0.03019248789334066	1.6154400690597146e-06	0.23472829968782358	0.4934776366822414	1.035619708799631	6.694958028861547e-05	0.2659207875811642	0.0300456962474342	0.9824262849353882	1.2999969500025845	0.05001312824977447
0.016953252527386574	0.030619469229351187	0.9574812838337795	0.02961946193967404	0.030886734088432823	1.8011733257643076e-06	0.21594591949163144	0.5400188439027286	1.040810774192403	7.482066524638451e-05	0.24783265358006426	0.030720877049640345	0.9826650048206951	1.2999965913161706	0.050014672160799224
0.01742451093449824	0.03255893473760076	0.9405673926991295	0.031558926563341284	0.0315269798623356	2.0243851524216568e-06	0.19781928143316352	0.5821535245144887	1.046027859908732	8.42036249300044e-05	0.23034626129549912	0.03133873722190945	0.9828983332693372	1.2999961637042206	0.05001651275140534
0.01798139278504856	0.034313835926748186	0.9157811630857433	0.03331382672574018	0.03229551160460127	2.2820127780315083e-06	0.1818545769918674	0.6203005112878309	1.051271096376039	9.493804395227305e-05	0.21515008859646867	0.03208131241156463	0.9831264624328127	1.2999956744628836	0.0500186186162993
