A	R	G	E	Values[mA]	Values[mG]	Values[R0]
1.0	0.0	100000000.0	0.0	0.5	5.0025	0.79960019990005
2.532843022001027	484.16854484680886	1381141.4837929904	2210.413358760886	0.5	5.0025	0.79960019990005
1.7646436044684826	836.6013372212282	1350952.3348173867	3577.604290141466	0.5	5.0025	0.79960019990005
1.3567147049373938	1006.8624515910427	1622598.1325033077	4140.056821846001	0.5	5.0025	0.79960019990005
1.140310466051195	1076.58605553176	1717157.5031748868	4315.455431808254	0.5	5.0025	0.79960019990005
1.0172182329099217	1093.4834243346988	1725817.1412962703	4308.446799432435	0.5	5.0025	0.79960019990005
0.9399622724144724	1082.8790071333808	1694680.9977163414	4217.548682460658	0.5	5.0025	0.79960019990005
0.8855942754386871	1057.9672162003455	1645923.8296289416	4090.0855395254493	0.5	5.0025	0.79960019990005
0.8429984569552286	1025.6791659425492	1590163.5414277588	3948.688961209229	0.5	5.0025	0.79960019990005
0.8067729511977487	989.7437949321246	1532445.043391878	3804.0849331377563	0.5	5.0025	0.79960019990005
0.7742766099579819	952.235522004083	1475128.4082365138	3661.2656131857543	0.5	5.0025	0.79960019990005
0.7442029283323826	914.352090178819	1419282.6801094227	3522.4676104985206	0.5	5.0025	0.79960019990005
0.7158913759723929	876.8091657226191	1365358.2563044599	3388.608558412857	0.5	5.0025	0.79960019990005
0.6889948486323748	840.0448802906842	1313511.0464136947	3259.9795619815127	0.5	5.0025	0.79960019990005
0.6633190760644919	804.3294301312868	1263758.589029963	3136.5785930450816	0.5	5.0025	0.79960019990005
0.6387450381699676	769.8264344762674	1216055.114637092	3018.2707000827077	0.5	5.0025	0.79960019990005
0.6151914422869488	736.6291086004047	1170327.5208528456	2904.8647193667703	0.5	5.0025	0.79960019990005
0.5925965317790198	704.7827793570181	1126492.5131235523	2796.1497514743364	0.5	5.0025	0.79960019990005
0.5709092246904753	674.29962900779	1084464.6724734649	2691.912266421488	0.5	5.0025	0.79960019990005
0.5500847562919804	645.168768430103	1044160.1650531418	2591.9439002357867	0.5	5.0025	0.79960019990005
0.5300825004732816	617.3633411184662	1005498.3565335101	2496.044789517358	0.5	5.0025	0.79960019990005
0.510864846759893	590.8456417703295	968402.4310809483	2404.0247830273647	0.5	5.0025	0.79960019990005
0.4923965920331959	565.5708508079929	932799.5395598231	2315.7036555700156	0.5	5.0025	0.79960019990005
0.47464458558192807	541.489773996068	898620.7303726469	2230.910866157535	0.5	5.0025	0.79960019990005
0.4575775009357409	518.5508512790218	865800.7870923785	2149.4851198850897	0.5	5.0025	0.79960019990005
