PS	PE	PC	Etn	PCho	Ser	PEtn	Cho
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5.785370016189778e-10	7.926282507006892e-12	2.8587128967360597e-12	3.713841577596731e-08	6.911304940411603e-10	6.978203649962272e-07	9.805211186612399e-10	7.560231529954379e-08
2.221314607986058e-09	1.044519846101095e-10	2.1804871118292304e-11	1.372230790345667e-07	2.755514629109724e-09	1.3260588311612994e-06	7.392816944851025e-09	1.4984234879037408e-07
4.8067481035659495e-09	4.804985461547288e-10	7.021086908221965e-11	2.860758215536514e-07	6.21022342452691e-09	1.8945834486381761e-06	2.3394791170190583e-08	2.2275107413161443e-07
8.233135170053384e-09	1.415716384183536e-09	1.5979335683727552e-10	4.725522486881335e-07	1.1105149865827338e-08	2.4112679244430243e-06	5.196840432801917e-08	2.943585185876332e-07
1.241480344970612e-08	3.2504208040291367e-09	3.015515331516122e-10	6.877623281145751e-07	1.7512665085379156e-08	2.8825396485177e-06	9.519179106979944e-08	3.646938021986055e-07
1.727928183799624e-08	6.362396478093767e-09	5.065143704574432e-10	9.245204595384247e-07	2.5519020864850872e-08	3.3137498732291073e-06	1.544523865870717e-07	4.337851807738938e-07
2.276578534199164e-08	1.1153835704262077e-08	7.858105632304142e-10	1.1770166396382747e-06	3.521951085992751e-08	3.7093942570149622e-06	2.3057419158577401e-07	5.01660076583224e-07
2.882383948834939e-08	1.8038881466482497e-08	1.1507768099435587e-09	1.4405493463382284e-06	4.6713858935267163e-08	4.0732815991429795e-06	3.2393415445705045e-07	5.683451058061134e-07
3.541205636112051e-08	2.7433488628561665e-08	1.6130250719308525e-09	1.7113071376099355e-06	6.010247128668725e-08	4.408668950744253e-06	4.3456021630384293e-07	6.338661106784773e-07
4.249725244544791e-08	3.9748334679379756e-08	2.184359311822911e-09	1.9862168139269433e-06	7.548383280456771e-08	4.71835232238729e-06	5.622028609037352e-07	6.982481873425637e-07
5.0053027983658664e-08	5.537739348493205e-08	2.876702602641508e-09	2.262693472482973e-06	9.295030470344155e-08	5.004818984124554e-06	7.064495153258067e-07	7.615157277461783e-07
5.806010806036728e-08	7.470327291374523e-08	3.7017203081462443e-09	2.538719735070063e-06	1.1259015434979642e-07	5.270196554553111e-06	8.66688937943664e-07	8.236924277179716e-07
6.650508702707294e-08	9.808814110166077e-08	4.670835188554031e-09	2.812649602124169e-06	1.3448424275669718e-07	5.516370268031989e-06	1.0422034446356003e-06	8.848013229182745e-07
7.537989358155554e-08	1.2587192740698287e-07	5.795141831516027e-09	3.0831582258787666e-06	1.5870542651080253e-07	5.7450088640146046e-06	1.2321961659450247e-06	9.448648114480862e-07
8.468122039533955e-08	1.5837039468529286e-07	7.085405318974374e-09	3.3491862140579796e-06	1.8531791968776327e-07	5.957596615912731e-06	1.435817772064029e-06	1.003904677042605e-06
9.441008579703957e-08	1.958744641904875e-07	8.551851643809653e-09	3.609891317670447e-06	2.1437712337418581e-07	6.155461615211989e-06	1.6521878935558722e-06	1.061942111658603e-06
1.0457153755866359e-07	2.3865135465235304e-07	1.0203904761228342e-08	3.86462338144789e-06	2.459301433718534e-07	6.339791922425167e-06	1.8804028565870902e-06	1.118997736071856e-06
1.1517406362049236e-07	2.869431747471574e-07	1.205037209874048e-08	4.112887823304918e-06	2.8001535493729894e-07	6.511654436727661e-06	2.119555562611869e-06	1.1750916195877057e-06
1.262291992195812e-07	3.40966740511327e-07	1.4099191244612055e-08	4.354301634140067e-06	3.166624185539987e-07	6.672021495020665e-06	2.3687536035412537e-06	1.230243302656799e-06
1.3775114957359826e-07	4.009154706673289e-07	1.635765287406388e-08	4.58860034422605e-06	3.5589308320801637e-07	6.821767171148405e-06	2.62711353224975e-06	1.2844718108790376e-06
1.497563542706041e-07	4.669593752852393e-07	1.8832359818549355e-08	4.81560774322924e-06	3.9772127147747665e-07	6.961684822064345e-06	2.8937739600206787e-06	1.337795674979937e-06
1.622632363916606e-07	5.39245782423132e-07	2.1529069833381823e-08	5.035215551813748e-06	4.421534285280039e-07	7.092499801265882e-06	3.167902461912974e-06	1.3902329481487889e-06
1.7529198988740105e-07	6.179011911246839e-07	2.445269711519007e-08	5.247385661166885e-06	4.891892953287228e-07	7.2148692330416256e-06	3.4486911774707832e-06	1.4418012197037819e-06
1.888640994345495e-07	7.030310607034831e-07	2.7607357624269673e-08	5.452119655946669e-06	5.388219120469696e-07	7.3293994791829566e-06	3.735370440096289e-06	1.492517634708579e-06
2.030022156213833e-07	7.947216463131573e-07	3.0996480978070184e-08	5.649469686310584e-06	5.910383473434108e-07	7.43664107228664e-06	4.027200484795014e-06	1.5423989035496054e-06
2.1772975034011038e-07	8.930405193115177e-07	3.462273322806499e-08	5.839513094176533e-06	6.458199889005644e-07	7.537103828013546e-06	4.323481345664741e-06	1.5914613216675065e-06
2.3307070432247033e-07	9.98038374508047e-07	3.848822221104414e-08	6.022361745261348e-06	7.031432270182436e-07	7.631253182807387e-06	4.623544749084252e-06	1.6397207780291446e-06
