CaI	CaM	g	PMCA	SERCA	STIM	IP3	CaS
0.05000000000000001	0.0	0.002	0.013	0.266	0.020000000000000004	0.0	2.0
0.05479543482187413	0.0006511982680018971	0.0019991038237091247	0.013000001372740948	0.2660000008153601	0.019999999110440012	0.022588668123256463	1.9945170598209117
0.06947414409106299	0.0015281968469151878	0.0020352942855393023	0.01300001390981172	0.2660000067446936	0.019999993575456496	0.030557198908073162	1.9786162335696216
0.10916689775218644	0.003426477076463297	0.0022846636909923685	0.013000056265644412	0.26600002545359996	0.019999982726989805	0.04353159999355231	1.9358108803789857
0.5029472634653307	0.0195829651533976	0.036698930372702186	0.013000140357930474	0.2660001508416603	0.019999967410877464	0.12782049242855778	1.5203036337962479
1.161384298619832	0.06925008911796156	0.905231911344538	0.013000231347718069	0.26600490545412037	0.019999957458256657	0.48054309468379186	0.8112104098073321
0.9641171475801548	0.09461259200422899	0.9882210626430735	0.01300032234392062	0.26601091243195574	0.019999949194858514	0.515491960840098	0.9855859785815426
0.7249202419228498	0.11493583133689944	0.9882990479241978	0.013000413333934728	0.26601336778216933	0.01999993708340772	0.41822737187424347	1.1996208481386061
0.5166497933666273	0.12774876634156393	0.9800735876591442	0.013000504298934113	0.26601447732250794	0.01999992288935778	0.3092859653982116	1.3863644650279112
0.36124564785591423	0.1322892422349044	0.9670283303124684	0.013000595156585098	0.2660150678470632	0.019999907728331087	0.2192662871979208	1.5281808230825447
0.25411775968833844	0.1325881329036212	0.9515115003998225	0.013000685572510528	0.2660154335470113	0.019999892285406523	0.1541009900828057	1.627178748483553
0.17971631122685278	0.13112158972814783	0.9351473299830583	0.013000774269629324	0.2660156871484408	0.019999877111823654	0.10872162777133423	1.6971500101620844
0.1284155882481626	0.128535073581391	0.9186660115689343	0.013000856846921559	0.26601587656367304	0.019999862890144177	0.07715304976057204	1.7472231895368573
0.0959785934249589	0.125210273461359	0.9023463741644596	0.013000923633541295	0.2660160274131051	0.01999985054733363	0.056191165688490745	1.7808330331405045
0.07755161800858408	0.12151742655182796	0.8862781926396655	0.013000967939004631	0.26601615567420406	0.019999840874668814	0.043497305214920436	1.8018065077036658
