FC	M	FN	Values[Ft]
0.10000000000000002	0.10000000000000002	0.10000000000000002	0.2
0.09291335142682822	1.4136165948276151	0.07696439458011546	0.16987774600694366
0.2821430422728137	2.610816393227208	0.1115983345636506	0.3937413768364643
0.6725910950439187	3.773137303266554	0.2402354782519587	0.9128265732958772
1.3374716796876487	4.885959051531683	0.5132056126612188	1.8506772923488672
2.244370865000569	5.6576822226537145	0.96701052340153	3.2113813884020983
3.1677006568669537	5.680681767946033	1.569071598208341	4.736772255075294
3.932791412852954	5.342832711992663	2.2157202041681403	6.148511617021093
4.534289813592579	4.92286814819484	2.823735710432778	7.358025524025357
4.993561701400853	4.484059464019812	3.353655298931478	8.34721700033233
5.322994488052275	4.041912510944286	3.790067398580931	9.113061886633204
5.528803191548582	3.6018628630188703	4.127748151024521	9.656551342573103
5.614750470638521	3.1668232749681895	4.365579298316659	9.98032976895518
5.583982869237422	2.7391556063316624	4.5041977364958	10.088180605733221
5.439890063469493	2.321421220025088	4.545167414242112	9.985057477711603
5.186623041715445	1.9168707887585221	4.4907639999182	9.677387041633644
4.829586518530191	1.5299762075181447	4.344039301964438	9.173625820494628
4.376090722678837	1.1671615963413284	4.109069712600832	8.485160435279669
3.8363181949800196	0.8378014038242382	3.791398024989994	7.627716219970013
3.224723182597384	0.555193410061214	3.398727090027682	6.623450272625065
2.5617279122951486	0.3360054766775139	2.9419006235186163	5.503628535813764
1.875011914066128	0.19549063628105184	2.4360220181437233	4.311033932209852
1.2012733763445822	0.1444175251314406	1.901517445165734	3.1027908215103155
0.6034459117303834	0.22690638054459208	1.367636942208229	1.9710828539386123
0.2408068377431849	0.6499996543132582	0.8913413757129656	1.1321482134561502
0.23225681145635352	1.567768060141854	0.5693850190959653	0.8016418305523187
0.43620390202240794	2.672467355985748	0.43610996931894863	0.8723138713413565
0.8517844908526097	3.7755101343064026	0.48187741121515676	1.3336619020677665
1.5067852686506782	4.7507579613046	0.7130326621985427	2.2198179308492207
2.3158123116882208	5.251664685307935	1.1234043801292277	3.4392166918174487
3.0752434951742016	5.157359811023047	1.6483884225181178	4.723631917692319
3.6819030596120665	4.813846558588828	2.1912473066767233	5.873150366288789
4.13808159221383	4.403303410163516	2.685634691379227	6.823716283593056
4.45938778256367	3.974852420385108	3.1002102647364778	7.559598047300147
4.655402674064355	3.543185604771596	3.422432023700829	8.077834697765184
4.731597775631346	3.114329654182776	3.6480706250298467	8.379668400661192
4.69192911308525	2.691952763457368	3.776489193252117	8.468418306337366
4.540259913158846	2.279319282411566	3.808775264840211	8.349035177999056
4.2811698152136275	1.8801969524467175	3.7471053830954517	8.028275198309078
3.920622459986042	1.4995918257235497	3.5946601420421973	7.515282602028238
3.4667944597741047	1.1446504500308816	3.3558537148609813	6.822648174635086
2.9313362111735812	0.82590998170734	3.036851690050905	5.968187901224486
2.331407731640012	0.5588364026060539	2.6464766897942282	4.97788442143424
1.6930913454650056	0.36528319809249254	2.19772641366585	3.8908177591308553
1.058716070192187	0.2787705392995555	1.7105306747418858	2.7692467449340725
0.5131976755856086	0.38862163896905694	1.2190425624925003	1.7322402380781088
0.23931526279833712	0.9315411595209709	0.7937045134949409	1.033019776293278
0.29119956054074275	1.9154349720226191	0.5288433410323797	0.8200429015731223
0.5526766867404369	3.019190725216888	0.4473383384519408	1.0000150251923776
1.040755958877983	4.093508975604157	0.5466109476843384	1.5873669065623213
1.755164683730424	4.953721527247755	0.8331019013547195	2.588266585085143
2.559548749000924	5.2351157283770835	1.2841460867060681	3.8436948357069918
3.2637955279221615	5.027490652421868	1.8174283641236406	5.081223892045801
3.8118008968025863	4.654203252487753	2.342608310096301	6.154409206898887
4.215300449248996	4.236452642111349	2.8064930553935725	7.021793504642568
4.487949929612588	3.8070059501291618	3.185424911209404	7.673374840821992
4.637608232424978	3.3766680228426194	3.470300635209872	8.10790886763485
4.669058045767329	2.950463295095683	3.6583565324307554	8.327414578198084
4.586159432322308	2.531881654897209	3.7496356083378	8.335795040660107
4.393006902214336	2.1243563661003666	3.74563481214025	8.138641714354584
4.094663681972923	1.7320852383842533	3.6488946387840056	7.743558320756929
3.6978758962682776	1.3608207292058783	3.4630359616648176	7.160911857933094
3.212053460481703	1.018914280346455	3.1930953516940876	6.40514881217579
2.6508227348768	0.7187556008110831	2.846185134783533	5.497007869660333
2.034601877328084	0.47846859185808976	2.432632281023578	4.467234158351661
1.3953199203525954	0.3242999766228219	1.967950973040012	3.363270893392607
0.7892750207434905	0.306333244163188	1.4769906192861877	2.266265640029678
0.3434117773695884	0.5808937487262695	1.0068891498583583	1.3503009272279465
0.23618290895109528	1.3626936146647275	0.6487512208057659	0.884934129756861
0.38987861226497017	2.4311695932997495	0.4703984769431729	0.8602770892081429
0.7526782693136731	3.532571225977445	0.4726431661399978	1.2253214354536708
1.3529157919666224	4.543458183489147	0.6591073028832443	2.0120230948498667
2.134915224101941	5.166089169015698	1.0289309250115573	3.163846149113498
2.9074647553367	5.169617383623841	1.530464125939105	4.437928881275804
3.5373033422441162	4.85783630811096	2.068252000961234	5.605555343205349
4.014311842593735	4.456802114236099	2.5681634872987043	6.582475329892439
4.354072844752649	4.0316035754289965	2.9930723714221665	7.347145216174814
4.567282479232566	3.6010192731242965	3.327616942344428	7.8948994215769925
4.660001185132525	3.1722510104253656	3.5663339675990273	8.22633515273155
4.636388397789549	2.7493373637676046	3.7080436948835795	8.344432092673129
4.500315068816119	2.3356299871861506	3.7535676365122845	8.253882705328403
4.256259332644786	1.9348416459447024	3.704915258074957	7.961174590719742
3.9099937040694535	1.5518089318869566	3.565118878303389	7.475112582372842
3.469394516083726	1.1933790353644749	3.33841796447164	6.807812480555365
2.9456557116785085	0.8696409749871481	3.030738849614302	5.9763945612928095
2.3552651516314924	0.5955370528928481	2.6505583612424126	5.005823512873905
1.723383028322422	0.3926674511361581	2.210380445792194	3.933763474114616
1.0910331019329853	0.2946655469167304	1.7294510892321708	2.8204841911651557
0.5397819546901523	0.3874056508484943	1.2407413412083237	1.780523295898476
0.24776003050027748	0.9018727851678207	0.8120992865776823	1.0598593170779596
0.28650716287925165	1.870022088621048	0.5390853365438844	0.8255924994231358
0.538563846607473	2.9711891762136537	0.4492805839038112	0.9878444305112841
1.0158788076541265	4.047910801716422	0.5401690912699543	1.556047898924081
1.7213429807026621	4.923032401972982	0.818199574340726	2.539542555043388
2.5249971973986174	5.231297427195076	1.262809757187936	3.7878069545865527
3.2342375831483703	5.036613383280499	1.7936995995443705	5.027937182692741
3.787572183576488	4.667027997909383	2.3195926843695105	6.107164867945999
4.195782688250638	4.250391943183056	2.7857423351753114	6.981525023425949
4.472739605390473	3.82128607274877	3.1675973035493667	7.6403369089398385
4.626489615555077	3.390987177622568	3.4556483723015146	8.082137987856592
4.661894439839805	2.9646582710847507	3.646955889200932	8.308850329040737
