Ca_c	IP3	Ca_s	s9	TimeT	Ca_B	s10	s8	s11	s5	s7	s13
117.2	0.0	2830000.0	0.0	0.0	3869.9999999999995	0.0	0.0	0.0	0.0	0.0	0.0
106.2306808634786	0.14386238726582504	2830017.0585093056	523.8469780594618	1.0000000000000002	4102.920100864224	2237.1437309039684	0.05120088066149417	-3000.000000000002	0.0	-0.19506326792731915	-1.0000000000000002
109.24885204023735	0.4455508003159746	2830054.166298592	1065.1079328169474	2.0000000000000036	4215.889693819028	4542.78722272873	0.33858804893067757	-6000.000000000013	0.0	-0.784138849246652	-2.0000000000000036
110.84742649484289	0.8015740592064372	2830101.497855175	1615.2719407080972	3.000000000000002	4275.629641454413	6883.953136165473	0.9597672038621267	-9000.000000000011	0.0	-1.7613412630685639	-3.000000000000002
111.71189711453452	1.1739012760108132	2830153.5456650294	2170.1168479864955	4.000000000000006	4307.902891535887	9243.922698330014	1.946932850474652	-12000.000000000015	0.0	-3.120834126485466	-4.000000000000006
112.20729241060211	1.5485970739950954	2830206.8499170905	2727.527890023488	5.0000000000000036	4326.3786588534185	11614.23624161935	3.3082717460846824	-15000.000000000011	0.0	-4.85686882007978	-5.0000000000000036
112.53222219456696	1.9205894911479098	2830258.9117069268	3286.484574401996	6.000000000000002	4338.479498171467	13990.79199830214	5.043193677049571	-17999.999999999996	0.0	-6.963783168197485	-6.000000000000002
112.79722576913139	2.2880664116756146	2830307.655616952	3846.556862707653	7.000000000000004	4348.331687889551	16371.858606678572	7.147933727390896	-21000.000000000004	0.0	-9.436000139066516	-7.000000000000004
113.06563962874736	2.6504141407097186	2830351.16026717	4407.644037442339	8.000000000000005	4358.297390632045	18757.032665125313	9.617612423752192	-24000.000000000007	0.0	-12.268026564461909	-8.000000000000005
113.37519592279195	3.007459062868962	2830387.525826145	4969.835697220334	9.000000000000005	4369.782405827073	21146.680874882713	12.446992815754887	-26999.999999999996	0.0	-15.454451878623845	-9.000000000000005
113.74952267236876	3.3591886740161696	2830414.8129698136	5533.336037374281	10.000000000000005	4383.6656569560955	23541.635813181845	15.630758202122621	-29999.999999999985	0.0	-18.989946876138784	-10.000000000000005
114.20430397136303	3.705648967717768	2830431.019124623	6098.421473243	11.000000000000005	4400.529039300498	25943.026058860407	19.163613520781208	-32999.99999999995	0.0	-22.869262488498972	-11.000000000000005
114.7506042823509	4.046906696510587	2830434.0738748247	6665.41603526193	12.000000000000002	4420.781363798424	28352.17812183216	23.040321882548508	-35999.99999999992	0.0	-27.087228579059076	-12.000000000000002
115.39668274107812	4.383035500378331	2830421.843899195	7234.676353093027	12.999999999999998	4444.7259427443705	30770.557122225226	27.255717255735295	-38999.9999999999	0.0	-31.63875275611362	-12.999999999999998
116.14900089027057	4.71411081499194	2830392.142336714	7806.581906860132	13.999999999999996	4472.598089276498	33199.72866625779	31.804708388829916	-41999.999999999905	0.0	-36.51881920382185	-13.999999999999996
117.01279749608189	5.040208009682972	2830342.7399057965	8381.528259656732	15.0	4504.5864751826175	35641.332561867384	36.68227952102998	-44999.99999999991	0.0	-41.72248753071293	-15.0
117.99242895232793	5.361401713315272	2830271.376393634	8959.922063209742	16.0	4540.845755086798	38097.06335911734	41.88348992329156	-47999.99999999991	0.0	-47.24489163660681	-16.0
119.0915808783214	5.677765577131998	2830175.7718187417	9542.177200480579	17.000000000000014	4581.504396773931	40568.65500312465	47.40347301371161	-50999.999999999935	0.0	-53.0812385908436	-17.000000000000014
120.31340700812439	5.989372197945828	2830053.636924379	10128.711734764101	18.000000000000014	4626.6698104095	43057.86812343831	53.237435342084005	-53999.99999999993	0.0	-59.226807540029824	-18.000000000000014
121.66062578963358	6.296293100516565	2829902.6828624364	10719.945491398608	19.000000000000018	4676.431910167728	45566.47911020713	59.38065551592432	-56999.99999999993	0.0	-65.67694861644088	-19.000000000000018
123.13559052411802	6.5985987412337055	2829720.6300134123	11316.298190560708	20.000000000000014	4730.865698396762	48096.27050710564	65.82848313425751	-59999.99999999991	0.0	-72.42708187549121	-20.000000000000014
124.74034220836612	6.896358519672386	2829505.215936622	11918.188089497327	21.000000000000004	4790.03321340512	50649.022418266664	72.57633772256419	-62999.999999999905	0.0	-79.47269624223658	-21.000000000000004
126.47664985506046	7.18964079280142	2829254.202483131	12526.03111754062	22.00000000000001	4853.985018514888	53226.50473095805	79.61970768325861	-65999.99999999993	0.0	-86.80934847606005	-22.00000000000001
128.34604115484692	7.4785128900403155	2828965.38210396	13140.240497798566	23.000000000000018	4922.761339172512	55830.470017913765	86.95414926081118	-68999.99999999993	0.0	-94.43266215085153	-23.000000000000018
130.34982518117513	7.763041128488002	2828636.583394853	13761.226855397123	24.000000000000025	4996.392911720668	58462.647012847934	94.57528552154497	-71999.99999999994	0.0	-102.338326650033	-24.000000000000025
132.48910820967865	8.04329082806081	2828265.675917634	14389.398813038133	25.00000000000003	5074.901584222239	61124.73457689657	102.47880534912353	-74999.99999999996	0.0	-110.52209617718438	-25.00000000000003
134.76480346948568	8.319326326457306	2827850.5743488106	15025.164067380969	26.000000000000036	5158.30070069113	63818.396079648264	110.66046245474128	-77999.99999999997	0.0	-118.97978878119864	-26.000000000000036
137.17763534920934	8.591210993916647	2827389.2419911423	15668.93094418031	27.000000000000043	5246.595289290157	66545.25414003886	119.11607440236196	-80999.99999999999	0.0	-127.70728539627864	-27.000000000000043
139.72813860108525	8.859007247762703	2826879.6936956127	16321.110417036252	28.00000000000005	5339.782076061319	69306.88567268937	127.8415216485138	-83999.99999999999	0.0	-136.70052889627655	-28.00000000000005
142.41665297207732	9.122776566731563	2826319.99823197	16982.11857391635	29.000000000000057	5437.849341767166	72104.81719937512	136.8327465965808	-87000.0	0.0	-145.95552316331236	-29.000000000000057
145.2433137437862	9.382579505084994	2825708.2801521006	17652.3795028466	30.000000000000053	5540.776641418698	74940.52038989033	146.0857526652738	-90000.0	0.0	-155.46833217035885	-30.000000000000053
148.20803864720503	9.638475706511556	2825042.72118499	18332.328563187806	31.000000000000053	5648.534405611756	77815.40780756332	155.5966033711451	-92999.99999999999	0.0	-165.2350790776567	-31.000000000000053
151.3105116978339	9.890523917819996	2824321.5612078025	19022.41599409542	32.00000000000005	5761.083445825225	80730.82884057946	165.36142142482572	-95999.99999999999	0.0	-175.25194534264574	-32.00000000000005
154.55016451645267	10.138782002424573	2823543.0988287637	19723.110807881945	33.00000000000006	5878.374385855917	83688.06581298256	175.3763878409593	-99000.0	0.0	-185.5151698433839	-33.00000000000006
157.92615582504604	10.383306953629983	2822705.691629652	20434.90489400131	34.00000000000006	6000.347047798785	86688.33027272134	185.63774106142975	-101999.99999999997	0.0	-196.02104801505968	-34.00000000000006
161.43734995542204	10.624154907714221	2821807.7561046244	21158.317255314756	35.00000000000005	6126.929820521111	89732.75946958258	196.14177609187206	-104999.99999999997	0.0	-206.76593099958626	-35.00000000000005
165.0822950874822	10.861381156816933	2820847.767344839	21893.898277787306	36.00000000000004	6258.039044525972	92822.41303775816	206.88484365109494	-107999.99999999997	0.0	-217.74622480791186	-36.00000000000004
168.85920238612238	11.09504016163337	2819824.25850518	22642.233929170263	37.00000000000006	6393.578448690904	95958.26991457064	217.86334933322317	-110999.99999999999	0.0	-228.95838949485653	-37.00000000000006
172.7659269904371	11.32518556391639	2818735.820102459	23403.949764546185	38.00000000000006	6533.438677488156	99141.22552851474	229.07375278258328	-114000.0	0.0	-240.39893834649968	-38.00000000000006
176.79995213903123	11.55187019879162	2817581.0991855054	24179.71460598109	39.000000000000064	6677.49695191815	102372.08930445477	240.51256688087346	-117000.00000000003	0.0	-252.06443707966508	-39.000000000000064
180.95837763687976	11.775146106885696	2816358.798423827	24970.243756112883	40.00000000000008	6825.616905378249	105651.58253704343	252.17635694671958	-120000.00000000004	0.0	-263.9515030536052	-40.00000000000008
185.2379139282393	11.995064546274934	2815067.6751593635	25776.301605064575	41.00000000000008	6977.648635900536	108980.33668574177	264.0617399470894	-123000.00000000006	0.0	-276.0568044933643	-41.00000000000008
189.63488304541715	12.211676004252192	2813706.54046203	26598.70348466469	42.000000000000085	7133.429015288305	112358.89215497028	276.1653837206414	-126000.00000000007	0.0	-288.3770597248935	-42.000000000000085
194.1452276345251	12.425030208916278	2812274.2582319146	27438.316623778348	43.00000000000009	7292.7822916221	115787.69762504938	288.4840062128406	-129000.00000000007	0.0	-300.90903642175687	-43.00000000000009
198.76452877080723	12.63517614059044	2810769.744384397	28296.06010484863	44.0000000000001	7455.5210030371145	119267.1099789455	301.01437472237234	-132000.0000000001	0.0	-313.6495508629628	-44.0000000000001
203.4880335919747	12.842162043065246	2809191.9661526238	29172.90369143341	45.0000000000001	7621.447229350238	122797.39489299957	313.7533051590569	-135000.0000000001	0.0	-326.5954672021222	-45.0000000000001
208.31069274463948	13.046035434675167	2807539.9415358715	30069.865469996366	46.00000000000011	7790.354174597979	126378.72812678869	326.69766131280596	-138000.00000000012	0.0	-339.7436967474813	-46.00000000000011
213.22720768071503	13.246843119207712	2805812.73891662	30988.008254871704	47.000000000000114	7962.02807091601	130011.19754991058	339.84435413350997	-141000.00000000015	0.0	-353.0911972527178	-47.000000000000114
218.23208710556702	13.444631196641936	2804009.4768586424	31928.434785240774	48.00000000000013	8136.250365317092	133694.80590369267	353.1903410225917	-144000.00000000012	0.0	-366.6349722192337	-48.00000000000013
223.31971149259954	13.639445073742776	2802129.3240939947	32892.281731795876	49.000000000000135	8312.800150296049	137429.47431242038	366.7326251336459	-147000.00000000015	0.0	-380.3720702073887	-49.000000000000135
228.48440386961929	13.831329474478155	2800171.4996961304	33880.712636762735	50.00000000000014	8491.456762373944	141215.0465008634	380.4682546848197	-150000.00000000017	0.0	-394.29958415929786	-50.00000000000014
233.72050502858406	14.020328450287165	2798135.2734268573	34894.90991999964	51.000000000000156	8672.002475127741	145051.29367298645	394.39432228120285	-153000.00000000015	0.0	-408.4146507314899	-51.000000000000156
239.02245040639596	14.206485390192087	2796019.9662379376	35936.06613153769	52.00000000000017	8854.225198655942	148937.91998146143	408.507964247325	-156000.00000000023	0.0	-422.714449637517	-52.00000000000017
244.38484644348705	14.389843030773546	2793824.950897168	37005.3746746459	53.000000000000156	9037.921091151604	152874.56849058985	422.80635996895137	-159000.00000000017	0.0	-437.19620299972485	-53.000000000000156
249.80254341265385	14.570443465952128	2791549.6527106776	38104.02022438267	54.000000000000156	9222.896996452424	156860.82752507395	437.2867312472245	-162000.00000000012	0.0	-451.8571747131766	-54.000000000000156
255.2707024397198	14.748328156669025	2789193.550291447	39233.16911402333	55.00000000000016	9408.972620926519	160896.2372711626	451.9463416597655	-165000.00000000017	0.0	-466.6946698164343	-55.00000000000016
260.78485492838604	14.923537940425966	2786756.1763522774	40393.95983938316	56.00000000000016	9595.982400131848	164980.2965532788	466.7824959319169	-168000.0000000002	0.0	-481.7060338723427	-56.00000000000016
266.3409519278939	15.096113040614295	2784237.1184620988	41587.49403573311	57.00000000000017	9783.776976191773	169112.46957404824	481.7925393195317	-171000.00000000026	0.0	-496.88865236014584	-57.00000000000017
271.9354031097147	15.266093075787301	2781636.0197393456	42814.82799948282	58.000000000000185	9972.224286448303	173292.1925716132	496.97385699815476	-174000.0000000003	0.0	-512.2399500739418	-58.000000000000185
277.56510434257035	15.433517068735648	2778952.5794425197	44076.96498137103	59.00000000000019	10161.210235302295	177518.88023646438	512.3238734635747	-177000.0000000003	0.0	-527.7573905323101	-59.00000000000019
283.22745416589345	15.598423455456599	2776186.553428927	45374.8483296889	60.0000000000002	10350.63897321493	181791.93181400333	527.8400519400216	-180000.00000000032	0.0	-543.4384753954779	-60.0000000000002
288.92035945198177	15.760850093970848	2773337.754455765	46709.355588159575	61.0000000000002	10540.432800389757	186110.73679623366	543.5198937980988	-183000.00000000035	0.0	-559.2807438920694	-61.0000000000002
294.642231371907	15.920834273019786	2770406.0523067047	48081.293565550935	62.00000000000023	10730.531743749169	190474.6801526229	559.3609379807899	-186000.00000000035	0.0	-575.2817722538094	-62.00000000000023
300.3919729801429	16.07841272061657	2767391.373732735	49491.39439463119	63.00000000000023	10920.892855586644	194883.1470440662	575.3607604392099	-189000.00000000038	0.0	-591.4391731598263	-63.00000000000023
306.16895964208703	16.2336216124897	2764293.702203009	50940.31252960011	64.00000000000023	11111.489287513612	199335.52702023456	591.51697357527	-192000.0000000004	0.0	-607.7505951877594	-64.00000000000023
311.9730140550433	16.38649658036526	2761113.0774672846	52428.62265872995	65.00000000000023	11302.309198626908	203831.21766130324	607.8272256951187	-195000.00000000044	0.0	-624.2137222754839	-65.00000000000023
317.80437693326843	16.537072720199575	2757849.59493095	53956.818433266904	66.00000000000021	11493.35453866116	208369.62772018905	624.2892004662283	-198000.00000000047	0.0	-640.8262731864277	-66.00000000000021
323.6636753990158	16.685384600170355	2754503.404860261	55525.31196930149	67.00000000000023	11684.639777967612	212950.17971707066	640.900616388128	-201000.00000000047	0.0	-657.5860009882982	-67.00000000000023
329.5518896174315	16.831466268650672	2751074.7114259014	57134.43400874567	68.00000000000024	11876.19060148714	217572.31207424816	657.659226268463	-204000.0000000005	0.0	-674.4906925371134	-68.00000000000024
335.4703189396283	16.9753512620194	2747563.7715982967	58784.434663359796	69.00000000000024	12068.042611640336	222235.480807763	674.562816706166	-207000.00000000055	0.0	-691.538167968185	-69.00000000000024
341.4205485996267	17.117072612356136	2743970.893915632	60475.48466769493	70.0000000000002	12260.240068273071	226939.16079980045	691.6092075853797	-210000.00000000044	0.0	-708.7262801977355	-70.0000000000002
347.4044170886367	17.25666285503557	2740296.4371263813	62207.67706732301	71.00000000000018	12452.834678923033	231682.84671028418	708.796251568814	-213000.00000000038	0.0	-726.0529144238492	-71.00000000000018
353.42398511291157	17.394154036179305	2736540.8087558853	63981.02923275405	72.00000000000018	12645.884457360247	236466.0535688875	726.1218336132303	-216000.00000000044	0.0	-743.5159876494093	-72.00000000000018
359.48150618469384	17.52957772001471	2732704.4635728556	65795.48519339568	73.00000000000018	12839.452656692438	241288.3170708709	743.5838704797123	-219000.0000000004	0.0	-761.1134481997268	-73.00000000000018
365.5793988671938	17.6629649961332	2728787.901992394	67650.91820303326	74.0000000000002	13033.606775050026	246149.19363065474	761.1803102557994	-222000.00000000044	0.0	-778.8432752519324	-74.0000000000002
371.72022088785786	17.794346486636304	2724791.668420258	69547.13350339464	75.00000000000017	13228.417636816048	251048.260218643	778.9091318844754	-225000.00000000035	0.0	-796.7034783711116	-75.00000000000017
377.9066452375826	17.92375235307366	2720716.3495674687	71483.87121847372	76.00000000000013	13423.958555835634	255985.11401298334	796.7683447010721	-228000.0000000003	0.0	-814.6920970541457	-76.00000000000013
384.1414376172664	18.05121230356103	2716562.572723642	73460.80938304626	77.00000000000014	13620.30455497364	260959.37190072043	814.7559879767174	-231000.00000000035	0.0	-832.8072002802783	-77.00000000000014
390.4274356005876	18.176755599645674	2712331.0039811996	75477.56710001301	78.00000000000013	13817.53165317744	265970.66983000835	832.8701304448232	-234000.0000000004	0.0	-851.0468860444686	-78.00000000000013
396.76752905376935	18.3004110623806	2708022.3465407426	77533.70762198168	79.00000000000014	14015.716207527705	271018.66210069286	851.1088699061363	-237000.00000000044	0.0	-869.4092809685166	-79.00000000000014
403.16464171704257	18.42220707977724	2703637.338906437	79628.74163711349	80.00000000000014	14214.934301637943	276103.0205130936	869.4703327591283	-240000.00000000047	0.0	-887.8925398389052	-80.00000000000014
409.6217136337531	18.54217161286287	2699176.7531311503	81762.13051190681	81.00000000000014	14415.261176620514	281223.4334666874	887.9526735764969	-243000.00000000052	0.0	-906.4948451893591	-81.00000000000014
416.14168481271093	18.660332202265987	2694641.3930545407	83933.28957198361	82.00000000000016	14616.770697510417	286379.60499115183	906.5540746760818	-246000.0000000006	0.0	-925.2144068783474	-82.00000000000016
422.72747878353783	18.776715974444706	2690032.092572949	86141.59135822096	83.00000000000016	14819.534850630676	291571.25373941544	925.2727457125186	-249000.00000000067	0.0	-944.0494616869627	-83.00000000000016
429.3819872840666	18.891349647913156	2685349.7139127147	88386.3688970834	84.00000000000016	15023.62326613335	296798.1119367831	944.1069232635674	-252000.00000000064	0.0	-962.9982729114803	-84.00000000000016
436.10805486369486	19.00425953949438	2680595.145908306	90666.91898837376	85.00000000000014	15229.102757522927	302059.924290933	963.0548704199283	-255000.0000000006	0.0	-982.0591299594223	-85.00000000000014
442.90846397658913	19.115471570199173	2675769.3023321345	92982.50542251853	86.00000000000016	15436.036885268704	307356.4468961008	982.1148763933774	-258000.00000000064	0.0	-1001.2303479635757	-86.00000000000016
449.7859201199854	19.225011271290803	2670873.120235411	95332.36219699265	87.00000000000017	15644.485532376904	312687.44611509866	1001.2852561215295	-261000.00000000067	0.0	-1020.5102673928199	-87.00000000000017
456.7430369893479	19.33290379011071	2665907.5583092975	97715.69671631714	88.00000000000017	15854.504491672962	318052.6974457225	1020.564349879625	-264000.0000000007	0.0	-1039.8972536697352	-88.00000000000017
463.7823218116168	19.439173895836266	2660873.595291631	100131.69292479285	89.00000000000017	16066.145069620514	323451.9843921434	1039.9505229016388	-267000.0000000007	0.0	-1059.389696797475	-89.00000000000017
470.90616059702313	19.543845985200686	2655772.2283949894	102579.5144137735	90.00000000000017	16279.453699003918	328885.09733163496	1059.4421650037407	-270000.0000000007	0.0	-1078.986010988941	-90.00000000000017
478.11680341776514	19.646944088073266	2650604.4717701143	105058.30747415771	91.00000000000016	16494.471564978056	334351.83238733135	1079.0376902145972	-273000.00000000076	0.0	-1098.68463430267	-91.00000000000016
485.41634977643844	19.748491872969314	2645371.3550077346	107567.20408544781	92.00000000000016	16711.234245433097	339851.9903116075	1098.7355364118002	-276000.0000000007	0.0	-1118.4840282847692	-92.00000000000016
492.8067340237831	19.848512652496762	2640073.9216754395	110105.32484229587	93.00000000000016	16929.771365251305	345385.3753829888	1118.5341649631864	-279000.00000000076	0.0	-1138.3826776156825	-93.00000000000016
500.28971087314255	19.947029388709623	2634713.2278919653	112671.78180894208	94.00000000000016	17150.10626687647	350951.7943213426	1138.4320603734132	-282000.00000000076	0.0	-1158.3790897621222	-94.00000000000016
507.86684114029794	20.044064698370892	2629290.3409414086	115265.68129156322	95.00000000000016	17372.255699969734	356551.0552259181	1158.427729936098	-285000.00000000076	0.0	-1178.4717946344683	-95.00000000000016
515.5394777414247	20.139640858147022	2623806.3379277852	117886.1265229353	96.00000000000014	17596.229531871562	362182.9665396662	1178.5197033911463	-288000.0000000008	0.0	-1198.659344249293	-96.00000000000014
523.3087520469244	20.233779809725462	2618262.3044716865	120532.22024999718	97.00000000000014	17822.030481550184	367847.33604471904	1198.7065325872138	-291000.00000000076	0.0	-1218.9403123969385	-97.00000000000014
531.1755606859018	20.326503164850315	2612659.333449934	123203.06721619492	98.00000000000014	18049.6538799176	373543.96989326697	1218.9867911492456	-294000.0000000008	0.0	-1239.3132943140952	-98.00000000000014
539.1405529092112	20.417832210281126	2606998.5237794872	125897.77653033183	99.00000000000014	18279.08745926422	379272.67167800746	1239.3590741510861	-297000.0000000008	0.0	-1259.7769063613669	-99.00000000000014
547.204118579059	20.507787912682684	2601280.979244583	128615.46391982677	100.00000000000013	18510.31117280728	385033.2415442037	1259.8219977928359	-300000.0000000008	0.0	-1280.3297857055181	-100.00000000000013
