Values[V]	Values[m]	Values[h]	Values[n]	Values[V_neg]	Values[E]	Values[i_Na]	Values[i_K]	Values[i_L]	Values[V_Na]	Values[V_K]	Values[V_L]	Values[alpha_m]	Values[beta_m]	Values[auxiliary alpha_h]	Values[beta_h]	Values[alpha_n]	Values[beta_n]
-0.002999870853869728	0.05295129266310949	0.5960019120544934	0.3177359456567757	0.002999870853869728	-75.00299987085387	1.2210827903565225	-4.404105364908681	3.1830000387438386	-115.0	12.0	-10.613	0.22360996590523646	3.99933341758016	0.0699895012394043	0.04743942743215758	0.058207831835357826	0.12499531278967278
-0.0030329887061735375	0.052951330067521535	0.5960034227402645	0.3177337812392571	0.0030329887061735375	-75.00303298870617	1.2210881214753302	-4.403997514231386	3.1829901033881476	-115.0	12.0	-10.613	0.22361047644463367	3.999326059290627	0.06998938534440201	0.04743957708840674	0.0582079440195725	0.12499526104497966
-0.0031455979470133913	0.052951933731474006	0.5960044655496769	0.3177321791953977	0.0031455979470133913	-75.00314559794701	1.221130825262447	-4.40395000970246	3.182956320615896	-115.0	12.0	-10.613	0.2236122124178537	3.9993010393093678	0.06998899127293388	0.04744008596161487	0.05820832547607976	0.1249950850998353
-0.0032939518860669197	0.052952822312814535	0.5960048729967203	0.31773118996803007	0.0032939518860669197	-75.00329395188606	1.2211915607538402	-4.403949595258279	3.18291181443418	-115.0	12.0	-10.613	0.22361449944576536	3.999268077663943	0.06998847211773207	0.04744075637050791	0.05820882801835842	0.12499485330613476
-0.0034434620252017474	0.052953764998143846	0.5960046487676821	0.31773075464961903	0.0034434620252017474	-75.0034434620252	1.2212547349510732	-4.40398031441994	3.1828669613924396	-115.0	12.0	-10.613	0.22361680431823436	3.9992348594059712	0.06998794892037745	0.04744143201335684	0.058209334480574075	0.12499461970637918
-0.0035709027907275107	0.052954599738907766	0.5960039079901608	0.3177307503058963	0.0035709027907275107	-75.00357090279073	1.2213096184417056	-4.404026830723394	3.1828287291627815	-115.0	12.0	-10.613	0.22361876898195907	3.999206544753317	0.0699875029559089	0.04744200793096083	0.058209766185949655	0.12499442058891251
-0.003664154881982959	0.052955234965374666	0.5960028207113501	0.3177310299348934	0.003664154881982959	-75.00366415488199	1.2213503517872422	-4.404076548021664	3.1828007535354046	-115.0	12.0	-10.613	0.2236202065926826	3.9991858262306708	0.06998717663261904	0.04744242935072501	0.058210082078802905	0.12499427488910848
-0.0037203462876766336	0.052955640020701855	0.5960015660726498	0.3177314527786409	0.0037203462876766336	-75.00372034628768	1.2213752104605933	-4.404120608672061	3.1827838961136967	-115.0	12.0	-10.613	0.2236210728652525	3.999173341812757	0.0699869799990035	0.04744268328957798	0.058210272428663584	0.1249941870940892
-0.0037432096270608845	0.05295582954311373	0.5960003005123662	0.31773190362933645	0.0037432096270608845	-75.00374320962706	1.2213854876590318	-4.4041539944686035	3.1827770371118818	-115.0	12.0	-10.613	0.2236214253378484	3.9991682621239066	0.06998689999224542	0.047442786613402656	0.058210349878961884	0.12499415137178779
-0.003740309268586852	0.052955846115072196	0.5959991402754814	0.3177323017495521	0.003740309268586852	-75.0037403092686	1.2213842874430485	-4.4041750041064125	3.1827779072194238	-115.0	12.0	-10.613	0.2236213806244549	3.999168906514045	0.06998691014160108	0.04744277350611347	0.058210340053899794	0.12499415590338596
