TF_VIIa	VIIIa_IXa	Va	VIIIa	IXa	Va_Xa	Xa	mIIa	X	IX	II	X_VIIIa_IXa	IX_TF_VIIa	VIII	II_Va_Xa	V	IIa	X_TF_VIIa	Values[I]	Values[IIa+1.2mIIa]
5e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7000000000000001e-07	9.000000000000001e-08	1.4000000000000001e-06	0.0	0.0	7.000000000000001e-10	0.0	2e-08	0.0	0.0	0.0	0.0
2.879737001271557e-09	1.3879441962982048e-15	2.3521031375608953e-10	4.276241381184573e-12	3.120621206063219e-10	2.985914812008548e-12	1.2155721327312351e-09	2.5237712490366302e-11	1.6770771176442703e-07	8.863745524042851e-08	1.399970817513991e-06	1.8712357985785058e-15	1.0504793797852019e-09	6.957204994388204e-10	3.9446978508438316e-12	1.9757859073581066e-08	7.566613718714353e-17	1.0697836189432263e-09	-1.146539979333387e-17	3.028533065457675e-11
2.8864891256383015e-09	2.26866962956472e-14	9.336455858680678e-10	2.0127843257891345e-11	6.429739375050355e-10	4.424769502780615e-11	2.346000163697127e-09	7.780393512579279e-10	1.664856761368471e-07	8.830793468624748e-08	1.3991623288880183e-06	3.623548060151693e-14	1.0490324540705508e-09	6.798132345652384e-10	5.956134865627817e-11	1.8962545370447847e-08	7.041206548116363e-14	1.0644784202911333e-09	-3.5880392185537947e-16	9.337176335749945e-10
2.893316795776632e-09	1.5252348735450316e-13	2.471620560401052e-09	7.231867137399797e-11	9.82729137815059e-10	2.185216803664744e-10	3.1585981375259977e-09	5.69948592177153e-09	1.6526868233449612e-07	8.796937892609387e-08	1.394002000599331e-06	2.531293798779648e-13	1.047486283223942e-09	6.272756757588795e-10	2.947477972321741e-10	1.701510996200031e-08	3.765681663396611e-12	1.0591969209994116e-09	-3.2225861972561387e-15	6.8431487877892325e-09
2.9002180913674355e-09	7.656159390967746e-13	6.090507686273168e-09	2.3165963494193829e-10	1.3276010865672686e-09	7.147627367223773e-10	3.2233778855692753e-09	2.4114026389417166e-08	1.640525444258367e-07	8.762446854024138e-08	1.3748638682834407e-06	1.2947783627101743e-12	1.0458699788896167e-09	4.662799707563649e-10	9.541082437660978e-10	1.2240621333238364e-08	6.799708337395285e-11	1.053911929742935e-09	-1.9108154738331686e-14	2.900482875067455e-08
2.90721790668921e-09	2.7845987911459635e-12	1.1608006276757706e-08	5.086749791911378e-10	1.6705461111822585e-09	1.616601834731502e-09	2.417852957059065e-09	7.163488068201451e-08	1.6282262113971901e-07	8.727756409280564e-08	1.3256582377982846e-06	4.862378989037121e-12	1.044242818232e-09	1.8367804302878932e-10	2.089522414422677e-09	4.6858694740881185e-09	6.173591052764141e-10	1.0485392750787759e-09	-8.552299481773594e-14	8.657921592369383e-08
2.9144114128179607e-09	6.6797969700637445e-12	1.3940019958872056e-08	6.6185522063775e-10	2.0085257948018963e-09	2.5186278956749217e-09	1.817900598283648e-09	1.528753991334966e-07	1.6155102493672452e-07	8.693003689501706e-08	1.2410977574690266e-06	1.2101032158841374e-11	1.0426564810522596e-09	1.936395023345507e-11	3.0574134310282135e-09	4.839387144248145e-10	2.969429966446873e-09	1.0429321061297645e-09	-2.7625963735206994e-13	1.8641990892664278e-07
2.921915052178275e-09	1.1695553239402846e-11	1.312406118924143e-08	6.664027699567291e-10	2.3472921785430267e-09	3.2560352369715732e-09	1.8584323414155627e-09	2.544808791105007e-07	1.6021431375564376e-07	8.657829650543161e-08	1.1330118515262128e-06	2.1605681937820625e-11	1.0411100808482368e-09	2.9599486615755e-13	3.6126381170576693e-09	7.265456729331467e-12	8.894631246226821e-09	1.0369748669734735e-09	-6.591144117970198e-13	3.142716861788276e-07
2.9298026603442653e-09	1.7434371262129986e-11	1.2052997350637126e-08	6.50187854716424e-10	2.691514594274561e-09	3.992068997004732e-09	2.1895676818249738e-09	3.647068008273223e-07	1.588004544656078e-07	8.621908513241652e-08	1.0111859077942795e-06	3.2377321852807295e-11	1.0395885801940545e-09	4.521687478927175e-16	3.954922774247824e-09	1.0878110359611332e-14	2.0152368604148922e-08	1.030608759461666e-09	-1.2773018721249039e-12	4.578005295969356e-07
2.93812831773941e-09	2.3849010693190657e-11	1.102884242526131e-08	6.319150847737085e-10	3.0434710079222226e-09	4.814677896188496e-09	2.6601320525455443e-09	4.7629780492434633e-07	1.573006865862693e-07	8.585036027823484e-08	8.808305758188235e-07	4.42359044655285e-11	1.038083798684291e-09	6.767712757547692e-20	4.156479676954628e-09	1.5956674006445055e-18	3.8715139579874435e-08	1.0237878835762845e-09	-2.1687006124160523e-12	6.1027250548909e-07
