V_membrane	n	jm	ca_er_ca_equations	Ca_i	Values[i_K]	Values[n_infinity]	Values[tau_n]	Values[i_K_ATP]	Values[i_Ca_f]	Values[m_f_infinity]	Values[i_Ca_s]	Values[m_s_infinity]	Values[j]	Values[jm_infinity]	Values[tau_j]	Values[i_Ca]	Values[i_K_Ca]	Values[i_CRAC]	Values[r_infinity]	Values[i_leak]	Values[J_er_p]	Values[a_infinity]	Values[b_infinity]	Values[h_infinity]	Values[O]	Values[J_er_tot]	Values[J_er_IP3]	Values[J_er_leak]	Values[J_mem_tot]
-61.00000000000001	0.0005	0.25	9.0	0.11000000000000001	17.55	0.00046795672563293525	9.085746273363997	1350.0	-548.7020358915785	0.00420751503635901	-676.6033945485045	0.01098694263059318	0.75	0.01798620996209155	8145.055720851992	-1225.305430440083	3.454894433781189	-11.312250941604093	0.0024726231566347743	-0.0	0.13140271493212669	0.5238095238095238	0.0	0.7843137254901962	0.0	0.04639728506787333	0.0	0.1778	-3.280323312402622e-05
-61.02176913333007	0.0004939353112982055	0.24997144363372756	8.99996294959298	0.11015234400582016	17.295194506339516	0.0004662627567559561	9.085761671541087	1346.7346300004908	-547.1923582922153	0.004195371377326285	-675.2652180023624	0.010963312954276069	0.7500285563662725	0.017794964319369888	8110.276765053459	-1222.4575762945778	3.4704625853164184	-11.316706200422109	0.002472714543492519	-0.0	0.131567272096426	0.5241547246447534	0.0	0.7840795101696848	0.0	0.04622894001531716	0.0	0.17779621211174315	-3.30125960271287e-05
-61.043432955703054	0.0004886771885095592	0.24994274523144822	8.999926033365508	0.11030380843451588	17.069793007427187	0.0004645830674928507	9.08577693991649	1343.485056644543	-545.6940785761072	0.004183321113684558	-673.9363466851091	0.010939847483921383	0.7500572547685518	0.017606626455675012	8075.8332476814885	-1219.6304252612163	3.4859490559309823	-11.321140726751022	0.002472805602740015	-0.0	0.1317306102739036	0.5244974366161426	0.0	0.7838467857551361	0.0	0.046061834224716214	0.0	0.1777924444986198	-3.3220596464989064e-05
-61.064994993528174	0.00048407963377432463	0.24991390513121847	8.999889250330892	0.11045439956904088	16.868490410088103	0.00046291727569668583	9.085792081963916	1340.250750970775	-544.2068833880264	0.0041713616909047025	-672.6165166092708	0.010916541583844452	0.7500860948687815	0.01742111769718857	8041.7165857612	-1216.8233999972972	3.50135260932252	-11.325555181850357	0.002472896336774867	-0.0	0.13189274108978588	0.5248376835800271	0.0	0.7836155400711724	0.0	0.04589595592545109	0.0	0.17778869701523697	-3.342725966042611e-05
-61.08645800282395	0.0004800234822843405	0.24988492365519574	8.999852599511796	0.11060412362235443	16.686966928991428	0.0004612650634378829	9.085807100573348	1337.031299576407	-542.7305155459251	0.004159491007628596	-671.3055137812605	0.01089339148707915	0.7501150763448042	0.017238368030703666	8007.919540517859	-1214.0360293271856	3.5166722887598434	-11.329950084115234	0.002472986747972077	-0.0	0.13205367601837228	0.5251754890644241	0.0	0.7833857610908018	0.0	0.04573129349941657	0.0	0.17778496951778885	-3.363260695781652e-05
-61.10782411530328	0.00047641146906788386	0.24985580111411912	8.99981607994012	0.1107529867415206	16.521704848109668	0.00045962616467611924	9.085821998163095	1333.826382704509	-541.2647632699392	0.004147707328752388	-670.0031646359273	0.010870394129056776	0.7501441988858809	0.01705831448190942	7974.435957854899	-1211.2679279058666	3.531907369626093	-11.334325836146553	0.0024730768386843588	-0.0	0.13221342638871683	0.5255108762816934	0.0	0.7831574369283719	0.0	0.045567835475255114	0.0	0.17778126186397195	-3.383665655949982e-05
-61.12909495729997	0.00047316420320717443	0.249826537810956	8.999779690656883	0.11090099501111762	16.369839393397097	0.0004580003552694983	9.0858367767706	1330.6357564050045	-539.8094514439913	0.004136009214924216	-668.7093282686415	0.010847547012569651	0.750173462189044	0.0168808998106581	7941.260558353586	-1208.5187797126327	3.5470573203861306	-11.338682746789411	0.0024731666112423733	-0.0	0.13237200338951516	0.5258438681395101	0.0	0.7829305558336126	0.0	0.04540557052340011	0.0	0.17777757391291527	-3.4039424123547674e-05
-61.15027174660994	0.0004702168817415946	0.24979713404386847	8.999743430712115	0.11104815445608954	16.229037331921308	0.000456387444876466	9.085851438126072	1327.4592380085103	-538.364434525094	0.0041243954653459175	-667.4238901258844	0.010824848098113623	0.7502028659561315	0.0167060714609365	7908.388767326527	-1205.7883246509784	3.56212177046178	-11.343021049080184	0.0024732560679550366	-0.0	0.13252941807334787	0.5261744872504635	0.0	0.7827051061865619	0.0	0.04524448745177262	0.0	0.17777390552512048	-3.424092324910188e-05
-61.171355371334435	0.0004675166077589407	0.2497675901086225	8.999707299164742	0.11119447104414357	16.097398152821388	0.0004547872703934608	9.085865983712123	1324.2966942998357	-536.9295907910065	0.004112865071379091	-666.1467568815933	0.010802295714859207	0.7502324098913775	0.016533780715852875	7875.81657732814	-1203.0763476725997	3.5771004837854194	-11.347340914858803	0.002473345211109772	-0.0	0.13268568136039804	0.5265027559405276	0.0	0.7824810764932129	0.0	0.04508457520201389	0.0	0.17777025656241194	-3.444116587034983e-05
-61.192346454071256	0.0004650202014856384	0.24973790630054246	8.999671295082488	0.11133995068777762	15.973373623519594	0.00045319969063757946	9.085880414812106	1321.1480318893127	-535.5048176740062	0.004101417178917802	-664.8778522766864	0.010779888488375734	0.7502620936994575	0.01636398201753042	7843.5404369445705	-1200.3826699506926	3.5919933370154196	-11.351642466666146	0.0024734340429727383	-0.0	0.13284080404173865	0.5268286962566076	0.0	0.7822584553817478	0.0	0.04492582284615554	0.0	0.17776662688789419	-3.464016257632285e-05
