NADrad	O2	super	per3	coI	NADH	Ar	coIII	coII	H2O2	ArH	per2
0.0	0.0	0.0	1.4000000000000001	0.0	0.0	0.0	0.0	0.0	0.0	500.00000000000006	0.0
4.379552980102735e-11	0.07178442580142443	2.1113968027648575e-12	1.399999996846829	2.064327095119749e-10	0.07999999417827887	6.830675847263177e-09	7.215878338096157e-12	2.920641070309713e-09	6.316246446015419e-10	499.9999999931693	1.888073979576502e-11
9.751242414168767e-10	0.14313939904996945	1.0629551631975503e-10	1.399999980202423	8.687027838511857e-10	0.1599999512209518	6.475849964907897e-08	8.631642607056856e-10	1.7105061699306232e-08	2.62071683812451e-09	499.99999993524136	9.606478663531065e-10
4.732856033085346e-09	0.2140674472287189	7.981976205331292e-10	1.399999936515051	1.9837621960291634e-09	0.23999982276960666	2.260320970132633e-07	9.896498390754296e-09	4.427501155842396e-08	5.9572327976152794e-09	499.99999977396783	7.329676116208596e-09
1.2945774159271266e-08	0.2845710656234872	2.9598596706945047e-09	1.3999998326281953	3.5475412236167045e-09	0.3199995393436466	5.225953261835675e-07	5.126147761036916e-08	8.44127950734378e-08	1.0629062973912352e-08	499.99999947740446	2.8149990402989425e-08
2.6326513055135146e-08	0.35465271151505817	7.587998788730211e-09	1.3999996096442575	5.556001785414746e-09	0.3999990067470659	9.60844771659351e-07	1.7245391273586944e-07	1.374212966535175e-07	1.662418772765386e-08	499.99999903915506	7.492453112079571e-08
4.4663808793181524e-08	0.4243148041676725	1.551286443632046e-08	1.3999991852818032	8.005137717044466e-09	0.4799981087780481	1.5242703507211535e-06	4.445991974918862e-07	2.0318500975075085e-07	2.393067615682747e-08	499.9999984757295	1.5892885185727336e-07
6.709456453605606e-08	0.4935597322500786	2.7256663791653194e-08	1.39999846288519	1.0890978597907777e-08	0.5599967161173078	2.1823560804908607e-06	9.557945991675694e-07	2.815906541634733e-07	3.253668969184188e-08	499.99999781764365	2.888385779664373e-07
9.243221992298277e-08	0.5623898617906092	4.293168373423629e-08	1.3999973405981885	1.4209583300677903e-08	0.639994695272531	2.8995225803820115e-06	1.803196119195316e-06	3.725230451203162e-07	4.243046963182551e-08	499.99999710047706	4.694730639300535e-07
1.1948892964367492e-07	0.6308075442646965	6.245666439688946e-08	1.3999957198926374	1.795705682025292e-08	0.7199919165703439	3.643122111138581e-06	3.084842211697076e-06	4.7587036224073076e-07	5.360036450322339e-08	499.99999635687755	7.014377318641748e-07
1.473290267713309e-07	0.6988151224519447	8.541272728414681e-08	1.3999935106712729	2.2129518040442044e-08	0.7999882591414594	4.388437188279535e-06	4.894022592834739e-06	5.915192973460471e-07	6.603478387448024e-08	499.9999956115624	9.816573188843427e-07
1.7513168844719265e-07	0.7664149321814809	1.1163020160363513e-07	1.399990632656902	2.6723148334231033e-08	0.8799836118631061	5.119623659475989e-06	7.31696998702623e-06	7.193601821567775e-07	7.972227087761861e-08	499.99999488037577	1.3042897805827482e-06
2.026631679548659e-07	0.833609303017319	1.4069110826416093e-07	1.3999870145463287	3.173413124556451e-08	0.9599778725313499	5.828893204485121e-06	1.0432681280322105e-05	8.592821835751371e-07	9.465141934947265e-08	499.9999941711063	1.6617560765084587e-06
2.29703568374987e-07	0.9004005565963745	1.7241774858270212e-07	1.3999825916950939	3.715869789653407e-08	1.0399709456312476	6.514286171696093e-06	1.4314111518512146e-05	1.0111762919065101e-06	1.1081093716771877e-07	499.9999934857134	2.0458583982532885e-06
2.5623586975353424e-07	0.9667910052433717	2.066847070051239e-07	1.3999773036196188	4.2993106909575194e-08	1.1199627398278096	7.177190328118686e-06	1.9030115301273387e-05	1.1749342396040484e-06	1.2818961843359972e-07	499.9999928228092	2.44833773378133e-06
2.823145109889121e-07	1.032782950472399	2.4342657036457447e-07	1.399971092052677	4.923364836734796e-08	1.199953166145113	7.820519561812459e-06	2.4646884199232933e-05	1.3504486575104894e-06	1.4677634900350977e-07	499.9999921794799	2.861380818604701e-06
3.080238818043693e-07	1.0983786813954888	2.8261625182278073e-07	1.3999638997346369	5.587664387851067e-08	1.279942136833999	8.447540135720946e-06	3.122884862374159e-05	1.5376131047534087e-06	1.6656010705719796e-07	499.99999155245933	3.277926991344427e-06
3.334344269749361e-07	1.16358047492175	3.24246627240894e-07	1.3999556695326716	6.291844535324471e-08	1.3599295645329483	9.061092998812468e-06	3.883944706015575e-05	1.7363220175839055e-06	1.8752995659021244e-07	499.99999093890654	3.6917798060782237e-06
3.586269508924728e-07	1.2283905956593297	3.6830779602976674e-07	1.399946344268066	7.035543656908577e-08	1.439915362092736	9.66342077479691e-06	4.7541250670560654e-05	1.946470700623997e-06	2.09675061492587e-07	499.9999903365786	4.097655127083172e-06
3.83638286174419e-07	1.2928112957531726	4.1479487063037146e-07	1.3999358667668986	7.818403076882993e-08	1.519899442676602	1.0256257983634368e-05	5.7395921183184524e-05	2.167955383643712e-06	2.3298466681042977e-07	499.99998974374154	4.491172504611513e-06
4.0850671831002073e-07	1.356844815079284	4.6369976750170927e-07	1.3999241799646385	8.640067304584567e-08	1.599881719824089	1.08409044173699e-05	6.846414249812991e-05	2.400673166982127e-06	2.574481138209375e-07	499.999989159095	4.86881902396497e-06
4.332657719720882e-07	1.4204933814347862	5.150089642503781e-07	1.399911226992495	9.50018368738027e-08	1.6798621075420301	1.1418326819951513e-05	8.080556723681158e-05	2.6445220005476327e-06	2.830548320095625e-07	499.9999885816726	5.227916431793711e-06
4.5792798347093244e-07	1.4837592105793993	5.687075409731929e-07	1.3998969512446886	1.0398402684419935e-07	1.7598405203820775	1.1989241391944438e-05	9.447882232118818e-05	2.899400714413563e-06	3.097943415877178e-07	499.9999880107581	5.566548249631579e-06
4.825160662280822e-07	1.5466445063514673	6.247754482768381e-07	1.3998812964914473	1.1334377586872381e-07	1.839816873523872	1.2554203297454814e-05	0.00010954146243947746	3.1652089856622943e-06	3.3765625290901885e-07	499.99998744579614	5.883493352413527e-06
5.070419141888703e-07	1.6091514606779524	6.83196608069709e-07	1.3998642069072376	1.2307764660723755e-07	1.9197910828127462	1.311365084882517e-05	0.00012605002006617485	3.441847330137551e-06	3.666302659843157e-07	499.9999868863486	6.178147720079004e-06
5.315078333537349e-07	1.671282253576799	7.439523401644985e-07	1.3998456270904185	1.331822322246267e-07	1.9997630647822133	1.366793455142966e-05	0.00014406008021762697	3.7292171300100017e-06	3.967061705117475e-07	499.99998633206485	6.450430002630323e-06
5.559402171836704e-07	1.7330390532136133	8.070180646848889e-07	1.3998255021170933	1.436541498296288e-07	2.0797327366750036	1.4217344901891797e-05	0.00016362630286753622	4.0272205534179435e-06	4.278738456288738e-07	499.99998578265456	6.70070533644899e-06
5.803318119023497e-07	1.79442401582047	8.723787199168486e-07	1.3998037775011745	1.5449005205051337e-07	2.159700016443486	1.4762117772600075e-05	0.0001848025418545351	4.335760651431121e-06	4.6012325972770727e-07	499.99998523788173	6.929706268485319e-06
6.046220119186843e-07	1.8554392856466697	9.400298126937776e-07	1.3997803991877145	1.656866291841144e-07	2.2396648227587237	1.530245089905308e-05	0.0002076419725312962	4.654741418230717e-06	4.934444701235816e-07	499.99998469754854	7.138411707564226e-06
6.289645912112758e-07	1.916086995312784	1.0099050999065413e-06	1.3997553137624716	1.7724055675527495e-07	2.3196270750229533	1.5838521969678647e-05	0.00023219687973482554	4.9840673219844935e-06	5.278276227303836e-07	499.99998416147747	7.328049915465791e-06
6.53237887461706e-07	1.976369265258631	1.0820389587443493e-06	1.3997284681130362	1.8914859804025206e-07	2.399586693355443	1.6370480947941338e-05	0.00025851911596080446	5.32364390773907e-06	5.632629520187106e-07	499.99998362951857	7.499978498150156e-06
6.774895691598438e-07	2.0362882041971972	1.156376452718801e-06	1.3996998096863433	2.0140750232787242e-07	2.4795435985929415	1.68984566608208e-05	0.00028665990638165266	5.673377517589086e-06	5.997407805220446e-07	499.99998310154285	7.655622255767003e-06
7.01718791809444e-07	2.095845908932003	1.2329102320227241e-06	1.3996692864099234	2.1401406262248037e-07	2.559497712289549	1.7422562716097216e-05	0.0003166699632972542	6.03317525114667e-06	6.372515186262903e-07	499.9999825774367	7.796437466363423e-06
7.259295575736033e-07	2.1550444644424815	1.3116191668506232e-06	1.399636846682188	2.269650950254022e-07	2.639448956712813	1.794289973861115e-05	0.0003485995337425828	6.402944971375148e-06	6.757856643238834e-07	499.99998205709977	7.92387400377334e-06
7.501221977636852e-07	2.2138859439024543	1.3924837023227365e-06	1.3996024393787934	2.4025744495596064e-07	2.7193972548412666	1.8459558158749923e-05	0.0003824984255686557	6.782595348560508e-06	7.153338028022381e-07	499.99998154044135	8.039342845145662e-06
7.74298270499508e-07	2.272372408737032	1.4754841802667136e-06	1.3995660138530441	2.538879846247639e-07	2.7993425303586026	1.8972620425010003e-05	0.0004184160445685277	7.172035861904485e-06	7.558866060900222e-07	499.9999810273791	8.14417854140573e-06
7.984596004905188e-07	2.3305059086429796	1.5606017930261242e-06	1.3995275199340989	2.6785361316198995e-07	2.8792847076509553	1.9482160667848086e-05	0.00045640140005719126	7.571176785624669e-06	7.974348330117787e-07	499.9999805178389	8.239635445744884e-06
8.22589083359141e-07	2.3882884816437193	1.6478190305986904e-06	1.3994869079038261	2.821512647641151e-07	2.959223711798829	1.998824606339159e-05	0.0004965031557515926	7.97992921193449e-06	8.399693287449842e-07	499.9999800117535	8.326859946332804e-06
8.467435197794194e-07	2.445722154280564	1.7371080947577273e-06	1.399444128576735	2.967778651105068e-07	3.0391594685751495	2.0490938584783037e-05	0.0005387695069287346	8.398204679567403e-06	8.834810241134564e-07	499.99997950906095	8.406933792152598e-06
8.709185451695927e-07	2.5028089414364647	1.8284542702257411e-06	1.3993991331868605	3.117303971393523e-07	3.1190919044420635	2.0990294420007472e-05	0.000583248349167538	8.825915744206365e-06	9.279609360176687e-07	499.99997900970516	8.480817831169457e-06
8.949409070152789e-07	2.5595508463268137	1.9218724486296603e-06	1.3993518732898322	3.2700595269736106e-07	3.199020946537731	2.1486366146329395e-05	0.0006299874364394721	9.262976530859372e-06	9.734001668072993e-07	499.9999785136335	8.5492912451545e-06
9.190586420579018e-07	2.615949861254235	2.017276748192779e-06	1.3993023012244643	3.426014337339371e-07	3.2789465226801897	2.1979205444600755e-05	0.0006790337713153681	9.709300437470745e-06	1.0197899019781505e-06	499.9999780207943	8.613102349711013e-06
9.431486555908005e-07	2.6720079668444137	2.114712864836112e-06	1.3992503695438538	3.5851396978481636e-07	3.358868561355727	2.2468857827082872e-05	0.0007304342089465481	1.0164802063769074e-05	1.0671214140884553e-06	499.9999775311419	8.672931166578771e-06
9.672284861857317e-07	2.727727132577133	2.2141238702922366e-06	1.3991960312925644	3.747406250982487e-07	3.438786991716582	2.2955365465185753e-05	0.0007842352143282508	1.062939720253319e-05	1.1153860586302691e-06	499.99997704463425	8.729355280151309e-06
9.91296098273176e-07	2.783109316694266	2.3155076276937407e-06	1.3991392400025433	3.912785204743099e-07	3.5187017435760373	2.3438769488633414e-05	0.0008404828656591346	1.1103002449794306e-05	1.1645752751137515e-06	499.99997656123014	8.782850827587033e-06
1.0153620217330772e-06	2.8381564663588548	2.4188428471366935e-06	1.3990799496451591	4.081247751662499e-07	3.5986127474008436	2.3919108478307198e-05	0.0008992228557523198	1.1585534650497574e-05	1.2146805868152333e-06	499.99997608089114	8.833839663382118e-06
1.0394221445959531e-06	2.892870517639288	2.5241142073520854e-06	1.3990181146285883	4.2527655347505525e-07	3.678519934309616	2.4396419183680746e-05	0.0009605005063283401	1.207691144225049e-05	1.2656936001261064e-06	499.9999756035805	8.882677087746006e-06
1.0634751284249709e-06	2.947253395634964	2.631302473329975e-06	1.3989536897998933	4.4273104114045306e-07	3.758423236064707	2.487073624402031e-05	0.001024360748531181	1.2577051375880358e-05	1.3176060040574052e-06	499.9999751292634	8.929669158724063e-06
1.087522745609819e-06	3.001307014544703	2.7403911020450234e-06	1.398886630449133	4.6048544552731603e-07	3.8383225850667713	2.5342093038619824e-05	0.001090848116515342	1.30858736824813e-05	1.3704095700519244e-06	499.9999746579067	8.975075223748291e-06
1.1115648449294976e-06	3.055033277671846	2.851363257186927e-06	1.3988168923005624	4.785370007632528e-07	3.918217914353821	2.5810521362758404e-05	0.001160006754027781	1.3603298336590436e-05	1.4240961518110895e-06	499.9999741894784	9.019110072495147e-06
1.1356018838842947e-06	3.1084340775726087	2.964202565075513e-06	1.3987444315088773	4.968829648464405e-07	3.9981091575895213	2.627605192107395e-05	0.0012318804058602992	1.4129245962245535e-05	1.478657684546186e-06	499.99997372394785	9.061956335289282e-06
1.1596347559277533e-06	3.161511296093562	3.078892144645476e-06	1.3986692046560611	5.155206189272281e-07	4.077996249060277	2.6738714189811746e-05	0.0013065124165033731	1.4663637855795114e-05	1.5340861846472542e-06	499.9999732612856	9.103768960802879e-06
1.1836635336737433e-06	3.2142668044635347	3.1954158250235188e-06	1.3985911687465902	5.344472696043259e-07	4.157879123667542	2.719853664270216e-05	0.0013839457301449338	1.520639605142488e-05	1.5903737492923371e-06	499.9999728014632	9.144679943989409e-06
1.2076885655944632e-06	3.2667024632110686	3.313757354021292e-06	1.3985102812120411	5.536602471742517e-07	4.237757716934668	2.7655546611652546e-05	0.00146422289092439	1.5757443252317285e-05	1.6475125568407112e-06	499.99997234445317	9.18479353499208e-06
1.2317101868505849e-06	3.3188201223239546	3.4339007392645835e-06	1.3984264999030176	5.731569056229291e-07	4.31763196499386	2.810977059344482e-05	0.001547386041233807	1.6316702863662103e-05	1.7054948655023436e-06	499.9999718902291	9.224195979455197e-06
1.2557285960118052e-06	3.370621621414514	3.5558302765996193e-06	1.3983397830806967	5.929346222432038e-07	4.397501804572742	2.856123454453617e-05	0.0016334769184838018	1.6884098998369364e-05	1.7643130120992026e-06	499.9999714387652	9.262967199022968e-06
1.279744074969827e-06	3.4221087896451734	3.6795298514563103e-06	1.3982500894200884	6.12990797502962e-07	4.477367173000421	2.9009963602635713e-05	0.0017225368544066246	1.745955640627007e-05	1.8239594133715225e-06	499.99997099003616	9.301178301266134e-06
1.3037568351252268e-06	3.4732834457929984	3.8049846403493106e-06	1.3981573780070469	6.333228564437063e-07	4.557228008200323	2.945598195581872e-05	0.0018146067933898042	1.8043000547015026e-05	1.8844265659508491e-06	499.99997054401786	9.338876159721726e-06
1.3277673244338467e-06	3.524147398515764	3.9321788234100675e-06	1.3980616083246018	6.539282453406231e-07	4.637084248671197	2.9899313699797546e-05	0.001909727261198747	1.863435749741397e-05	1.945707043446918e-06	499.99997010068614	9.376128456801805e-06
1.3517754909585634e-06	3.574702446042944	4.061097563475054e-06	1.3979627402672201	6.74804435132511e-07	4.716935833508408	3.033998169883979e-05	0.0020079384097810627	1.9233554051573508e-05	2.0077934986119428e-06	499.99996966001817	9.412964512354439e-06
1.3757815250632175e-06	3.6249503765600717	4.19172587234158e-06	1.3978607341225664	6.959489187678168e-07	4.796782702375021	3.077800856437681e-05	0.002109279984919735	1.9840517629445424e-05	2.0706786614831073e-06	499.99996922199136	9.449425965730645e-06
1.3997857639234595e-06	3.67489296809706	4.324048893062067e-06	1.397755550576843	7.173592113197776e-07	4.8766247955101125	3.1213416563973576e-05	0.0022137913412071638	2.045517630321955e-05	2.1343553392426793e-06	499.99996878658334	9.48554643555753e-06
1.4237887277614868e-06	3.7245319885620902	4.4580519082211435e-06	1.3976471507129675	7.390328497175451e-07	4.956462053725793	3.164622769936951e-05	0.0023215114450903978	2.107745879455037e-05	2.1988164157990875e-06	499.99996835377215	9.521350298065277e-06
1.4477906736216492e-06	3.7738691958932185	4.593720430661486e-06	1.3975354960017405	7.609673938712465e-07	5.036294418393819	3.20764633252336e-05	0.0024324788741479997	2.170729447156064e-05	2.2640548515961336e-06	499.99996792353664	9.55686224606078e-06
1.47179072652852e-06	3.8229063380700117	4.7310404483232696e-06	1.3974205482995952	7.831604289278386e-07	5.116121831443423	3.2504143446219833e-05	0.002546731825882676	2.2344613388406482e-05	2.3300636831702524e-06	499.9999674958565	9.592100704836152e-06
1.4957884520572694e-06	3.87164515314331	4.869997984569961e-06	1.3973022698497706	8.0560956067913e-07	5.195944235360669	3.2929288166990774e-05	0.0026643081120860763	2.2989346218644157e-05	2.3968360225214696e-06	499.99996707071176	9.627082364179278e-06
1.519786129052527e-06	3.9200873693949876	5.0105785123326645e-06	1.39718062327703	8.283124090500116e-07	5.275761573176987	3.335191898271112e-05	0.002785245159981723	2.3641424146709226e-05	2.4643650567039834e-06	499.99996664808094	9.661826432730863e-06
1.5437835342439401e-06	3.968234705259875	5.152768326855764e-06	1.3970555715836994	8.512666225405565e-07	5.355573788470258	3.377205539779848e-05	0.002909580022927392	2.430077908978462e-05	2.5326440476423207e-06	499.9999662279445	9.696347660908935e-06
1.5677812424403176e-06	4.0160888694597165	5.296553674141755e-06	1.3969270781475953	8.744698688170102e-07	5.4353808253568205	3.418971714449748e-05	0.0030373493769411245	2.4967343550457722e-05	2.601666331558e-06	499.9999658102828	9.73066204433572e-06
1.5917781177793117e-06	4.063651561042445	5.44192146035305e-06	1.3967951067160869	8.979198420088371e-07	5.515182628485754	3.4604922640786115e-05	0.003168589534296484	2.564105071216563e-05	2.671425318232085e-06	499.9999653950773	9.764779062866402e-06
1.6157741616940787e-06	4.110924469442826	5.588858428966547e-06	1.3966596214070452	9.216142539265113e-07	5.594979143036107	3.501769076602028e-05	0.0033033364305326616	2.6321834323552724e-05	2.741914491114651e-06	499.99996498230917	9.79871384501652e-06
1.6397689110464963e-06	4.157909274536111	5.737351622905379e-06	1.396520586703532	9.455508387463324e-07	5.674770314710861	3.542803990503423e-05	0.0034416256353187826	2.7009628756090262e-05	2.8131274066171994e-06	499.99996457196005	9.832481554821474e-06
