NFkB/IkB_alpha	NFkB{nucleus}	IkB_alpha{nucleus}	IKKa	IkB_alpha{default}	IKKn	NFkB{default}	mRNAIKBA	mRNAA20	A20{default}	IKKi	IKKa/IKBa	NFkB/Ikb_alpha/IKKa	NFkB:IkB_alpha
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.060000000000000005
4.737598567759483e-27	7.493763324391314e-09	2.584442601594005e-19	3.0615590859675096e-09	1.8427047197849603e-16	2.496721595016002e-06	1.1984910085034961e-06	1.2385381741845915e-15	1.2385381741845915e-15	1.843129158086137e-16	1.5210936064266228e-12	2.9665012646892795e-26	5.908346222873667e-11	0.05999879995115539
9.503249282372467e-25	2.994985336112801e-08	5.732866719776017e-18	1.200509178765026e-08	2.5748863960081885e-15	4.986897913825877e-06	2.3939860276289775e-06	9.974589496202221e-15	9.974589496202221e-15	2.575847906858277e-15	1.2099091095976519e-11	2.186826669844134e-24	4.5997732289379475e-10	0.059997599564024395
2.016084081815835e-23	6.733119094395829e-08	3.976088024500472e-17	2.6511408524976055e-08	1.2757059119996046e-14	7.470546091705631e-06	3.5865415419233313e-06	3.366528323117772e-14	3.366528323117772e-14	1.2763864564667839e-14	4.029980661595285e-11	3.0513577450760575e-23	1.4962704150207078e-09	0.05999639849594949
2.599345209266043e-22	1.1960158644287459e-07	1.6645630375309063e-16	4.630555549637877e-08	4.007425382243294e-14	9.947683242319146e-06	4.776240551018015e-06	7.975664925800705e-14	7.975664925800705e-14	4.010349324412725e-14	9.426214027879471e-11	2.514443122553884e-22	3.417797732461003e-09	0.05999519642133398
1.2495381431908983e-21	1.8672594384339272e-07	4.997592498687228e-16	7.11515239382298e-08	9.747202093879619e-14	1.2418326435711722e-05	5.963188963197575e-06	1.5567434734354586e-13	1.5567434734354586e-13	9.756150487207971e-14	1.817406044523987e-10	1.0606584772265958e-21	6.4359061371466625e-09	0.05999399302994191
5.061306670823975e-21	2.686705607081268e-07	1.2264514324261224e-15	1.0084706759372027e-07	2.0156324564122713e-13	1.4882492697434345e-05	7.147512324987696e-06	2.6882410653132023e-13	2.6882410653132023e-13	2.0178706108288422e-13	3.1015335068855847e-10	3.531367532170045e-21	1.0728585721907313e-08	0.059992788024977164
1.6235092203249754e-20	3.6540350169815433e-07	2.6307164090185613e-15	1.3522059179869496e-07	3.7290303787606627e-13	1.734019900513462e-05	8.329353761978152e-06	4.265908449092858e-13	4.265908449092858e-13	3.7339217526761633e-13	4.866096495395478e-10	9.785733738816088e-21	1.6443554168538197e-08	0.05999158112198353
4.587934721638782e-20	4.7689469147584e-07	5.105294324027904e-15	1.7412399606991004e-07	6.356859264512559e-13	1.979146229216059e-05	9.508869621651019e-06	6.363409717908409e-13	6.363409717908409e-13	6.366531174410008e-13	7.179784779832722e-10	2.393278616738247e-20	2.3705336543250365e-08	0.059990372046103524
1.137999454613641e-19	6.03116133587934e-07	9.170562261141624e-15	2.1742301510855355e-07	1.017451103209881e-12	2.2236299451039444e-05	1.0686223547594079e-05	9.054248541539292e-13	9.054248541539292e-13	1.0192207268049327e-12	1.010980422416575e-09	5.266383568558801e-20	3.262482155545891e-08	0.05998916052840415
2.5978862375695197e-19	7.440419227300027e-07	1.549493968977414e-14	2.6500415811640144e-07	1.5495096548292435e-12	2.4674727328247158e-05	1.1861590649011284e-05	1.241175872409568e-12	1.241175872409568e-12	1.5525549376103471e-12	1.372120380952562e-09	1.0699438608293952e-19	4.32923999849808e-08	0.05998794630856647
5.462560553852241e-19	8.996483565878506e-07	2.4906106348715725e-14	3.167696419431781e-07	2.26678679668354e-12	2.7106762726066395e-05	1.3035154393427953e-05	1.6509118338190349e-12	1.6509118338190349e-12	2.2717703279150567e-12	1.8077357901093579e-09	2.0279618999861744e-19	5.578297759211859e-08	0.05998672913295768
1.0833207257143621e-18	1.0699140754083174e-06	3.841959247779097e-14	3.726339216591024e-07	3.2077975790229282e-12	2.9532422402775353e-05	1.420710444490785e-05	2.1419368590760146e-12	2.1419368590760146e-12	3.2156228623487326e-12	2.324029149388284e-09	3.6382931432600555e-19	7.015940916227486e-08	0.05998550875333086
2.0311707904344235e-18	1.2548200861655355e-06	5.7242679861765e-14	4.3252311234164425e-07	4.414643548582575e-12	3.195172307267331e-05	1.5377636303509725e-05	2.7215416235814748e-12	2.7215416235814748e-12	4.426507834808772e-12	2.927073437962395e-09	6.220069358317685e-19	8.64730708319626e-08	0.05998428492660845
3.669470141845684e-18	1.4543499719027005e-06	8.282599985187337e-14	4.963695959869546e-07	5.932969874498589e-12	3.436468140642393e-05	1.6546947947426946e-05	3.3970068994049285e-12	3.3970068994049285e-12	5.950438694815839e-12	3.6228626999149055e-09	1.0240349626749018e-18	1.0476919810064455e-07	0.05998305741286011
6.343269643726543e-18	1.6684897086165868e-06	1.1682046570218474e-13	5.641166942155373e-07	7.812001279370164e-12	3.677131403076918e-05	1.7715242742881323e-05	4.1756006257337016e-12	4.1756006257337016e-12	7.837065221932658e-12	4.417268222414112e-09	1.6261042561357332e-18	1.2508226082735576e-07	0.05998182597705458
1.049436620809418e-17	1.8972276989800278e-06	1.6109153381183866e-13	6.357176717027276e-07	1.0104530273441551e-11	3.917163752862492e-05	1.8882728825305388e-05	5.064578963671239e-12	5.064578963671239e-12	1.0139668440655802e-11	5.3160479004341365e-09	2.4963656378929355e-18	1.4743694957424847e-07	0.05998059038868534
1.6918437012505966e-17	2.1405552519038497e-06	2.1786600272772157e-13	7.111227683425708e-07	1.286679523709859e-11	4.156566844006047e-05	2.004961103335239e-05	6.071196736304449e-12	6.071196736304449e-12	1.2915103371492897e-11	6.324967951912718e-09	3.736860334375416e-18	1.7186101077784596e-07	0.0599793504169055
2.6513013965730403e-17	2.3984661373913282e-06	2.8959179096208115e-13	7.902913215393576e-07	1.6158596797650326e-11	4.395342326136255e-05	2.121609844790429e-05	7.202697415595956e-12	7.202697415595956e-12	1.6223853236114684e-11	7.449689127764705e-09	5.462225796543907e-18	1.9837324850312494e-07	0.05997810583507612
4.0449980526595414e-17	2.6709567001937825e-06	3.789997931309179e-13	8.731881080988168e-07	2.0043247949396955e-11	4.633491844545223e-05	2.2382402124022378e-05	8.46631780315795e-12	8.46631780315795e-12	2.0130010092249488e-11	8.695801121977527e-09	7.811370321227349e-18	2.2698714491655136e-07	0.05997685641939104
6.053403961625497e-17	2.9580260269372014e-06	4.892200888941188e-13	9.597774194331653e-07	2.4587481161839466e-11	4.871017040267082e-05	2.3548731423258696e-05	9.869296971931554e-12	9.869296971931554e-12	2.470124100286361e-11	1.0068878362407546e-08	1.0970685752736756e-17	2.5771672395850987e-07	0.0599756019466474
8.873669848712871e-17	3.2596757653870424e-06	6.23637394124989e-13	1.050029876721313e-06	2.986156344666965e-11	5.107919549980103e-05	2.471529822863468e-05	1.141886505734466e-11	1.141886505734466e-11	3.000882862503047e-11	1.1574415795780186e-08	1.5144425152341382e-17	2.905698066038977e-07	0.059974342196811685
1.2769276656185282e-16	3.575910198938201e-06	7.860021929277138e-13	1.1439185011505369e-06	3.5939209966171774e-11	5.3442010060825804e-05	2.58823145242157e-05	1.3122252087172477e-11	1.3122252087172477e-11	3.612764722578996e-11	1.3217866019783234e-08	2.0581314759737192e-17	3.2555189972086316e-07	0.059973076951536274
1.8098279453321722e-16	3.906736269566763e-06	9.804869037948066e-13	1.2414170264250905e-06	4.289754084373186e-11	5.579863036731319e-05	2.7049991358792052e-05	1.498669249254498e-11	1.498669249254498e-11	4.313615220680582e-11	1.500465525983334e-08	2.7588878567409432e-17	3.626678659101367e-07	0.05997180599352137
2.525110058411383e-16	4.252163535877467e-06	1.2115649377483444e-12	1.3425033804991434e-06	5.081717395350453e-11	5.81490726575869e-05	2.821854098225225e-05	1.7019415369961668e-11	1.7019415369961668e-11	5.1116401916761776e-11	1.6940150385917607e-08	3.650219978198505e-17	4.019184782461586e-07	0.0599705291078323
3.4753416585724853e-16	4.612204213557703e-06	1.4841581390489809e-12	1.4471556408845871e-06	5.9782115723198e-11	6.049335312774697e-05	2.938817436640028e-05	1.9227656400383636e-11	1.9227656400383636e-11	6.015404309008897e-11	1.9029697262714834e-08	4.7728605718947565e-17	4.43304422507952e-07	0.05996924608036833
4.725041232268748e-16	4.986873170489641e-06	1.8036165896273143e-12	1.555352576453551e-06	6.987977585153872e-11	6.283148793152949e-05	3.0559101536883946e-05	2.161865621372471e-11	2.161865621372471e-11	7.033831210632443e-11	2.1278615610268797e-08	6.17411436930632e-17	4.868257610702261e-07	0.05996795669806788
