HBrO2	Br-	Ce4+
5e-11	1.0000000000000001e-07	0.05000000000000001
5.025052321394973e-11	0.028812208156809554	0.018393987280209446
5.025042909729943e-11	0.03513189804105408	0.00676678501837309
5.0250445837496246e-11	0.0338127851530091	0.0024893763517455465
5.0250498761027985e-11	0.030224784521551872	0.0009158056389862369
5.025057400366686e-11	0.026262978393105253	0.00033692132130087963
5.025066833775216e-11	0.022556071766438535	0.00012396168197287863
5.025078202305018e-11	0.019277063909751247	4.561820581506172e-05
5.0250916981679514e-11	0.01643996732778897	1.6797250593596392e-05
5.025107620948514e-11	0.014007678549623035	6.194612868107113e-06
5.025126358229847e-11	0.011930566546874521	2.294119837020698e-06
5.0251483829732275e-11	0.01015973625672434	8.592083050183141e-07
5.025174259594535e-11	0.008651114085632126	3.313337049748571e-07
5.025204655509747e-11	0.007366274928503443	1.371393558301153e-07
5.025240356885542e-11	0.006272170863190294	6.569972910017931e-08
5.025282288238288e-11	0.005340541282557038	3.94177506761964e-08
5.025331535888016e-11	0.004547278628921359	2.9748905310036098e-08
5.025389376687593e-11	0.003871839775333073	2.6191900456934188e-08
5.025457309486448e-11	0.003296726973631191	2.4883509869058046e-08
5.025537095591623e-11	0.0028070393243209146	2.4402409630552532e-08
5.0256308036680184e-11	0.0023900884517142154	2.4225685503979634e-08
5.025740863122866e-11	0.002035070381117456	2.4160983868460037e-08
5.025870129384211e-11	0.0017327858239953899	2.4137548320819432e-08
5.026021954977157e-11	0.001475401891662195	2.4129357868780285e-08
5.026200277259797e-11	0.0012562491592846218	2.4126851099787648e-08
5.0264097244349446e-11	0.001069648857575379	2.4126523684746373e-08
5.02665573195126e-11	0.0009107657261293585	2.412710182895725e-08
5.026944685959199e-11	0.0007754827217463936	2.4128135055802553e-08
5.0272840914757574e-11	0.0006602943370659273	2.412947895739098e-08
5.027682763479598e-11	0.0005622157644116093	2.4131105441711787e-08
5.02815106510397e-11	0.00047870555245837067	2.4133033590559744e-08
5.028701173359465e-11	0.0004075997512227938	2.413530499604629e-08
5.029347401060935e-11	0.0003470558384581025	2.4137975592433603e-08
5.0301065766441416e-11	0.0002955049759234472	2.4141113723264126e-08
5.0309984823563115e-11	0.0002516113570119393	2.4144800685254837e-08
5.032046384932834e-11	0.00021423759274784835	2.4149132423363987e-08
5.033277651600592e-11	0.0001824152390213687	2.4154221900848755e-08
5.034724482271868e-11	0.00015531970220696622	2.4160202047202166e-08
5.036424774951992e-11	0.0001322488718702573	2.416722929209535e-08
5.03842315064412e-11	0.00011260492738880653	2.4175487765765456e-08
5.0407721682311754e-11	9.587884698045991e-05	2.4185194282578033e-08
5.0435337715575154e-11	8.163721769435219e-05	2.419660425330192e-08
5.0467810024868594e-11	6.951100474793156e-05	2.4210018720394774e-08
5.0506000568056514e-11	5.918598885001679e-05	2.422579272171433e-08
5.0550927335226596e-11	5.039462401422671e-05	2.4244345286211294e-08
5.060379377733452e-11	4.290910485942863e-05	2.4266171388352293e-08
5.066602419289055e-11	3.653546358288155e-05	2.4291856295209657e-08
5.0739306528345025e-11	3.110854382872984e-05	2.4322092857675556e-08
5.082564428805828e-11	2.648772103870177e-05	2.43577024102996e-08
5.0927419951060424e-11	2.2553258554400653e-05	2.439966017623347e-08
5.1047472614830614e-11	1.920320496069482e-05	2.444912628642808e-08
5.118919416183045e-11	1.635075225867233e-05	2.450748391605353e-08
5.1356648763150165e-11	1.392198644810114e-05	2.457638644711468e-08
5.155472293481748e-11	1.1853972241048777e-05	2.4657816282706056e-08
5.178931566178219e-11	1.0093122240035881e-05	2.4754158805800557e-08
5.206758180734326e-11	8.593808332126771e-06	2.4868296294678884e-08
5.239824744615148e-11	7.317179326664254e-06	2.5003728475958877e-08
5.279202365678373e-11	6.230154178963775e-06	2.5164729149397147e-08
5.3262157508223274e-11	5.304564726979321e-06	2.5356552414546027e-08
5.3825177484806115e-11	4.516425675467343e-06	2.558570831248775e-08
5.4501920223977474e-11	3.8453129410009805e-06	2.5860337411123643e-08
5.5318973182920386e-11	3.2738341993004468e-06	2.6190729395989325e-08
5.6310747970678634e-11	2.7871778741114087e-06	2.6590056191474663e-08
5.752253686618081e-11	2.3727288213197634e-06	2.7075433068606633e-08
5.901515284583772e-11	2.019740609080972e-06	2.7669496503759492e-08
6.08722171506632e-11	1.719055704506814e-06	2.8402824674537414e-08
6.321207469455995e-11	1.4628658930828136e-06	2.9317788966538063e-08
6.6208242268016e-11	1.244505916737315e-06	3.047495635326921e-08
7.012665855140461e-11	1.058273285316062e-06	3.1964316633087727e-08
7.539888600496709e-11	8.992657151943289e-07	3.392633998807042e-08
8.278111940299149e-11	7.632221853543076e-07	3.659509593619462e-08
9.375138328370107e-11	6.463349428720024e-07	4.0397869998122817e-08
1.1173608386082652e-10	5.44925266649907e-07	4.623049288776629e-08
1.4762138483960587e-10	4.544564102123324e-07	5.649059877471877e-08
2.89734460218939e-10	3.618334612745424e-07	8.335527792598683e-08
5.038921230621153e-11	0.00010859054148345615	0.0006432460439917516
5.0282572312135575e-11	0.00046311270673319514	0.00023665225658821962
5.0278422871464043e-11	0.0005306782690771037	8.707475573841876e-05
5.028004669223819e-11	0.0005020148527882928	3.20482682601246e-05
5.028383046807638e-11	0.0004459004185204546	1.180515566483564e-05
5.028903827552657e-11	0.0003864561427678267	4.358132095348478e-06
5.029550899951811e-11	0.0003315502853869459	1.6185269971522004e-06
5.03032828962946e-11	0.0002832213357099082	6.10684767978807e-07
5.03125019652885e-11	0.00024149029068051847	2.399229250084256e-07
5.032337692734777e-11	0.00020574422552969282	1.0353033925321468e-07
5.033617694917781e-11	0.0001752291984720486	5.3357933142509894e-08
5.035122936469914e-11	0.00014921788654538413	3.490480298886899e-08
5.0368924812668035e-11	0.00012705959567488773	2.8121214636046817e-08
5.0389725982606974e-11	0.00010818873108608116	2.5631645429907043e-08
5.041417931936966e-11	9.211945950470903e-05	2.472273284264192e-08
5.044292960315511e-11	7.843654861293526e-05	2.43965156262167e-08
5.047673765006167e-11	6.67858684447409e-05	2.4286098514928625e-08
5.051650162680396e-11	5.686567901548928e-05	2.425676175619733e-08
5.0563282613285664e-11	4.841898217953248e-05	2.4259244177136e-08
5.061833538278657e-11	4.122692503181548e-05	2.4275778274012115e-08
5.068314547358501e-11	3.510315190194924e-05	2.430024753921042e-08
5.075947404850752e-11	2.9888983967378062e-05	2.4330899983519474e-08
5.0849412444069185e-11	2.5449310639285213e-05	2.4367682305718882e-08
5.09554487838688e-11	2.166908968601475e-05	2.4411277667557503e-08
5.10805498741248e-11	1.8450366593204175e-05	2.4462774586314604e-08
5.1228262579459864e-11	1.570973647405685e-05	2.4523573303243785e-08
