Mdm2	p53	Mdm2_mRNA	Mdm2_P	p53_mRNA	ATMA	damDNA	Mdm2_p53	p53_P	Mdm2mRNAsyn	mdm2syn	p53deg	mdm2deg	Mdm2mRNAdeg	p53syn	ATMI	totp53	totMdm2
5.0	5.0	10.0	0.0	10.0	0.0	0.0	95.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	200.0	100.0	100.0
5.053102695687214	5.031975133882094	9.999501627829781	0.0	10.0	0.0	0.0	94.94967066388261	0.0	0.0005016028840320911	0.004949876518531135	0.0783542022352854	0.0021765169486967152	0.0009999750542487142	0.05999999999999999	200.0	99.98164579776471	100.00277335956983
5.105648219363694	5.063457515442333	9.999006478180691	0.0	10.0	0.0	0.0	94.89987538120448	0.0	0.001006378613590671	0.00989950714283743	0.15666710335319117	0.004375906574666589	0.0019999004328964507	0.11999999999999998	200.0	99.96333289664683	100.0055236005682
5.157639560140506	5.0944494522787	9.998514501583143	0.0	10.0	0.0	0.0	94.85061140499624	0.0	0.0015142780388007343	0.014848893455495423	0.23493914272506705	0.006597928318754608	0.0029997764556556413	0.18	200.0	99.94506085727494	100.00825096513677
5.20907982187608	5.124953370257209	9.99802564879906	0.0	10.0	0.0	0.0	94.80187587224604	0.0	0.0020252522364093465	0.01979803701487075	0.31317075749675044	0.008842342892749913	0.003999603437347627	0.24000000000000002	200.0	99.92682924250325	100.0109556941221
5.2599722167324465	5.154971807327816	9.997539870842262	0.0	10.0	0.0	0.0	94.75366581025361	0.0	0.0025392525301720483	0.02474693935515319	0.3913623824185959	0.011108912369116588	0.004999381687909736	0.3	200.0	99.9086376175814	100.01363802698606
5.310320060976226	5.184507409504768	9.997057118992698	0.0	10.0	0.0	0.0	94.70597814076737	0.0	0.0030562305050885964	0.029695601986335567	0.4695144497278631	0.013397400242739728	0.005999111512391025	0.36	200.0	99.89048555027215	100.01629820174361
5.360126772345391	5.213562928303855	9.996577344802288	0.0	10.0	0.0	0.0	94.65880968259407	0.0	0.0035761380132627	0.03464402639432523	0.5476273891020945	0.015707571454881848	0.006998793210974796	0.42	200.0	99.87237261089794	100.01893645493946
5.409395865828452	5.242141216647294	9.996100500105207	0.0	10.0	0.0	0.0	94.61215715577656	0.0	0.00409892718421164	0.039592214041078315	0.6257016275761653	0.018039192436085455	0.007998427079005724	0.48	200.0	99.85429837242384	100.021553021605
5.4581309455944735	5.270245221025179	9.995626537036847	0.0	10.0	0.0	0.0	94.56601718958531	0.0	0.004624550443891089	0.04454016636486886	0.703737589389519	0.02039203118509224	0.00899801340704422	0.5399999999999998	200.0	99.83626241061047	100.02414813517977
5.506335703205484	5.297877979757497	9.995155408037911	0.0	10.0	0.0	0.0	94.52038632428912	0.0	0.005152960518792078	0.049487884780354256	0.7817356959533823	0.022765857285748783	0.009997552480879654	0.5999999999999998	200.0	99.81826430404662	100.02672202749459
5.554013916397531	5.325042621783801	9.994687065855265	0.0	10.0	0.0	0.0	94.47526101237139	0.0	0.00568411043681131	0.05443537067865989	0.8596963658448298	0.025160441909759426	0.01099704458154746	0.6599999999999999	200.0	99.80030363415518	100.02927492876891
5.601169441276091	5.35174235908839	9.99422146356073	0.0	10.0	0.0	0.0	94.43063762625648	0.0	0.00621795354611004	0.05938262542763198	0.9376200146551517	0.027575557895081815	0.011996489985380202	0.7199999999999998	200.0	99.78237998534486	100.03180706753257
5.647806209179383	5.377980483634691	9.993758554557044	0.0	10.0	0.0	0.0	94.38651246142258	0.0	0.006754443521078172	0.06432965037197548	1.0155070549427476	0.030010979770030588	0.012995888964035458	0.7799999999999998	200.0	99.76449294505727	100.03431867060196
5.693928223527217	5.4037603642801155	9.993298292583393	0.0	10.0	0.0	0.0	94.3428817395306	0.0	0.007293534367917649	0.0692764468334029	1.0933578961893105	0.032466483775611364	0.013995241784525844	0.8399999999999999	200.0	99.74664210381071	100.03680996305783
5.739539555404058	5.429085442467637	9.992840631724432	0.0	10.0	0.0	0.0	94.29974161280438	0.0	0.007835180433686008	0.0742230161108161	1.1711729447280004	0.0349418479023945	0.014994548709255784	0.8999999999999999	200.0	99.72882705527202	100.03928116820843
5.784644339857449	5.453959228605638	9.992385526417097	0.0	10.0	0.0	0.0	94.25708816770495	0.0	0.008379336413152567	0.07916935948047521	1.2489526036894394	0.037436851918102435	0.015993809996055604	0.96	200.0	99.71104739631059	100.0417325075624
5.8292467721939625	5.478385298441486	9.991932931457152	0.0	10.0	0.0	0.0	94.21491742860836	0.0	0.008925957355369107	0.08411547819617521	1.326697272950176	0.03995127739387275	0.01699302589821722	1.0199999999999998	200.0	99.69330272704984	100.04416420080231
5.873351104310618	5.502367289468073	9.99148280200552	0.0	10.0	0.0	0.0	94.17322536144916	0.0	0.009474998670047991	0.0890613734894255	1.4044073490827753	0.04248490772965499	0.01799219666453041	1.0799999999999996	200.0	99.67559265091722	100.04657646575978
5.916961641152855	5.525908897448801	9.991035093593984	0.0	10.0	0.0	0.0	94.13200787724	0.0	0.01002641613330335	0.09400704656963406	1.4820832253112246	0.04503752817680257	0.018991322539320017	1.1399999999999997	200.0	99.6579167746888	100.04896951839284
5.960082737136673	5.549013872909088	9.990589762131096	0.0	10.0	0.0	0.0	94.09126083562614	0.0	0.010580165893578573	0.0989524986242902	1.5597252914647832	0.0476089258614866	0.019990403762482876	1.1999999999999995	200.0	99.64027470853523	100.0513435727628
