Synthesized tryptophan	Anthranilate synthase	Total tryptophan	exog. Trp	Values[Ts_norm]	Values[To_norm]	Values[Tt_norm]	Values[Enz_norm]
0.0	0.0	13.461538461538463	13.461538461538463	0.0	0.16416510318949346	0.16416510318949346	0.0
0.003004311157290515	0.015170835912820885	13.464528445861239	13.461524134703946	3.663794094256726e-05	0.16416492847199934	0.16420156641294192	0.015170835912820885
0.006092875463868128	0.030184604277475546	13.467602281582161	13.461509406118292	7.430335931546498e-05	0.16416474885510113	0.1642390522144166	0.030184604277475543
0.009243311553888259	0.04504274939919945	13.470737694068774	13.461494382514886	0.00011272331163278365	0.16416456564042545	0.1642772889520582	0.04504274939919945
0.012457277258003272	0.05974669835958296	13.473936333247966	13.461479055989965	0.00015191801534150331	0.16416437873158493	0.1643162967469264	0.059746698359582955
0.01573648713920863	0.07429786092976448	13.47719990550856	13.461463418369352	0.0001919083797464467	0.16416418802889451	0.16435609640864096	0.07429786092976447
0.01908271483547144	0.08869762961578806	13.48053017603273	13.461447461197256	0.00023271603457892	0.16416399342923482	0.16439670946381377	0.08869762961578806
0.022497795496352033	0.10294737972334295	13.483928971221061	13.461431175724709	0.0002743633597116101	0.1641637948259111	0.1644381581856227	0.10294737972334295
0.025983628342792896	0.11704846942312015	13.487398181240115	13.46141455289732	0.00031687351637552314	0.1641635921085039	0.16448046562487942	0.11704846942312014
0.02954217939734829	0.13100223980206047	13.490939762739636	13.461397583342288	0.00036027048045546696	0.16416338516271084	0.1645236556431663	0.13100223980206044
0.03317548426059873	0.1448100149148556	13.494555741615764	13.461380257355165	0.000404579076348765	0.16416317387018495	0.16456775294653372	0.1448100149148556
0.03688565108287235	0.15847310183001775	13.498248215968568	13.461362564885695	0.00044982501320576043	0.16416295810836212	0.1646127831215679	0.15847310183001775
0.0406748636628894	0.17199279066907744	13.502019359185944	13.461344495523052	0.0004960349227181634	0.16416273775028112	0.1646587726729993	0.1719927906690774
0.04454538469586103	0.1853703546402222	13.50587142317621	13.461326038480351	0.0005432363987300126	0.1641625126643945	0.16470574906312452	0.1853703546402222
0.048499559186096705	0.19860705006681362	13.50980674176449	13.461307182578395	0.0005914580388548379	0.16416228271437064	0.16475374075322546	0.19860705006681362
0.052539818008702215	0.21170411641051776	13.513827734237397	13.461287916228695	0.0006407294879110025	0.16416204775888651	0.16480277724679754	0.21170411641051773
0.056668681685570065	0.22466277628745945	13.517936909101065	13.461268227415495	0.0006910814839703666	0.16416180765140848	0.16485288913537885	0.22466277628745945
0.06088876429058421	0.2374842354777678	13.522136867967715	13.461248103677132	0.0007425459059827342	0.164161562239965	0.16490410814594775	0.2374842354777678
0.0652027776347066	0.2501696829287	13.526430309720828	13.461227532086124	0.000795155824813495	0.16416131136690393	0.16495646719171742	0.25016968292869995
0.06961353559846171	0.26272029075152925	13.530820034826965	13.461206499228503	0.0008489455560788014	0.16416105486864027	0.16501000042471908	0.2627202907515292
0.0741239586195629	0.2751372142111128	13.535308949802015	13.461184991182451	0.0009039507148727181	0.16416079257539573	0.16506474329026846	0.2751372142111128
0.07873707846860183	0.287421591708351	13.539900071964137	13.461162993495535	0.0009602082740073392	0.16416052431092115	0.16512073258492851	0.287421591708351
0.08345604353350658	0.2995745447547761	13.544596534693028	13.46114049115952	0.001017756628457397	0.16416024989218927	0.16517800652064668	0.2995745447547761
0.0882841238903506	0.31159717794005815	13.549401592476581	13.461117468586231	0.0010766356571993976	0.16415996912910039	0.16523660478629976	0.31159717794005815
0.09322471640001935	0.32349057888976396	13.554318625983267	13.461093909583248	0.0011368867853660896	0.16415968182418592	0.16529656860955202	0.32349057888976396
0.09828135179400439	0.33525581821582456	13.559351149114152	13.461069797320148	0.00119855307065859	0.16415938777219694	0.16535794084285552	0.33525581821582456
0.10345769926656499	0.3468939494595785	13.56450281357321	13.461045114306643	0.0012616792593483535	0.16415908675983712	0.16542076601918546	0.3468939494595785
0.10875757422932344	0.3584060090235898	13.569777416584945	13.46101984235562	0.0013263118808454076	0.16415877856531244	0.16548509044615786	0.35840600902358977
0.1141849442476571	0.369793016095205	13.57517890680252	13.460993962554861	0.001392499320093379	0.1641584629579861	0.1655509622780795	0.36979301609520493
0.11974393649022784	0.38105597256115786	13.58071139172179	13.460967455231563	0.0014602919084174128	0.16415813969794588	0.16561843160636328	0.3810559725611578
0.12543884513506134	0.3921958629109633	13.586379145052089	13.460940299917027	0.0015297420138422116	0.1641578085355735	0.16568755054941572	0.39219586291096326
0.1312741393113899	0.403213654128071	13.592186614620257	13.460912475308866	0.0016009041379437792	0.16415746921108373	0.16575837334902752	0.403213654128071
0.13725447121029533	0.4141102955737822	13.598138430442638	13.460883959232342	0.0016738350147596991	0.16415712145405295	0.16583095646881266	0.41411029557378215
0.1433846849403491	0.4248867188593042	13.604239413538528	13.460854728598177	0.001748593718784745	0.1641567649829046	0.16590535870168935	0.4248867188593042
0.1496698255353204	0.43554383770392513	13.610494584894987	13.460824759359665	0.0018252417748209806	0.16415639950438615	0.16598164127920714	0.4355438377039251
0.15611514863132414	0.4460825477823432	13.616909175097875	13.460794026466552	0.0019038432759917576	0.1641560247130067	0.16605986798899847	0.4460825477823432
0.1627261305093858	0.4565037265600769	13.62348863432661	13.460762503817223	0.0019844650062120217	0.16415564029045393	0.16614010529666595	0.4565037265600769
0.16950847872718622	0.466808233114433	13.630238642935241	13.460730164208055	0.002067176569843734	0.1641552459049763	0.16622242247482003	0.466808233114433
