A	Yp	W	T	Tasp_WA	Tni	TWA	Tasp	Ap	Tni_WA	Y	TA	MYp	MYpYpYp	TW	B	MYpYp	Tni_A	Tni_W	WA	Tasp_A	Tasp_W	MYpYpYpYp	M	Bp	Values[Bias]	Values[autoPhospho]
2.9999999999999997e-06	7.000000000000001e-09	2.8900000000000007e-06	3.1200000000000006e-06	0.0	0.0	8.47e-07	0.0	3.48e-08	0.0	9.9e-06	4.44e-07	7.770000000000001e-10	3.78e-10	5.910000000000001e-07	1.9300000000000006e-06	2.9900000000000005e-10	0.0	0.0	6.78e-07	0.0	0.0	2.3100000000000005e-09	6.240000000000001e-09	6.870000000000001e-08	0.7014194322271091	0.9970089730807578
3.0855077891275027e-06	8.72597681638451e-09	2.8172364154856857e-06	3.125916045555912e-06	0.0	0.0	7.493219011041107e-07	0.0	4.500221012575262e-08	0.0	9.899172380879308e-06	4.056442347861974e-07	9.668849242820016e-10	5.299721350047608e-10	7.211178185537738e-07	1.920245469692592e-06	4.0176243664078115e-10	0.0	0.0	7.183238648564361e-07	0.0	0.0	1.8725790254320197e-09	6.232801478640443e-09	7.845453030740743e-08	0.7196807679850499	0.9970089730807578
3.091774764600615e-06	8.896690246781223e-09	2.8108008895398954e-06	3.1267687468643385e-06	0.0	0.0	7.490132966570201e-07	0.0	4.5226072874964395e-08	0.0	9.898498980685449e-06	3.9890900427147073e-07	9.648330693347763e-10	5.4974320145685e-10	7.27308952207163e-07	1.915121088646035e-06	4.0875334696389844e-10	0.0	0.0	7.188768615959285e-07	0.0	0.0	1.980439925034245e-09	6.100230457210233e-09	8.357891135396552e-08	0.7062238631092571	0.9970089730807578
3.0924012510380333e-06	8.92578301457165e-09	2.8104246565128597e-06	3.127091527394268e-06	0.0	0.0	7.490056192218226e-07	0.0	4.527707226841275e-08	0.0	9.898383639747329e-06	3.9822459329515457e-07	9.643946801670371e-10	5.530931649339849e-10	7.276782600887491e-07	1.9131962892440913e-06	4.0990369171841054e-10	0.0	0.0	7.188914641765767e-07	0.0	0.0	1.999023919922471e-09	6.0775845432581015e-09	8.550371075590995e-08	0.7039163558001935	0.9970089730807578
3.0924874935673497e-06	8.931782442423793e-09	2.810423695878642e-06	3.127165617821777e-06	0.0	0.0	7.489924644275637e-07	0.0	4.528990032714683e-08	0.0	9.898359834790105e-06	3.981441098673966e-07	9.64301108775235e-10	5.537832173582583e-10	7.276978078832583e-07	1.9124910347565323e-06	4.101394134318645e-10	0.0	0.0	7.188860318105443e-07	0.0	0.0	2.002863294939366e-09	6.072912965495284e-09	8.620896524346929e-08	0.7034400314144855	0.9970089730807578
3.092501601795489e-06	8.933343180904373e-09	2.8104296601554875e-06	3.127181230576475e-06	0.0	0.0	7.489885435032397e-07	0.0	4.5293997421956296e-08	0.0	9.898353640904457e-06	3.98132143429157e-07	9.642765897248713e-10	5.539626888957763e-10	7.276980824911243e-07	1.912234962457293e-06	4.102006518186875e-10	0.0	0.0	7.188837138501585e-07	0.0	0.0	2.003862488646862e-09	6.071697580913812e-09	8.646503754270928e-08	0.7033160906276167	0.9970089730807578
3.094358235802692e-06	6.2924759090482935e-09	2.8102657029920135e-06	2.9374748009160135e-06	4.54327797262144e-08	0.0	7.036886640732125e-07	1.8965439177149699e-07	4.3093011970992944e-08	0.0	9.90769073221493e-06	3.7403293975747016e-07	8.892294163734973e-10	2.534618983277588e-10	6.834418825810614e-07	1.9136063336747615e-06	2.6645098519845664e-10	0.0	0.0	7.190453990612005e-07	2.4148969608218023e-08	4.41255715663094e-08	6.458186985624555e-10	7.949039001537843e-09	8.509366632524097e-08	0.8834734524101688	0.9970089730807578
3.0951331025126644e-06	5.223225075849941e-09	2.8100400249574824e-06	2.874224875926748e-06	6.056832363435721e-08	0.0	6.887050979574689e-07	2.527743485555013e-07	4.1859116783745896e-08	0.0	9.910556868633798e-06	3.66091574520506e-07	7.921008829066498e-10	1.5556429861899868e-10	6.686363968945869e-07	1.9162178057686477e-06	1.9701541001203435e-10	0.0	0.0	7.192467793182749e-07	3.2196005272981935e-08	5.880337723784562e-08	3.290204228870235e-10	8.530298985575305e-09	8.248219423135622e-08	0.9318672399522137	0.9970089730807578
3.095339978200304e-06	4.966002885787081e-09	2.8099270168277457e-06	2.853131375603673e-06	6.560948964566564e-08	0.0	6.837330217957484e-07	2.737800976085004e-07	4.1428790079084494e-08	0.0	9.911160586470864e-06	3.6347398253335426e-07	7.637806064097957e-10	1.3559190007646978e-10	6.63706129491428e-07	1.9179718088884786e-06	1.8061606376991955e-10	0.0	0.0	7.19336588331824e-07	3.487814941401951e-08	6.368775390760746e-08	2.7265555228811935e-10	8.651355877455707e-09	8.072819111152458e-08	0.9411371935091455	0.9970089730807578
3.0953993265568898e-06	4.8865476453992445e-09	2.809881644707163e-06	2.84610008617394e-06	6.728808704548023e-08	0.0	6.820811311957025e-07	2.8077104259264207e-07	4.128109987884092e-08	0.0	9.911340651501968e-06	3.6260867349175323e-07	7.546829402013987e-10	1.2972383269011873e-10	6.620656777841713e-07	1.9188780978377796e-06	1.7560925458682023e-10	0.0	0.0	7.193699196912638e-07	3.577176214007073e-08	6.531353957623763e-08	2.5668197629512656e-10	8.68730199622655e-09	7.982190216222305e-08	0.9438209652566909	0.9970089730807578
3.0954175473003548e-06	4.8605082842987985e-09	2.8098648000263535e-06	2.8437572930948505e-06	6.784694815198488e-08	0.0	6.81532022363435e-07	2.830978549655367e-07	4.123033270293206e-08	0.0	9.911399015575235e-06	3.6232201290706013e-07	7.516666199481486e-10	1.2783198477839742e-10	6.615197655019036e-07	1.9192967156880877e-06	1.7397532854842795e-10	0.0	0.0	7.193817487576735e-07	3.606938781656085e-08	6.585471519866674e-08	2.5159072726886277e-10	8.698935339456176e-09	7.940328431191493e-08	0.9446823230112269	0.9970089730807578
3.0936837630214183e-06	6.4482630834059715e-09	2.810013019968631e-06	3.0227531826852428e-06	2.4955460654059286e-08	0.0	7.243023121979131e-07	1.0414739377069652e-07	4.327650250075266e-08	0.0	9.907224363810994e-06	3.8507948843859795e-07	9.00353532264227e-10	2.694919332957376e-10	7.032638565506937e-07	1.9181118793301064e-06	2.7646208767091954e-10	0.0	0.0	7.192347590565915e-07	1.3267714130670107e-08	2.4230591572125286e-08	7.036548995283967e-10	7.854037547240732e-09	8.058812066989519e-08	0.8750890723215662	0.9970089730807578
3.0928837429025083e-06	7.734072209248389e-09	2.8102306062822437e-06	3.088708367006744e-06	9.178791787406761e-09	0.0	7.39931332005671e-07	3.831519191912816e-08	4.451980297261524e-08	0.0	9.902929176130317e-06	3.933670011708982e-07	9.600419481857354e-10	4.133858123913835e-10	7.187041581239509e-07	1.9156344222397616e-06	3.535725842971089e-10	0.0	0.0	7.190396414877202e-07	4.879687673181097e-09	8.915470313018379e-09	1.2946017766229335e-09	6.982397878502847e-09	8.306557776023995e-08	0.7939264121040162	0.9970089730807578
3.092634170533106e-06	8.418753637541731e-09	2.8103476527311072e-06	3.1130157620194423e-06	3.3763615888763152e-09	0.0	7.456611633399039e-07	1.4095768106376085e-08	4.500164739074202e-08	0.0	9.90036730583225e-06	3.963865474212431e-07	9.682653641243176e-10	4.940148163493308e-10	7.243895117423629e-07	1.913879172972424e-06	3.881706005587562e-10	0.0	0.0	7.189452672710484e-07	1.7948424550809051e-09	3.2800433267107563e-09	1.6840723789817734e-09	6.4694768399858294e-09	8.482082702757652e-08	0.7434768296791424	0.9970089730807578
3.092550657792024e-06	8.728886322562094e-09	2.8103985769517357e-06	3.1219692380498504e-06	1.242043329470308e-09	0.0	7.477649469291907e-07	5.185614922095862e-09	4.518485359586351e-08	0.0	9.89916094826978e-06	3.974903765931782e-07	9.668572641614757e-10	5.303108766022273e-10	7.264808553131886e-07	1.912924354073869e-06	4.0188500009017577e-10	0.0	0.0	7.189068871868383e-07	6.602345734353207e-10	1.2066902895882294e-09	1.874401378378814e-09	6.230545480767319e-09	8.57756459261338e-08	0.7194524934954805	0.9970089730807578
3.0925212792511083e-06	8.855683726092792e-09	2.8104191410953095e-06	3.125265688365001e-06	4.5691476027368903e-10	0.0	7.485379229973725e-07	1.9076922877852795e-09	4.525422807133661e-08	0.0	9.898661276670121e-06	3.9789482884401917e-07	9.654074148014184e-10	5.450113434532845e-10	7.272501534077378e-07	1.9124606572506047e-06	4.071115181054926e-10	0.0	0.0	7.188919472387e-07	2.4287883719101907e-10	4.4392050061913265e-10	1.9543437806021556e-09	6.132125943037662e-09	8.623934274939748e-08	0.7094695479647212	0.9970089730807578
3.0925106474450813e-06	8.904723767290356e-09	2.810427170346213e-06	3.1264790208298125e-06	1.6808848592102002e-10	0.0	7.488220379365478e-07	7.018024286843431e-10	4.5280425530042215e-08	0.0	9.898467146332196e-06	3.9804322486811716e-07	9.64714543403914e-10	5.506688787868634e-10	7.27533166712441e-07	1.9122492541245903e-06	4.0907219994687034e-10	0.0	0.0	7.188862267573526e-07	8.934897693880253e-11	1.6330976153837858e-10	1.9855660802120855e-09	6.093978297650279e-09	8.645074587541281e-08	0.705587049285704	0.9970089730807578
