S	ES
0.0	0.0
0.9876035189636843	-0.9876035189636843
1.9508230203355108	-1.9508230203355108
2.8902605469116023	-2.8902605469116023
3.8065032785825483	-3.8065032785825483
4.70012389660308	-4.70012389660308
5.571680942716516	-5.571680942716516
6.42171916866789	-6.42171916866789
7.250769876698078	-7.250769876698078
8.05935124964348	-8.05935124964348
8.847968677266277	-8.847968677266277
9.61711507115017	-9.61711507115017
10.3672711729021	-10.3672711729021
11.09890585449865	-11.09890585449865
11.812476411446015	-11.812476411446015
12.50842884857506	-12.50842884857506
13.187198158878477	-13.187198158878477
13.849208595333431	-13.849208595333431
14.494873935634546	-14.494873935634546
15.12459774179211	-15.12459774179211
15.73877361182788	-15.73877361182788
16.337785425499597	-16.337785425499597
16.92200758488544	-16.92200758488544
17.491805247789326	-17.491805247789326
18.04753455628102	-18.04753455628102
18.589542859271837	-18.589542859271837
19.11816892957822	-19.11816892957822
19.63374317571109	-19.63374317571109
20.136587848346068	-20.136587848346068
20.627017241783424	-20.627017241783424
21.105337890344906	-21.105337890344906
21.571848760023393	-21.571848760023393
22.02684143528174	-22.02684143528174
22.470600301355965	-22.470600301355965
22.9034027218981	-22.9034027218981
23.325519212506798	-23.325519212506798
23.7372136098909	-23.7372136098909
24.138743236522977	-24.138743236522977
24.530359061340096	-24.530359061340096
24.91230585699406	-24.91230585699406
25.284822352687783	-25.284822352687783
25.648141383416398	-25.648141383416398
26.002490035415352	-26.002490035415352
26.348089788000433	-26.348089788000433
26.68515665213662	-26.68515665213662
27.01390130579882	-27.01390130579882
27.334529225083163	-27.334529225083163
27.647240812759414	-27.647240812759414
27.95223152378988	-27.95223152378988
28.249691987356844	-28.249691987356844
28.53980812591446	-28.53980812591446
28.822761271457573	-28.822761271457573
29.098728278951043	-29.098728278951043
29.367881636760423	-29.367881636760423
29.630389574481377	-29.630389574481377
29.886416168122192	-29.886416168122192
30.13612144265218	-30.13612144265218
30.37966147199106	-30.37966147199106
30.61718847656843	-30.61718847656843
30.848850918512724	-30.848850918512724
31.074793594395405	-31.074793594395405
31.295157725729236	-31.295157725729236
31.510081047262375	-31.510081047262375
31.719697893087144	-31.719697893087144
31.92413928055277	-31.92413928055277
32.12353299216942	-32.12353299216942
32.31800365553685	-32.31800365553685
32.50767282117242	-32.50767282117242
32.69265903846742	-32.69265903846742
32.87307792976874	-32.87307792976874
33.04904226266972	-33.04904226266972
33.22066202073387	-33.22066202073387
33.38804447192579	-33.38804447192579
33.55129423570866	-33.55129423570866
33.71051334842619	-33.71051334842619
33.86580132715341	-33.86580132715341
34.017255232065374	-34.017255232065374
34.16496972679396	-34.16496972679396
34.3090371376812	-34.3090371376812
34.449547511462264	-34.449547511462264
34.58658867169106	-34.58658867169106
34.72024627366051	-34.72024627366051
34.85060385772329	-34.85060385772329
34.97774290158204	-34.97774290158204
35.10174287119383	-35.10174287119383
35.22268127061998	-35.22268127061998
35.34063369036221	-35.34063369036221
35.45567385451972	-35.45567385451972
35.56787366690663	-35.56787366690663
35.67730325598768	-35.67730325598768
35.78403101888848	-35.78403101888848
35.88812366397142	-35.88812366397142
35.989646252520416	-35.989646252520416
36.08866223941706	-36.08866223941706
36.18523351281841	-36.18523351281841
36.279420432996886	-36.279420432996886
36.371281869861335	-36.371281869861335
36.46087523978972	-36.46087523978972
36.548256541512835	-36.548256541512835
36.63348039115892	-36.63348039115892
36.716600056482264	-36.716600056482264
