Ornithine	Arginine in
1.0	1.0
6.170328461497814	163.2702999827403
16.74086242733079	271.6111066966087
29.353811423373273	357.4440996423581
42.675951155610925	428.9000778616917
56.05892719572124	490.025664575949
69.1660277795736	543.2659301239834
81.8202770194507	590.2516400353951
93.93231140434547	632.1394115271058
105.46284605315876	669.785470563859
116.40189056612232	703.8443022304364
126.75671658824997	734.8289165018803
136.54466253963676	763.1497142851766
145.78872993316443	789.1406280732213
154.5148465971534	813.07730674933
162.7501524418164	835.1901230711804
170.52192608928542	855.6736987014644
177.8569199011995	874.6940206667415
184.7809584125361	892.3938520916262
191.31870804729718	908.8969096606644
197.49355857338927	924.3111331945628
203.3275773502119	938.7312759184864
208.84151056108678	952.2409793297293
214.05481426585754	964.9144517744301
218.98570375738515	976.8178388076111
223.6512134954251	988.0103512597753
228.0672624424809	998.5452009670951
232.24872135554196	1008.4703824514653
236.20947976830328	1017.8293301921069
239.9625112060778	1026.66147466056
243.51993573271415	1035.0027153367764
246.8930792978102	1042.8858253207557
250.09252962834194	1050.3407991088143
253.12818856725937	1057.3951528105636
256.00932087934905	1064.074184695357
258.7445996382097	1070.4012019788133
261.3421483275166	1076.3977191646864
263.80957983786465	1082.0836320915118
266.15403254742677	1087.477371220898
268.3822036702068	1092.5960369795673
270.5003800860104	1097.4555199751453
272.51446681447084	1102.0706075651835
274.4300133148905	1106.4550790404608
276.2522377841907	1110.6217907115451
277.9860496224003	1114.5827521639353
279.6360701835756	1118.3491947781113
281.2066519752822	1121.9316334535474
282.70189641596704	1125.3399223359825
284.1256702717504	1128.583305239763
285.4816208786262	1131.670461356804
286.7731902533389	1134.6095468384854
288.0036281660108	1137.4082325511285
289.1760042795434	1140.0737386001285
290.29321941533743	1142.6128658372802
291.35801601329297	1145.032024677272
292.37298786443097	1147.3372615572373
293.3405891615	1149.5342832112285
294.26314291767585	1151.6284789802357
295.1428488150622	1153.6249413839685
295.98179051755505	1155.5284850853557
296.7819424893194	1157.34366439294
297.5451763586597	1159.0747894554117
298.27326687212627	1160.7259413050415
298.96789743322387	1162.3009856790006
299.6306653118902	1163.8035859969768
300.26308649406974	1165.2372153072
300.86660023931756	1166.6051674751463
301.4425733382811	1167.9105675516798
301.9923041116169	1169.1563814647013
302.5170261616585	1170.3454250645264
303.017911882693	1171.4803725480028
303.49607577076216	1172.5637643720534
303.9525775227621	1173.5980146141878
304.38842495906374	1174.5854179085095
304.80457676364256	1175.528155911284
305.2019450687176	1176.428303386908
305.58139788721485	1177.2878339179256
305.9437614055897	1178.1086252700468
306.28982213661783	1178.8924644064734
306.6203289600236	1179.6410522445267
306.93599504680486	1180.3560081342239
307.23749966324027	1181.0388740279188
307.5254898939457	1181.6911184765743
307.80058224808874	1182.3141403306126
308.063364198187	1182.9092722930243
308.3143956209176	1183.477784229307
308.5542101628824	1184.0208863162688
308.7833165325699	1184.5397320095042
309.0021997281674	1185.0354208522779
309.21132219733795	1185.5090011302027
309.41112493340165	1185.9614723849882
309.60202851563594	1186.3937877943335
309.78443409619786	1186.8068564236503
309.95872433472897	1187.2015453619613
310.12526428479975	1187.578681743531
310.28440224102246	1187.9390546701695
310.4364705297419	1188.2834170263836
310.58178627314726	1188.6124872090086
310.72065210637606	1188.9269507642532
310.85335686262056	1189.2274619438995
310.9801762221645	1189.5146451824783
