nucleus_RNA_InR	nucleus_RNA_SOD2	nucleus_Foxo1_Pa0_Pd0_Pe0_pUb0	nucleus_Foxo1_Pa0_Pd0_Pe1_pUb1	nucleus_Foxo1_Pa0_Pd1_Pe0_pUb1	nucleus_Foxo1_Pa0_Pd1_Pe1_pUb0	nucleus_Foxo1_Pa1_Pd0_Pe0_pUb1	nucleus_Foxo1_Pa1_Pd0_Pe1_pUb0	nucleus_Foxo1_Pa1_Pd1_Pe0_pUb0	nucleus_Foxo1_Pa1_Pd1_Pe1_pUb1	cytoplasm_Foxo1_Pa0_Pd0_Pe0_pUb1	cytoplasm_Foxo1_Pa0_Pd1_Pe1_pUb1	cytoplasm_Foxo1_Pa1_Pd0_Pe1_pUb1	cytoplasm_Foxo1_Pa1_Pd1_Pe0_pUb1	cytoplasm_Foxo1_Pa0_Pd0_Pe0_pUb0	nucleus_Foxo1_Pa1_Pd1_Pe1_pUb0	nucleus_Foxo1_Pa1_Pd0_Pe0_pUb0	nucleus_Foxo1_Pa0_Pd0_Pe1_pUb0	nucleus_Foxo1_Pa0_Pd1_Pe0_pUb0	nucleus_Foxo1_Pa0_Pd1_Pe1_pUb1	nucleus_Foxo1_Pa0_Pd0_Pe0_pUb1	dnabound_Foxo1_Pa1_Pd0_Pe1_pUb1	dnabound_Foxo1_Pa1_Pd1_Pe0_pUb1	cytoplasm_Foxo1_Pa1_Pd1_Pe1_pUb0	dnabound_Foxo1_Pa0_Pd0_Pe1_pUb0	dnabound_Foxo1_Pa0_Pd1_Pe0_pUb0	dnabound_Foxo1_Pa1_Pd0_Pe0_pUb0	dnabound_Foxo1_Pa0_Pd1_Pe1_pUb1	dnabound_Foxo1_Pa0_Pd0_Pe0_pUb1	dnabound_Foxo1_Pa1_Pd1_Pe1_pUb0	nucleus_Foxo1_Pa1_Pd0_Pe1_pUb1	nucleus_Foxo1_Pa1_Pd1_Pe0_pUb1	cytoplasm_Foxo1_Pa0_Pd1_Pe0_pUb0	cytoplasm_Foxo1_Pa0_Pd0_Pe1_pUb0	cytoplasm_Foxo1_Pa1_Pd0_Pe0_pUb1	cytoplasm_Foxo1_Pa1_Pd1_Pe1_pUb1	cytoplasm_Foxo1_Pa1_Pd0_Pe0_pUb0	cytoplasm_Foxo1_Pa0_Pd0_Pe1_pUb1	IRS1	cytoplasm_Foxo1_Pa0_Pd1_Pe0_pUb1	dnabound_Foxo1_Pa0_Pd1_Pe1_pUb0	dnabound_Foxo1_Pa1_Pd0_Pe0_pUb1	dnabound_Foxo1_Pa0_Pd0_Pe0_pUb0	dnabound_Foxo1_Pa1_Pd1_Pe1_pUb1	cytoplasm_Foxo1_Pa0_Pd1_Pe1_pUb0	dnabound_Foxo1_Pa1_Pd1_Pe0_pUb0	IRS1_TyrP	cytoplasm_Foxo1_Pa1_Pd0_Pe1_pUb0	dnabound_Foxo1_Pa0_Pd0_Pe1_pUb1	Ins_InR_P	cytoplasm_InR	cytoplasm_Foxo1_Pa1_Pd1_Pe0_pUb0	ROS	dnabound_Foxo1_Pa0_Pd1_Pe0_pUb1	InR	Ins_2_InR_P	dnabound_Foxo1_Pa1_Pd0_Pe1_pUb0	NOX	IRS1_PolySerP	IRS1_TyrP_PolySerP	PTP1B_ox	AS160_P	GSH	cytoplasm_GLUT4	JNK_P	PTEN	DUSP_ox	PKC_P	Akt_P2	PI345P3	cytoplasm_SOD2	IKK	cytoplasm_RNA_SOD2	cytoplasm_RNA_InR	cytoplasm_Ins_InR_P	NOX_deact	cytoplasm_Ins_2_InR_P	IRS1_TyrP_PI3K	Ins_InR	degr_Foxo1	PKC	IKK_P	DUSP	PIP2	NOX_inact	JNK	Akt	PI3K	PTEN_ox	AS160	GSSG	cellsurface_GLUT4	PTP1B	Foxo1_Pa0_tot	Foxo1_Pa1_tot	Foxo1_Pd0_tot	Foxo1_Pd1_tot	Foxo1_Pe0_tot	Foxo1_Pe1_tot	Foxo1_pUb0_tot	Foxo1_pUb1_tot	cytoplasm_Foxo1_tot	nucleus_Foxo1_tot	dnabound_Foxo1_tot	Foxo1_all	InR_tot	InR_bound	InR_active	PI345P3_mol	PIP2_mol	PTP1B_plus_PTP1B_ox	PTEN_plus_PTEN_ox	NOX_total	IRS_total	JNK_plus_JNK_P	IKK_plus_IKK_P	DUSP_plus_DUSP_ox	Values[insconc]	Values[k_ros_perm]	Values[ros_ext_conc]	Values[ros_cyto_conc]	Values[rosconc]
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60606060606060.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6060606060606060.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	606060606060606.0	0.0	0.0	0.0	1.40625e+18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6060606060606.061	5818181818181818.0	0.0	6060606060606060.0	0.0	0.0	0.0	60606060606060.6	2527272727272727.0	121212121212121.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6060606060606060.0	0.0	6060606060606060.0	1.212121212121212e+16	6060606060606.061	969696969696969.6	6060606060606060.0	606060606060606.0	0.0	1212121212121212.0	0.0	6.249999999999999e+16	6060606060606060.0	120481927710843.38	0.0	120481927710843.38	0.0	120481927710843.38	0.0	120481927710843.38	0.0	120481927710843.38	0.0	0.0	120481927710843.38	6060606060606060.0	0.0	0.0	6.06060606060606e+16	1.212121212121212e+19	6060606060606060.0	6060606060606060.0	6060606060606.061	6060606060606060.0	969696969696969.6	121212121212121.2	6060606060606060.0	0.0	4.8100000000000005	0.0	0.0	0.0
11936049920395.404	38644463421900.18	286440614371981.1	248767639.1868928	15858025.993275704	2227442.9740229915	519869759.8044562	238062572.89342746	1518656.7244988705	26.63062002040031	48240968755.967125	998.1477860383956	66101.9621638214	26560.63992409492	50686384500962.17	1945.3152947769247	307734270059.0067	254954022708.31937	2439945209.988701	14967.314811725546	281777625658.64276	172352.57321729144	29677.757972142634	388.5999065238771	110422628717.93555	1863185842.8619184	207872064174.25766	7405.607060366256	184090577425.8948	1042.2045898859985	397435.46197311656	16170.47242749862	593396267.332604	9818830394.49675	244443780.5654056	7.313772660408038	124993918095.243	9348918.791244173	6060296061193414.0	4394055.963597905	1087346.6084294613	350206291.3056368	185517677898732.56	15.26444505218823	130308.62040380713	2008903.0794184895	6.958017818662619e-17	32986449.003034115	108978185.92736498	0.0	603767856021619.5	1448493.4904122585	109157350802.69798	12753032.093623675	1.406157791673909e+18	0.0	105384226.95035589	2.626968026977947e-13	9941849508982.268	1.529664980251289e-19	647733786884668.6	3013943366419.3	5831923817211.008	5774188611394228.0	425324442629.2311	6057930367182238.0	6413402538961.482	590377922864.572	434951048276.8213	11215938948736.92	2522492500462250.5	121201486203965.19	35510056990.87109	11123444638.358335	0.0	-4.107227523440951e-31	0.0	2.884347188306494e-16	0.0	2613467736.3416147	6060015682683186.0	10635008156.030128	6054192658067093.0	1.2170602242869444e+16	6060606060606.061	969271645254340.1	6060171109557786.0	606060606060606.0	2675693423814.6577	1209107268754794.0	228682243395.05377	7.38419986249268e+16	5412872273721391.0	120405396993301.25	270130450355.2993	120674165064093.77	1362379562.7763002	120639202374722.48	36325068934.070335	120559867785977.06	115659657679.4805	101127753445648.44	17306538974112.041	2241235023896.0596	120675527443656.55	6057955654029509.0	0.0	0.0	1.121593894873692e+16	1.2170602242869445e+19	6060606060606060.0	6060606060606052.0	6060606060606.061	6070237910702396.0	969696969696969.4	121212121212121.22	6060606060606055.0	0.0	4.8100000000000005	0.0	1.8132450299451494e-10	1.8132450299451494e-13
35559207683813.36	125249207848641.61	458996015565955.0	2151222081.791012	143910278.78828943	34387194.806905754	1658890929.404298	1284985883.6701083	5789146.54169304	826.7117517068351	77748486978.53528	15682.19806604408	454360.6160173743	189352.07065573428	42847406710992.61	32823.343683738734	500577526038.7285	1126986385013.5305	12337978081.578243	434435.8973387912	888382203546.4761	3925317.638378756	675574.2523735618	4741.160941350662	1048865570760.1143	20484239479.363216	765454305588.396	454445.6863798838	1204792213203.8203	39275.4706124629	4355152.877562554	93776.49239882179	1790414021.286049	21255896450.775978	527390105.61873937	169.72736350214367	137347039679.70407	38601004.713932894	6070059019424887.0	24713195.479820963	35562101.51853494	2571578924.8304605	611574875945570.6	1088.8708867649323	1081359.9656466758	24471152.138139743	1.6424581276155683e-17	114525329.21266022	2048352562.101369	0.0	602095780450841.6	5519559.997701108	109360851156.9425	257932067.9049808	1.4059190439051886e+18	0.0	1186438967.895308	-6.72896893142457e-13	9770664634066.643	6.410524385346186e-20	997589209020741.4	3500387075948.527	5803213137165.934	5736524636259191.0	830648836727.9928	6055714527729398.0	12593421169736.205	316006530367.6039	240166754401.71298	11219966834616.63	2517796354215198.0	121191347635451.72	125895885531.67667	36108212476.52853	0.0	-3.970368178783996e-29	0.0	6.335869149292137e-17	0.0	9081256944.123343	6060290054075680.0	20773576669.545326	6048012639436318.0	1.217059821498357e+16	6060606060606.061	968866320860241.4	6060365893851662.0	606060606060606.0	4891532876656.989	1208620825045264.2	257392923440.12573	8.355224221442906e+16	5063016851585317.0	120547536113870.47	313928857264.65295	120856838027863.84	4626943271.292012	120738125273390.38	123339697744.74205	120637399235250.73	224065735884.4058	85653410507136.22	27802986973564.2	7405067490434.706	120861464971135.12	6055357526507331.0	0.0	0.0	1.121996683461663e+16	1.217059821498357e+19	6060606060606058.0	6060606060606055.0	6060606060606.061	6079829684058954.0	969696969696969.4	121212121212121.27	6060606060606055.0	0.0	4.8100000000000005	0.0	1.8166254345007062e-10	1.8166254345007063e-13
75774475390348.33	278894383066552.34	560649063959455.7	6441725420.095742	437746896.12150466	137509048.26603428	2305858438.8230114	2354956477.0863867	8497687.69433767	3836.4678381610643	94952641752.5219	64615.49809579894	1037089.0603606369	430491.4358798745	36540916296247.28	109205.34528755247	471881162232.34485	2296726290392.535	27623725809.82353	2439919.197511811	1601656226490.3616	16719123.071522644	2897761.779036965	14494.802268138297	3371541691372.117	73305006502.6668	1202726243800.4263	3987071.2715492714	3355973949057.34	211771.03561702505	12081504.867587278	175113.8251734167	3113206830.532777	29134001081.720615	648549873.4723984	732.5588993974161	114879182300.20845	75786782.08135454	6080456572835996.0	60288707.76879739	222304441.6313196	6050676287.57101	1143878785043780.5	8363.460407942737	3153195.8010674883	73844127.38841107	3.4413457195001074e-18	177626356.4373572	9786197117.477661	0.0	600903431874494.2	8968792.240305152	109557863266.121	1281435341.224257	1.4055799838133304e+18	0.0	3341990046.755796	-1.4532557394619611e-12	8962246653221.924	1.894099843701537e-20	1186791887676082.2	3046554549430.562	5799262188248.892	5705195376178494.0	1216893556721.2332	6053879437767265.0	18547332405261.473	169146106881.14368	132612785165.09143	11223304805105.83	2513266576601586.5	121181682829528.62	293676352791.4495	80222166325.60124	0.0	-4.3817295977454685e-29	0.0	1.0762932558985977e-17	0.0	17868904925.61008	6060436914499168.0	30438382592.645058	6042058728200791.0	1.2170594877013086e+16	6060606060606.061	968480076140248.4	6060473447820900.0	606060606060606.0	6726622838791.606	1209074657571782.0	261343872357.16986	9.162931707898389e+16	4873814172929981.0	120769439701229.2	273351029942.76364	121033855166955.47	8935564216.499376	120804683302187.16	238107428984.8137	120714787126767.8	328003604404.18805	73124762122188.72	34039677859513.758	13878350749469.465	121042790731171.94	6052850035756503.0	0.0	0.0	1.122330480510583e+16	1.2170594877013086e+19	6060606060606063.0	6060606060606057.0	6060606060606.061	6089418819489218.0	969696969696969.6	121212121212121.27	6060606060606053.0	0.0	4.8100000000000005	0.0	1.81989806089902e-10	1.81989806089902e-13
132079380475522.25	497321803338115.7	618281533363033.8	12869084897.224533	874929425.0950632	327140460.722605	2329463294.438603	2851719306.231272	8807842.459514879	8531.049733446916	104040574756.56133	158467.37319570826	1527603.1504248998	617883.1024059429	31403082559566.86	194522.29613277136	362541203368.83997	3508734678467.4766	45278712735.72717	7241252.5106147025	2318761121216.1494	36531178.033968784	6332514.951970453	25504.523501589647	7114125616946.902	167691401060.05975	1341192782161.9226	16244562.734762287	6619646154651.437	528863.2854921103	19606801.342832815	219019.62299217345	4353037214.191654	34075454634.614178	635798828.9799793	1610.1206960028765	86248345309.39154	113020770.00963384	6090035967405097.0	105376105.62640738	725933118.7562661	8991972192.985136	1703993481788697.5	26496.137822746	6165377.800935744	127090203.28865053	3.4639361656540466e-19	200788557.62417367	27307295386.29456	0.0	600097678413437.9	10348551.942856904	109744059262.55476	3638187363.286047	1.4051766185366236e+18	0.0	5444166689.191287	-1.4082830022684286e-12	8966162684185.434	5.084097229428497e-21	1289302242160877.8	2357992029028.36	5798392237144.497	5679483048052381.0	1584995820909.3796	6052359671021099.0	24282910944123.176	90537386823.89612	73224751009.49765	11226070714399.834	2509000457945037.5	121172468664680.45	539665689312.61224	143753044685.64542	0.0	-4.5787837753318047e-29	0.0	-8.244367068034638e-18	0.0	27955777906.818283	6060515523219225.0	39652547440.79988	6036323149661940.0	1.2170592111103794e+16	6060606060606.061	968111973876060.0	6060532835855052.0	606060606060606.0	8246389584964.038	1209763220092184.2	262213823461.56516	9.825827667399781e+16	4771303818445186.0	121009899532729.92	211634161792.6394	121207760350172.52	13773344350.02883	120854699559208.14	366834135314.41406	120792112385358.16	429421309164.4036	62884628640029.03	37622658885191.27	20714246169302.246	121221533694522.56	6050479713949433.0	0.0	0.0	1.1226070714399834e+16	1.2170592111103793e+19	6060606060606064.0	6060606060606063.0	6060606060606.061	6099002130089282.0	969696969696969.2	121212121212121.27	6060606060606063.0	0.0	4.8100000000000005	0.0	1.8229910176504115e-10	1.8229910176504114e-13
201506459000571.7	768569193629298.4	648819870648944.8	20905617311.1758	1412655367.258694	596359892.9097999	2007237812.6012487	2796131569.807687	7703657.866647035	12988.406612813653	107827259299.95035	296310.3258922397	1779989.9271143053	693890.7401240796	27180150860694.42	251675.47468405342	252479010591.31757	4642994996633.415	63373327231.181404	15454798.21469664	2997553932016.4697	55945760.13667304	9616822.785461118	33419.857706728195	12053348560747.7	302343741810.8904	1244091975677.365	44218664.217949644	10843029361683.932	878871.8278875906	24085477.043231286	225542.2743357591	5426441051.394294	36927355802.59442	551133054.8920363	2466.9271616987567	61111263811.3908	146636140.94211373	6098913764149328.0	154260243.6024283	1686426194.9345155	10431975340.014397	2247808223096926.0	52449.31511289724	9800911.490528248	161744213.91193542	-1.7589332453165935e-18	191857066.75906265	57403813079.15917	0.0	599609692546421.1	9953496.333557067	109915436977.84348	7671579829.197307	1.404737725281415e+18	0.0	6638805237.941138	1.8711443346275492e-12	9658743843437.898	1.0246343858159741e-21	1345151797864680.8	1712049590174.3606	5797930435497.196	5658491965948498.0	1935826028091.4111	6051100658895770.0	29807728428914.844	48461171050.40134	40432482857.60854	11228363090021.328	2505086650848521.0	121163683668736.23	851169458110.4272	223561188328.99	0.0	-5.279197254473462e-29	0.0	-9.915364639460889e-18	0.0	38670190221.98721	6060557599434999.0	48437543385.03876	6030798332177150.0	1.2170589818728174e+16	6060606060606.061	967761143668877.9	6060565628123206.0	606060606060606.0	9505401710292.367	1210409162531039.2	262675625108.86264	1.0367004002890562e+17	4715454262741382.0	121245342722710.12	153686417209.92538	121380195492810.61	18833647109.468002	120897743910996.06	501285228924.0173	120869381154368.86	529647985551.22516	54454989018825.38	39566508292259.65	27377531828835.05	121399029139920.08	6048289354244031.0	0.0	0.0	1.1228363090021328e+16	1.2170589818728174e+19	6060606060606064.0	6060606060606063.0	6060606060606.061	6108572507992766.0	969696969696969.2	121212121212121.27	6060606060606065.0	0.0	4.8100000000000005	0.0	1.8258378235522173e-10	1.8258378235522172e-13
280265724253110.38	1077461128095146.5	662930103518061.8	30068437502.686348	2013902846.1325493	928940831.3759981	1581921166.7945554	2423243490.502941	6124048.757798352	15791.457517988181	108238706485.64395	470292.4342774877	1793897.7733180467	670809.132455923	23687384249568.883	269686.94271254586	166899209593.73312	5657238888175.998	80924032204.44464	27114021.44623298	3626560594862.371	68866252.60379808	11649901.942965427	36550.26932987617	17888725235700.516	471117519280.9131	1029863090299.0494	94265165.29277222	15831539522666.99	1138701.0679937005	25050462.37324692	207506.64162937747	6313694438.195461	38333022905.798615	442306562.967044	3028.963914490633	41778756028.389206	175271017.18164894	6107370004645375.0	202773148.35843763	3187776759.5321136	10377481994.269114	2752263633875777.5	77825.35526817811	13758856.058020331	170772424.3629268	-4.951783847853923e-19	165292702.28463936	101543831993.46944	0.0	599383238836420.9	8570372.24210301	110068810047.835	13482449527.190102	1.4042864318291628e+18	0.0	6783326827.73762	-1.0715930060036003e-12	10755079137306.111	1.2922606978370232e-22	1375876141862618.2	1194117726852.396	5797553235893.968	5641370565378911.0	2270193856226.022	6050057303910522.0	35128937368456.75	25939395661.06504	22325588645.50407	11230263509093.91	2501594376065360.0	121155307868309.47	1210569101114.0444	315249653409.8988	0.0	-3.77311286148708e-29	0.0	7.804018849713296e-18	0.0	49579361321.05904	6060580121210391.0	56813343811.796165	6025477123237608.0	1.2170587918309108e+16	6060606060606.061	967426775840742.9	6060583735017415.0	606060606060606.0	10548756695542.904	1210927094394361.0	263052824712.0918	1.0808415111325229e+17	4684729918743447.0	121468938226831.0	107199187410.19325	121552201691698.39	23935722542.826054	120939537938995.23	636599475245.9701	120946574359046.84	629563055194.3578	47478371049995.84	40511975992183.94	33585790372061.418	121576137414241.2	6046312428961658.0	0.0	0.0	1.123026350909391e+16	1.2170587918309108e+19	6060606060606065.0	6060606060606065.0	6060606060606.061	6118125083782681.0	969696969696969.0	121212121212121.27	6060606060606065.0	0.0	4.8100000000000005	0.0	1.828385548967359e-10	1.828385548967359e-13
364612698480698.9	1409036562798322.8	667312303087795.5	40011016185.72992	2652685769.1100574	1307788906.0071466	1181194473.3592303	1941272914.2236924	4588806.634787862	16588.924757427605	106601789339.3066	670279.3962538608	1639117.8404900692	587255.2515584757	20785585113216.723	255947.2574106163	107159655071.13354	6547298698532.129	97519063838.88234	41908056.75028974	4208605341891.3647	73215668.46557292	12114004.064888075	35439.331558344165	24328264349473.984	665985500347.1501	789634223021.0256	170974904.61477652	21394690448919.74	1249572.9408465207	23373182.49622692	177201.95056638453	7026752717.510456	38758863453.70967	336832901.13532484	3209.316756553192	27886601939.529118	198811570.87712246	6115607047621161.0	248447394.8829364	5257473203.308708	9302669151.83273	3207027912023376.5	95228.68739710578	17808340.200971715	158981149.81111532	7.691084888501173e-18	132836618.09092292	160127716898.8068	0.0	599369565062976.8	6860122.069612002	110201956926.34128	20983517667.4029	1.403841135650752e+18	0.0	6160072695.893709	1.5344776647871176e-12	12050189314255.328	2.9899958022936613e-22	1393029633222451.5	810277788918.758	5797225733394.288	5627386064793947.0	2588855183310.9	6049192432020461.0	40253269072788.305	13884357997.770119	12327511779.230993	11231839316069.596	2498570549840453.5	121147322617338.77	1599927963963.599	414330459042.0238	0.0	-1.752352668176114e-29	0.0	3.900291543221298e-17	0.0	60414618290.298515	6060592176248056.0	64798594782.45574	6020352791533274.0	1.2170586342502132e+16	6060606060606.061	967108114513657.9	6060593733094283.0	606060606060606.0	11413628585604.625	1211310934332294.2	263380327211.77032	1.116895301703137e+17	4667576427383612.0	121680655448810.28	72737177480.07115	121724417993558.75	28974632731.55403	120983435553712.5	769957072577.8354	121023668672128.72	729723954161.6052	41680995213626.555	40862653621997.68	39209743790666.08	121753392626290.33	6044571545768925.0	0.0	0.0	1.1231839316069596e+16	1.2170586342502132e+19	6060606060606064.0	6060606060606065.0	6060606060606.061	6127657236935417.0	969696969696968.9	121212121212121.22	6060606060606062.0	0.0	4.8100000000000005	0.0	1.8305972911352374e-10	1.8305972911352372e-13
451262565358202.25	1750181427020066.0	666148515441584.5	50522172969.54775	3312349764.068742	1718542112.0079148	851685473.4134213	1474451216.976999	3304848.8277245886	15748.392468450897	103829087161.78893	886844.3299465899	1396297.3647076953	479670.48363173136	18366997925785.625	223479.61895470048	67645739528.24349	7325524995784.29	113047424950.49664	59398419.88639333	4752133814081.765	70126019.57343145	11293877.805252615	31567.95233291274	31122023518190.78	878837260763.7523	573244861214.6589	276890801.66309	27366046719274.93	1219019.8066606473	20223515.26448041	143317.45824797364	7591273910.057099	38541686841.51139	247028397.14383647	3065.5524630360233	18303257707.79993	217786197.93975636	6123745240260249.0	290171869.07053745	7878803675.226232	7738850064.21155	3609268693633808.0	101619.16770224743	21797010.49705754	135294730.75126195	-1.445964991281668e-15	101601428.53102535	232814557021.3856	0.0	599525471167485.8	5218907.933102917	110313588135.27797	29971354931.575935	1.403416141350204e+18	0.0	5146173622.585216	3.98437320124067e-12	13422557937342.377	-1.6990364883615853e-20	1402804913827505.0	538962547591.82764	5796946800420.507	5615935837588279.0	2892518807080.829	6048475406197218.0	45187092651343.4	7431761303.890353	6806877481.365683	11233146080860.484	2496040999122169.5	121139710430354.84	2003242072290.4294	516795312728.37164	0.0	-2.1755780379814982e-29	0.0	-5.678105016638864e-15	0.0	71019820108.45631	6060598628844752.0	72410781766.37271	6015418967954720.0	1.2170585035737334e+16	6060606060606.061	966804450889887.6	6060599253728579.0	606060606060606.0	12130654408847.906	1211582249573620.8	263659260185.553	1.1464154187177474e+17	4657801146778558.0	121882730903785.97	48374273106.80854	121897214253974.81	33890922917.98918	121031335686133.08	899769490759.7239	121100644244023.33	830460932869.4634	36848972161319.16	40871375296794.87	44210757718778.74	121931105176892.77	6043078989131913.0	0.0	0.0	1.1233146080860484e+16	1.2170585035737334e+19	6060606060606064.0	6060606060606065.0	6060606060606.061	6137167798197591.0	969696969696968.5	121212121212121.2	6060606060606063.0	0.0	4.8100000000000005	0.0	1.8324516301541192e-10	1.8324516301541191e-13
537545788759449.4	2090239187434568.5	662022965882198.9	61494902288.62018	3982705681.7735133	2150418728.8104315	599344722.3091584	1078148077.2788649	2313253.728236491	13888.150961644076	100542351810.19382	1112641.4660994161	1128925.0391375802	372518.4172227324	16346455882208.895	183737.12342397304	42259428468.7608	8009751956306.922	127539651673.96278	79151214.85868606	5266836703918.015	62149344.70847628	9707608.862413919	26422.111690548347	38070522692219.055	1102406214064.674	399588167091.16956	412719235.1541292	33609438989984.812	1090044.6712865087	16560577.722475305	111105.37200990079	8036658310.458163	37923915273.87478	176142810.42850602	2714.2041102100097	11866961373.91157	233007644.15871274	6131851133952710.0	327747001.9722045	11005521254.56356	6087621176.339899	3960390986812775.5	97980.1121150132	25639716.262053464	107703705.01670617	-3.6863258157186015e-16	74917581.03425878	318805092425.3533	0.0	599812744388798.4	3826292.9267243524	110403226299.1394	40187809052.2351	1.4030221905587569e+18	0.0	4041944531.747152	4.4280271176563685e-12	14805292132244.955	-1.1828826898400749e-20	1408520064935477.2	353132615595.15283	5796717768500.782	5606534591029089.0	3181852474473.99	6047880964892157.0	49936478358832.89	3977935196.1858735	3758550958.921452	11234229669638.465	2494013531559383.0	121132454832763.7	2407341038278.739	619344899749.92	0.0	-5.178348131420583e-29	0.0	-1.233782890550015e-15	0.0	81315447895.80493	6060602082670859.0	79666379357.48082	6010669582247225.0	1.2170583952148554e+16	6060606060606.061	966515117222494.1	6060602302055102.0	606060606060606.0	12725095713906.164	1211768079505617.2	263888292105.27835	1.1706530075031525e+17	4652085995670583.0	122077745959292.39	31687186456.830593	122070780829649.19	38652316100.05065	121084245592946.48	1025187552802.7434	121177486645090.66	931946500658.5764	32812475896210.652	40695105872038.68	48601851377499.92	122109433145749.25	6041838210798523.0	0.0	0.0	1.1234229669638464e+16	1.2170583952148554e+19	6060606060606060.0	6060606060606063.0	6060606060606.061	6146656426084955.0	969696969696968.1	121212121212121.19	6060606060606058.0	0.0	4.8100000000000005	0.0	1.833940636198329e-10	1.833940636198329e-13
