HO*	LOO*	O2*-	Cu(II)ZnSOD	L*	H2O2	LOOH	Values[HO2*]	Values[Cu(I)ZnSOD]
4.507336100563387e-23	1.0934423837065402e-08	4.12242319876979e-11	5e-06	2.565104306570116e-12	9.711943899033106e-10	1.822899354435316e-07	4.12242319876979e-13	5e-06
4.507336088022425e-23	1.1324636144547198e-08	4.1224231887221906e-11	5e-06	2.656153856850007e-12	9.711943875361873e-10	1.8954595661987348e-07	4.1224231887221906e-13	5e-06
4.507336075531089e-23	1.171330420447442e-08	4.1224231787143546e-11	5e-06	2.7468430830633023e-12	9.71194385178431e-10	1.9677630466305824e-07	4.122423178714355e-13	5e-06
4.507336063089661e-23	1.2100419238560449e-08	4.122423168746508e-11	5e-06	2.8371699369440333e-12	9.711943828300946e-10	2.039806504617853e-07	4.122423168746508e-13	5e-06
4.5073360507000656e-23	1.248592133306845e-08	4.1224231588201924e-11	5e-06	2.9271204386125656e-12	9.711943804915418e-10	2.111576094829408e-07	4.1224231588201915e-13	5e-06
4.5073360383642304e-23	1.2869750574261584e-08	4.122423148936952e-11	5e-06	3.0166806081892653e-12	9.711943781631362e-10	2.1830579719341087e-07	4.122423148936952e-13	5e-06
4.50733602608408e-23	1.3251847048403009e-08	4.122423139098328e-11	5e-06	3.1058364657944984e-12	9.711943758452406e-10	2.2542382906008164e-07	4.122423139098328e-13	5e-06
4.5073360138597535e-23	1.3632206441527713e-08	4.1224231293044326e-11	4.9999999999999996e-06	3.194587004830406e-12	9.71194373537882e-10	2.3251235517515334e-07	4.122423129304432e-13	5.000000000000001e-06
4.507336001692293e-23	1.4010796288325127e-08	4.1224231195561013e-11	4.9999999999999996e-06	3.28292465005098e-12	9.711943712412572e-10	2.3957099545680903e-07	4.122423119556101e-13	5.000000000000001e-06
4.507335989584539e-23	1.4387528272030785e-08	4.1224231098556076e-11	4.9999999999999996e-06	3.3708287942026156e-12	9.711943689559015e-10	2.465973259878311e-07	4.122423109855608e-13	5.000000000000001e-06
4.5073359775381864e-23	1.4762349619345884e-08	4.122423100204312e-11	4.9999999999999996e-06	3.4582871235081024e-12	9.711943666821354e-10	2.535902235332281e-07	4.122423100204311e-13	5.000000000000001e-06
4.507335965554931e-23	1.5135207556971622e-08	4.122423090603571e-11	4.9999999999999996e-06	3.5452873241902308e-12	9.711943644202787e-10	2.605485648580085e-07	4.1224230906035707e-13	5.000000000000001e-06
4.50733595363647e-23	1.55060493116092e-08	4.122423081054746e-11	4.9999999999999996e-06	3.6318170824717925e-12	9.71194362170652e-10	2.6747122672718075e-07	4.122423081054745e-13	5.000000000000001e-06
4.507335941782468e-23	1.5874885283294475e-08	4.122423071557567e-11	4.9999999999999996e-06	3.717878825018911e-12	9.711943599331924e-10	2.7435884565664225e-07	4.1224230715575665e-13	5.000000000000001e-06
4.5073359299925544e-23	1.624172706288462e-08	4.122423062111737e-11	4.9999999999999996e-06	3.80347525635599e-12	9.711943577078288e-10	2.812120913337043e-07	4.1224230621117374e-13	5.000000000000001e-06
4.5073359182700463e-23	1.6606471383295804e-08	4.122423052719915e-11	4.9999999999999996e-06	3.888582280823783e-12	9.711943554951885e-10	2.8802843397291327e-07	4.1224230527199144e-13	5.000000000000001e-06
4.507335906616313e-23	1.6969075674949203e-08	4.122423043383196e-11	4.9999999999999996e-06	3.973189965512846e-12	9.711943532955293e-10	2.948070345732095e-07	4.122423043383196e-13	5.000000000000001e-06
4.507335895032722e-23	1.7329497368266e-08	4.122423034102677e-11	4.9999999999999996e-06	4.057288377513734e-12	9.711943511091094e-10	3.015470541335333e-07	4.1224230341026774e-13	5.000000000000001e-06
4.507335883520641e-23	1.7687693893667363e-08	4.1224230248794544e-11	4.9999999999999996e-06	4.140867583917006e-12	9.71194348936187e-10	3.082476536528252e-07	4.1224230248794545e-13	5.000000000000001e-06
4.507335872080167e-23	1.8043662294677645e-08	4.122423015713603e-11	5e-06	4.223926894870696e-12	9.711943467767805e-10	3.149088191380534e-07	4.122423015713602e-13	5e-06
