TF_VIIa	Xa	IXa	ATIII	VII	IXa_VIIIa	IIa	Xa_Va	VIIIa	TF_VIIa_Xa	X	mIIa	VIIa	Va	Xa_TFPI	VIIIa1_L	TF_VIIa_X	II	TF_VIIa_IX	mIIa_ATIII	TF_VIIa_Xa_TFPI	IX	TF_VIIa_ATIII	IXa_VIIIa_X	TF_VII	Xa_Va_II	IXa_ATIII	IIa_ATIII	TF	TFPI	Xa_ATIII	VIII	V	VIIIa2	Values[IIa+1.2mIIa]
0.0	0.0	0.0	3.4e-06	1e-08	0.0	0.0	0.0	0.0	0.0	1.6e-07	0.0	1e-10	0.0	0.0	0.0	0.0	1.4000000000000001e-06	0.0	0.0	0.0	9.000000000000001e-08	0.0	0.0	0.0	0.0	0.0	0.0	2.5e-11	2.5e-09	0.0	7.000000000000001e-10	2e-08	0.0	0.0
3.034968639331155e-14	3.7216529370355205e-14	4.145464051745889e-15	3.399999999927158e-06	9.999213274658319e-09	1.007833329988013e-27	1.172004214694635e-16	6.98684811427032e-21	3.718692458131285e-19	4.330542423408919e-15	1.5999994173683195e-07	1.5098142257713372e-21	9.994507203115247e-11	1.0636427604622582e-17	2.5249851023858923e-17	4.0659089416496103e-22	1.506317603130189e-14	1.3999999998821626e-06	5.132582138217301e-15	4.9849588860759694e-26	1.5704326183780971e-15	8.999999071986122e-08	1.2868431441269553e-17	9.983054558312431e-28	7.851940224930829e-13	-6.961918067429317e-21	2.092631941468736e-18	6.419099106316335e-19	2.415834668947087e-11	2.4999984043175283e-09	5.723770381495279e-17	6.999999996277245e-10	1.9999999989363546e-08	4.0659089416496103e-22	1.1720223324653443e-16
5.5281456039806674e-14	1.612208991508257e-13	1.8384563367807513e-14	3.3999999993932445e-06	9.998444768441176e-09	1.5528100260779814e-25	1.0751617501802247e-15	1.9734646178578155e-21	7.207608163392586e-18	8.711818438400415e-15	1.5999979304741677e-07	2.471192797186206e-20	9.990281652183438e-11	2.0640130054184553e-16	2.33020241520198e-16	1.6562255111728055e-20	2.9438753680547396e-14	1.3999999989123548e-06	1.0611163342811636e-14	1.2890546959958545e-22	6.819816406656748e-15	8.999997098477927e-08	4.653245220552784e-17	2.085792315871508e-25	1.5415054966251814e-12	1.605489666394111e-21	1.9494055013866856e-17	1.2456534541125027e-17	2.33475849630144e-11	2.4999929471633506e-09	5.282717384507344e-16	6.999999927758298e-10	1.9999999793595114e-08	1.6562255111728055e-20	1.0751914044937909e-15
7.754300614139762e-14	3.627445975570989e-13	4.193225160904513e-14	3.3999999979333566e-06	9.997682721330413e-09	2.689117276128348e-24	3.708627408760721e-15	3.538193283514605e-20	3.817943257458433e-17	1.2624872209138468e-14	1.5999956432815828e-07	6.843652258407559e-19	9.988384043066588e-11	1.0946184133058848e-15	8.08643351794401e-16	1.3446812968998148e-19	4.2277238881442185e-14	1.3999999962245892e-06	1.5514397625073182e-14	5.438544623332982e-21	1.5383003426257767e-14	8.999994248483245e-08	9.86329928162824e-17	4.057436452005968e-24	2.2699970876424493e-12	2.927478493752941e-20	6.851831899644902e-17	6.606412506417516e-17	2.2566561761081438e-11	2.4999838083532204e-09	1.8334216040548833e-15	6.999999616860929e-10	1.999999890531693e-08	1.3446812968998148e-19	3.709448647031729e-15
9.736600132690088e-14	6.327634741863259e-13	7.377171382605725e-14	3.399999995113486e-06	9.996916646053089e-09	1.9685562546159054e-23	8.734110288224912e-15	2.6332436092636512e-19	1.2166576014820846e-16	1.611130012168191e-14	1.5999926424763062e-07	6.890893745542352e-18	9.989751854220601e-11	3.492231744250704e-15	1.9160560472549847e-15	5.79142468558756e-19	5.371415025222684e-14	1.3999999910479215e-06	1.9883642653739938e-14	7.390141600434836e-20	2.6902243976531417e-14	8.999990618082809e-08	1.671742065353907e-16	3.15984816184434e-23	2.971690892163414e-12	2.17899982977988e-19	1.6381540212921403e-16	2.107852458964714e-16	2.1814164595298987e-11	2.4999711816999743e-09	4.344663555903186e-15	6.999998777550464e-10	1.9999996507287032e-08	5.79142468558756e-19	8.742379360719561e-15
1.14963366354281e-13	9.630547389898285e-13	1.1297100077416856e-13	3.399999990528748e-06	9.996137215186252e-09	9.046565824256425e-23	1.6761661728193112e-14	1.2120401410295103e-18	2.9511952717565573e-16	1.920820739387224e-14	1.5999890072260938e-07	4.0252212492013224e-17	9.995210509930282e-11	8.48045270437414e-15	3.699746830692874e-15	1.773878630272288e-18	6.387152117050269e-14	1.3999999826845996e-06	2.376532243299874e-14	5.458087874126372e-19	4.105092306812331e-14	8.999986294526526e-08	2.5033341546986995e-16	1.5089949860391418e-22	3.6475700406061755e-12	1.0108889443947555e-18	3.184112940696411e-16	5.119295822654574e-16	2.1089320285558587e-11	2.4999552493300998e-09	8.390030105243619e-15	6.999997031063533e-10	1.9999991517324368e-08	1.773878630272288e-18	1.6809964383183527e-14
1.3053267289773179e-13	1.3461318421292132e-12	1.586802157592152e-13	3.3999999838010807e-06	9.995336159940052e-09	3.1038084525458405e-22	2.8305359754962603e-14	4.151805245205576e-18	6.036025086417626e-16	2.195007792809333e-14	1.5999848097268178e-07	1.6714266738595428e-16	1.000548343195336e-10	1.736362504983401e-14	6.286486175736413e-15	4.390204577736639e-18	7.286268987582458e-14	1.3999999704729278e-06	2.7202531181928142e-14	2.747113464746305e-18	5.753108344003933e-14	8.999981357340367e-08	3.4644839576759473e-16	5.31410002758918e-22	4.298580236691802e-12	3.4675737878438505e-18	5.438485327476493e-16	1.048355053839895e-15	2.0390994259588824e-11	2.4999361824303827e-09	1.4257518737563426e-14	6.999993920064455e-10	1.9999982628755576e-08	4.390204577736639e-18	2.850593095582574e-14
1.442569338810241e-13	1.7751891816455837e-12	2.1012554267829087e-13	3.3999999745760677e-06	9.994506176616344e-09	8.713349180842179e-22	4.379294456648605e-14	1.1596002129337991e-17	1.098468513457611e-15	2.4368855611863624e-14	1.5999801157103111e-07	5.49440439653403e-16	1.0021201312288458e-10	3.1631863145781046e-14	9.786925918145386e-15	9.38949981228879e-18	8.079265435454299e-14	1.399999953727016e-06	3.023521570597315e-14	1.0634041064386578e-17	7.607135437536743e-14	8.999975878892132e-08	4.540056948002048e-16	1.520268330465772e-21	4.925631241144587e-12	9.695277036706035e-18	8.503178750039605e-16	1.9102693735628594e-15	1.971818973923185e-11	2.4999141417197045e-09	2.219870419612734e-14	6.999988921395957e-10	1.999996834684558e-08	9.38949981228879e-18	4.445227309407013e-14
1.5630535609668243e-13	2.2440493057381005e-12	2.6660357545761686e-13	3.399999962518281e-06	9.993640840112861e-09	2.113175183025554e-21	6.357467197942178e-14	2.791717090146997e-17	1.836181847140247e-15	2.6494067238479302e-14	1.599974984927183e-07	1.5233882274400576e-15	1.0042910672451801e-10	5.292714948114754e-14	1.4297078115652798e-14	1.8057202225068548e-17	8.775849544967726e-14	1.3999999316473509e-06	3.2900336717297836e-14	3.397758150634037e-17	9.642497702588732e-14	8.999969924930156e-08	5.716295220026952e-16	3.7400441535284216e-21	5.529598300567054e-12	2.3359136083878654e-17	1.2467803855061362e-15	3.197252211825517e-15	1.9069946837382932e-11	2.4998892779448564e-09	3.243207807049593e-14	6.999981457550979e-10	1.9999947021574214e-08	1.8057202225068548e-17	6.540273785234984e-14
1.6683406692398063e-13	2.7471128108471562e-12	3.274759654385561e-13	3.3999999473043783e-06	9.992734524332155e-09	4.584817598359862e-21	8.793140662563871e-14	6.003314477072375e-17	2.8772636197644732e-15	2.8352983095491606e-14	1.5999694716033743e-07	3.711406358655245e-15	1.0071081725253459e-10	8.301275076932434e-14	1.9899675464155288e-14	3.203017668170773e-17	9.384983709169912e-14	1.3999999031965766e-06	3.523200390325031e-14	9.386284917161388e-17	1.1836793273612276e-13	8.99996355509377e-08	6.98071242733662e-16	8.205846089828873e-21	6.111323520315383e-12	5.026143190115867e-17	1.7410801317140321e-15	5.016486168463597e-15	1.844534158469135e-11	2.499861732391798e-09	4.5146120542962605e-14	6.999970906934134e-10	1.9999916876954654e-08	3.203017668170773e-17	9.238509425602501e-14
