ca	CaMKII	PP2B	camR_ca2_AB	camR_ca2_AC	camR_ca2_AD	camR_ca2_BC	camR_ca2_BD	camR_ca2_CD	camR_ca4_ABCD	camR	camR_ca1_C	camR_ca3_ABD	camR_ca1_A	camR_ca3_BCD	camR_ca1_B	camR_ca3_ACD	camR_ca3_ABC	camR_ca1_D	camR_ca2_AB_CaMKII	camR_ca2_AC_PP2B	camT_ca2_BC	camT_ca2_AD	camR_ca2_CD_CaMKII	camR_ca2_BD_PP2B	camR_ca2_BC_CaMKII	camT_ca2_CD	camR_ca2_AB_PP2B	camR_ca2_AD_CaMKII	camT_ca2_AC	camT_ca2_BD	camR_ca2_CD_PP2B	camR_ca2_BC_PP2B	camR_ca2_BD_CaMKII	camR_ca2_AC_CaMKII	camT_ca2_AB	camR_ca2_AD_PP2B	camR_PP2B	camR_ca4_ABCD_PP2B	camT	camT_ca4_ABCD	camR_ca4_ABCD_CaMKII	camR_CaMKII	camT_ca1_A	camT_ca3_BCD	camR_ca1_C_CaMKII	camR_ca3_ABD_CaMKII	camR_ca1_B_PP2B	camR_ca3_ACD_PP2B	camT_ca3_ABC	camT_ca1_D	camR_ca1_D_CaMKII	camR_ca3_ABC_CaMKII	camR_ca1_C_PP2B	camR_ca3_ABD_PP2B	camR_ca3_ACD_CaMKII	camR_ca3_BCD_PP2B	camT_ca1_B	camR_ca1_A_PP2B	camR_ca1_B_CaMKII	camT_ca3_ACD	camR_ca1_A_CaMKII	camT_ca1_C	camT_ca3_ABD	camR_ca3_ABC_PP2B	camR_ca3_BCD_CaMKII	camR_ca1_D_PP2B	Values[koffRA]	Values[koffRB]	Values[koffRC]	Values[koffRD]	Values[koffTA]	Values[koffTB]	Values[koffTC]	Values[koffTD]	Values[kTR]	Values[free_camR_ca3_total]	Values[free_camT_ca3_total]	Values[free_cam_ca3_total]	Values[cam_ca4_total]	Values[CaMKII_camR_ca1]	Values[CaMKII_camR_ca2]	Values[CaMKII_camR_ca3]	Values[total_CaMKII_bound]	Values[total CaMKII]	Values[CaMKIIbar]	Values[PP2B_camR_ca1]	Values[PP2B_camR_ca2]	Values[PP2B_camR_ca3]	Values[total_PP2B_bound]	Values[total PP2B]	Values[PP2Bbar]	Values[camR_unbound]	Values[total camR]	Values[total camT]	Values[Rbar]	Values[cam_ca3_total]	Values[free_camR_ca2_total]	Values[free_camT_ca2_total]	Values[free_cam_ca2_total]	Values[cam_ca2_total]	Values[free_cam_ca1_total]	Values[cam_ca1_total]	Values[cam_ca0_total]	Values[cam_total]	Values[moles_bound_ca_per_moles_cam]	Values[alpha]	Values[beta]	Values[gamma]	Values[delta]	Values[epsilon]	Values[ybar]	Values[ybar/(1-ybar)]
1e-05	7.000000000000001e-05	1.6e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.700000000000001e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.32	0.0166	17.4	0.0145	2101.010101010101	4.191919191919192	4393.939393939394	3.6616161616161618	48.37929366231253	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.000000000000001e-05	0.0	0.0	0.0	0.0	0.0	1.6e-06	0.0	9.7e-12	9.7e-12	2e-07	4.849764786407859e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.000097e-07	2.000097e-07	0.0					4.849764786407859e-05	0.0	0.0
9.424305274275217e-06	6.98594185338074e-05	1.540794222200609e-06	1.6664801138805442e-13	2.455309229024868e-16	1.8575994412962582e-13	8.566252152207254e-14	5.027892565620354e-11	9.530941737335178e-14	3.050678429928006e-11	4.609435923901167e-16	1.5741080888487697e-17	5.63517321841497e-11	3.2894954715855825e-17	2.6959035816452996e-11	1.1501984486700806e-14	6.296186245037867e-14	5.5557851169104074e-14	1.2760959904283645e-14	8.130698216413104e-11	3.467744449704424e-14	2.8887587841660107e-14	6.227121423042214e-14	4.4108295703496685e-11	1.794512626138024e-08	3.878731561551026e-11	3.211336815434523e-14	3.390829934769581e-11	9.245785654508099e-11	8.374189002754022e-17	1.6311098572818607e-11	1.8415686989703192e-11	1.6184094242011134e-11	4.2609826283248214e-08	8.380240469773887e-14	5.5911566863810555e-14	3.85827680330859e-11	5.6550742323847825e-14	1.1007810977606407e-08	9.529822158128525e-12	1.5506674396457992e-16	2.6136151597182353e-08	1.3668912550631622e-13	4.271469447801169e-14	3.4614283879535944e-14	7.336597254342931e-14	4.825643976262421e-08	2.9644606408219865e-11	2.085815980363597e-11	7.299045387798075e-17	1.656260087635141e-11	8.061632446021214e-11	4.392171513009048e-11	3.041687212572198e-14	2.0324079944715704e-08	4.9954028013894565e-11	9.71891474292781e-09	1.492940225770057e-11	6.353315778518878e-14	7.087466580227446e-11	8.263676827457279e-17	1.5318339810908438e-13	2.0437042603245186e-14	7.23441945935923e-14	1.832865213516063e-11	2.307657432534791e-08	3.3738427582465485e-11	8.32	0.0166	17.4	0.0145	2101.010101010101	4.191919191919192	4393.939393939394	3.6616161616161618	48.37929366231253	8.342928771422217e-11	1.071141056952808e-13	8.353640181991745e-11	3.7174469514154776e-08	1.517175396331391e-10	4.286657053568113e-08	7.142688983111612e-08	1.4058146619273825e-07	7.000000000000013e-05	0.002008306659896257	6.347698402059627e-11	1.805225178743723e-08	3.008218149958231e-08	5.9205777799388865e-08	1.599999999999998e-06	0.037003611124618085	1.6477339561906072e-10	1.999520173877462e-07	5.7682612253499894e-11	0.9997116009260877	1.0159260773251835e-07	5.0812551081539545e-11	1.6490366051798868e-11	6.730291713333841e-11	6.09861252402517e-08	3.157946645155982e-11	2.467739901052952e-10	9.72352296955108e-12	2.0000969999999966e-07	2.8783340294234923	0.9999949170009452	0.9987177553334631	0.7549828929535302	0.0007698540589303706	4.836620145175777e-05	0.7195835073558731	2.566124055581451
9.424189954200657e-06	6.987044175356898e-05	1.5297340816952842e-06	9.256027446927947e-14	9.141511904877508e-17	1.0595324269837349e-13	4.5288109449037444e-14	4.6030250082025954e-11	5.184060692688455e-14	2.8182107056588067e-11	1.5729437009542443e-16	5.385487752825007e-18	5.203742783581394e-11	1.1263552168434363e-17	2.4884216554772627e-11	5.615575323462483e-15	5.0388030644279193e-14	4.4014390844591087e-14	6.427904812353918e-15	6.828044515463037e-11	3.5278542021979457e-14	1.492276341619367e-14	3.478133206716835e-14	3.7308336092544076e-11	2.130143844668099e-08	3.258868320408175e-11	1.7081714849270206e-14	3.706691894676599e-11	7.816916580769517e-11	3.020571239205296e-17	1.4922680591611618e-11	2.0268607443508924e-11	1.7704534977581843e-11	3.927657666166772e-08	6.488463941143872e-14	3.038506142700402e-14	4.2435166848389703e-11	5.740501600337901e-14	1.3068359463197127e-08	3.251595719785277e-12	1.432500723245988e-16	2.4095911691572872e-08	1.0545565903952548e-13	1.4594436163582732e-14	3.194282320405698e-14	5.696943408113439e-14	4.448868732855927e-08	3.256634689386414e-11	2.2988676644856045e-11	5.679588568049587e-17	8.329764813574377e-12	6.844350454243391e-11	3.6995290053410965e-11	3.10454421139288e-14	2.412830860981075e-08	4.2353153192793246e-11	1.1537229569984583e-08	7.277090773237302e-12	6.49396281140012e-14	5.978511249751478e-11	6.50200872233344e-17	1.1918053132703824e-13	6.977116168796351e-15	6.679667825810882e-14	2.0080496265780254e-11	2.1272800568558227e-08	3.728279839171714e-11	8.32	0.0166	17.4	0.0145	2101.010101010101	4.191919191919192	4393.939393939394	3.6616161616161618	48.37929366231253	7.701604681207543e-11	9.886131743506964e-14	7.71149081295105e-11	3.7192453405076654e-08	1.2840476700535683e-10	3.9492988176566074e-08	6.58408363403637e-08	1.2955824643116703e-07	7.000000000000014e-05	0.0018508320918738108	6.99451303558092e-11	2.141894895343926e-08	3.570860735270597e-08	7.026591830471417e-08	1.5999999999999982e-06	0.043916198940446405	1.5153635502289788e-10	1.999757010909041e-07	3.399890909552037e-11	0.9998300136988579	1.0162655860119918e-07	4.6325983730688577e-11	1.5019881669083646e-11	6.134586539977223e-11	6.09732829954051e-08	1.5640487268319794e-11	2.1399038462948583e-10	3.4146136891982768e-12	2.0000969999999963e-07	2.8789106018325357	0.9999949170108574	0.9987179999323991	0.7551606522916634	0.0007710839802392703	4.837217630327342e-05	0.7197276504581339	2.567958100877959
9.424186304177553e-06	6.988054697384857e-05	1.5196147203332664e-06	8.549240682615722e-14	8.442052743515254e-17	9.786320029556617e-14	4.182771933600867e-14	4.252354265311723e-11	4.787982804333801e-14	2.6035132657698746e-11	1.4524368309096255e-16	4.9728728845894624e-18	4.8073123271735495e-11	1.0400586464006625e-17	2.2988493098654783e-11	5.185893273855299e-15	4.654843463207875e-14	4.0660403947203474e-14	5.936107043712348e-15	6.295327082975994e-11	4.038957147107674e-14	1.3782109003643532e-14	3.212477898090385e-14	3.439747506747763e-11	2.4369107388490555e-08	3.004602347068962e-11	1.5776132179237306e-14	4.2417433755099505e-11	7.207056545138427e-11	2.7893469667889035e-17	1.3785826485209931e-11	2.319939099958293e-11	2.0264539585454526e-11	3.6213117422721377e-08	5.982088961140976e-14	2.8064136721656178e-14	4.8560624770687585e-11	6.57440650109248e-14	1.4950375294446462e-08	3.002482857024371e-12	1.3233696926641643e-16	2.2216483020178274e-08	9.72249972669036e-14	1.3476317058796648e-14	2.950936109707527e-14	5.2522845006521285e-14	4.1018682529171694e-08	3.730297672320285e-11	2.6305942787119193e-11	5.246749714778495e-17	7.692484648114537e-12	6.310267180340414e-11	3.410899906897831e-11	3.556586645952452e-14	2.7603105924145195e-08	3.9048897320960676e-11	1.3198740511753091e-08	6.720300791246106e-12	7.439236165823746e-14	5.5119856576660505e-11	6.006504244702189e-17	1.0987837314103172e-13	6.4425785273500885e-15	6.170798566259135e-14	2.2978089511564418e-11	1.9613575972846235e-08	4.270545789902255e-11	8.32	0.0166	17.4	0.0145	2101.010101010101	4.191919191919192	4393.939393939394	3.6616161616161618	48.37929366231253	7.114882520896956e-11	9.13298792992614e-14	7.124015508826883e-11	3.71928935796194e-08	1.183849295982122e-10	3.64126445784303e-08	6.070541639840786e-08	1.1945302615161193e-07	7.000000000000018e-05	0.0017064718021658801	8.011839285034315e-11	2.4503589767172848e-08	4.0851130468196967e-08	8.038527966673163e-08	1.599999999999998e-06	0.05024079979170733	1.3999193071227405e-10	1.9997829774905584e-07	3.1402250943804726e-11	0.9998429963599575	1.0162778702169309e-07	4.2796690228145724e-11	1.3875601535565038e-11	5.667229176371076e-11	6.097290663736686e-08	1.4443841708723704e-11	2.1294716415727905e-10	3.1655971629852902e-12	2.000096999999996e-07	2.8789288510629683	0.9999949170108584	0.9987179999933169	0.755160747805684	0.0007710811293500648	4.8372185372121526e-05	0.7197322127657421	2.5680161814820477
9.424182964746936e-06	6.988980447522397e-05	1.5103442300745771e-06	7.900663587238391e-14	7.800994115390243e-17	9.043898297368358e-14	3.8652930229309433e-14	3.9301953679878724e-11	4.424570134325881e-14	2.406269945012551e-11	1.342040170008059e-16	4.594875451798415e-18	4.4431100831976726e-11	9.610019163067193e-18	2.1246885116802542e-11	4.791824742841722e-15	4.3021946957351976e-14	3.75799883250243e-14	5.485035042766177e-15	5.807404035385849e-11	4.50725589931784e-14	1.2735706895608125e-14	2.968707667763247e-14	3.1731353934274616e-11	2.7179443748976913e-08	2.7717179492032793e-11	1.4578344059936002e-14	4.731951133283195e-11	6.648469469838219e-11	2.5774618095139388e-17	1.274140756851736e-11	2.588450677939686e-11	2.2609970952077963e-11	3.340664586600121e-08	5.518389636547897e-14	2.5934550474220323e-14	5.4172660737347495e-11	7.338468563973532e-14	1.6674514747602555e-08	2.7742700694240632e-12	1.2231106172692308e-16	2.0494718191267615e-08	8.968809758963944e-14	1.2452002181038708e-14	2.7273731490058898e-14	4.845104588013608e-14	3.7839771505041e-08	4.164250056025059e-11	2.934515965330932e-11	4.849231062941621e-17	7.1079752800450564e-12	5.821094503122318e-11	3.146539163413124e-11	3.9707635158743135e-14	3.0786415850077566e-08	3.602242509054531e-11	1.4720873757846394e-08	6.209657533477152e-12	8.30532818673292e-14	5.084695797125867e-11	5.551423458217335e-17	1.0136022766753096e-13	5.952887223567563e-15	5.703298441186538e-14	2.5632826401208242e-11	1.8093541542425198e-08	4.767346633964995e-11	8.32	0.0166	17.4	0.0145	2101.010101010101	4.191919191919192	4393.939393939394	3.6616161616161618	48.37929366231253	6.575858788406164e-11	8.441072244713585e-14	6.584299860650878e-11	3.719329576063136e-08	1.0920771427602951e-10	3.359070831837612e-08	5.600080086419087e-08	1.1019552477620822e-07	7.000000000000017e-05	0.0015742217825172565	8.943872781692661e-11	2.7329475471337557e-08	4.556226759397847e-08	8.965576992542114e-08	1.5999999999999982e-06	0.05603485620338827	1.2938608854312288e-10	1.9998068079017247e-07	2.9019209827102585e-11	0.9998549109876815	1.0162891145677584e-07	3.955437594023851e-11	1.282436902124285e-11	5.237874496148136e-11	6.097256253467516e-08	1.3346328767607037e-11	2.1199277086056318e-10	2.9374770566704386e-12	2.000096999999996e-07	2.8789455474062757	0.9999949170108584	0.9987180000268275	0.7551608189414671	0.000771078313700789	4.837219228845625e-05	0.7197363868515689	2.5680693214726653
9.42417989583632e-06	6.989829183324801e-05	1.501844933355557e-06	7.304616026186216e-14	7.211936876657136e-17	8.361606152143057e-14	3.57354972888395e-14	3.634070025995764e-11	4.090616243742498e-14	2.224966031608624e-11	1.2406133268459406e-16	4.247593587578203e-18	4.108339064896086e-11	8.883692233797445e-18	1.9646016417162908e-11	4.429764945101023e-15	3.97804250407013e-14	3.4748493032952585e-14	5.070601428909949e-15	5.3600769196547076e-11	4.9365911503379874e-14	1.1774174218168574e-14	2.7446894035684167e-14	2.92870715188304e-11	2.9755995588033506e-08	2.558211073298964e-11	1.3477702470487177e-14	5.181377138410265e-11	6.136357639417123e-11	2.382774569335944e-17	1.1781388188747478e-11	2.8346227478886352e-11	2.4760268227454574e-11	3.0833646523828114e-08	5.093277119189622e-14	2.3977520059719378e-14	5.931781557861904e-11	8.038954512995094e-14	1.8255225311506788e-08	2.564599811378492e-12	1.1309535664891902e-16	1.8916190291058917e-08	8.277844011646608e-14	1.1510915041733114e-14	2.521876310773958e-14	4.471813588693617e-14	3.492531822776663e-08	4.562091661928868e-11	3.213153549780051e-11	4.483838540335651e-17	6.5709389050894045e-12	5.372631325843692e-11	2.9041732976477623e-11	4.350474346032055e-14	3.370491245194992e-08	3.324775587057843e-11	1.6116383727826407e-08	5.740488572004133e-12	9.099348294175268e-14	4.6929655078683004e-11	5.1331207029818216e-17	9.355102106796158e-14	5.5029844048239224e-15	5.273577064232345e-14	2.806670832044649e-11	1.6699960744095728e-08	5.222806833497142e-11	8.32	0.0166	17.4	0.0145	2101.010101010101	4.191919191919192	4393.939393939394	3.6616161616161618	48.37929366231253	6.080393598419742e-11	7.80507033424962e-14	6.088198668753992e-11	3.7193665375977144e-08	1.007942374940748e-10	3.100353098444185e-08	5.1687568460709406e-08	1.0170816675214435e-07	7.000000000000016e-05	0.001452973810744916	9.798348318066216e-11	2.992028303661407e-08	4.9881494423594567e-08	9.815506664444122e-08	1.5999999999999982e-06	0.06134691665277583	1.1963731012011215e-10	1.999828707067057e-07	2.6829293293894963e-11	0.9998658600393187	1.0162994487099151e-07	3.6574076260835964e-11	1.1858088307277231e-11	4.843216456811319e-11	6.097224618562403e-08	1.2337954874199925e-11	2.111156755489369e-10	2.7278918579575937e-12	2.000096999999996e-07	2.878960891215182	0.9999949170108586	0.9987180000589818	0.7551608850642954	0.0007710757379836231	4.83721986622476e-05	0.7197402228037955	2.5681181581041472
9.424177074074975e-06	6.990607857393888e-05	1.4940472138327677e-06	6.756565284663981e-14	6.670379870939087e-17	7.734255285100721e-14	3.305317875004345e-14	3.361741341849529e-11	3.7835752992131826e-14	2.058231923004139e-11	1.1473775719334894e-16	3.928360229209996e-18	3.800470419049026e-11	8.216027639732815e-18	1.817379413265039e-11	4.09693753342167e-15	3.679938310346727e-14	3.214452930806453e-14	4.6896284636338624e-15	4.949679946103842e-11	5.330481012248989e-14	1.0890169136055513e-14	2.5387174411935936e-14	2.7044594007183615e-11	3.211986659124858e-08	2.3623317646824184e-11	1.2465803914751466e-14	5.593703066108772e-11	5.6665243876422135e-11	2.203795009606147e-17	1.0898516371136381e-11	3.060472256898394e-11	2.673304927105633e-11	2.8473042548974474e-08	4.703265938851332e-14	2.2178143935870947e-14	6.403823825003819e-11	8.681605443528073e-14	1.970545461787772e-08	2.371862273796998e-12	1.0462023692982326e-16	1.7467968196243867e-08	7.643935862018074e-14	1.0645829900522488e-14	2.3328932822070674e-14	4.1293495937712586e-14	3.2251448310557926e-08	4.927083825064825e-11	3.468789624612923e-11	4.147811089021185e-17	6.077258651414424e-12	4.961200206229066e-11	2.6818162361706953e-11	4.698831991344488e-14	3.638250069222864e-08	3.070215269842564e-11	1.7396700829211808e-08	5.309197048453155e-12	9.827805694845717e-14	4.333582543928664e-11	4.748435150386576e-17	8.638670164971381e-14	5.0894156694904075e-15	4.8783883268829726e-14	3.0299673524844044e-11	1.5421417755732292e-08	5.640660064957503e-11	8.32	0.0166	17.4	0.0145	2101.010101010101	4.191919191919192	4393.939393939394	3.6616161616161618	48.37929366231253	5.6247442235552174e-11	7.220177855329447e-14	5.6319644014105465e-11	3.719400523797187e-08	9.307550769916472e-11	2.8629919536625332e-08	4.7730386381350355e-08	9.392142606127735e-08	7.000000000000016e-05	0.001341734658018245	1.058227052770852e-10	3.2297232936809866e-08	5.3844189091211406e-08	1.0595278616723052e-07	1.599999999999998e-06	0.06622049135451916	1.106719521734695e-10	1.9998488418068134e-07	2.4815819318509903e-11	0.9998759269209518	1.0163089511657587e-07	3.383327725973382e-11	1.0969459700485092e-11	4.480273696021891e-11	6.097195521039542e-08	1.1410989655822515e-11	2.1030920263207242e-10	2.5352324246096524e-12	2.0000969999999984e-07	2.878974999337724	0.9999949170108587	0.9987180000900714	0.7551609467469576	0.0007710733819160802	4.8372204551075856e-05	0.719743749834431	2.5681630629440835
9.424174478305015e-06	6.991322714488015e-05	1.4868885421435713e-06	6.252409169901944e-14	6.172250918001335e-17	7.157150192058069e-14	3.058585034128371e-14	3.111183774939464e-11	3.5011438462538753e-14	1.904827433183676e-11	1.0616287178292612e-16	3.6347636817012345e-18	3.517214242563034e-11	7.601981433282187e-18	1.6819268038657026e-11	3.790831938697838e-15	3.4056647852312534e-14	2.974872833899458e-14	4.339242619635491e-15	4.57292054771704e-11	5.692085252798026e-14	1.0077049810039437e-14	2.349248323176112e-14	2.4985927600636128e-11	3.429001211580305e-08	2.1825082612682952e-11	1.153504613697503e-14	5.972235714255028e-11	5.235200327584332e-11	2.0391751461468555e-17	1.0086225363567128e-11	3.267810755715743e-11	2.854413781308378e-11	2.630590288926705e-08	4.3452255392820903e-14	2.0522937642730865e-14	6.837178601919556e-11	9.271577587110771e-14	2.1036832197578953e-08	2.1946017440510323e-12	9.682266372898724e-17	1.6138437324719493e-08	7.061995822835985e-14	9.850212715945408e-15	2.1590184270297106e-14	3.8149625945511255e-14	2.979671801876351e-08	5.262155609815999e-11	3.7034743641409293e-11	3.83864848236455e-17	5.623211674049639e-12	4.5834983250933083e-11	2.4776841060483804e-11	5.0186321215218545e-14	3.884065199306389e-08	2.8365193479805926e-11	1.857209184705935e-08	4.9125303514751054e-12	1.0496546349993417e-13	4.00366188744169e-11	4.394504575370216e-17	7.980974207092793e-14	4.709057295886893e-15	4.514792843982929e-14	3.2349630104716e-11	1.4247659000029592e-08	6.0242596132424e-11	8.32	0.0166	17.4	0.0145	2101.010101010101	4.191919191919192	4393.939393939394	3.6616161616161618	48.37929366231253	5.2055215840478675e-11	6.682044424070375e-14	5.2122036284719376e-11	3.719431789345295e-08	8.598956149336643e-11	2.6450838560488776e-08	4.409751905333339e-08	8.677285511999325e-08	7.000000000000014e-05	0.001239612215999901	1.1301930401529914e-10	3.4479385425187565e-08	5.748212821386937e-08	1.1311145785642706e-07	1.5999999999999982e-06	0.07069466116026699	1.0242333000081789e-10	1.9998673630642113e-07	2.2963693578632138e-11	0.9998851871005324	1.0163176930348749e-07	3.131159235432724e-11	1.0151873272140097e-11	4.146346562646734e-11	6.097168745130281e-08	1.0558442606840024e-11	2.095673081155056e-10	2.358043641022282e-12	2.0000969999999976e-07	2.8789879775580687	0.9999949170108592	0.9987180001204157	0.7551610045432415	0.00077107122769926	4.837221000938406e-05	0.7197469943895172	2.568204372408683
9.424172089440384e-06	6.991979375063823e-05	1.4803126395867982e-06	5.788434411580279e-14	5.713870701664784e-17	6.62604019475842e-14	2.8315302586451206e-14	2.8805605283150504e-11	3.241237411202461e-14	1.7636279251214132e-11	9.827310292430199e-17	3.364626713225026e-18	3.256493980483041e-11	7.037000017219923e-18	1.5572508135776645e-11	3.509178257025212e-15	3.1532118385254154e-14	2.7543532040468962e-14	4.016845551118397e-15	4.226836065215842e-11	6.024248105114106e-14	9.328807649051232e-15	2.1748850592612836e-14	2.3094881403106956e-11	3.62834927001617e-08	2.0173263079388187e-11	1.0678551041434856e-14	6.319951521454188e-11	4.838993700794577e-11	1.8876973966480816e-17	9.338560330816615e-12	3.458268782072823e-11	3.0207776538839585e-11	2.4315189030043217e-08	4.0163397379180954e-14	1.8999697382564295e-14	7.235253388638323e-11	9.813512201796638e-14	2.2259825027488174e-08	2.031504017179749e-12	8.964547157835914e-17	1.4917144240181873e-08	6.527445632668808e-14	9.11816459300643e-15	1.9989770718418225e-14	3.526178823639468e-14	2.7541827379551878e-08	5.5699432860190794e-11	3.9190531096559655e-11	3.554084384083508e-17	5.2054315881472225e-12	4.236553900257727e-11	2.2901717602049753e-11	5.31239112286669e-14	4.109869140761386e-08	2.6218501911079498e-11	1.9651797258183366e-08	4.547547620098323e-12	1.1110832222168712e-13	3.700607722977044e-11	4.0687344344116205e-17	7.376839326538495e-14	4.359089217208411e-15	4.1801250909507776e-14	3.423269704975573e-11	1.3169455966225074e-08	6.376623544949526e-11	8.32	0.0166	17.4	0.0145	2101.010101010101	4.191919191919192	4393.939393939394	3.6616161616161618	48.37929366231253	4.8196523591032776e-11	6.186724981611095e-14	4.8258390840848885e-11	3.719460563656673e-08	7.948064641384949e-11	2.4449155635583192e-08	4.076040356529008e-08	8.020624936192532e-08	7.000000000000016e-05	0.0011458035623132163	1.196299005431364e-10	3.648389545610325e-08	6.082391189394355e-08	1.1968736041320013e-07	1.5999999999999982e-06	0.07480460025825017	9.483097238540409e-11	1.9998844074751085e-07	2.125925248897944e-11	0.9998937088926737	1.0163257385007448e-07	2.899053484461938e-11	9.399335114456243e-12	3.8389869959075626e-11	6.097144096164551e-08	9.773992887490633e-12	2.0888453984447652e-10	2.195011868627328e-12	2.0000969999999984e-07	2.8789999213019484	0.9999949170108595	0.9987180001500643	0.7551610587773252	0.0007710692571220961	4.8372215071006066e-05	0.7197499803254871	2.568242389996678
9.42416989007821e-06	6.992582907392135e-05	1.4742687561302273e-06	5.361266909495188e-14	5.2918925947399984e-17	6.137063159244584e-14	2.6224990530979027e-14	2.6682036235031472e-11	3.0019622180064134e-14	1.633612146526986e-11	9.101062811844248e-17	3.1159691216978353e-18	3.0164239640875344e-11	6.516941888407393e-18	1.4424497223569515e-11	3.2499146260381863e-15	2.92075352562205e-14	2.551299044360983e-14	3.720077284722426e-15	3.9087543683014613e-11	6.329533856802178e-14	8.639983669869109e-15	2.0143584229303634e-14	2.1356852715279267e-11	3.8115692931228535e-08	1.865510355792422e-11	9.890070215958231e-15	6.639534257661266e-11	4.474845407012193e-11	1.7482542963769546e-17	8.650113741119234e-12	3.633316536403e-11	3.1736807511224887e-11	2.2485536399886585e-08	3.714068062650039e-14	1.7597334608501783e-14	7.601120650702031e-11	1.0311593654206443e-13	2.3383871821626374e-08	1.8813737749637267e-12	8.303675007121604e-17	1.3794662536637274e-08	6.036155313277347e-14	8.44432031803756e-15	1.8516117151388505e-14	3.260766794804187e-14	2.5469372575375072e-08	5.852823773780039e-11	4.1171897659054817e-11	3.292060013072428e-17	4.820860763808576e-12	3.9176867833011624e-11	2.117831460378885e-11	5.582377626549869e-14	4.3174045550643405e-08	2.4245504028527475e-11	2.0644149781041613e-08	4.211577461005071e-12	1.1675407211766064e-13	3.4220789363861024e-11	3.7687678597131207e-17	6.821597445469981e-14	4.036946493352267e-15	3.871964569726447e-14	3.596340841581496e-11	1.2178486811168807e-08	6.700473033632212e-11	8.32	0.0166	17.4	0.0145	2101.010101010101	4.191919191919192	4393.939393939394	3.6616161616161618	48.37929366231253	4.464345739014468e-11	5.730637112738083e-14	4.470076376127206e-11	3.719487056276566e-08	7.349848083927537e-11	2.260942149459355e-08	3.7693283205176195e-08	7.417092607879943e-08	7.000000000000016e-05	0.0010595846582685609	1.2570554592250563e-10	3.832623274852599e-08	6.389533063775988e-08	1.257312438697713e-07	1.5999999999999987e-06	0.07858202741860712	8.783996655822029e-11	1.9999000991512896e-07	1.9690084870852048e-11	0.9999015543502597	1.0163331460669734e-07	2.685331706735586e-11	8.70640219638583e-12	3.555971926374169e-11	6.097121396238327e-08	9.051899116446808e-12	2.082559258782278e-10	2.0449422752666826e-12	2.0000969999999976e-07	2.8790109175794982	0.9999949170108602	0.9987180001792937	0.7551611099117064	0.0007710674557882686	4.8372219780777674e-05	0.7197527293948746	2.568277392463964
