Values[v]	Values[u]
-64.0	-16.0
-64.15028417072361	-16.000569993187554
-64.28098015128677	-16.002160816282778
-64.39245106046465	-16.00459846668635
-64.48568670373871	-16.007719224227206
-64.56209771535492	-16.0113732046518
-64.62333540595378	-16.015426369769482
-64.67114749177196	-16.019761278696347
-64.70727154605359	-16.02427689085151
-64.73336257912128	-16.02888771932195
-64.75094887599631	-16.033522581212573
-63.83638493811632	-16.03460502179772
-63.01773602458436	-16.029293465535375
-62.24083419049478	-16.01827399433162
-61.46156817201628	-16.00185761155809
-60.63426250658606	-15.980021137922689
-60.78761061726687	-15.956284660730448
-60.98774074975115	-15.934555271190202
-61.23535253824717	-15.915123422466337
-61.528260624887544	-15.898265938162023
-61.86074640476015	-15.88422247323168
-62.22340345648471	-15.873169548237295
-62.60369026613069	-15.865196750216223
-62.9872080158478	-15.860290481585231
-63.35945664505839	-15.858329636008857
-63.70762324280765	-15.859094800258749
-64.0219426429928	-15.862289055243565
-64.29634946193484	-15.867565677027905
-64.52840569019335	-15.87455707949369
-64.71869872313431	-15.88290023938604
-64.86998671650412	-15.89225581416597
-64.98633347429498	-15.902320217672886
-65.07238325353293	-15.912831404727683
-65.13283375069496	-15.923569849846837
-65.1721016192475	-15.934356334510117
-65.19414324985243	-15.94504793252353
-65.2023856023043	-15.955533225388749
-65.19972678128815	-15.965727429216159
-65.18857563871018	-15.975567830538678
-65.17090942227289	-15.985009726853825
-65.14833639556586	-15.99402293761175
-65.12215604633856	-16.002588875161287
-65.09341323379174	-16.01069812614564
-65.06294492689409	-16.018348477199233
-65.03141947856358	-16.025543316399578
-64.9993690272304	-16.032290346173337
-64.9672159018358	-16.038600550762723
-64.93529395792314	-16.044487369984395
-64.90386572406818	-16.049966038929707
-64.87313614032875	-16.055053060781656
-64.843263546809	-16.059765786162437
-64.81436847224555	-16.064122077609436
-64.78654067021563	-16.068140042182435
-64.75984476720828	-16.07183781848719
-64.73432480370559	-16.07523340765347
-64.71000790520411	-16.078344539378953
-64.68690726175892	-16.08118856637808
-64.66502455863566	-16.08378238191753
-64.64435197299053	-16.086142356025928
-64.62487382461012	-16.088284287021672
-64.60656795085787	-16.090223365628532
-64.58940686125574	-16.091974149442645
-64.57335871726967	-16.093550545933336
-64.55838816316202	-16.094965802835898
-64.54445704569957	-16.096232504320493
-64.53152503620785	-16.09736257229216
-64.51955017309305	-16.098367271959052
-64.50848933777232	-16.09925722100024
-64.49829867412605	-16.100042401706748
-64.4889339586617	-16.100732175748703
-64.48035092825637	-16.101335301028207
-69.63979156177977	-16.12224790367107
-72.61435200220436	-16.17265402491965
-73.92801107801806	-16.236809043309943
-74.41631842998143	-16.30529651130522
-74.5610658547576	-16.373899062714706
-70.52596766168112	-16.423994935367833
-68.4274993519678	-16.451197753402838
-67.11903609173407	-16.46539005960702
-66.21162374296033	-16.47113061966838
-65.53725868902266	-16.470931997181356
-64.1016354586256	-16.462874325665496
-62.85416304694412	-16.445243211538894
-61.66423444369352	-16.41919828913834
-60.422510775773176	-16.38500838294095
-58.99483622360595	-16.342064813991026
-58.34242833249023	-16.292644035321082
-57.491341251354775	-16.239191765939555
-56.28436300485215	-16.179845702042286
-54.3646103506286	-16.111021620465454
-50.71169476412949	-16.024676078280944
-40.7749028896711	-15.896401421617448
-60.49124909112589	-11.629791056743002
-64.98327665774882	-11.749832930786756
-68.59187136280511	-11.896974820734856
-70.73014780566456	-12.060963979359311
-71.73119968987449	-12.23135690293591
-72.09302277173985	-12.401473689165718
-72.14415177471314	-12.567937723225697
-72.05367748182957	-12.729264525270548
-71.90082249499868	-12.88489156550524
