HSF1	MisP	Hsp90	ATP	TriH	NatP	DiH	ROS	MCom	X	HCom	AggP	HSE	ADP	HSETriH
100.0	0.0	300000.0	10000.0	0.0	6000000.0	0.0	100.0	0.0	0.0	5900.0	0.0	1.0	1000.0	0.0
4.164574047977071e-05	0.0008312960477273607	288144.78401815373	10940.350262679487	1.0216893594124279e-10	5988280.431585615	-6.187106839362874e-08	100.0	11729.567577787438	1.0	5999.999958477669	-4.075136948449992e-11	0.9999999999935323	59.64973732052062	6.467435277091591e-12
4.333482295790736e-05	0.0008634028173739533	276913.55587783933	10899.776937581168	-4.167084725700877e-10	5977083.943183825	-2.045347265607701e-07	100.0	22936.055941920375	2.0	5999.999957075487	-8.307837864921972e-11	1.0000000000003966	100.2230624188466	-3.967851397109326e-13
4.508238016069034e-05	0.0008966211756935536	266179.3788468507	10861.276376371221	-1.123675662527973e-09	5966383.458123393	-2.976250688759236e-07	100.0	33646.540963389256	3.0	5999.999955516342	-1.270355694560186e-10	1.0000000000372762	138.72362362879306	-3.7276122679846456e-11
4.689018144182804e-05	0.0009309847567843229	255917.12151605295	10824.72400275265	-1.838331845234661e-09	5956153.898280489	-3.6103496380255805e-07	100.0	43886.10076598558	4.0	5999.99995383771	-1.7267914773848852e-10	1.0000000001058897	175.2759972473632	-1.05890047721401e-10
4.8760033494781385e-05	0.0009665279082831582	246103.1923798584	10789.999740081596	-2.497837282302494e-09	5946371.722146351	-4.0678111250290575e-07	100.0	53678.27685842896	5.0	5999.9999520616175	-2.2006699997774e-10	1.0000000002023823	210.00025991841756	-2.0238257883028735e-10
5.069377821649801e-05	0.0010032856472368397	236715.441609555	10756.992967088647	-3.0929619956745686e-09	5937014.82681114	-4.420612816449223e-07	100.0	63045.172150515515	6.0	5999.999950200576	-2.6925874580852195e-10	1.0000000003215952	243.0070329113661	-3.215956154469735e-10
5.2693281530576085e-05	0.0010412934476501394	227733.01098939008	10725.60128707779	-3.6347378491523292e-09	5928062.398222083	-4.712716166735385e-07	100.0	72007.60069497715	7.0	5999.99994826153	-3.203157150234764e-10	1.0000000004588812	274.3987129222212	-4.5888136736029975e-10
5.476044323760668e-05	0.001080587427732776	219136.26667611767	10695.729994760779	-4.140198150210603e-09	5919494.844087945	-4.970670164389811e-07	100.0	80585.1547830037	8.0	5999.999946247931	-3.7330100993871227e-10	1.0000000006106684	304.2700052392324	-6.106687083002849e-10
5.68971782843465e-05	0.0011212039938725583	210906.76724944878	10667.29159406097	-4.626414408069002e-09	5911293.761998985	-5.209782184000362e-07	100.0	88796.23682429346	9.0	5999.999944160968	-4.2827960722943403e-10	1.0000000007745442	332.70840593904103	-7.745444850167375e-10
5.910541636639035e-05	0.0011631798330750463	203027.07616747913	10640.204596940386	-5.107400161306194e-09	5903441.752283527	-5.440163224294926e-07	100.0	96658.2464904755	10.0	5999.999942000773	-4.85318239381603e-10	1.000000000949007	359.7954030596229	-9.490076550494636e-10
6.138712533299652e-05	0.001206552357858914	195480.72651761834	10614.39296353249	-5.5944289007772046e-09	5895922.38283502	-5.668205633490459e-07	100.0	104187.61588805496	11.0	5999.999939766687	-5.444854572198839e-10	1.0000000011332753	385.60703646752046	-1.1332758165772158e-09
6.374428346409213e-05	0.0012513591792956238	188252.17033758998	10589.786544862342	-6.096673519229075e-09	5888720.138541728	-5.897696240239966e-07	100.0	111399.8601287219	12.0	5999.999937457516	-6.058516805666968e-10	1.0000000013271175	410.21345513766806	-1.3271179923597019e-09
6.617888790987796e-05	0.00129763826743657	181326.70679439988	10566.31967673148	-6.6214508630629686e-09	5881820.349619713	-6.130996191981887e-07	100.0	118309.64899637122	13.0	5999.999935071756	-6.694891929881617e-10	1.0000000015307133	433.68032326852915	-1.5307139626934606e-09
6.869294627733119e-05	0.0013454277913890133	174690.42314306772	10543.93071985674	-7.174624064769349e-09	5875209.132697984	-6.369658030150253e-07	100.0	124930.86586194213	14.0	5999.999932607731	-7.354721566008154e-10	1.000000001744542	456.0692801432683	-1.7445427477803157e-09
7.128847668541644e-05	0.0013947661203704516	168330.14780076934	10522.5626420657	-7.761046162991055e-09	5868873.343992934	-6.61469690001139e-07	100.0	131276.65450899603	15.0	5999.999930063642	-8.038766207788705e-10	1.0000000019693047	477.43735793431085	-1.969305572835713e-09
7.396750540178713e-05	0.001445691778789043	162233.39886406466	10502.161755130399	-8.384957798706584e-09	5862800.527935903	-6.866812578260016e-07	100.0	137359.4705061443	16.0	5999.999927437619	-8.747805300848691e-10	1.0000000022058635	497.83824486961174	-2.205864224382516e-09
7.673206199340849e-05	0.0014982433540668206	156388.33732331236	10482.67783024153	-9.05022095454245e-09	5856978.870487546	-7.126517202822169e-07	100.0	143191.1278926838	17.0	5999.999924727747	-9.482637279089168e-10	1.0000000024552047	517.3221697584813	-2.4552054713647303e-09
7.958417791323295e-05	0.001552459469775283	150783.73525996058	10464.063852494575	-9.760451464689821e-09	5851397.167403101	-7.394195162528549e-07	100.0	148782.83091332842	18.0	5999.999921932086	-1.0244079568697775e-09	1.0000000027184215	535.9361475054342	-2.7184223213269046e-09
8.252587386776813e-05	0.0016083785455166264	145408.9360581554	10446.275654160761	-1.0519158276508185e-08	5846044.784529014	-7.670155188859229e-07	100.0	154145.21372158485	19.0	5999.999919048693	-1.1032968532657865e-09	1.0000000029966953	553.7243458392481	-2.9966960872329766e-09
