Enzyme	Zymogen	Peptide	Enzyme-Substrate complex
0.0	2.4e-05	0.0	0.0
9.466896050397841e-08	2.3903055078743112e-05	9.580694088042783e-08	1.1379803764499183e-09
1.8672708542586674e-07	2.380427982738644e-05	1.9122362901970744e-07	4.496543593841924e-09
2.762498478751002e-07	2.3703761655496817e-05	2.862440961891322e-07	9.994248314033422e-09
3.633108880127056e-07	2.3601585536845982e-05	3.8086267558335477e-07	1.755178757065055e-08
4.479820283377488e-07	2.3497834043460976e-05	4.750739924383808e-07	2.7091964100633467e-08
5.303333070500466e-07	2.3392587415236023e-05	5.688729459070052e-07	3.85396388569602e-08
6.104330884480037e-07	2.3285923763943795e-05	6.622546622520978e-07	5.1821573804095966e-08
6.883478659710663e-07	2.317791870785788e-05	7.552145790565859e-07	6.686671308552165e-08
7.641423207041965e-07	2.3068645480325064e-05	8.477484201895602e-07	8.360609948536617e-08
8.378793359715843e-07	2.2958174956822785e-05	9.398521895743923e-07	1.019728536028109e-07
9.096199973366481e-07	2.2846575654959167e-05	1.0315221711887349e-06	1.2190217385208994e-07
9.794235941107347e-07	2.2733913737014953e-05	1.1227549285478836e-06	1.4333133443715222e-07
1.0473484961125648e-06	2.2620254487175196e-05	1.2135470044686772e-06	1.6619850835611577e-07
1.1134516267840254e-06	2.2505661423794247e-05	1.303895101494881e-06	1.9044347471085899e-07
1.1777876695900832e-06	2.239019496227741e-05	1.3937963536563312e-06	2.1600868406625116e-07
1.2404096081553326e-06	2.2273913325144438e-05	1.4832481415054403e-06	2.428385333501108e-07
1.3013687262639948e-06	2.2156872542029588e-05	1.5722480921171969e-06	2.708793658532054e-07
1.3607146078599177e-06	2.203912644968157e-05	1.660794079089166e-06	3.0007947122925175e-07
1.418495548029866e-06	2.1920727308048948e-05	1.7488841199904523e-06	3.3038857196058967e-07
1.4747603887147278e-06	2.1801728552106834e-05	1.8365159183039413e-06	3.617555295892168e-07
1.5295552877441145e-06	2.1682179948471458e-05	1.9236876696363216e-06	3.9413238189221067e-07
1.582924625782293e-06	2.1562128954959373e-05	2.010397835411453e-06	4.274732096291634e-07
1.6349112704050887e-06	2.1441621116452477e-05	2.096645076976299e-06	4.617338065712137e-07
1.6855565760998862e-06	2.1320700064898015e-05	2.182428255600929e-06	4.968716795010462e-07
1.7349003852481725e-06	2.119940752066629e-05	2.267746432290936e-06	5.328460470427668e-07
1.782982850490473e-06	2.1077785810741298e-05	2.3525985198745814e-06	5.696156693841115e-07
1.829843486939495e-06	2.095587655904455e-05	2.4369834639474673e-06	6.071399770079756e-07
1.8755192948187217e-06	2.0833718092248847e-05	2.5209006012849315e-06	6.453813064662128e-07
1.920045972571689e-06	2.0711347116083854e-05	2.604349428243911e-06	6.843034556722255e-07
1.963457916861985e-06	2.058879871533608e-05	2.6873296007629458e-06	7.238716839009637e-07
2.0057882225732505e-06	2.0466106353848888e-05	2.769840934362174e-06	7.640527117889269e-07
2.0470670507507414e-06	2.03432997093199e-05	2.851883670715415e-06	8.048166199646768e-07
2.0873331466525572e-06	2.0220419953951367e-05	2.9334565963505916e-06	8.461234496980371e-07
2.1266136231409074e-06	2.0097492933686508e-05	3.014560344727194e-06	8.879467215862892e-07
2.164938456893228e-06	1.9974548399894603e-05	3.0951950284993062e-06	9.30256571606081e-07
2.2023364027330856e-06	1.9851614589037282e-05	3.175360906847896e-06	9.730245041148134e-07
2.2388350254081576e-06	1.9728718264827425e-05	3.2550583802903622e-06	1.0162233548822078e-06
2.2744607313952344e-06	1.9605884760422965e-05	3.33428798548613e-06	1.0598272540908985e-06
2.309240238870024e-06	1.9483139879620778e-05	3.413050179624619e-06	1.1038099407545981e-06
2.3431999774693677e-06	1.9360509122059555e-05	3.4913454277049013e-06	1.1481454502355365e-06
2.376364486173115e-06	1.9238015613372545e-05	3.5691744364002807e-06	1.1928099502271684e-06
2.408757516655517e-06	1.9115681532483243e-05	3.646537992086134e-06	1.23778047543062e-06
2.4404020817723816e-06	1.8993528175362885e-05	3.723436953204744e-06	1.2830348714323648e-06
2.471320504048231e-06	1.887157601878797e-05	3.799872242630127e-06	1.3285517385818982e-06
2.501534464163457e-06	1.8749844784097717e-05	3.875844840032867e-06	1.374310375869413e-06
2.531065049441476e-06	1.8628353500951576e-05	3.951355774244945e-06	1.420290724803472e-06
2.559932622565187e-06	1.8507120313931216e-05	4.026406154316982e-06	1.466473531751797e-06
2.588156333098567e-06	1.8386161778188044e-05	4.100997277455258e-06	1.512840944356693e-06
2.615755242335759e-06	1.8265494462897793e-05	4.175130389718979e-06	1.5593751473832223e-06
2.6427479905295107e-06	1.8145134469641114e-05	4.248806760444195e-06	1.6060587699146872e-06
2.669152776220587e-06	1.8025097397233387e-05	4.322027689493597e-06	1.6528749132730119e-06
2.6949873987524938e-06	1.790539839693889e-05	4.394794500906798e-06	1.699807102154306e-06
2.7202693007862037e-06	1.7786052227684937e-05	4.467108536550629e-06	1.7468392357644272e-06
2.745015610814882e-06	1.7667073311276024e-05	4.5389711497694264e-06	1.7939555389545466e-06
2.769243123646765e-06	1.7548475704593127e-05	4.610383709526816e-06	1.841140585880054e-06
2.7929663257092337e-06	1.743027045525242e-05	4.6813479352284044e-06	1.8883816095191728e-06
2.8161993424987234e-06	1.7312468206120917e-05	4.7518655681889e-06	1.9356662256901795e-06
2.838956448726661e-06	1.7195079876343496e-05	4.821938286191578e-06	1.9829818374649203e-06
2.8612514045075836e-06	1.707811577130731e-05	4.891567816600133e-06	2.030316412092552e-06
2.8830974642396613e-06	1.6961585592844563e-05	4.960755935697545e-06	2.077658471457887e-06
2.9045073854852223e-06	1.6845498449435303e-05	5.029504468024955e-06	2.124997082539735e-06
2.9254935667648343e-06	1.6729863044738172e-05	5.097815261013327e-06	2.1723216942484954e-06
2.946068759121251e-06	1.661468865982508e-05	5.1656900496480845e-06	2.219621290526836e-06
2.9662450108722056e-06	1.649998369136106e-05	5.233130659755568e-06	2.266885648883366e-06
2.9860339481746787e-06	1.6385756037631073e-05	5.3001389552718004e-06	2.3141050070971242e-06
3.005446896372772e-06	1.6272013264320394e-05	5.366716816026186e-06	2.361269919653417e-06
3.0244949009394046e-06	1.615876263140185e-05	5.432866134768774e-06	2.408371233829373e-06
3.043188748418024e-06	1.604601112002299e-05	5.498588814197514e-06	2.455400065779493e-06
3.061538726786041e-06	1.593376510859728e-05	5.563886809094379e-06	2.50234808230834e-06
3.079554387601913e-06	1.5822030051296472e-05	5.6287621681527185e-06	2.5492077805508085e-06
3.097245335357654e-06	1.571081153938875e-05	5.693216897984449e-06	2.5959715626267974e-06
3.1146209020080934e-06	1.560011486177813e-05	5.75725302011498e-06	2.642632118106889e-06
3.131690144968559e-06	1.5489945001003902e-05	5.820872571982326e-06	2.6891824270137697e-06
3.148461858702462e-06	1.538030664753513e-05	5.884077605583663e-06	2.7356157468812042e-06
3.164944585795534e-06	1.527120421341925e-05	5.9468701861881385e-06	2.7819256003926075e-06
3.1811465446083956e-06	1.5162641740975886e-05	6.009252401816252e-06	2.828105857207858e-06
3.1970756932970003e-06	1.505462298305836e-05	6.071226355119317e-06	2.874150661822319e-06
3.212739797360463e-06	1.4947151487753112e-05	6.132794154803671e-06	2.9200543574432114e-06
3.2281463980080333e-06	1.4840230558297284e-05	6.193957919855372e-06	2.9658115218473402e-06
3.243302822160753e-06	1.4733863265377886e-05	6.25471977839143e-06	3.01141695623068e-06
3.2582161924531095e-06	1.4628052459430982e-05	6.315081866511061e-06	3.0568656740579533e-06
3.272893427324557e-06	1.4522800771558813e-05	6.375046327882869e-06	3.1021529005583145e-06
3.2873411472547356e-06	1.4418110506650405e-05	6.434615320302161e-06	3.1472741730474272e-06
3.3015658163159873e-06	1.4313983806770487e-05	6.493791004772747e-06	3.192225188456762e-06
3.315573736539473e-06	1.4210422645500813e-05	6.552575545519327e-06	3.237001808979856e-06
3.329371034941084e-06	1.4107428813851094e-05	6.610971110544992e-06	3.2816000756039104e-06
3.342963671856941e-06	1.4005003930644537e-05	6.668979870606198e-06	3.326016198749259e-06
3.3563574492788914e-06	1.390314945290341e-05	6.726603998187737e-06	3.3702465489088475e-06
3.369557963340289e-06	1.3801866612534321e-05	6.78384567540298e-06	3.4142877120626935e-06
3.382570616387368e-06	1.3701156431643689e-05	6.840707092371835e-06	3.45813647598447e-06
3.3954006364494144e-06	1.3601019747616827e-05	6.897190444416291e-06	3.501789807966878e-06
3.408053155350851e-06	1.3501457315581874e-05	6.953297919884485e-06	3.5452447645336364e-06
3.420533161695799e-06	1.3402469745753304e-05	7.009031707971244e-06	3.5884985462754475e-06
3.4328455083042202e-06	1.3304057512630656e-05	7.064393997836778e-06	3.6315484895325596e-06
3.444994919364807e-06	1.3206220963823509e-05	7.1193869777706455e-06	3.6743920584058407e-06
3.4569859342267394e-06	1.3108960251626572e-05	7.174012841300081e-06	3.7170269070733433e-06
3.4688229294662165e-06	1.3012275359963486e-05	7.228273784751361e-06	3.759450855285148e-06
3.4805102135086666e-06	1.291616621972919e-05	7.282171996889734e-06	3.8016617833810703e-06
3.4920519777647367e-06	1.2820632649230081e-05	7.335709664267324e-06	3.8436576865025906e-06
3.5034523007561393e-06	1.2725674359176915e-05	7.3888889707896085e-06	3.8854366700334726e-06
