Ub	AggP	MisP_Ub4	MisP_Ub6	MisP	MisP_Ub7	MisP_Ub3	MisP_Ub	MisP_Ub5	MisP_Ub8	MisP_Ub2	E2_Ub	Proteasome	MisP_Ub5_Proteasome	MisP_Ub7_Proteasome	NatP	MisP_Ub6_Proteasome	E3_MisP	E1	MisP_Ub4_Proteasome	SeqAggP	degUb4	refNatP	degUb5	MisP_Ub8_Proteasome	degUb6	degUb7	totMisP	degUb8	AggP_Proteasome	E2	E3	E1_Ub
500.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	500.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	0.0
493.5843305429473	-2.480278540689158e-11	1.4416936683004235e-20	4.262753556770212e-28	0.009991485453721893	5.390807010789114e-32	6.216325776177453e-17	5.381070050682521e-10	2.740618691973058e-24	5.51376753875818e-36	2.137228985216797e-13	0.3137281497891472	100.0	1.463000335479157e-28	1.8000019011091213e-36	500.00000001998865	1.803531215180044e-32	8.494069083834794e-06	93.89805869327498	9.688578873481597e-25	-8.284013758635233e-15	0.0	1.998864547082056e-08	0.0	1.4497594817109023e-40	0.0	0.0	0.010000000000133279	0.0	-8.284013758635233e-15	99.68627185021086	99.99999150593092	6.101941306725074
487.61409243165343	-9.84248471726068e-11	1.8881927705076675e-16	3.325279445811882e-22	0.01996596342072679	3.491590044507483e-25	1.0856151591237139e-13	1.630232379074759e-08	2.719283904666855e-19	3.1659711362902548e-28	4.925319865990783e-11	1.180131449908717	100.00000000000003	3.0912214773551576e-23	2.8256196514944274e-29	500.0000000799084	3.17913955868362e-26	3.394051655945786e-05	88.79422389796346	2.5899436590643225e-20	-6.587857668373827e-14	0.0	7.990920698061246e-08	0.0	2.1768470426308153e-32	0.0	0.0	0.020000000001065756	0.0	-6.58785766837383e-14	98.81986855009127	99.99996605948343	11.20577610203658
482.0166935170309	-2.1969261321216645e-10	4.453861738853152e-14	8.034679561396811e-19	0.02992346633435998	2.740255020367494e-21	7.990909156081202e-12	1.1665458541303927e-07	2.049484511302408e-16	8.257822702984099e-24	1.1293823692206276e-09	2.496300527462603	100.00000000000018	3.5653056646966914e-20	3.554276347944306e-25	500.0000001796903	1.1974192153394307e-22	7.623662378180727e-05	84.51299416343123	9.279441190704352e-18	-2.2101551974681829e-13	0.0	1.7969371942578378e-07	0.0	9.403384742928296e-28	0.0	0.0	0.030000000003595362	0.0	-2.2101551974681851e-13	97.50369947253739	99.99992376337623	15.48700583656882
476.73346909433366	-3.874406044718886e-10	2.006350295018615e-12	1.8497399354535064e-16	0.039864026775814194	1.42698098757657e-18	1.5954170080788515e-10	4.6046808236047893e-07	2.085933031777166e-14	9.745338356878496e-21	1.000957606894507e-08	4.172552121772015	100.0000000000005	4.919377370427206e-18	2.4986796993410763e-22	500.00000031926595	3.7325973978495855e-20	0.0001351840960929409	80.90602169708	5.666030776356998e-16	-5.207571170290382e-13	0.0	3.1927434767833947e-07	0.0	1.4914186770021317e-24	0.0	0.0	0.04000000000851866	0.0	-5.207571170290392e-13	95.82744787822797	99.99986481590392	19.093978302920036
471.71707006327296	-6.005118487103662e-10	3.617046299607692e-11	1.1502384329186962e-14	0.04978767764598131	1.6508295631518897e-16	1.5489228098884973e-09	1.307252550761557e-06	6.984639681145454e-13	2.1185692309071837e-18	5.2431507829522355e-08	6.132369481454017	100.00000000000097	2.0964016195192958e-16	3.7106851438295616e-20	500.00000049856686	2.961742000933343e-18	0.000210463722454515	77.84944096163797	1.299817515282672e-14	-1.0110043801959798e-12	0.0	4.98583387515428e-07	0.0	4.195568510693639e-22	0.0	0.0	0.050000000016630824	0.0	-1.0110043801959844e-12	93.86763051854597	99.99978953627756	22.1505590383621
466.92929257105374	-8.577583236429363e-10	3.6356189345157114e-10	3.12652477724874e-13	0.05969445233035124	7.385105293667965e-15	9.482644664394129e-09	3.0034625896171997e-06	1.1542470182249915e-11	1.575520069041589e-16	1.9605952992977976e-07	8.311480733194115	100.00000000000155	4.2411210861210096e-15	2.037518758679049e-18	500.00000071752464	9.857158884434646e-17	0.00030162248721677027	75.24077672979233	1.600143137357242e-13	-1.7365057872180928e-12	0.0	7.175532672380873e-07	0.0	3.8496473652187227e-20	0.0	0.0	0.0600000000287257	0.0	-1.7365057872181065e-12	91.68851926680588	99.9996983775128	24.759223270207748
462.339296133783	-1.1580413698591944e-09	2.4298014881688685e-09	4.7799550737977634e-12	0.06958438481230789	1.7150542395389241e-13	4.204499260712299e-08	5.947441006745701e-06	1.1654428087558803e-10	5.639728874209619e-15	5.787993494263296e-07	10.656518198290517	100.00000000000138	5.111918019686102e-14	5.661090515696716e-17	500.000000976071	1.800192016798061e-15	0.0004080706058029724	72.99582157358572	1.2766393785481494e-12	-2.74086644328903e-12	0.0	9.761165498599935e-07	0.0	1.6502310927656738e-18	0.0	0.0	0.07000000004559573	0.0	-2.7408664432890617e-12	89.34348180170946	99.99959192939421	27.004178426414363
457.92215419558346	-1.5002320319319856e-09	1.1996826776385583e-08	4.7536648967061367e-11	0.07945750970103678	2.41831524259758e-12	1.4666062363270463e-07	1.0540690522419444e-05	8.164138622735571e-10	1.1378560746773628e-13	1.4326998230595616e-06	13.123543042723988	99.99999999999622	4.1932803878114613e-13	9.307793730775194e-16	500.000001274138	2.0927310532096794e-14	0.0005290862556818587	71.04571113678385	7.388383818360717e-12	-4.066557621554648e-12	0.0	1.2742059355871684e-06	0.0	3.8656763696983974e-17	0.0	0.0	0.080000000068032	0.0	-4.0665576215546734e-12	86.876456957276	99.99947091374432	28.954288863216235
453.657683247495	-1.8832113008686916e-09	4.683778445063842e-08	3.4021885813430486e-10	0.08931386215837653	2.3475612232111277e-11	4.2458159734996233e-07	1.7135885916111363e-05	4.311792026807293e-09	1.5221979365086468e-12	3.0918675465622234e-06	15.676603247625055	99.99999999996962	2.559647367054409e-12	1.042657411273285e-14	500.0000016116575	1.7293122700512958e-13	0.0006638260876599322	69.33431129976114	3.3369154455854014e-11	-5.754926597335222e-12	0.0	1.6117542642089866e-06	0.0	5.964269625292925e-16	0.0	0.0	0.09000000009682427	0.0	-5.7549265973350034e-12	84.32339675237495	99.99933617391234	30.665688700238956
449.52950168601217	-2.305870242846587e-09	1.5150012954022707e-07	1.8708296686258427e-09	0.09915347773004729	1.68754717371235e-10	1.0583317766950195e-06	2.5992206493946302e-05	1.8164046450375933e-08	1.4577945625081104e-11	5.97606013797181e-06	18.286413549656395	99.99999999987067	1.2339248658297223e-11	8.558664570612624e-14	500.0000019885618	1.087008402807984e-12	0.0008113398974194951	67.81595706489742	1.2363711339133174e-10	-7.846206668766337e-12	0.0	1.9886945170000403e-06	0.0	6.504643986136592e-15	0.0	0.0	0.10000000013276086	0.0	-7.84620666876462e-12	81.71358645034361	99.99918866010259	32.18404293510269
445.52427592388705	-2.767110008390849e-09	4.1981636098131916e-07	8.287973802955059e-09	0.108976392105486	9.481960027637013e-10	2.3323724401308025e-06	3.724612617405934e-05	6.355718491046268e-08	1.0621029480787108e-10	1.0548927909686111e-05	20.929195600375277	99.99999999956574	4.903281689110483e-11	5.447743524501912e-13	500.00000240478323	5.461962919646166e-12	0.0009705880999931431	66.45353892146743	3.895271031485316e-10	-1.0379527246565749e-11	0.0	2.4049598177935895e-06	0.0	5.3501395639461524e-14	0.0	0.0	0.11000000017662882	0.0	-1.0379527246557446e-11	79.07080439962473	99.99902941190001	33.54646107853267
