calcium concentration	Values[n]	Values[h]	Values[V]	Values[phik]	Values[phia]	Values[phih]	Values[phif]	Values[phical]	Values[cinf]	Values[ica]	Values[isk]	Values[ibk]	Values[ikdr]	Values[ia]	Values[ik]
0.3	0.1	0.1	-60.0	0.004070137715896128	0.01798620996209156	0.5	0.0007898659417364615	0.03444519566621117	0.2647058823529412	-7.577943046566457	6.75	0.0	6.0	0.0	12.75
0.29963192915069553	0.09778520861362744	0.12013135547278919	-60.502101428704535	0.0038715929184017887	0.01712049680180935	0.5250839955708972	0.0007221768171308788	0.033080376561038426	0.2642282647147695	-7.310902252095216	6.512282788557032	0.0	5.6707201450133535	0.0	12.183002933570386
0.2992606251890549	0.09561715987905646	0.14046553999928207	-60.97485010358618	0.0036934831198802845	0.016342880678295934	0.5485886845501555	0.0006637523192860803	0.031843180183776285	0.26374641788134345	-7.067584295432118	6.28844117722767	0.0	5.364179999892531	0.0	11.6526211771202
0.2988864312990622	0.09349521855545123	0.1609152424847196	-61.41954269320039	0.003533402719077229	0.015643166829605846	0.5705041926407406	0.0006131136673757832	0.030720329380764324	0.2632607874879725	-6.845690101978497	6.077843204559254	0.0	5.078831295928816	0.0	11.15667450048807
0.29850965745629676	0.09141871232289979	0.1813977783438282	-61.8374794620557	0.003389262390605983	0.015012467721582589	0.5908537594634542	0.0005690469100615307	0.029700047099585233	0.26277177623894155	-6.643156815043901	5.8798561326131935	0.0	4.8132027140103615	0.0	10.693058846623554
0.29813058385378605	0.08938693941494726	0.201836269869951	-62.229949908271216	0.003259245476841924	0.014443029958241	0.6096853942506435	0.0005305516858500365	0.02877189006340526	0.2622797483335037	-6.458135561164517	5.693853391250264	0.0	4.56590277550081	0.0	10.259756166751075
0.2977494639970296	0.08739917513971063	0.22216038724612208	-62.59822138193055	0.0031417702809200298	0.013928082865634255	0.6270645824734231	0.0004968004256086754	0.02792659713715669	0.2617850334646851	-6.288970333787114	5.519220051939977	0.0	4.335620885938281	0.0	9.854840937878258
0.29736652748761666	0.08545467744139446	0.24230672655927776	-62.94353026141439	0.003035457574122901	0.013461706723954022	0.6430681989593642	0.0004671058055479996	0.027155952505515044	0.26128793041592674	-6.134178287168341	5.3553570443993825	0.0	4.121126930371068	0.0	9.47648397477045
0.2969819825188826	0.08355269163951497	0.26221890304623985	-63.26707528816813	0.002939102668165183	0.013038718554662803	0.6577796249343301	0.0004408947221675166	0.026452663208466603	0.2607887102857998	-5.992431590411884	5.201684315914338	0.0	3.921269761909333	0.0	9.122954077823671
0.2965960181073852	0.08169245446049248	0.28184742871474827	-63.57001271522641	0.0028516514491586198	0.012654573394282205	0.6712849715347815	0.00041768742672812807	0.025810250177926885	0.260287619371479	-5.862540881780662	5.057643105659987	0.0	3.7349748629814976	0.0	8.792617968641485
0.29620880608483396	0.0798731974648282	0.30114943639554503	-63.85345295351127	0.002772179833410013	0.012305279127767646	0.6836702634366264	0.0003970807484720462	0.02522295174654263	0.25978488174276637	-5.743440300047352	4.922697490730835	0.0	3.561241413180767	0.0	8.483938903911602
0.2958205028738466	0.078094149956149	0.3200883000924319	-64.11845844835511	0.0026998761639200493	0.011987323107560953	0.6950194209537852	0.000378734563732217	0.024685638494364608	0.2592807015368447	-5.634174021580526	4.796335336431779	0.0	3.3991389507528877	0.0	8.195474287184666
0.29543125106978274	0.07635454144710008	0.3386331918242931	-64.36604255330063	0.0026340261269164524	0.011697608970055473	0.7054128834610393	0.00036236084786653034	0.0241937382959759	0.25877526500248715	-5.533884206961997	4.678068765701162	0.0	3.247803778442822	0.0	7.925872544143983
