NFkB	IKK	NFkBn	IkBa	IkBb	IkBe	IkBbNFkB	IkBeNFkB	IkBaNFkB	IkBat	IkBen	IkBan	IkBbn	IkBeIKK	IkBaIKKNFkB	IkBbt	IkBet	IkBbIKK	IkBeNFkBn	IkBbNFkBn	IkBbIKKNFkB	IkBaIKK	IkBaNFkBn	IkBeIKKNFkB	Values[Total_IkBalpha]	Values[Total_IkBbeta]	Values[Total_IkBeps]
0.0	0.001	0.0	0.0	0.0	0.0	0.030000000000000002	0.01	0.060000000000000005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.03	0.01
2.642414076460484e-05	0.0005380923139245878	7.454914366506866e-05	2.4828211388018123e-05	6.50177526778973e-06	4.0186324910309906e-06	0.02993728032950836	0.009970042360796946	0.059529820220022345	0.00018325854098901595	2.4963942873185016e-08	1.5579787540134822e-07	4.256849414240941e-08	1.3386606980972085e-09	0.00038056740142946254	4.236315313694135e-05	3.02253957774805e-05	2.3715492085406124e-09	9.270880644414193e-12	1.6237613509402144e-11	5.5293011609781855e-05	2.0250510777147984e-08	5.437947442887372e-11	2.6023312315483057e-05	0.05993539193560548	0.029999120072666897	0.01000011061747791
3.6829148770498514e-05	0.00039819641417429	0.0002501488006928597	8.792562882694322e-05	2.1149682920200462e-05	1.3961487021680104e-05	0.02990173027580715	0.009953165611930522	0.0592564043255756	0.00036351604407202276	1.6280930592573529e-07	1.0465917282783697e-06	2.548141184958322e-07	4.862748340109183e-09	0.0004866857726816777	8.402055025111044e-05	5.9947246527477564e-05	7.946635500226793e-09	4.0260737172293976e-10	6.41895819035351e-10	7.903167610504362e-05	7.227926629874695e-08	2.2955446173882153e-09	3.600104838884836e-05	0.059832136893623405	0.030002175037482204	0.010003296222002687
3.983640036258691e-05	0.00035500641548961087	0.00045709517309083076	0.00018365520425224713	4.231794149728763e-05	2.86479675790833e-05	0.02987513879565992	0.009940481826378921	0.05904260727746368	0.0005409675762863341	4.782229542026508e-07	3.1614113519649278e-06	7.22837993706114e-07	1.0307630529814604e-08	0.0005124824910301356	0.00012498394900277123	8.917394114242653e-05	1.57477820987319e-08	3.18023639413977e-09	4.873563522109311e-09	9.175641489918214e-05	1.5273254000238879e-07	1.7676686394232628e-08	4.057589062843963e-05	0.059742076793324425	0.030009956611395713	0.01001019739540757
4.065163577247019e-05	0.0003412070953200357	0.0006720760153874951	0.0003071686249918743	6.867889651891928e-05	4.711395685852061e-05	0.02985188618976742	0.009929269156362929	0.05884753327970249	0.0007158450996201405	1.0037474125099213e-06	6.815983857760652e-06	1.488802825286195e-06	1.787835724178111e-08	0.0005154319815689922	0.00016526491117351675	0.00011791372875863259	2.5710575166603616e-08	1.2738186659811893e-08	1.9098115443624636e-08	9.995780500278716e-05	2.667230963001387e-07	6.929405383678482e-08	4.3092806079475636e-05	0.05967728588727125	0.030022056502805025	0.010020510283257338
4.0837083461234325e-05	0.0003365094793157335	0.0008881847126714495	0.00045430578557189086	9.914796603304715e-05	6.85719265326453e-05	0.029830153730513276	0.009918664419620766	0.05865887772377182	0.0008883793172416936	1.7480716081555868e-06	1.2180415591138238e-05	2.562361711316313e-06	2.7821273786842444e-08	0.0005124761117814658	0.00020487480592950896	0.00014617472108453713	3.7956934345357454e-08	3.551199985383729e-08	5.250830564208913e-08	0.00010585338255481773	4.2024308828895654e-07	1.8981026814372328e-07	4.4675005051561235e-05	0.05963845009007274	0.030037807906052445	0.010033722756086768
4.0854872113842974e-05	0.00033474244167755896	0.0011033716947003447	0.0006215015134261522	0.00013283892817093513	9.237844916494771e-05	0.029809297748001826	0.009908377821240617	0.05847293846531357	0.001058791667863469	2.7029669276818338e-06	1.930639002999777e-05	3.930205639491779e-06	4.027008412216729e-08	0.0005084824857638459	0.00024382481303038812	0.00017396489469022062	5.25589939093172e-08	7.913195448228873e-08	1.1588956248794946e-07	0.00011031805436226597	6.174206399775303e-07	4.170685084386458e-07	4.574676847831973e-05	0.059623263343681975	0.030056553384730917	0.01004932540785017
4.083832962127046e-05	0.0003339979255151941	0.0013169846351329282	0.0008057044906210601	0.00016902777364971645	0.00011800791158059474	0.02978905520400631	0.00989830422199389	0.0582886388199011	0.0012272940153509999	3.848921925016913e-06	2.8152702431225816e-05	5.563806023641388e-06	5.524228275106469e-08	0.0005047418320705925	0.00028212592598472205	0.00020129209325876223	6.950624129523547e-08	1.5151931043945637e-07	2.2035530984717522e-07	0.00011377650687905993	8.603346525185584e-07	7.899234160089437e-07	4.649865235858829e-05	0.05962888810309251	0.030077713152109865	0.010066866469451279
4.082331479816655e-05	0.00033366477848470276	0.001528741522194774	0.0010043072658955895	0.00020712326790817525	0.0001450311114547006	0.029769299019594325	0.009888403418496321	0.05810572714491336	0.0013940890543700229	5.159611222858802e-06	3.860858411368995e-05	7.425545139304381e-06	7.267022952667949e-08	0.0005015085559508078	0.00031978895515288695	0.0002281640298000934	8.872302202510815e-08	2.601057828361445e-07	3.7626809825931035e-07	0.00011648207640366111	1.1494670429433087e-06	1.344844901188571e-06	4.7033728866332796e-05	0.05965264586281758	0.03010079490016575	0.010085960646052574
4.081652691444212e-05	0.0003335319563358423	0.0017384349699848581	0.0012150857002729356	0.0002466428903521594	0.00017309777077631797	0.02974995972163697	0.009878661818176334	0.05792422851384122	0.001559370280883636	6.605348827106506e-06	5.051450007687546e-05	9.473444435867685e-06	9.243024656688659e-08	0.0004987563213840534	0.0003568245307982568	0.0002545882888279696	1.1009002572537035e-07	4.112461430101796e-07	5.924353584032335e-07	0.00011860878062119252	1.4841635702547396e-06	2.1134081231923306e-06	4.741625781636455e-05	0.05969218260726853	0.03012538736243031	0.0101062848719857
