beta	alpha	gamma
188.8	29.19988	0.3367
185.33925432618724	29.066296129282676	0.3278189870496173
181.72352163522297	28.95758865115098	0.3170347997265539
178.04556821479366	28.87288671054644	0.3056724409901166
174.35420319244318	28.811040139829213	0.2943558113353307
170.67680404324568	28.770817576932284	0.2833627086742886
167.03022138810604	28.750994716362914	0.27280615299396355
163.42588793590153	28.75039186115642	0.2627233236418292
159.87218279887063	28.767888700839865	0.2531174369290178
156.37554794469284	28.802428968627098	0.24397684398726133
152.94105043351976	28.853020570993536	0.2352835904222575
149.57269800459719	28.918733654074106	0.2270172612032138
146.27364062556995	28.99869771897436	0.2191567505332495
143.0463148180452	29.092098314482122	0.21168111221654762
139.89255570436092	29.198173576934312	0.20456998811293411
136.8136884130197	29.316210764783403	0.19780383026608922
133.81060483405122	29.445542872673407	0.1913640138154295
130.88382919247383	29.58554537439417	0.18523288749880576
128.03357467234915	29.73563312264048	0.17939378640048845
125.25979267188548	29.89525741951586	0.1738310211811376
122.56221586321344	30.06390326291024	0.16852985257069586
119.9403959809304	30.241086767880745	0.1634764568612571
117.39373710752909	30.426352757306415	0.15865788625326877
114.92152505052623	30.61927251534962	0.1540620266698872
112.52295335338133	30.81944169406133	0.14967755464211577
110.19714640844106	31.026478362730554	0.1454938948884036
107.94318005393399	31.240021189634316	0.14150117886446859
105.76010000903676	31.459727746105024	0.13769020547192767
103.64693846373814	31.685272921589196	0.13405240353435685
101.60272912390259	31.91634743863927	0.13057979710454692
99.62652093957328	32.15265645934118	0.12726497300636427
97.71739078534567	32.39391827127501	0.12410105111761682
95.87445530225283	32.639863044440055	0.1210816572861134
94.09688212002492	32.89023164910722	0.11820089892232652
92.38390066758387	33.144774525005914	0.1154533432826007
90.73481277201094	33.403250592755185	0.11283399844993766
89.14900325744813	33.66542619740524	0.11033829704517387
87.62595074542945	33.93107407525218	0.10796208270823247
86.16523889043027	34.19997233271659	0.10570159946940436
84.76656827423048	34.471903427866174	0.10355348397911406
83.42976923722509	34.746653141858616	0.10151476102590448
82.15481591589442	35.02400952950721	0.09958284225464083
80.94184188558934	35.30376183029118	0.09775552845428563
79.79115765700023	35.585699334512356	0.0960310162752251
78.70327062198	35.8696101750847	0.09440790847378899
77.67890791076316	36.15528003125267	0.09288523014270159
76.71904280728612	36.44249071784137	0.09146245018245774
75.82492546953752	36.73101863331796	0.09013950958088587
74.99811903898137	37.02063302496234	0.08891685778223139
74.24054202479937	37.311094042797116	0.08779549805053792
73.55451870099465	37.60215051651224	0.08677704457860519
72.94283910886628	37.893537401784386	0.08586379294849289
72.4088309921584	38.18497281430538	0.0850588075095927
71.95644644704075	38.476154556052634	0.08436602937064656
71.59036709440721	38.76675600289038	0.08379041038993884
71.31613209976071	39.056421209139174	0.08333807931179148
71.14029540369869	39.3447590136125	0.08301654929438991
71.07061976833727	39.63133589501662	0.08283497795693145
71.11631802515444	39.91566723284198	0.0828044955176518
71.28835516129635	40.19720652541876	0.08293862148445233
71.59982945492797	40.47533197006638	0.08325379837811334
72.06645726209386	40.74932960517049	0.08377008100434984
72.70719493003485	41.018371930261985	0.08451203548531525
73.5450438900519	41.28149051767025	0.08550992430017088
74.60810284863004	41.53754055725268	0.08680128665582809
75.93095686390159	41.78515444422001	0.08843307279240109
77.55653032726644	42.02268031650341	0.09046456668877757
79.53858581425823	42.248099654074295	0.09297144975785963
81.94513100518155	42.45891539056938	0.0960515423303947
84.86311406074628	42.6519979747804	0.09983306700530997
88.4049600390619	42.82337074457857	0.10448677203327386
92.71774569704408	42.96790679892852	0.11024410340443518
97.99613633993961	43.078895891354286	0.11742507763280366
104.50057890373125	43.147420246139056	0.1264821077110542
112.58244663663923	43.16145280729393	0.1380707466546016
122.71711317143807	43.10456748229118	0.15316701878036867
135.54197771694427	42.95416018339572	0.17326725436752136
151.88270599459372	42.6792261335218	0.20073641622168767
172.71064152268045	42.23831282862722	0.23942376940150173
198.8724711881887	41.57991770476705	0.29574173214615357
230.2305313100646	40.65118739522319	0.3804284164704073
263.64809819603863	39.42537203516654	0.5106256843376684
289.80002484106876	37.95590450533045	0.7074525657351615
292.58193642599997	36.43641578539938	0.9631486850532112
263.63956847464493	35.17005596479547	1.134882124613472
225.23665530489168	34.329061603313264	1.0092142743893529
202.39814548503708	33.80182905965921	0.7209051935688287
194.54155383244358	33.413904182420616	0.5109405728190668
194.1049228485707	33.06960746995551	0.4111221203347394
196.56712310716304	32.73068511198954	0.3753472308049296
199.8180945118735	32.38488404817741	0.36874527355653663
202.85617564213183	32.0313196547326	0.3737922161016706
205.17736373374333	31.674294340316784	0.38226743073743197
206.53876608278193	31.320345671882833	0.39013384958335967
206.8665308634993	30.976539046234443	0.3953127908299094
206.20763440129318	30.64936071867141	0.39683741430284714
204.6887577245227	30.344046739995747	0.3945130888199209
202.47558204635456	30.064300193391738	0.38869909372713024
199.7377777192448	29.812325731297747	0.3800887199678111
196.62559798813456	29.5890672289533	0.369493772520538
193.2594273986662	29.394526500073006	0.3576769220366155
