ADPi	ATP	Cri	PCr	P_ii	ATPi	PCri	P_i	ADP	Cr	Values[tmito]	Values[j_diff_pcr]	Values[j_diff_atp]	Values[densyn]	Values[vatpnorm]	Values[jsyn]	Values[r_diff_pcr]	Values[j_ck_mi]	Values[j_ck_mm]	Values[j_diff_adp]	Values[j_diff_cr]	Values[j_diff_pi]	Values[phase]	Values[fracDia]	Values[VhydAmp_basis]	Values[VhydAmp_test]	Values[VmaxMMb]	Values[VmaxMib]	Values[VmaxMif]	Values[VmaxMMf]
39.00000000000001	5601.0	9789.0	5710.0	910.0000000000001	5626.000000000001	5711.000000000001	912.0000000000001	64.0	9789.000000000002	0.0	155.0	332.36924999999997	5.4719999999999995	0.0	487.64375548245624	0.31803401630283407	165.69814546901773	-42.12375899819037	-332.36924999999997	-2.8194335754960775e-10	-388.00000000002206	0.0	0.6666666667999999	2919.0000011675997	3765.60000150624	46303.543454371335	3520.3411022769233	882.0756	11441.78
55.9223192759873	5570.845985063457	9891.793002316219	5606.230796478845	1041.6158108355992	5609.077680723924	5607.283920760677	1045.008434097603	94.15401493645128	9892.84612659805	0.0	163.2342636840258	508.2816005158983	7.451391131407227	0.0	587.7574385710533	0.24308325742759757	58.99661569242781	-1413.8202454011473	-508.2816005158667	-163.23426368374385	-658.1689128287335	0.7500000000000053	0.6666666667999999	2919.0000011675997	3765.60000150624	46303.543454371335	3520.3411022769233	882.0756	11441.78
36.33759341764386	5606.102457053086	9869.534780003689	5628.544833558516	986.2262599791002	5628.6624065823635	5629.5421430732395	988.5668085855231	58.897542946918755	9870.532089518427	0.0	154.5829747822654	299.9293402033489	5.478141004325833	0.0	491.8608698565981	0.340107340737639	191.77153976126533	291.83786594402	-299.9293402033179	-154.58297478466193	-454.0664296460177	0.4999999999999982	0.6666666667999999	2919.0000011675997	3765.60000150624	46303.543454371335	3520.3411022769233	882.0756	11441.78
36.23596231663681	5607.192797639332	9790.759188458496	5707.350202710088	906.4931536802206	5628.7640376836125	5708.317734618572	908.7424224857904	57.8072023609195	9791.726720366876	0.0	149.96744581509574	286.78467500349075	5.224937522618035	0.0	472.67864581460265	0.34336970255351695	185.87693099066172	281.1187569833237	-286.78467500352815	-149.96744579916594	-436.3581482805271	0.2500000000000071	0.6666666667999999	2919.0000011675997	3765.60000150624	46303.543454371335	3520.3411022769233	882.0756	11441.78
36.240938858609596	5608.130768226397	9718.128093630665	5780.0119597566	833.0505999339287	5628.759061141734	5780.948829446825	835.210731140603	56.86923177394623	9719.064963320348	0.0	145.21480198469362	274.2484098020311	5.000477597178472	0.0	453.94380346016146	0.34619198514726435	179.71726598951207	268.9991932184414	-274.24840980203004	-145.21480190095645	-419.06545409482396	0.9999999997890292	0.6666666667999999	2919.0000011675997	3765.60000150624	46303.543454371335	3520.3411022769233	882.0756	11441.78
55.642478961170845	5571.963855195078	9836.385962239068	5661.657083461504	985.2042116391232	5609.357521039268	5662.690960837914	988.5246702176546	93.03614480535565	9837.419839615477	0.0	160.25099334350216	497.14018685533574	7.198164653925078	0.0	572.6031197980689	0.24376809146577205	54.99860953072809	-1423.040588468266	-497.14018685529265	-160.25099334364313	-644.1689642350973	0.7500000000000053	0.6666666667999999	2919.0000011675997	3765.60000150624	46303.543454371335	3520.3411022769233	882.0756	11441.78
36.284545480568546	5606.656816199745	9828.652936989207	5669.441730065152	944.8575321572699	5628.715454519995	5670.423986087857	947.1517060053883	58.343183800806266	9829.635193011842	0.0	152.24968351925327	293.26452298090857	5.346640039330239	0.0	482.1140931847047	0.34173923367177284	188.7144746293982	285.4919465858645	-293.2645229807469	-152.24968350839845	-445.0697265349843	0.4999999999999982	0.6666666667999999	2919.0000011675997	3765.60000150624	46303.543454371335	3520.3411022769233	882.0756	11441.78
36.22830867174634	5607.5831730081945	9760.849936976481	5737.271683423478	876.2449146925309	5628.7716913289805	5738.226986100581	878.4581775590308	57.41682699253676	9761.80523965357	0.0	148.0719149509241	281.6964777156359	5.131682052311969	0.0	465.1109733038745	0.34453886669559514	183.41326834569696	276.2015569144694	-281.696477715695	-148.07191494838662	-429.372996100984	0.2500000000000071	0.6666666667999999	2919.0000011675997	3765.60000150624	46303.543454371335	3520.3411022769233	882.0756	11441.78
36.25865704554061	5608.40545974916	9696.338767781359	5801.811154122176	811.025748208548	5628.741342955227	5802.738155295714	813.1579489245773	56.59454025160185	9697.265768954892	0.0	143.68518189852693	270.36088997150705	4.934463690052144	0.0	448.0733929902107	0.34702703795636697	177.74638625501174	265.23748803353857	-270.3608899714468	-143.6851818976811	-413.64693890970125	0.9999999997860236	0.6666666667999999	2919.0000011675997	3765.60000150624	46303.543454371335	3520.3411022769233	882.0756	11441.78
55.57339827338772	5572.27489345837	9820.70996333769	5677.3388686298595	969.249839025083	5609.42660172756	5678.366959739398	972.5492878718634	92.72510654256934	9821.73805444723	0.0	159.35412197850837	493.923416545977	7.127723596244755	0.0	568.1913247584898	0.24393020206760965	53.804761274615174	-1425.7162930129207	-493.9234165458677	-159.3541219789313	-640.0930762753908	0.7499999999999973	0.6666666667999999	2919.0000011675997	3765.60000150624	46303.543454371335	3520.3411022769233	882.0756	11441.78
