LA	nHexanal	13HOD-S(Z,E)	13HOD-R(Z,E)	9HOD-S(Z,E)	13HOD-R(E,E)	9HOD-R(Z,E)	9HOD-S(E,E)	9HOD-R(E,E)	13HOD-S(E,E)	Values[Vm(HPL-RZE)]
6.69999967735732e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.038475
6.052600640129779e-05	3.7832675515523514e-06	7.516565437704662e-07	2.0140436109768252e-07	8.899006765938595e-07	1.2439031501429198e-07	2.469866326965076e-07	1.387617936419034e-07	1.1756532516400163e-07	2.2545866471159178e-07	0.038475
5.467750672025925e-05	8.05825200435089e-06	6.815545434158928e-07	2.7524552018313634e-07	1.693822759256132e-06	2.3676254231954733e-07	4.701104187207064e-07	2.6411698560054856e-07	2.2377196545611396e-07	4.29134427700048e-07	0.038475
4.9394078186759376e-05	1.1972793683421484e-05	6.157063916410165e-07	2.918732973249392e-07	2.4200713874332434e-06	3.3827757429302885e-07	6.716764000620007e-07	3.77360592360745e-07	3.1971711795150825e-07	6.131314177733185e-07	0.038475
4.462113519727368e-05	1.5532296252217588e-05	5.562362715051376e-07	2.836943118369732e-07	3.076149779807246e-06	4.2998421082896014e-07	8.537670503777408e-07	4.796625872799626e-07	4.063920374804517e-07	7.793505950155881e-07	0.038475
4.030936308575246e-05	1.8758656566449113e-05	5.02475499815289e-07	2.655586741003369e-07	3.6688366234258665e-06	5.128299767909895e-07	1.018263753885354e-06	5.720799678389531e-07	4.846922605538291e-07	9.295093575258535e-07	0.038475
3.641420962037009e-05	2.1678238280986595e-05	4.53924462354837e-07	2.4419646103914425e-07	4.2042559714565586e-06	5.876708923201285e-07	1.1668662050676827e-06	6.555676547656426e-07	5.554268395983781e-07	1.0651592501967897e-06	0.038475
3.289542534680894e-05	2.4317995408485802e-05	4.1009143528265734e-07	2.225916179042659e-07	4.687940426601851e-06	6.552803046124375e-07	1.3011099448536036e-06	7.309883441953452e-07	6.193266901565115e-07	1.1877019723983382e-06	0.038475
2.9716648228243155e-05	2.670382291463506e-05	3.704221415713296e-07	2.0200568122334204e-07	5.124888235586391e-06	7.163568685863263e-07	1.4223822068528637e-06	7.991214103872553e-07	6.770521336740812e-07	1.2984038430153796e-06	0.038475
2.684502842000098e-05	2.8859550196708288e-05	3.346448692810431e-07	1.8291369434442418e-07	5.519614866818141e-06	7.715317564079433e-07	1.5319362324287537e-06	8.6067094820488e-07	7.291997114568888e-07	1.3984088677831397e-06	0.038475
2.425088917354532e-05	3.080721608137542e-05	3.023107454227357e-07	1.6543701616322413e-07	5.8761996217917886e-06	8.213751728330658e-07	1.6309042074155233e-06	9.16273041210237e-07	7.763083425318323e-07	1.488750548408201e-06	0.038475
2.1907420460269526e-05	3.2566814858452286e-05	2.7307247618159405e-07	1.4954268995052887e-07	6.198327748897374e-06	8.664022418751934e-07	1.7203089505551356e-06	9.665023284502083e-07	8.188648873280364e-07	1.5703625522121012e-06	0.038475
