P1	P2	Target	Values[dsp1ksp]	Values[dsp1p2kd]
10.0	10.0	10.0	9.99998989900021	9.989999949498886
10.528641872116058	10.528641872116058	10.528641872116058	10.528631231453211	10.518380634731345
11.059114630606068	11.059114630606068	11.059114630606068	11.059103447831179	11.048597806688345
11.593440703489575	11.593440703489575	11.593440703489575	11.593428974076465	11.582672554642452
12.133602717245443	12.133602717245443	12.133602717245443	12.133590434622718	12.1225863125003
12.681566097841248	12.681566097841248	12.681566097841248	12.681553253400548	12.670303429553599
13.239298712208516	13.239298712208516	13.239298712208516	13.239285295292852	13.227790788470955
13.80878792689431	13.80878792689431	13.80878792689431	13.808773924768204	13.797034845741479
14.392055249159515	14.392055249159515	14.392055249159515	14.392040646963462	14.380056258608274
14.991168568241699	14.991168568241699	14.991168568241699	14.991153348933382	14.978922115545762
15.608251860846119	15.608251860846119	15.608251860846119	15.608236005130399	15.595755633698303
16.245492045263735	16.245492045263735	16.245492045263735	16.2454755315145	16.232743007477193
16.90514254015201	16.90514254015201	16.90514254015201	16.905125344329107	16.892136963993767
17.589522894546317	17.589522894546317	17.589522894546317	17.589504990111163	17.57625639187341
18.301013715849873	18.301013715849873	18.301013715849873	18.300995073684607	18.287481270142614
19.04204596167185	19.04204596167185	19.04204596167185	19.04202655000787	19.028241963039605
19.81508357014414	19.81508357014414	19.81508357014414	19.81506335450668	19.801001855425433
20.622598314021946	20.622598314021946	20.622598314021946	20.62257725719869	20.60823221411161
21.46703581277638	21.46703581277638	21.46703581277638	21.467013874820086	21.452378209290437
22.350771760927554	22.350771760927554	22.350771760927554	22.350748899201978	22.3358151541833
23.27605776853706	23.27605776853706	23.27605776853706	23.276033937818546	23.260794358639874
24.244956692168852	24.244956692168852	24.244956692168852	24.244931844814566	24.229378474611167
25.25926809437032	25.25926809437032	25.25926809437032	25.259242180565025	25.243366970878274
26.320445444757464	26.320445444757464	26.320445444757464	26.32041841284791	26.30421334945184
27.42950782440359	27.42950782440359	27.42950782440359	27.429479621328298	27.41293686424334
28.586950171725974	28.586950171725974	28.586950171725974	28.58692074354412	28.57003277902454
29.79265729778884	29.79265729778884	29.79265729778884	29.79262659030571	29.775386391330798
31.04582786091756	31.04582786091756	31.04582786091756	31.045795820398315	31.02819701091428
