E	E_P_1	P	E_M	T	E_P2	P2	M	E_P_2
0.00015	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
7.949059510762873e-05	6.267399799608897e-05	0.9945332669774767	2.9238854000858186e-07	3.053815928127157e-05	2.0609171201297006e-09	0.00024071339474649738	0.005124972063604852	7.540957439153653e-06
7.95376173439306e-05	6.237091000362851e-05	0.9891387909382694	5.827907578512108e-07	0.00012260157874413566	4.193421390552476e-09	0.0004835611296458867	0.01018458397068643	7.5044884731992026e-06
7.958632327019564e-05	6.20703761441563e-05	0.9837703539062184	8.686562406237946e-07	0.0002752336952940491	6.317480122673319e-09	0.0007251452402246886	0.015158853481534867	7.4683268649016574e-06
7.963669197233197e-05	6.177234793159665e-05	0.9784277376157452	1.1500600218361307e-06	0.0004874896785519145	8.433294956624495e-09	0.0009654759162920399	0.020048933481385214	7.432466779278682e-06
7.968870305771721e-05	6.147677805840635e-05	0.9731107279370698	1.4270752981596513e-06	0.0007584402796735494	1.0541062574263145e-08	0.0012045631527982795	0.02485595733351786	7.396902523142573e-06
7.974233664863202e-05	6.11836203881478e-05	0.9678191148572969	1.6997734442536002e-06	0.0010871717574984074	1.2640974709602267e-08	0.0014424167507293085	0.02958103897112604	7.361628544257037e-06
7.979757334804872e-05	6.0892829889989525e-05	0.9625526922220826	1.968224120098849e-06	0.0014727849035740027	1.4733218397618751e-08	0.0016790463292806906	0.03422527411841258	7.326639423465353e-06
7.985439423146739e-05	6.060436261601159e-05	0.9573112577199753	2.232495304524442e-06	0.001914394982322136	1.6817976080113946e-08	0.001914461326601376	0.03878974036533451	7.2919298719165185e-06
7.99127808325668e-05	6.031817567032982e-05	0.9520946127981055	2.4926533439862696e-06	0.0024111314123039253	1.889542572979199e-08	0.0021486710037704206	0.043275497566654594	7.2574947273873655e-06
7.997271512589821e-05	6.003422717426866e-05	0.9469025625513957	2.7487630087762124e-06	0.002962137348013407	2.0965740987744347e-08	0.002381684450021626	0.04768358836569698	7.223328950069205e-06
8.00341795152788e-05	5.975247623966698e-05	0.9417349156620669	3.0008875344031316e-06	0.0035665694516920712	2.302909127505623e-08	0.0026135105855977798	0.05201503848016026	7.189427619376078e-06
