pSmad2_n	SnoN_n	Arkadia_n	pSmad3_n	TGF_RII	Ski_n	Smurf2_n	pSmad2_c	pSmad3_c	freePromoters	Smad3_n	Smad2_n	Smad2_c	Smad3_c	TGF_RI	pSmad2_Smad4_n	pSmad3_Smad4_n	SARA	Smad4_n	Ski_c	Rec_active	Smad7_c	Smad4_c	Smurf1_c	SnoN_c	Arkadia_c	Smurf2_c	Smad7_n	Smad7_Smurf2_c	Smad7_Smurf1_c	Smad4_Ski_n	pSmad3_Smad4_SnoN_n	pSmad2_Smad4_SnoN_n	Smurf1_n	pSmad3_Smad4_Ski_n	pSmad2_Smad4_c	pSmad3_Smad4_c	Smad2_SARA	Smad4_Smad2_n	pSmad3_SnoN_n	Smad4_Smad3_n	inactivePromoters	Smad7_Smurf2_n	Smad3_SARA	TGFbeta_TGF_RII	Smad2_Ski_c	Smad7_Smurf1_n	Smad3_Ski_c	Smad4_SnoN_n	Rec_Smad7	pSmad2_Smad4_Ski_n	pSmad2_SnoN_n	geneProduct	Values[allSnoN]	Values[allSmad7]	Values[allSmurf2]	Values[allSmad2]	Values[allSmad4]	Values[allPSmad3]	Values[allSmad3]	Values[allSmad4cyt]	Values[allSmad4nuc]
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0999999951844375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8.085590629914176e-13	8.406750314978779e-07	9.063313855661427e-07	1.5442184543410368e-12	0.001439779007889377	8.399420643963841e-07	0.00011431570236473294	6.845555754982151e-13	1.2864701660504023e-12	0.09999999518422321	0.002650735276092752	0.0009734415594189668	0.013230337320725037	0.038387408912527454	0.012327983934198197	2.2052999837413292e-15	2.2052999837697783e-15	9.516125412284282e-05	0.0008001407453619518	1.704424088233552e-05	5.5015500689267226e-14	9.471157121824975e-05	0.010345528381864066	2.8285709080627152e-05	1.7072700339863442e-05	1.8156376182386142e-05	0.00011023065948527956	4.663287668389954e-07	5.1725668978339955e-12	2.951835897543606e-12	1.4021328313832067e-10	5.27521081507127e-15	5.27521081507127e-15	6.1290727860648e-05	5.275210815071269e-15	3.0772508695289705e-25	1.1173014464626237e-24	4.321134428735879e-07	1.4941660331361426e-17	7.6672580376218505e-56	1.494166033145417e-17	2.1427545102095272e-13	2.8018268497599748e-11	1.2539980227694983e-06	6.521075636603236e-08	7.935643021974282e-09	1.550834788929561e-11	2.3029372592950294e-08	1.4053950992658653e-10	5.7246600015194265e-18	5.275210815071269e-15	1.087411435438668e-56	2.327785333522784e-17	1.7913656450381174e-05	9.517793317592984e-05	0.00022454639504084788	0.014204210995087485	0.01114566940799908	2.8434443420064686e-12	0.04103942121885903	0.010345528381864066	0.0008001410261477666
1.1585008050006781e-10	2.8464132355426807e-06	3.2963758207266004e-06	1.8970718532338117e-10	0.0028393705909720963	2.8378242931432825e-06	0.00030034566351312377	6.923078849196521e-11	1.1223694777422468e-10	0.09999999517474334	0.008117197137402183	0.0031601577179725935	0.02297507918177721	0.06651472338021218	0.024318233631386136	3.6266292400034487e-13	3.62662926376345e-13	0.0001767382115535967	0.0027949328735769165	2.9416661481603397e-05	3.323119304587618e-12	0.00017964166546776292	0.018344155143684253	3.0270262369698897e-05	2.9579633117137143e-05	3.317666214848169e-05	0.00014562670070703544	1.7404686254257373e-06	1.923895487810536e-10	9.788896225583234e-11	3.444008802952366e-09	4.166198029764301e-13	4.166198029764301e-13	0.0001445675297895278	4.1661980297642665e-13	1.1859156189593088e-20	3.199752735900644e-20	2.870005455207453e-06	5.106502900247377e-15	1.0826232968719802e-47	5.106502916756206e-15	9.686351859078353e-12	4.835057862560894e-10	8.319393374636004e-06	5.065861749645125e-07	4.9575600514712373e-08	2.3835945462849364e-10	1.4370984681700696e-07	3.463502639387399e-09	1.3265045535119318e-15	4.1661980297642665e-13	2.4510284156338082e-48	7.823738902057386e-15	3.2432973357958596e-05	0.00018138280998985018	0.0004459730401154942	0.026138107091070267	0.021139094926758004	3.031400356619325e-10	0.07464038392398095	0.018344155143684253	0.0027949397842696603
1.7441360785189452e-09	5.454167018106718e-06	6.764950553674567e-06	2.6414293054691406e-09	0.004199213296667415	5.421939400496401e-06	0.0004940987347329233	9.308583363882339e-10	1.4004342337007607e-09	0.09999999510528171	0.014242010732071337	0.005848271676609126	0.03050386635163416	0.08788685801397347	0.03598000151861854	6.100141291708562e-12	6.100142565644493e-12	0.00024283188319372157	0.005528340445392056	3.85538428478523e-05	3.571937376656833e-11	0.0002558772351721434	0.024701500126433462	3.1485771718141885e-05	3.8954912889910034e-05	4.574401714465797e-05	0.00017156310841232635	3.65554339910394e-06	1.384549698218868e-09	6.65387808193184e-10	2.0268384756865655e-08	4.502704753022739e-12	4.50270475302274e-12	0.000227905122448582	4.50270475302214e-12	4.2752528498134166e-18	9.90523640215287e-18	8.063104846454339e-06	1.3352539837478811e-13	3.2501058516649442e-43	1.335254121798431e-13	7.895474346752334e-11	2.1944250067117426e-09	2.3314032608341016e-05	1.6600287345677349e-06	1.3332588281754986e-07	1.0273853477550433e-09	3.8553276239810787e-07	2.046392367757461e-08	3.08025826080891e-14	4.50270475302214e-12	9.399388030596761e-44	2.0104661348205801e-13	4.44500077553719e-05	0.0002595363575767548	0.0006656654221199546	0.036360203818820526	0.03022988133010941	4.056969101146827e-09	0.10215257236851819	0.024701500126433476	0.005528381218781491
1.1207582292003373e-08	8.303443664470432e-06	1.100257873492702e-05	1.617910630448532e-08	0.005519815173326644	8.227154190229072e-06	0.0006874308614416759	5.532260848877955e-09	7.94780867920004e-09	0.09999999486121873	0.020081365522214463	0.00865716523546361	0.03655952461806487	0.10455299905484029	0.04732228641160753	4.077694586505421e-11	4.0777037536043975e-11	0.00029465405702828833	0.008694442748988887	4.544624400121781e-05	1.8935982035901927e-10	0.00032437749044575463	0.029898839035718848	3.267086016075928e-05	4.6151056808702035e-05	5.638571217504607e-05	0.00019615931701521164	6.069208848188176e-06	5.230593381874787e-09	2.4365509217284818e-09	6.679466039400159e-08	2.1825094074036522e-11	2.1825094074036528e-11	0.0003106723174599803	2.1825094074018204e-11	2.51213098740942e-16	5.297071790009287e-16	1.5983723021591134e-05	1.2303598398734802e-12	3.39418904819437e-40	1.2303611845871472e-12	3.2139933432068173e-10	5.955882439544416e-09	4.6031747972881264e-05	3.820040195216641e-06	2.56273832675888e-07	2.7171021503243585e-09	7.381566062553621e-07	6.773281682258674e-08	2.790501684267785e-13	2.18250940740182e-11	1.1450239769977014e-40	1.8194484295470952e-12	5.4589966106817635e-05	0.0003304578860488143	0.000883601364932709	0.04523269038022587	0.038593416461675724	2.4211342739076637e-08	0.12468115869420698	0.029898839035719625	0.008694577510383316
4.539215027386988e-08	1.1167955932877747e-05	1.5773355622999167e-05	6.339312441711995e-08	0.006801746377665111	1.1027144047444279e-05	0.0008791693650839538	2.1518670875840246e-08	2.994777056777509e-08	0.09999999427636003	0.025274468525408586	0.011390529927378785	0.041585117034315465	0.11777987313109974	0.05835384034050289	1.6556958373087867e-10	1.655719063039584e-10	0.00033468580913590827	0.01208902222860584	5.076711627293568e-05	6.814739299792493e-10	0.00038598935006388396	0.03426507648759269	3.3846934367455824e-05	5.1802949593323465e-05	6.550898194072914e-05	0.00022040551513562024	8.860582008423203e-06	1.406133118607379e-08	6.429291935893441e-09	1.6077976595181895e-07	6.873764349328982e-11	6.873764349328973e-11	0.0003928536882931866	6.873764349307031e-11	5.477494732828657e-15	1.081683408450029e-14	2.6257738791509204e-05	6.44145263712163e-12	6.120779629180597e-38	6.441496073410533e-12	8.987270055928985e-10	1.2369180176743851e-08	7.521603560913662e-05	7.242442317851409e-06	4.1206520327287307e-07	5.5614727976211786e-09	1.1806473206863488e-06	1.6378366209146958e-07	1.509991495700832e-12	6.87376434930702e-11	2.30185670497572e-38	9.350506117025763e-12	6.329847285038415e-05	0.0003948763640936614	0.0010996013107309368	0.05300197185206105	0.04635442382988022	9.364395299501944e-08	0.14313083198983265	0.03426507648760898	0.01208934764531845
1.3893897338500861e-07	1.3911080601975767e-05	2.0897916476574606e-05	1.8934423708128747e-07	0.008045632096150803	1.368846999260871e-05	0.0010690354732377494	6.390061558759429e-08	8.683851165451292e-08	0.09999999316154357	0.029732291290515328	0.01395390956808602	0.045852088493502	0.12839846972412428	0.06908317517175494	4.929548126473845e-10	4.92985465017872e-10	0.00036565081744593415	0.01557671897068141	5.497129430670175e-05	1.919526746755439e-09	0.0004414610167209486	0.03802559709172568	3.501465253527493e-05	5.633616074422603e-05	7.342862062477923e-05	0.00024440666316770035	1.1927484712424731e-05	3.06813541302409e-08	1.3862179708511688e-08	3.18117172109691e-07	1.657821423885984e-10	1.6578214238859627e-10	0.0004744514900431927	1.657821423871297e-10	6.47574570673564e-14	1.2177353792590923e-13	3.840557595156838e-05	2.3689597998864842e-11	3.712666094478733e-36	2.369029738294511e-11	1.9891529926962566e-09	2.1835558303383348e-08	0.00010930021539096197	1.214703270078724e-05	5.938773369697884e-07	9.73171024340588e-09	1.6906630468497968e-06	3.255737130332974e-07	5.900069554658533e-12	1.6578214238712772e-10	1.5159504402469496e-36	3.374096655770248e-11	7.089838877226838e-05	0.0004534410242458765	0.001313494653317883	0.059844607159619874	0.05360296128414538	2.7700742025913186e-07	0.15824202892418796	0.03802559709191221	0.015577365016782906
3.51194403543007e-07	1.645603429918155e-05	2.624033068919928e-05	4.695323302810781e-07	0.009252145798981423	1.6139200097525117e-05	0.0012568884254265627	1.5812314655797532e-07	2.109207733229346e-07	0.09999999133132992	0.03348540516267421	0.016308536104429547	0.0495326987027409	0.13698557414663148	0.07951856904547959	1.189397407196739e-09	1.1896571224694863e-09	0.00039001607748727834	0.01906874693297918	5.83660671200283e-05	4.565542539418514e-09	0.0004914538991876608	0.04133542468212837	3.6174071460436794e-05	6.003849649289472e-05	8.038822348790492e-05	0.0002681607319555166	1.518400362428764e-05	5.817755151486132e-08	2.6075262739019565e-08	5.509287811150859e-07	3.3403108853871444e-10	3.340310885386862e-10	0.0005554684242834631	3.3403108853209493e-10	5.047321217166387e-13	9.133860001625696e-13	5.196266816753445e-05	6.850541164683993e-11	1.0725221567563073e-34	6.85124250331659e-11	3.7574063995127284e-09	3.458311991364101e-08	0.00014678889231889292	1.8720168689337222e-05	7.954433091660153e-07	1.532762027075986e-08	2.2478578493870293e-06	5.664796503882785e-07	1.841948731530543e-11	3.340310885320678e-10	4.6759610041610317e-35	9.57012207032994e-11	7.762749009285282e-05	0.0005067306819028643	0.0015251419180535078	0.06589370838532671	0.0604052925431228	6.823117362895532e-07	0.17062069843972266	0.04133542468354649	0.019069869717295615
7.732722115755159e-07	1.8765579849779927e-05	3.169801774930668e-05	1.0179809017681108e-06	0.010422002840736355	1.8347415547670085e-05	0.0014426291094640727	3.426273932649261e-07	4.5019731098724324e-07	0.0999999886214296	0.03661082733332107	0.018445579203009276	0.052741057952753946	0.1439611650962253	0.0896680726440782	2.468234590584113e-09	2.4698321354459215e-09	0.00040980165695561724	0.022507777474797267	6.116022800512615e-05	9.594514441099746e-09	0.0005365530799495749	0.04430173136485012	3.732523007175637e-05	6.310717298725301e-05	8.6576537707734e-05	0.00029165556836474664	1.8558338061169855e-05	9.975976869407429e-08	4.446443838678352e-08	8.66927865741647e-07	5.919955091052918e-10	5.919955091050436e-10	0.0006359071899780509	5.919955090828082e-10	2.909386525425439e-12	5.1035970138555096e-12	6.653048143879117e-05	1.6657533709963023e-10	1.8147893543278487e-33	1.6662527387486853e-10	6.334821063015753e-09	5.069896929258903e-08	0.00018642126644041043	2.7117272663732614e-05	1.0113230121569427e-06	2.239110772518416e-08	2.8349042585166407e-06	8.955199003944264e-07	4.8804851343753384e-11	5.919955090825703e-10	8.351340289621764e-34	2.281868553459073e-10	8.366379263782177e-05	0.0005552619255535828	0.001734435136566806	0.07125428676652168	0.06681127834268037	1.4718371395060018e-06	0.18076272060401008	0.044301731372863105	0.02250955062364041
1.5339131621342504e-06	2.0828117970945083e-05	3.719398920665128e-05	1.993703253081442e-06	0.011555954418070648	2.030652667658199e-05	0.0016261847087292195	6.711902060229738e-07	8.709777586480629e-07	0.09999998489654816	0.03919788955431006	0.02037186689199545	0.05555645971972753	0.14964250536852994	0.09953951530002007	4.578281542348566e-09	4.58599709661815e-09	0.00042655564796410713	0.025857687063772224	6.349727320761546e-05	1.8343314419031277e-08	0.0005772765028534555	0.04699911799105212	3.84681669001481e-05	6.567981625994517e-05	9.214004835621032e-05	0.0003148806269423163	2.1990904571371178e-05	1.5863403713754792e-07	7.042936310605323e-08	1.2695999325287712e-06	9.537285963392578e-10	9.537285963376596e-10	0.0007157705076592695	9.53728596277394e-10	1.3343844020980889e-11	2.2810281211212912e-11	8.179026644104295e-05	3.556047845013443e-10	2.0525352240145139e-32	3.558792692440816e-10	9.810246783821076e-09	7.015946460476035e-08	0.00022721290312900414	3.746525202087652e-05	1.2369010262095507e-06	3.091863615142072e-08	3.437560548116906e-06	1.3174083281909538e-06	1.1411074756618944e-10	9.537285962758723e-10	9.886061926727882e-33	4.776425800703692e-10	8.914275088727213e-05	0.0005994963150373165	0.001941294129173278	0.07601232788249095	0.07285940483618768	2.871197276299951e-06	0.18907391693967268	0.046999118027206244	0.02586029330243571
