R	X	Ep	E	Values[Km3]	Values[Km4]
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
0.0	0.0	0.0	1.0	0.05	0.05
