pSmad2_n	pGFP-Smad2_c	pGFP-Smad2_n	pSmad2_c	Smad4_n	Smad4_c	R_act	GFP-Smad2_c	Smad2_n	pGFP-Smad2/pSmad2_n	pGFP-Smad2/Smad4_n	pSmad2/Smad4_c	pSmad2/pSmad2_c	pGFP-Smad2/pGFP-Smad2_c	GFP-Smad2_n	Smad2_c	pGFP-Smad2/pSmad2_c	pSmad2/Smad4_n	R	pSmad2/pSmad2_n	pGFP-Smad2/pGFP_Smad2_n	pGFP-Smad2/Smad4_c	R_inact	SB-431542	Values[CIF (complex import factor)]	Values[Kdiss (dissociation constant of Smad complexes)]	Values[Kdiss SB (dissociation constant of the SB/receptor interaction)]
0.0	0.0	0.0	0.0	50.78093897	50.78103407	0.0	60.5899176013587	28.514773357616995	0.0	0.0	0.0	0.0	0.0	28.514773357616995	60.5899176013587	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	5.67197	8.699169999999988	682.9559999999985
1.1238117713338073e-07	5.796232072779777e-05	1.1238117713338073e-07	5.796232072779777e-05	50.780939520965916	50.78103020062783	0.0048875618195957475	60.58985255237189	28.514785215704883	7.146182184548835e-15	1.7873205420955466e-08	1.8054542935459657e-06	1.246859015096895e-12	1.246859015096895e-12	28.514785215704883	60.58985255237189	1.246859015096895e-12	1.7873205420955466e-08	0.9951124381804047	7.146182184548835e-15	7.146182184548835e-15	1.8054542935459657e-06	0.0	0.0	5.67197	8.699169999999988	682.9559999999985
8.545374908734037e-07	0.00022442498642496193	8.545374908734037e-07	0.00022442498642496193	50.78093992642428	50.781005433168076	0.009751235379740016	60.589668632396524	28.514796193055584	4.2980988259552927e-13	2.771654520827376e-07	1.3985650499089696e-05	3.752146344774722e-11	3.752146344774722e-11	28.514796193055584	60.589668632396524	3.752146344774722e-11	2.771654520827376e-07	0.9902487646202602	4.2980988259552917e-13	4.2980988259552927e-13	1.3985650499089696e-05	0.0	0.0	5.67197	8.699169999999988	682.9559999999985
2.745770475267506e-06	0.0004891340449534099	2.745770475267506e-06	0.0004891340449534099	50.780939855730495	50.78094103698926	0.01459113743468097	60.58936672797107	28.514805608711185	4.612765454003533e-12	1.3606808974314752e-06	4.572199164836326e-05	2.6834678566367343e-10	2.683467856636736e-10	28.514805608711185	60.58936672797107	2.6834678566367343e-10	1.3606808974314752e-06	0.9854088625653195	4.6127654540035325e-12	4.612765454003533e-12	4.5721991648363256e-05	0.0	0.0	5.67197	8.699169999999988	682.9559999999985
6.207173477669144e-06	0.000842908504625476	6.207173477669145e-06	0.0008429085046254762	50.7809388127167	50.7808204134668	0.019407384169123815	60.58894771743869	28.514812798484314	2.457523145615398e-11	4.171522958846403e-06	0.00010502523518129109	1.0677769520183299e-09	1.0677769520183299e-09	28.514812798484314	60.58894771743869	1.0677769520183299e-09	4.171522958846403e-06	0.9805926158308768	2.4575231456153977e-11	2.457523145615398e-11	0.00010502523518129106	0.0	0.0	5.67197	8.699169999999988	682.9559999999985
1.1582033409463174e-05	0.0012775256426007684	1.1582033409463173e-05	0.0012775256426007687	50.78093617395869	50.78062886755743	0.024200091199907934	60.58841247105063	28.51481711414254	8.908291456025492e-11	9.88341648583328e-06	0.0001988631614422162	3.0795054140544707e-09	3.0795054140544695e-09	28.51481711414254	60.58841247105063	3.07950541405447e-09	9.883416485833284e-06	0.9757999088000928	8.908291456025492e-11	8.908291456025492e-11	0.00019886316144221625	0.0	0.0	5.67197	8.699169999999988	682.9559999999985
1.915305716950071e-05	0.0017856173713409796	1.915305716950071e-05	0.0017856173713409796	50.78093122114837	50.780353401261806	0.028969373578790616	60.5877618510747	28.514817922706595	2.5300333627604487e-10	1.9896933436343994e-05	0.00033327599568940794	7.24850375678316e-09	7.248503756783158e-09	28.514817922706595	60.5877618510747	7.248503756783158e-09	1.9896933436343998e-05	0.9710306264212101	2.5300333627604487e-10	2.530033362760448e-10	0.00033327599568940794	0.0	0.0	5.67197	8.699169999999988	682.9559999999985
2.9156425667229997e-05	0.002360578668938095	2.9156425667229997e-05	0.002360578668938095	50.780923167574514	50.77998253099878	0.03371534579520607	60.58699671189954	28.51481460586719	6.072657214964173e-10	3.5801871665850026e-05	0.0005134784614297048	1.4833638982122698e-08	1.4833638982122698e-08	28.51481460586719	60.58699671189954	1.4833638982122698e-08	3.580187166585003e-05	0.9662846542047947	6.072657214964175e-10	6.072657214964174e-10	0.0005134784614297048	0.0	0.0	5.67197	8.699169999999988	682.9559999999985
4.179349872595497e-05	0.0029964852913905195	4.179349872595497e-05	0.00299648529139052	50.78091118023145	50.77950612339585	0.03843812177901468	60.58611790013603	28.51480655948708	1.2888798531129434e-09	5.934429936451087e-05	0.0007439515333076741	2.740801845677784e-08	2.740801845677784e-08	28.51480655948708	60.58611790013603	2.740801845677784e-08	5.934429936451087e-05	0.9615618782209859	1.2888798531129436e-09	1.2888798531129434e-09	0.0007439515333076741	0.0	0.0	5.67197	8.699169999999988	682.9559999999985
5.7240081100148726e-05	0.0036880215746908137	5.724008110014875e-05	0.0036880215746908133	50.78089439737938	50.77891525112007	0.04313781490323715	60.58512625471582	28.51479319318981	2.4906622647798006e-09	9.239857836242981e-05	0.0010285229782593653	4.684873837579214e-08	4.684873837579214e-08	28.51479319318981	60.58512625471582	4.684873837579213e-08	9.239857836242981e-05	0.9568621850967636	2.4906622647798014e-09	2.4906622647798006e-09	0.0010285229782593653	0.0	0.0	5.67197	8.699169999999988	682.9559999999985
7.565429344363727e-05	0.004430414684041055	7.565429344363731e-05	0.004430414684041054	50.780871943488734	50.77820206153699	0.04781453798677672	60.584022606987794	28.514773929995147	4.470322128680628e-09	0.00013694243654157194	0.0013704407156772621	7.532239773644622e-08	7.532239773644622e-08	28.514773929995147	60.584022606987794	7.532239773644621e-08	0.00013694243654157194	0.952185462013224	4.470322128680628e-09	4.470322128680628e-09	0.0013704407156772621	0.0	0.0	5.67197	8.699169999999988	682.9559999999985
9.718265086638849e-05	0.0052193769173422295	9.718265086638853e-05	0.0052193769173422295	50.78084294082858	50.7773596613924	0.052468403297127215	60.582807780812495	28.514748206015383	7.558943092867645e-09	0.00019503588984345107	0.0017724372094633744	1.152652217149855e-07	1.1526522171498551e-07	28.514748206015383	60.582807780812495	1.1526522171498551e-07	0.0001950358898434511	0.9475315967028732	7.558943092867645e-09	7.558943092867645e-09	0.0017724372094633748	0.0	0.0	5.67197	8.699169999999988	682.9559999999985
0.00012196498957798192	0.006051053873401408	0.00012196498957798195	0.006051053873401408	50.78080651888396	50.77638201318248	0.05709952255306823	60.58148259265482	28.514715470188	1.2168570212755821e-08	0.00026880284273275576	0.002236787314169095	1.6936167839978941e-07	1.6936167839978944e-07	28.514715470188	60.58148259265482	1.6936167839978944e-07	0.00026880284273275576	0.9429004774469323	1.2168570212755823e-08	1.2168570212755826e-08	0.002236787314169095	0.0	0.0	5.67197	8.699169999999988	682.9559999999985
0.00015013831804666625	0.006921978351533654	0.00015013831804666625	0.006921978351533654	50.78076182174136	50.77526384294957	0.061708006927346855	60.58004785167531	28.51467518404118	1.8798995878215804e-08	0.00036041526393269454	0.002765359721411615	2.405216746963786e-07	2.4052167469637863e-07	28.51467518404118	60.58004785167531	2.4052167469637863e-07	0.00036041526393269454	0.9382919930726534	1.8798995878215807e-08	1.879899587821581e-08	0.002765359721411615	0.0	0.0	5.67197	8.699169999999988	682.9559999999985
0.00018183978640636732	0.00782902917245694	0.00018183978640636732	0.00782902917245694	50.78070801380399	50.77400055789785	0.06629396704934651	60.578504359819945	28.51462682148551	2.804367442975738e-08	0.0004720795393608928	0.0033596629050965366	3.3185780917404907e-07	3.3185780917404923e-07	28.51462682148551	60.578504359819945	3.3185780917404923e-07	0.0004720795393608928	0.9337060329506538	2.804367442975738e-08	2.8043674429757387e-08	0.0033596629050965366	0.0	0.0	5.67197	8.699169999999988	682.9559999999985
