u	v	z	Values[alpha]
0.0	0.0	0.0	9.999999999999999e-05
9.869246200042098e-05	0.014964494097956594	0.014865801635956171	9.999999999999999e-05
0.0003025198307150645	0.029768753537292133	0.029466233706577066	9.999999999999999e-05
0.0005426376588755426	0.0443477942970689	0.043805156638193364	9.999999999999999e-05
0.0007944052652484717	0.05867975521001551	0.05788534994476704	9.999999999999999e-05
0.0010494154101723724	0.07275796114379873	0.07170854573362637	9.999999999999999e-05
0.0013051766248751435	0.08658069511844335	0.0852755184935682	9.999999999999999e-05
0.0015613387590909112	0.10014748193214493	0.09858614317305403	9.999999999999999e-05
0.0018183259743661127	0.11345774521845958	0.11163941924409349	9.999999999999999e-05
0.0020768496356474955	0.1265103189016963	0.1244334692660488	9.999999999999999e-05
0.002337741455324019	0.139303252889284	0.13696551143396	9.999999999999999e-05
0.0026019054418357918	0.1518337326259834	0.14923182718414763	9.999999999999999e-05
0.0028703157684524415	0.1640980113524495	0.16122769558399705	9.999999999999999e-05
0.003144030141896046	0.1760913229154287	0.17294729277353266	9.999999999999999e-05
0.0034242137772516573	0.18780778464439363	0.184383570867142	9.999999999999999e-05
0.0037121740872273967	0.1992402880886424	0.19552811400141498	9.999999999999999e-05
0.004009404166518595	0.21038032510616153	0.20637092093964296	9.999999999999999e-05
0.004317637450097646	0.2212177796833024	0.21690014223320475	9.999999999999999e-05
0.004638923699598916	0.23174065956714285	0.22710173586754392	9.999999999999999e-05
0.0049757309838350154	0.24193471464037566	0.23695898365654064	9.999999999999999e-05
0.005331089145633688	0.2517829570426699	0.24645186789703624	9.999999999999999e-05
0.005708791672903947	0.2612650145423861	0.25555622286948215	9.999999999999999e-05
0.006113687280318478	0.2703562722848507	0.2642425850045323	9.999999999999999e-05
0.0065521814566564425	0.2790264504121196	0.2724742689554631	9.999999999999999e-05
0.007032899926348017	0.28723784904837046	0.28020494912202243	9.999999999999999e-05
0.007567929908170171	0.29494255501774874	0.28737462510957856	9.999999999999999e-05
0.008174860401608287	0.3020780714903503	0.293903211088742	9.999999999999999e-05
0.00888063174964102	0.3085600222926952	0.29967939054305415	9.999999999999999e-05
0.009729086784358375	0.3142695424667062	0.30454045568234783	9.999999999999999e-05
0.010797505017661553	0.3190292228148792	0.3082317177972176	9.999999999999999e-05
0.012237497932204853	0.32255248509363077	0.3103149871614259	9.999999999999999e-05
