P1	Target	Values[dsp1ksp]	Values[dsp1p2kd]
10.0	10.0	9.99998989900021	9.999986565672849
10.529671060404992	10.529671060404992	10.52966041869094	10.529656845723771
11.061247039566863	11.061247039566863	11.061235854611558	11.06123203232305
11.59675865257164	11.59675865257164	11.596746919762285	11.596742836870396
12.138197321569415	12.138197321569415	12.1381850342385	12.138180677674221
12.687537840724323	12.687537840724323	12.687524990157458	12.687520344837628
13.24675806986231	13.24675806986231	13.24674464528571	13.246739693836973
13.81785601958575	13.81785601958575	13.817842008135747	13.817836730559332
14.40286450108141	14.40286450108141	14.402849887758029	14.402844261021839
15.003863346468169	15.003863346468169	15.003848114075547	15.003842111616219
15.622989050758864	15.622989050758864	15.622973179834663	15.622966770946993
16.26244152237127	16.26244152237127	16.262424991107896	16.262418140191812
16.924487472758166	16.924487472758166	16.924470256918983	16.92446292254455
17.611459803710442	17.611459803710442	17.611441876545374	17.611434010282746
18.32575220277182	18.32575220277182	18.325733534936504	18.325725079878545
19.06980800177843	19.06980800177843	19.069788561263355	19.069779450141283
19.846102247881397	19.846102247881397	19.846081999957445	19.846072152709645
20.657115878309526	20.657115878309526	20.657094785498572	20.657084106093144
21.505300913449112	21.505300913449112	21.505278935528825	21.505267307749357
22.393035744393508	22.393035744393508	22.393012838447525	22.393000120210306
23.32256993527829	23.32256993527829	23.32254605580203	23.322532071345773
24.295958454147048	24.295958454147048	24.295933553222277	24.295918082137618
25.31498604311107	25.31498604311107	25.314960070659467	25.314942832086576
26.381083429192074	26.381083429192074	26.381056333317947	26.381036962506176
27.49523825885534	27.49523825885534	27.495209986285076	27.49518799859905
28.65790490753108	28.65790490753108	28.657875404151508	28.657850137468838
29.868918521850674	29.868918521850674	29.868887733344515	29.868858251121306
31.127419605691983	31.127419605691983	31.127387478261547	31.127352395889538
32.431795810855455	32.431795810855455	32.43176229201822	32.4317194398549
33.77964741845787	33.77964741845787	33.779612457891	33.77955815377725
35.167781728083035	35.167781728083035	35.16774527848768	35.16767250264108
36.59223966462959	36.59223966462959	36.5922016825811	36.59209430844097
38.04835454927521	38.04835454927521	38.0483149960257	38.048120065387735
39.530829347505104	39.530829347505104	39.5307881897171	39.52994722144667
40.9950864563384	40.9950864563384	40.995043708859946	39.99959817391528
42.32780326675107	42.32780326675107	42.327759068164916	39.99982817433179
43.533707507687915	43.533707507687915	43.53366199258686	39.99988680692831
44.62485899290373	44.62485899290373	44.62481228370208	39.99991351180741
45.61217582911708	45.61217582911708	45.61212803709309	39.9999287268207
46.50553834687756	46.50553834687756	46.50548957314156	39.99993851414247
47.31388705189347	47.31388705189347	47.31383738827991	39.99994530963149
48.04531183567707	48.04531183567707	48.045261365566056	39.999950281661135
48.70713281085829	48.70713281085829	48.70708160992886	39.99995406067753
49.30597354959467	49.30597354959467	49.305921686516086	39.999957016861245
49.84782734020227	49.84782734020227	49.84777487726679	39.99995938189604
50.338117154119594	50.338117154119594	50.33806414782099	39.99996130821882
50.781749908380604	50.781749908380604	50.78169640994276	39.999962900248974
51.18316558044573	51.18316558044573	51.183111636305114	39.99996423192618
