Hes-1	NICD	Complex EGF-EGFR	Beta-catenin	Complex NICD-RBP	Shh	Wnt	Dishevelled	smo	EGF	RBP-jk	Notch TM	Ptch1	Frzzl	Complex Wnt-Frzzl	Complex Shh Ptch1	FRAT-CK2	Complex Dishevelled-FRAT-CK2	GSK3B	EGFR	Complex GSK3B-Bcatenin	Notch
0.0	0.0	0.0	5.0	0.0	5.0	5.0	5.0	5.0	5.0	5.0	0.0	5.0	5.0	0.0	0.0	5.0	0.0	5.0	5.0	0.0	5.0
1.2371116660099055	0.10331741128055578	0.7923985106136606	2.426089598149146	0.6028942210273472	1.8106733526021261	1.8106733526021261	3.41112986732221	5.0	4.767864279625494	5.062544494195717	0.040772917084840536	1.8106733526021261	1.8106733526021261	3.1893266473978725	3.1893266473978725	3.41112986732221	1.58887013267779	4.8889027696212715	4.767864279625494	0.11109723037872335	4.959227082915162
1.2871063553343374	0.19108458616016286	1.2229893350395786	1.6775976598649818	0.9975013834414372	1.7914853057140303	1.7914853057140303	2.342036430765174	5.0	4.562817400943552	5.110703524349982	0.08038106181018213	1.7914853057140303	1.7914853057140303	3.208514694285967	3.208514694285967	2.342036430765174	2.657963569234825	4.858715658973868	4.562817400943552	0.14128434102612722	4.91961893818982
1.3263439761806215	0.23463996904834397	1.3935403557722075	1.4334841278345758	1.1931326901059267	1.7912898670881483	1.7912898670881483	1.948674149811401	5.0	4.378123859074444	5.115534767167504	0.11910520188083946	1.7912898670881483	1.7912898670881483	3.208710132911851	3.208710132911851	1.948674149811401	3.051325850188598	4.840159776135276	4.378123859074444	0.15984022386471547	4.880894798119161
1.367853603461843	0.25887011823334766	1.4719016965173617	1.3711089426558105	1.3019171521205082	1.791287868130078	1.791287868130078	1.8336104649577223	5.0	4.2098759176643545	5.101722123000465	0.15714799523288045	1.791287868130078	1.791287868130078	3.2087121318699223	3.2087121318699223	1.8336104649577223	3.166389535042278	4.824379435420345	4.2098759176643545	0.17562056457964884	4.842852004767117
1.4084334589200085	0.27480157246733605	1.5179622917646538	1.3744875389835673	1.372464931889348	1.7912878476893386	1.7912878476893386	1.8024753269753293	5.0	4.055655316950845	5.080201265544761	0.19460030692256677	1.7912878476893386	1.7912878476893386	3.2087121523106616	3.2087121523106616	1.8024753269753293	3.1975246730246716	4.80920480405319	4.055655316950845	0.1907951959468012	4.805399693077432
1.4468877387378996	0.28697487214016626	1.5521241209670402	1.4005860418795375	1.4252048895292384	1.79128784748008	1.79128784748008	1.7942316171643726	5.0	3.9137138014152737	5.055470617912843	0.23150425422731513	1.79128784748008	1.79128784748008	3.20871215251992	3.20871215251992	1.7942316171643726	3.205768382835627	4.7939872104418395	3.9137138014152737	0.20601278955815336	4.768495745772684
1.4829130700322608	0.29729295724818905	1.5812920817241662	1.433449901806251	1.46880423921767	1.7912878474779332	1.7912878474779332	1.7920615090399419	5.0	3.7826603610912084	5.029411869446515	0.2678810878016652	1.7912878474779332	1.7912878474779332	3.2087121525220663	3.2087121525220663	1.7920615090399419	3.207938490960058	4.7785315233180805	3.7826603610912084	0.2214684766819128	4.732118912198334
1.5165393399489282	0.30657342547539834	1.607813500745767	1.467243676010808	1.5070318165615288	1.7912878474779068	1.7912878474779068	1.791491111426614	5.0	3.661333118275782	5.002830301376421	0.3037431240989698	1.7912878474779068	1.7912878474779068	3.2087121525220934	3.2087121525220934	1.791491111426614	3.2085088885733852	4.762791752919243	3.661333118275782	0.23720824708074997	4.696256875901028
1.5479117435120784	0.31518184991984605	1.6325157381542315	1.4999173975653002	1.5416056946091306	1.7912878474779197	1.7912878474779197	1.7913412464178053	5.0	3.54873840727159	4.976082948606804	0.33909890131303566	1.7912878474779197	1.7912878474779197	3.2087121525220796	3.2087121525220796	1.7913412464178053	3.2086587535821938	4.746771929719141	3.54873840727159	0.2532280702808529	4.660901098686961
