S1	DNA1111	DNA1110	DNA0111	DNA1100	DNA0011	DNA0110	DNA1011	DNA1101	DNA0001	DNA1000	DNA0100	DNA0010	DNA1_1_11	DNA1_11_1	DNA11_1_1	DNA1001	DNA0101	DNA1010	DNA1_111	DNA01_1_1	DNA1_1_10	DNA111_1	DNA11_11	DNA011_1	DNA1_110	DNA01_11	DNA11_10	DNA1_100	DNA001_1	DNA01_10	DNA1_101	DNA101_1	DNA0000	DNA1_1_1_1	Values[DoubleGasOccupancy]
1.0964800000000002e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1e-10	0.0	0.0
1.0377528896206313e-11	1.3784958723242672e-27	2.743253336649312e-22	2.7432533366493163e-22	8.580786504050164e-18	8.580786504050148e-18	1.2231202907298038e-16	3.564338638429282e-22	3.5643386384292897e-22	4.130101326465106e-15	4.130101326465138e-15	2.0622333479937658e-13	2.0622333479937658e-13	3.0785914549945485e-25	3.0785914549957415e-25	3.0785914549945187e-25	1.7144139230250525e-19	8.560279898702554e-18	8.56027989870237e-18	1.2013297061638824e-27	1.6069622405009233e-17	1.6069622405009226e-17	1.2013297061638757e-27	1.201329706163678e-27	2.70112461086143e-20	2.701124610861428e-20	2.7011246108614295e-20	2.701124610861427e-20	5.1495180060336e-15	5.149518006033599e-15	7.277729917338964e-14	2.1392855279721467e-19	2.1392855279721467e-19	9.949602735036639e-11	1.838937097780794e-22	2.8432206738252967e-13
1.0279301468813168e-11	1.84740278799881e-27	5.067798231955597e-22	5.067798231955597e-22	8.414866730482369e-18	8.41486673048237e-18	2.072149650001814e-16	3.461604807602577e-22	3.461604807602577e-22	4.089070025440088e-15	4.089070025440088e-15	2.0425756959637103e-13	2.04257569596371e-13	7.894041786935863e-25	7.894041786935864e-25	7.894041786935865e-25	1.681314174744026e-19	8.39835694016878e-18	8.398356940168778e-18	2.2375008792880817e-27	5.1959886879940765e-17	5.195988687994072e-17	2.237500879288082e-27	2.2375008792880817e-27	8.696045328039569e-20	8.696045328039562e-20	8.696045328039571e-20	8.696045328039559e-20	5.049762044429192e-15	5.049762044429192e-15	1.239050641634838e-13	2.077478275897654e-19	2.0774782758976538e-19	9.944895643766828e-11	4.725418225074706e-22	3.335409011909941e-13
1.0210885840916725e-11	2.3022772514070865e-27	7.305284943896695e-22	7.305284943896696e-22	8.297948921380152e-18	8.297948921380152e-18	2.6623255183927113e-16	3.390287803274101e-22	3.3902878032741e-22	4.06051439028962e-15	4.06051439028962e-15	2.0288928968796567e-13	2.028892896879657e-13	1.4080584152950583e-24	1.4080584152950578e-24	1.408058415295058e-24	1.6584599150758116e-19	8.286527980953944e-18	8.286527980953944e-18	3.4949787776501474e-27	1.0084994390357572e-16	1.0084994390357572e-16	3.494978777650147e-27	3.4949787776501474e-27	1.68531387686282e-19	1.6853138768628197e-19	1.6853138768628192e-19	1.6853138768628197e-19	4.979351825537175e-15	4.979351825537176e-15	1.5944482817852136e-13	2.0345267929193201e-19	2.0345267929193209e-19	9.941619450875677e-11	8.434640509176262e-22	3.6779886683458964e-13
1.0163183235555605e-11	2.7478098234076795e-27	9.478218026715232e-22	9.478218026715232e-22	8.216944583354142e-18	8.216944583354139e-18	3.0726398197685837e-16	3.3411606489328957e-22	3.3411606489328957e-22	4.040615604213595e-15	4.0406156042135946e-15	2.019357129375377e-13	2.0193571293753767e-13	2.1603348585882604e-24	2.16033485858826e-24	2.1603348585882607e-24	1.6426220295263375e-19	8.20901878362718e-18	8.209018783627179e-18	4.970307892749183e-27	1.583165208153401e-16	1.583165208153401e-16	4.970307892749183e-27	4.9703078927491836e-27	2.6436639332462505e-19	2.6436639332462505e-19	2.6436639332462505e-19	2.6436639332462505e-19	4.9305709691824764e-15	4.9305709691824764e-15	1.8415348788012796e-13	2.004940967880151e-19	2.0049409678801513e-19	9.939337433756679e-11	1.2945653973568363e-21	3.916613562643163e-13
1.0129881679724279e-11	3.1862540180021238e-27	1.1599923224093286e-21	1.1599923224093558e-21	8.160650290138785e-18	8.160650290139066e-18	3.357931087572557e-16	3.3071565627395803e-22	3.3071565627394933e-22	4.0267301989926915e-15	4.02673019899276e-15	2.0127020438561977e-13	2.012702043856193e-13	3.043713114660486e-24	3.0437131146604564e-24	3.0437131146603965e-24	1.6316129612122674e-19	8.155133913460175e-18	8.155133913460354e-18	6.660416881416177e-27	2.2135967528567167e-16	2.2135967528567165e-16	6.660416881416032e-27	6.660416881416039e-27	3.69475184035927e-19	3.6947518403591847e-19	3.694751840359256e-19	3.694751840359233e-19	4.896671511749105e-15	4.8966715117491055e-15	2.0133339533614798e-13	1.9844636016232354e-19	1.9844636016232378e-19	9.937746620567376e-11	1.824332277028755e-21	4.082967803083321e-13
1.0106595579862671e-11	3.618751703440618e-27	1.3678624402927246e-21	1.3678624402926955e-21	8.121414894664712e-18	8.121414894664395e-18	3.556294850923096e-16	3.283523174245383e-22	3.283523174245382e-22	4.0170242670482915e-15	4.017024267048217e-15	2.008049119211447e-13	2.008049119211445e-13	4.0561622574356356e-24	4.056162257435667e-24	4.0561622574357325e-24	1.6239382492343448e-19	8.117564256403333e-18	8.117564256403107e-18	8.562494142694899e-27	2.8793194793492275e-16	2.8793194793492275e-16	8.56249414269506e-27	8.562494142695051e-27	4.804518049497797e-19	4.804518049497888e-19	4.804518049497811e-19	4.804518049497836e-19	4.873045321123694e-15	4.873045321123682e-15	2.132786338006195e-13	1.9702320616997065e-19	1.9702320616997715e-19	9.936636494775787e-11	2.43154544977119e-21	4.1990644774124767e-13
1.0090276559890299e-11	4.04586450965301e-27	1.5719602333514757e-21	1.5719602333518899e-21	8.093985009083066e-18	8.093985009087335e-18	3.6942075678385886e-16	3.2670330180000705e-22	3.2670330179989317e-22	4.010224422995968e-15	4.010224422997112e-15	2.0047883562160604e-13	2.0047883562159504e-13	5.195896837700595e-24	5.195896837700142e-24	5.1958968376992234e-24	1.6185713614944682e-19	8.091288095892521e-18	8.091288095895395e-18	1.0673846987780077e-26	3.5663030054282163e-16	3.5663030054282163e-16	1.0673846987777833e-26	1.0673846987777937e-26	5.9496226245010195e-19	5.949622624499717e-19	5.949622624500802e-19	5.949622624500455e-19	4.8565285488905085e-15	4.8565285488905345e-15	2.2158358902890056e-13	1.9603024424264016e-19	1.9603024424263183e-19	9.93586072411853e-11	3.1151333080656885e-21	4.2802040231104626e-13
1.0078805123754142e-11	4.467842121093845e-27	1.7726346655733777e-21	1.7726346655714123e-21	8.074739555691428e-18	8.074739555671215e-18	3.79007625383459e-16	3.2554787947733215e-22	3.2554787947793194e-22	4.005445992337715e-15	4.005445992332422e-15	2.0024959507087279e-13	2.0024959507089621e-13	6.461249675696696e-24	6.461249675698856e-24	6.46124967570322e-24	1.6148048877129266e-19	8.072844186593437e-18	8.072844186579099e-18	1.2991823825659295e-26	4.26491182426426e-16	4.2649118242642515e-16	1.2991823825669953e-26	1.2991823825669468e-26	7.114036491845158e-19	7.114036491851341e-19	7.114036491846191e-19	7.11403649184784e-19	4.8449403991613305e-15	4.844940399161323e-15	2.273567099336898e-13	1.9533452400280798e-19	1.9533452400281125e-19	9.935317563612982e-11	3.874095392390189e-21	4.3370243169116293e-13
1.0070707317761242e-11	4.884813321761992e-27	1.9701337588576422e-21	1.9701337588576433e-21	8.061175231925072e-18	8.061175231925077e-18	3.856700707919862e-16	3.247342643866072e-22	3.2473426438660777e-22	4.002073965614216e-15	4.00207396561422e-15	2.0008773204794297e-13	2.0008773204793994e-13	7.850606966273125e-24	7.850606966273125e-24	7.850606966273123e-24	1.612148850106758e-19	8.05983507885007e-18	8.059835078849955e-18	1.551380157756893e-26	4.968524904536845e-16	4.968524904536844e-16	1.5513801577568926e-26	1.5513801577568932e-26	8.286745367733566e-19	8.286745367733566e-19	8.286745367733567e-19	8.286745367733566e-19	4.836773487728379e-15	4.83677348772839e-15	2.3136878442477817e-13	1.9484465681853149e-19	1.9484465681853132e-19	9.93493625645772e-11	4.707463340082284e-21	4.3769230456133193e-13
