NFkB:IkB_alpha{nucleus}	NFkB{nucleus}	IkB_alpha{nucleus}	IKKa	NFkB{default}	IkB_alpha{default}	p105	NFkB:IkB_alpha{default}	Promp105:RNAP	PromIkBa:RNAP3	IKKn	p65	PromIkBa:RNAP3:FTAz	Promp105:RNAP:FTAX	p50	mRNAp65	ActivePRaseonp105	ActivePRaseonIkB_alpha	A20{default}	mRNAA20	IKKi	Promp105:RNAP1:p50p65	Promp105:RNAP1:FTAx:p50p65:IkBa	IkBa:RNAP3:FTAz:p50p65	PromIkBa:RNAP3:p50p65:IkBa	mRNAp105	mRNAIKB_alpha	ActivePRaseonp65	IKKa:IKB_alpha	Promp65:RNAP2	NFkB:IKKa:Ikb_alpha	IKK	A20{nucleus}	Promp105:RNAP1:p50p65:IkBa	FTAz	InactivePRaseonp65	InactivePRaseonp105	InactivePRaseonIkB_alpha	Promp105:RNAP1:FTAx:p50p65	PromIkBa:RNAP3:FTAz:p50p65:IkB_alpha	PromIkBa:RNAP3:p50p65	FTAx	Promp65:RNAP2:FTAy	sa12_degraded	FTAy
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.666666666666671e-06	6.666666666666671e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.666666666666671e-06	0.0	0.0	0.0	0.0	0.00033333333333333305	0.0	0.0	0.0	0.0	0.0	0.0	0.00033333333333333305	0.0	0.0	0.00033333333333333305
4.929727470388027e-53	7.096626561894747e-38	1.0537890855992075e-14	0.0	4.4557382111195836e-35	7.097045354853543e-12	2.6962471373358106e-14	4.866005697880588e-47	6.644483286761176e-06	6.644483286761175e-06	9.999375025824286e-06	5.5670067418900266e-14	2.2183379905495667e-08	2.2183379905495654e-08	1.0337988384538689e-18	3.233929694840225e-11	4.417359506484982e-09	3.506649245790112e-09	3.1603585125066615e-47	7.657288087867678e-46	0.0	6.296263808052938e-45	3.414646109524567e-60	3.37192102533039e-47	6.291967515366795e-58	2.025133462841856e-11	4.309466748811855e-11	4.40527134779482e-09	0.0	6.644483286761175e-06	0.0	-1.0000000000000003e-05	-7.657540916665502e-46	6.291967515366795e-58	0.00033331114995342753	-4.437611169942455e-09	-4.437611169942454e-09	-3.5497495927692986e-09	3.37192102533039e-47	3.414646109524567e-60	6.296263808052938e-45	0.00033331114995342753	2.2183379905495667e-08	5.679491069056313e-15	0.00033331114995342753
3.856298814459889e-49	2.7346116904952755e-35	1.496827933712542e-13	0.0	8.145210328673124e-33	5.842339996692455e-11	2.430542292056411e-13	8.150580532330405e-44	6.6223774027860265e-06	6.622377402786026e-06	1.9997500208103486e-05	5.012443327763446e-13	4.4289263880644884e-08	4.428926388064487e-08	1.57602017111894e-17	1.521850051279293e-10	1.0983128866186654e-08	7.3531703354401996e-09	1.2091714216873497e-43	1.5536984106022138e-42	0.0	1.2747910545052424e-41	7.254820217659954e-56	9.583638415067886e-44	9.52776407822243e-54	9.546853105869903e-11	1.7809988828274602e-10	1.0926410627603158e-08	0.0	6.622377402786026e-06	0.0	-2.000000000000001e-05	-1.553795145634318e-42	9.52776407822243e-54	0.00033328904406945237	-1.1078600361602234e-08	-1.1078600361602234e-08	-7.531316988789729e-09	9.583638415067886e-44	7.254820217659962e-56	1.2747910545052424e-41	0.00033328904406945237	4.4289263880644884e-08	4.676506678239932e-14	0.00033328904406945237
7.141720933961917e-47	8.90805187752022e-34	7.545082351855935e-13	0.0	1.9493790954291146e-31	2.0186734243891131e-10	9.16615156819294e-13	6.411977387472298e-42	6.600348734657696e-06	6.600348734657695e-06	2.999437570284198e-05	1.887950596027581e-12	6.631793200897572e-08	6.631793200897571e-08	8.510444733087121e-17	3.930119158821089e-10	1.9668311204525536e-08	1.1529694533902535e-08	1.2154991196213199e-41	1.0111765942012654e-40	0.0	8.277724074972946e-40	2.599794930636274e-53	8.117500434536283e-42	2.6903662777114506e-51	2.46958831196146e-10	4.1333965550900653e-10	1.952225148792073e-08	0.0	6.600348734657695e-06	0.0	-3.0000000000000014e-05	-1.0112738381283194e-40	2.6903662777114506e-51	0.00033326701540132403	-1.9915281215472235e-08	-1.9915281215472235e-08	-1.1943195816097584e-08	8.117500434536285e-42	2.5997949306362747e-53	8.277724074972946e-40	0.00033326701540132403	6.631793200897572e-08	1.6162668604483314e-13	0.00033326701540132403
4.704631023065289e-43	3.7384566453761808e-31	2.469454990331718e-12	0.0	2.4362432532651335e-29	4.897969068695577e-10	2.4129421720798017e-12	5.0403831260427e-38	6.578397003121582e-06	6.578397003121581e-06	3.999000166623847e-05	4.962059237245015e-12	8.82696635450897e-08	8.826966354508978e-08	3.11008839584579e-16	7.87614147755983e-10	3.044422315876618e-08	1.6026613241916687e-08	3.3171623357547305e-39	1.5693593980535852e-38	0.0	1.2655920477536835e-37	7.624666355690169e-49	3.1701181629254105e-39	2.9649365207867625e-47	4.957354788794751e-10	7.568782448165423e-10	3.015232710670706e-08	0.0	6.578397003121581e-06	0.0	-4e-05	-1.569624794197338e-38	2.9649365207867785e-47	0.00033324506366978795	-3.0939988069313395e-08	-3.0939988069313355e-08	-1.6783883758977674e-08	3.1701181629254105e-39	7.624666355690218e-49	1.2655920477536835e-37	0.00033324506366978795	8.82696635450897e-08	3.922722444494879e-13	0.00033324506366978795
2.3850643820013663e-42	1.886582117355631e-30	6.1931977782194114e-12	0.0	1.21543798694888e-28	9.780031756916805e-10	5.173147244105384e-12	2.555413991788708e-37	6.5565219298846e-06	6.556521929884599e-06	4.9984378254474185e-05	1.0621735979013943e-11	1.1014473678207188e-07	1.1014473678207214e-07	8.501919083752217e-16	1.3682161412441014e-09	4.3282459676856234e-08	2.0834531195654354e-08	1.6692907132717412e-38	7.851614736871388e-38	0.0	6.330544811083737e-37	3.86636505408569e-48	1.5990258994050536e-38	1.5032998417864203e-46	8.625572578060468e-10	1.216568668820732e-09	4.277676368257062e-08	0.0	6.556521929884599e-06	0.0	-5e-05	-7.85295028644884e-38	1.5032998417864203e-46	0.0003332231885965509	-4.41450800369786e-08	-4.414508003697855e-08	-2.205188335733081e-08	1.5990258994050599e-38	3.8663650540857385e-48	6.330544811083737e-37	0.0003332231885965509	1.1014473678207188e-07	7.834928557412231e-13	0.0003332231885965509
6.501206949469253e-42	5.141642737289865e-30	1.300832060305803e-11	0.0	3.3097910999359483e-28	1.7255699667519042e-09	9.707900596814167e-12	6.965386750807312e-37	6.534723237513189e-06	6.534723237513189e-06	5.997750562371486e-05	1.9906746704814412e-11	1.319434291534816e-07	1.3194342915348218e-07	1.883767049362487e-15	2.1665157780040027e-09	5.815486860447676e-08	2.5944254757434714e-08	4.553339141822858e-38	2.141682850290763e-37	0.0	1.7267941263685293e-36	1.0538597209886146e-47	4.3603473783886915e-38	4.097635472208245e-46	1.3679513280420889e-09	1.8000639830520653e-09	5.735623475968105e-08	0.0	6.534723237513189e-06	0.0	-6e-05	-2.1420471493325925e-37	4.097635472208245e-46	0.00033320138990417956	-5.952293835512928e-08	-5.952293835512923e-08	-2.7745701486683605e-08	4.3603473783887145e-38	1.0538597209886297e-47	1.7267941263685293e-36	0.00033320138990417956	1.319434291534816e-07	1.3827461968654598e-12	0.00033320138990417956
1.370531508719536e-41	1.084701974151527e-29	2.4276451444720488e-11	0.0	6.991382014539089e-28	2.795937780373044e-09	1.662189088208197e-11	1.4683288199732152e-36	6.513000649749555e-06	6.513000649749555e-06	6.996938393010495e-05	3.404686806917276e-11	1.536660169171161e-07	1.5366601691711693e-07	3.641790160381835e-15	3.2135016204605476e-09	7.503364112623253e-08	3.134685917771501e-08	9.621522230242715e-38	4.530795955865596e-37	0.0	3.653271431104843e-36	2.2214630068753366e-47	9.205930420443891e-38	8.637927901704022e-46	2.0321306413859246e-09	2.514750754318662e-09	7.385215168651509e-08	0.0	6.513000649749555e-06	0.0	-7.000000000000001e-05	-4.531565745003669e-37	8.637927901704025e-46	0.0003331796673164159	-7.706597453852123e-08	-7.70659745385212e-08	-3.3863850956460574e-08	9.205930420443939e-38	2.2214630068753687e-47	3.653271431104843e-36	0.0003331796673164159	1.536660169171161e-07	2.24102442696007e-12	0.0003331796673164159
2.7549347466617233e-40	2.603935319195597e-29	4.169266701140474e-11	0.0	1.5853788869411782e-27	4.256425947428581e-09	2.660819663807108e-11	6.567415176054569e-36	6.491353891474801e-06	6.491353891474801e-06	7.996001332976808e-05	5.444727680938995e-11	1.7531277519187023e-07	1.7531277519187108e-07	6.438697654309958e-15	4.539500886929528e-09	9.389129483988847e-08	3.703366415784114e-08	7.683534336999876e-37	2.067483717210376e-36	0.0	1.6524639092150865e-35	1.4879218616401176e-45	5.655433469881391e-37	3.784077095041169e-44	2.8750100258049596e-09	3.367773692410636e-09	9.222661486890665e-08	0.0	6.491353891474801e-06	0.0	-7.999999999999999e-05	-2.0680984251780752e-36	3.784077095041169e-44	0.00033315802055814114	-9.67666294706693e-08	-9.676662947066933e-08	-4.040485033177266e-08	5.655433469881552e-37	1.4879218616401773e-45	1.6524639092150865e-35	0.00033315802055814114	1.7531277519187023e-07	3.412481520957017e-12	0.00033315802055814114
2.378297251045062e-39	9.102182486386313e-29	6.752032764643655e-11	0.0	4.9849955959094406e-27	6.176156999076542e-09	4.042375604798753e-11	4.072163022883785e-35	6.469782688547225e-06	6.469782688547225e-06	8.99493939788088e-05	8.262497694252514e-11	1.968839781194457e-07	1.9688397811944663e-07	1.0826529512614605e-14	6.174388359924155e-09	1.1470059987510369e-07	4.2996127614729107e-08	5.818653069028503e-36	1.292617800728789e-35	0.0	1.0286278152288607e-34	1.3569987890865326e-44	3.9859269840642186e-36	3.4092967044666655e-43	3.916276371284981e-09	4.366142722100142e-09	1.1244220146823289e-07	0.0	6.469782688547225e-06	0.0	-9e-05	-1.2930833070656557e-35	3.4092967044666655e-43	0.00033313644935521356	-1.1861736941201362e-07	-1.1861736941201374e-07	-4.73672231510981e-08	3.985926984064245e-36	1.3569987890865765e-44	1.0286278152288607e-34	0.00033313644935521356	1.968839781194457e-07	4.952814268923726e-12	0.00033313644935521356
