Mad1:C-Mad2	O-Mad2	Mad1:C-Mad2:O-Mad2*	Cdc20	Cdc20:C-Mad2
5.0000000000000004e-08	1.5000000000000002e-07	0.0	2.2000000000000004e-07	0.0
4.999321067049798e-08	1.485163739493201e-07	6.789329502023941e-12	2.1852316327882195e-07	1.4768367211779303e-09
4.9993232148511826e-08	1.4706212577183297e-07	6.767851488168745e-12	2.1706889362332094e-07	2.931106376678925e-09
4.9993253482240064e-08	1.456366670410366e-07	6.746517759931049e-12	2.1564341355879635e-07	4.356586441203496e-09
4.999327466892132e-08	1.4423942771054443e-07	6.7253310786736426e-12	2.1424615304162293e-07	5.753846958376934e-09
4.999329570587906e-08	1.4286984918261188e-07	6.704294120933983e-12	2.1287655347673262e-07	7.123446523267266e-09
4.99933165905364e-08	1.4152738379053882e-07	6.683409463597379e-12	2.115340672000022e-07	8.465932799997649e-09
4.999333732041286e-08	1.40211494731437e-07	6.662679587135417e-12	2.1021815741102393e-07	9.781842588975958e-09
4.9993357893126304e-08	1.389216558416774e-07	6.642106873687659e-12	2.089282979485509e-07	1.1071702051448987e-08
4.9993378306392845e-08	1.376573513844247e-07	6.6216936071439275e-12	2.0766397307803162e-07	1.233602692196824e-08
4.999339855802705e-08	1.3641807582356005e-07	6.601441972942505e-12	2.0642467726553283e-07	1.3575322734467064e-08
4.999341864594244e-08	1.3520333361754164e-07	6.5813540575477835e-12	2.05209914971599e-07	1.4790085028400882e-08
4.999343856815092e-08	1.340126390432778e-07	6.5614318490739734e-12	2.040192004751267e-07	1.5980799524873175e-08
4.9993458322762484e-08	1.3284551600753803e-07	6.5416772375071805e-12	2.0285205768477536e-07	1.7147942315224533e-08
4.9993477907985266e-08	1.317014978433961e-07	6.522092014729656e-12	2.0170801993541066e-07	1.8291980064589243e-08
4.999349732212508e-08	1.3058012712159587e-07	6.502677874913075e-12	2.005866297994706e-07	1.9413370200529285e-08
4.99935165635852e-08	1.2948095546395535e-07	6.483436414795331e-12	1.9948743890036992e-07	2.051256109962993e-08
4.999353563086555e-08	1.2840354337080162e-07	6.464369134445252e-12	1.9841000773993584e-07	2.1589992260064014e-08
4.9993554522561526e-08	1.2734746004684106e-07	6.445477438465186e-12	1.973539055242793e-07	2.264609447572054e-08
4.9993573237365846e-08	1.2631228322747043e-07	6.426762634152876e-12	1.9631870999010438e-07	2.368129000989547e-08
4.999359177405974e-08	1.2529759900902933e-07	6.4082259402592905e-12	1.953040072349694e-07	2.4695992765030452e-08
4.999361013152776e-08	1.2430300168755629e-07	6.389868472235096e-12	1.9430939155602833e-07	2.5690608443971524e-08
4.9993628308740305e-08	1.2332809358064812e-07	6.37169125968957e-12	1.9333446527190763e-07	2.666553472809222e-08
4.999364630475864e-08	1.2237248489454942e-07	6.353695241355344e-12	1.9237883858979055e-07	2.7621161410209286e-08
4.999366411873412e-08	1.2143579353193536e-07	6.335881265878289e-12	1.9144212941320103e-07	2.85578705867988e-08
4.999368174991236e-08	1.2051764498360912e-07	6.318250087629981e-12	1.9052396323369654e-07	2.9476036766303273e-08
4.9993699197624325e-08	1.1961767213338493e-07	6.300802375663726e-12	1.896239729357604e-07	3.0376027064239454e-08
4.9993716461284203e-08	1.1873551515496358e-07	6.283538715791826e-12	1.8874179869367919e-07	3.1258201306320666e-08
4.9993733540394045e-08	1.1787082133008335e-07	6.266459605947845e-12	1.8787708778968911e-07	3.212291221031073e-08
4.999375043453948e-08	1.1702324493780858e-07	6.249565460514937e-12	1.870294945032689e-07	3.2970505496730933e-08
4.9993767143387576e-08	1.161924470926153e-07	6.232856612418042e-12	1.8619867994922754e-07	3.38013200507723e-08
4.999378366668605e-08	1.1537809562481012e-07	6.216333313941258e-12	1.8538431195812386e-07	3.461568804187597e-08
4.9993800004261535e-08	1.1457986493840679e-07	6.199995738456192e-12	1.8458606493414505e-07	3.5413935065854785e-08
4.999381615601785e-08	1.137974358828625e-07	6.183843982140514e-12	1.838036197268445e-07	3.619638027315539e-08
4.999383212193449e-08	1.1303049563172876e-07	6.167878065508129e-12	1.830366635097941e-07	3.696333649020576e-08
4.999384790206492e-08	1.1227873754277969e-07	6.152097935074782e-12	1.8228488964071458e-07	3.771511035928527e-08
4.999386349653455e-08	1.115418610590439e-07	6.136503465443468e-12	1.8154799756250915e-07	3.8452002437490684e-08
4.999387890553942e-08	1.1081957155775211e-07	6.121094460577528e-12	1.808256926522125e-07	3.917430734778734e-08
4.999389412934394e-08	1.1011158026660155e-07	6.105870656055037e-12	1.8011768613725745e-07	3.988231386274243e-08
4.9993909168279524e-08	1.0941760411457387e-07	6.0908317204678326e-12	1.7942369494629415e-07	4.057630505370569e-08
4.9993924022742444e-08	1.0873736565039896e-07	6.075977257552315e-12	1.7874344162765635e-07	4.125655837234351e-08
4.9993938693192234e-08	1.0807059290190013e-07	6.061306807766461e-12	1.780766542087077e-07	4.192334579129212e-08
4.999395318014964e-08	1.0741701929450824e-07	6.046819850359417e-12	1.774230661143584e-07	4.257693388564144e-08
4.999396748419498e-08	1.0677638352021582e-07	6.0325158050196315e-12	1.7678241603602063e-07	4.321758396397919e-08
4.999398160596612e-08	1.0614842945413965e-07	6.018394033877815e-12	1.7615444784817333e-07	4.3845552151826504e-08
4.9993995546156745e-08	1.0553290603505924e-07	6.004453843255543e-12	1.755389104889023e-07	4.446108951109753e-08
4.999400930551441e-08	1.0492956717741554e-07	5.990694485585713e-12	1.7493555787190094e-07	4.50644421280989e-08
4.999402288483878e-08	1.0433817166568085e-07	5.977115161219917e-12	1.743441487808419e-07	4.5655851219157954e-08
4.999403628497969e-08	1.0375848305928999e-07	5.963715020302621e-12	1.7376444677431014e-07	4.623555322568973e-08
4.999404950683543e-08	1.0319026960299161e-07	5.950493164568642e-12	1.7319622009615602e-07	4.680377990384384e-08
4.9994062551350776e-08	1.0263330412259339e-07	5.9374486492194145e-12	1.7263924157124248e-07	4.736075842875739e-08
4.999407541951534e-08	1.0208736395200431e-07	5.9245804846566075e-12	1.7209328853248881e-07	4.7906711467511045e-08
4.9994088112361606e-08	1.0155223082121323e-07	5.911887638393335e-12	1.715581427088515e-07	4.844185729114837e-08
4.99941006309633e-08	1.0102769079436017e-07	5.8993690366931435e-12	1.7103359016339672e-07	4.896640983660314e-08
4.9994112976433496e-08	1.0051353415903737e-07	5.887023566499559e-12	1.7051942118260372e-07	4.948057881739613e-08
4.9994125149923e-08	1.0000955536623054e-07	5.874850076996942e-12	1.7001543021630741e-07	4.9984569783692464e-08
4.999413715261847e-08	9.95155529259637e-08	5.862847381529143e-12	1.695214157733451e-07	5.0478584226654765e-08
4.999414898574089e-08	9.903132934684411e-08	5.85101425910315e-12	1.690371803611031e-07	5.0962819638896805e-08
4.999416065054373e-08	9.855669103931078e-08	5.839349456258435e-12	1.6856253038876686e-07	5.143746961123298e-08
4.9994172148311445e-08	9.809144825324219e-08	5.827851688546819e-12	1.6809727610493057e-07	5.190272389506928e-08
4.99941834803577e-08	9.76354149901459e-08	5.816519642295773e-12	1.6764123150978803e-07	5.235876849021181e-08
4.999419464802389e-08	9.718840893718745e-08	5.805351976098891e-12	1.6719421428916338e-07	5.2805785710836466e-08
4.9994205652677525e-08	9.675025138978024e-08	5.7943473224652915e-12	1.6675604573710252e-07	5.3243954262897304e-08
4.9994216495710614e-08	9.632076718027292e-08	5.783504289369211e-12	1.6632655068456211e-07	5.367344931543772e-08
4.999422717853835e-08	9.58997846125162e-08	5.772821461630747e-12	1.6590555743397763e-07	5.409444256602218e-08
4.999423770259736e-08	9.548713538365878e-08	5.76229740262104e-12	1.6549289768106124e-07	5.45071023189386e-08
4.999424806934455e-08	9.508265453083025e-08	5.751930655425236e-12	1.6508840646148549e-07	5.491159353851434e-08
4.999425828025537e-08	9.468618034785437e-08	5.741719744617688e-12	1.646919220675988e-07	5.530807793240104e-08
4.999426833682275e-08	9.42975543393484e-08	5.731663177240144e-12	1.6430328600252545e-07	5.5696713997474387e-08
4.9994278240555405e-08	9.391662113884959e-08	5.7217594445789145e-12	1.63922342898294e-07	5.607765710170584e-08
4.999428799297691e-08	9.354322846414778e-08	5.712007023072314e-12	1.6354894047117065e-07	5.645105952882916e-08
4.999429759562399e-08	9.317722704019066e-08	5.702404375993996e-12	1.6318292944456645e-07	5.681707055543337e-08
4.9994307050045644e-08	9.281847055405115e-08	5.692949954341397e-12	1.628241635040053e-07	5.7175836495994525e-08
4.999431635780159e-08	9.246681558355242e-08	5.683642198386333e-12	1.624724992257506e-07	5.752750077424921e-08
4.99943255204614e-08	9.212212155069471e-08	5.674479538581169e-12	1.6212779603023308e-07	5.7872203969766717e-08
4.9994334539603045e-08	9.178425065702443e-08	5.6654603969372586e-12	1.6178991611742111e-07	5.821008388257865e-08
4.999434341681199e-08	9.14530678342734e-08	5.656583187992078e-12	1.6145872441746116e-07	5.854127558253861e-08
4.999435215368001e-08	9.112844068757402e-08	5.647846319968471e-12	1.6113408853389375e-07	5.8865911466106025e-08
4.999436075180412e-08	9.081023944199537e-08	5.6392481958523686e-12	1.60815878690191e-07	5.918412130980879e-08
4.99943692127857e-08	9.049833689478044e-08	5.630787214282314e-12	1.605039676819945e-07	5.949603231800528e-08
4.9994377538229195e-08	9.019260835668801e-08	5.622461770782242e-12	1.6019823081845856e-07	5.98017691815412e-08
4.99943857297416e-08	8.989293161304743e-08	5.614270258373233e-12	1.5989854588330558e-07	6.01014541166942e-08
4.999439378893106e-08	8.959918686182052e-08	5.606211068911737e-12	1.5960479307288925e-07	6.039520692711057e-08
4.999440171740644e-08	8.931125667960859e-08	5.598282593534737e-12	1.5931685496220192e-07	6.068314503779788e-08
4.999440951677602e-08	8.902902596107525e-08	5.590483223960249e-12	1.59034616444299e-07	6.09653835557008e-08
4.999441718864708e-08	8.875238188574372e-08	5.582811352896165e-12	1.5875796469709642e-07	6.124203530290338e-08
4.9994424734624754e-08	8.84812138610378e-08	5.575265375228219e-12	1.584867891264128e-07	6.151321087358696e-08
4.999443215631155e-08	8.821541348872688e-08	5.567843688432177e-12	1.5822098133241507e-07	6.177901866758468e-08
4.999443945530636e-08	8.795487451228868e-08	5.5605446936215755e-12	1.5796043505698209e-07	6.203956494301769e-08
4.999444663320399e-08	8.769949278212524e-08	5.553366795995701e-12	1.5770504614892102e-07	6.229495385107874e-08
4.999445369159426e-08	8.744916620801348e-08	5.5463084057173265e-12	1.5745471251641896e-07	6.25452874835808e-08
4.999446063206155e-08	8.720379472216025e-08	5.539367938431123e-12	1.5720933409009845e-07	6.279066590990132e-08
4.9994467456184044e-08	8.696328023756532e-08	5.532543815939968e-12	1.5696881278138105e-07	6.303118721861872e-08
4.999447416553315e-08	8.67275266079324e-08	5.525834466830059e-12	1.5673305244239902e-07	6.326694755760078e-08
4.9994480761673075e-08	8.649643959282405e-08	5.51923832691326e-12	1.5650195883115075e-07	6.349804116884904e-08
4.999448724616e-08	8.62699268136602e-08	5.5127538399870664e-12	1.5627543956749994e-07	6.37245604324998e-08
4.999449362054193e-08	8.604789772528121e-08	5.506379458055182e-12	1.5605340410473905e-07	6.394659589526071e-08
4.999449988635783e-08	8.583026356988837e-08	5.500113642159035e-12	1.5583576368353026e-07	6.41642363164695e-08
4.99945060451375e-08	8.561693735186201e-08	5.493954862488502e-12	1.5562243130672425e-07	6.437756869327551e-08
4.999451209840081e-08	8.540783379294841e-08	5.487901599167202e-12	1.554133216945473e-07	6.458667830545242e-08
4.999451804765764e-08	8.520286930757247e-08	5.481952342344694e-12	1.5520835125991457e-07	6.47916487400852e-08
