STAT1c	STAT1c_star	SOCS1	SHP2	Activated IFNRJ complex	Interferon-Receptor-JAK complex	STAT1n_star	IFNRJ2_star_STAT1c	IFNRJ2_star_SHP2_SOCS1_STAT1c	PPN	PPX	IFNRJ2_star_SHP2_SOCS1	IFNRJ2_star_SOCS1	STAT1n	STAT1c_star_STAT1c_star	mRNAc	Receptor	IFNRJ dimer	STAT1n_star_STAT1n_star	JAK	IFNRJ2_star_SHP2_STAT1c	Receptor JAK complex	STAT1c_star_STAT1c_star_PPX	STAT1n_star_PPN	IFNRJ2_star_SOCS1_STAT1c	mRNAn	STAT1c_STAT1c_star	IFNRJ2_star_SHP2	STAT1n_STAT1n_star	IFNRJ2_star_STAT1c_star	IFNR	STAT1c_star_PPX	STAT1n_star_STAT1n_star_PPN
1000.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	60.0	50.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
999.9999956888232	2.437006987824799e-07	0.0	99.99999988202565	3.3476524659320822e-06	0.864585820631858	3.2745255568204186e-22	4.0061800088380664e-06	0.0	60.0	49.999999998442235	0.0	0.0	5.932988219963257e-28	8.297612109707281e-17	0.0	4.186386254880936	0.007423785472486033	2.692597796284963e-20	5.10227929722489	5.9726256857613e-08	4.01827236758466	2.6855045206617654e-19	1.110796129774171e-24	0.0	0.0	6.2331551610159274e-12	5.824807765087985e-08	2.7562170313457125e-26	3.2484378527351856e-16	0.9158930423439587	1.5577635425414167e-09	9.742680691393639e-23
999.9998501045611	1.7467079896349984e-05	0.0	99.99999364880628	5.726878390709474e-05	1.9140111889143678	1.7580132512849156e-17	0.00012800595665819252	0.0	60.0	49.99999976024296	0.0	0.0	1.4661893704059595e-22	9.387727640643381e-13	0.0	2.4235814218511735	0.08340103766629209	6.63539043718441e-16	3.57983864400038	4.1807235547934e-06	4.338964839882416	6.5969972019309945e-15	1.278657462722205e-19	0.0	0.0	9.59715215644554e-10	2.170470144922864e-06	3.1452879272163697e-21	8.60547804823945e-13	1.1562572221492118	2.39757048928158e-07	5.1804438999898606e-18
999.999068881309	0.00016266536419437373	0.0	99.99994783462267	0.000237780404782523	2.6171440599299443	6.280869409534606e-15	0.0007269958852500572	0.0	60.0	49.99999649050885	0.0	0.0	1.2997144971417347e-19	1.31201820093969e-10	0.0	1.6245085010235554	0.26199454221464596	1.4818151985982877e-13	2.880807563744038	3.7919526720966045e-05	3.9760254084574895	1.4679850092448436e-12	7.190956302609575e-17	0.0	0.0	1.4053655764776374e-08	1.4245850614686569e-05	1.752198039259959e-18	5.225000261705501e-11	1.256299062720488	3.5094896873444383e-06	1.831338860745158e-15
999.9969968439373	0.0006880944577267674	0.0	99.99979627280094	0.0005785473830204587	3.0146264481809766	3.138554494397572e-13	0.0021385588543663347	0.0	59.999999999999936	49.99997952712837	0.0	0.0	1.2480319451102657e-17	3.319706024804887e-09	0.0	1.1874815513485308	0.50623884341666	5.262927707508664e-12	2.4943777074371964	0.00015585840491627167	3.4726764891998285	5.193255308833612e-11	4.9749875739766396e-15	0.0	0.0	8.201698457794279e-08	4.78687941903438e-05	1.200002672617011e-16	7.378457635381921e-10	1.30689615608867	2.0472819706027447e-05	9.047457371713307e-14
999.9930770664215	0.0019297626691070762	0.0	99.9994626427303	0.0010730310599550812	3.222980595013597	5.5355904640902544e-12	0.004495108382519314	0.0	59.99999999999834	49.999926470150285	0.0	0.0	3.6674561863171153e-16	3.42664268859688e-08	0.0	0.9189998745930975	0.767722113777938	7.087944063865434e-11	2.2521809735523757	0.0004238690369102159	2.9771832007082115	6.964094206708766e-10	1.1307628060408219e-13	0.0	0.0	2.9469368934260915e-07	0.00011348823285195944	2.6983252546345873e-15	4.872732397475354e-09	1.3331810989592825	7.352915331517675e-05	1.5765000856486184e-12
999.9869187750596	0.0042274607412577025	0.0	99.9988829506381	0.0016973361459234973	3.3289671509834564	5.162313025255785e-11	0.007756267325473306	0.0	59.99999999998425	49.99980348458062	0.0	0.0	5.196891175475851e-15	2.0550826459077612e-07	0.0	0.7399659143528201	1.0154401766037757	5.287719803364411e-10	2.085232523575554	0.0008989679052849724	2.533778625824314	5.17136127309673e-09	1.2972328649992397e-12	0.0	0.0	7.879251213618308e-07	0.00021808145666861095	3.060838010495168e-14	2.037121119012991e-08	1.345266609222739	0.00019651024803328806	1.4515504283643893e-11
999.9782700385723	0.007876395494848165	0.0	99.99801555223209	0.002424378582729727	3.3824353435515735	3.1444738425417515e-10	0.011797300466079111	0.0	59.99999999990342	49.99956849716069	0.0	0.0	4.508011248873431e-14	8.607229451575936e-07	0.0	0.6130362565946712	1.2354534126117258	2.662675374000532e-09	1.961639937958362	0.0016194847529426412	2.152605513490272	2.591307309763339e-08	9.407034973508955e-12	0.0	0.0	1.7308102054438572e-06	0.0003649630150506653	2.1936470695388713e-13	6.30713679507277e-08	1.348603681363696	0.00043147692624970267	8.724737536777319e-11
999.9669759873071	0.01311071957713483	0.0	99.99684144661616	0.003229709778299023	3.4093052103217087	1.4157678575856363e-09	0.016471915068615735	0.0	59.999999999563435	49.99917519156368	0.0	0.0	2.753581590354249e-13	2.801953915726197e-06	0.0	0.5187742561490899	1.4240259963186428	1.015804259843418e-08	1.8653545802238638	0.0026040669898784526	1.8315675436074585	9.834674714542407e-08	4.9199873209106244e-11	0.0	0.0	3.3097169398206474e-06	0.0005544863940329707	1.1334101580849116e-12	1.583740155736363e-07	1.3465803240747787	0.0008247100895920416	3.874413812398273e-10
999.9529461261949	0.02010489026063451	0.0	99.99536008666722	0.004093205610853834	3.4225472447551413	5.0951883376840276e-09	0.02164322223757295	0.0	59.99999999842363	49.998576536500195	0.0	0.0	1.29459521588348e-12	7.582110647445395e-06	0.0	0.4462925596108338	1.5823523715211292	3.157616060725285e-08	1.787686887775252	0.0038549886923598337	1.5643077593193824	3.0405749870175103e-07	2.0178734982776915e-10	0.0	0.0	5.714126890782602e-06	0.0007849246404715537	4.5905712768298195e-12	3.413727242389001e-07	1.341394328164423	0.0014231594423472114	1.3746970251172817e-09
