PKA	Ca	PP2B	PP2A	CK1	PP2AP	PP2C	CDK5	cAMP	D75	D75:137	D34:75	D34:75:137	D	D137	D34	D34:137	PDE	PDEP	cAMP_R2C2	cAMP3_R2C2	cAMP4_R2C	PP2BinactiveCa2	CK1P	D75_PKA	D34:75_PP2A	cAMP2_R2C2	D34:75:137_PP2AP	D34:75:137_PP2B	D_CK1	D137_PKA	D75:137_PP2A	D34:137_PP2C	D75_PP2AP	D34_CDK5	D34:75_CK1	D34_PP2B	D75:137_PP2C	D137_CDK5	D_PKA	PDE_PKA	D75_PP2A	D34:75_PP2AP	D34:137_PP2B	D75_CK1	AMP	D34:75:137_PP2C	D34:137_CDK5	D34:75:137_PP2A	D75:137_PKA	cAMP_PDEP	D75:137_PP2AP	PP2Binactive	D34_CK1	D34:75_PP2B	D_CDK5	cAMP_PDE	PP2A_PKA	CK1P_PP2B	cAMP4_R2	D137_PP2C	cAMP4_R2C2	R2C2
0.0	0.0	0.0	2e-07	1.6600000000000003e-07	0.0	1.3300000000000004e-07	2e-07	0.0	0.0	0.0	0.0	0.0	4.98e-06	0.0	0.0	0.0	2e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.3200000000000006e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.640000000000001e-06
0.0	5.974090695968677e-09	1.545232578465977e-10	1.9316674706274021e-07	4.525044776741352e-08	0.0	1.2177305824504617e-07	7.508196735623838e-08	0.0	3.1334720965477407e-07	1.1657663749551328e-08	0.0	0.0	4.267621186725159e-06	1.8179266140155003e-07	0.0	0.0	2e-06	0.0	0.0	0.0	0.0	5.276523291264707e-09	5.8138429878791305e-08	0.0	0.0	0.0	0.0	0.0	5.859233867253917e-08	0.0	2.3895851110987253e-10	0.0	0.0	0.0	0.0	0.0	6.314695454735656e-10	4.843652908020044e-09	0.0	0.0	6.594294426149775e-09	0.0	0.0	4.010712460451512e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.2656088223008555e-07	0.0	0.0	1.2007437973574067e-07	0.0	0.0	8.071220803432604e-12	0.0	1.0595472209480393e-08	0.0	6.640000000000001e-06
0.0	7.008533070021916e-09	7.252747767961245e-10	1.8773529948716396e-07	3.007430454103624e-08	0.0	1.1615184829849499e-07	7.785107284421015e-08	0.0	5.56818971043891e-07	3.4321884878523995e-08	0.0	0.0	3.93695117937075e-06	2.5984918759227646e-07	0.0	0.0	2e-06	0.0	0.0	0.0	0.0	1.0455792293738499e-08	9.50627051064711e-08	0.0	0.0	0.0	0.0	0.0	3.588237821778186e-08	0.0	7.066835841207173e-10	0.0	0.0	0.0	0.0	0.0	1.909107657388794e-09	7.444048569416964e-09	0.0	0.0	1.1558016928715253e-08	0.0	0.0	4.914619526646903e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.20752940321403e-07	0.0	0.0	1.1470487858637199e-07	0.0	0.0	6.599260806286966e-11	0.0	1.4939044044116288e-08	0.0	6.640000000000001e-06
0.0	7.748483107566899e-09	1.553258382398942e-09	1.8359207748219294e-07	2.000310189035753e-08	0.0	1.1393172914954634e-07	8.023872539293303e-08	0.0	7.504164001039513e-07	5.442346384938443e-08	0.0	0.0	3.711359812732668e-06	2.8165574658241305e-07	0.0	0.0	2e-06	0.0	0.0	0.0	0.0	1.4414911657464052e-08	1.1890962123428226e-07	0.0	0.0	0.0	0.0	0.0	2.2455703604381477e-08	0.0	1.1069228248462116e-09	0.0	0.0	0.0	0.0	0.0	3.0358599620544384e-09	8.408875855610551e-09	0.0	0.0	1.5300999692960786e-08	0.0	0.0	4.451405151873902e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.1585166184103363e-07	0.0	0.0	1.113523987514555e-07	0.0	0.0	1.801681191037346e-10	0.0	1.6032410888399346e-08	0.0	6.640000000000001e-06
0.0	8.325170544119916e-09	2.5068037528781076e-09	1.8038643259290047e-07	1.3614018999996529e-08	0.0	1.1348388881680944e-07	8.228359819053345e-08	0.0	9.087872822963813e-07	6.818648901083595e-08	0.0	0.0	3.5523065932896704e-06	2.756133177344849e-07	0.0	0.0	2e-06	0.0	0.0	0.0	0.0	1.7579554007391295e-08	1.3379569260254018e-07	0.0	0.0	0.0	0.0	0.0	1.458066499948286e-08	0.0	1.368996780062285e-09	0.0	0.0	0.0	0.0	0.0	3.827612387081509e-09	8.480650247428114e-09	0.0	0.0	1.824457062703702e-08	0.0	0.0	3.6795722693891014e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.115835911111407e-07	0.0	0.0	1.0923575156203766e-07	0.0	0.0	3.3005112859020804e-10	0.0	1.5688498796109152e-08	0.0	6.640000000000001e-06
0.0	8.799985380596884e-09	3.5120554787798384e-09	1.7787933825410087e-07	9.758195602026037e-09	0.0	1.1397745060663993e-07	8.402282711453421e-08	0.0	1.0401606471437327e-06	7.5795446006673e-08	0.0	0.0	3.436770103022744e-06	2.570792364794371e-07	0.0	0.0	2e-06	0.0	0.0	0.0	0.0	2.0216792192390267e-08	1.4267215535760164e-07	0.0	0.0	0.0	0.0	0.0	1.005972977803054e-08	0.0	1.5044176936130227e-09	0.0	0.0	0.0	0.0	0.0	4.2974299584369785e-09	8.098344244266036e-09	0.0	0.0	2.0616244052285953e-08	0.0	0.0	3.014453544660034e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0777568661114993e-07	0.0	0.0	1.0787882864119903e-07	0.0	0.0	4.95465717680552e-10	0.0	1.4725119434923039e-08	0.0	6.640000000000001e-06
0.0	9.205172305322594e-09	4.53107855382644e-09	1.7590212736943082e-07	7.590293957168123e-09	0.0	1.149366457579626e-07	8.549296112463247e-08	0.0	1.1496546239984725e-06	7.872539213269878e-08	0.0	0.0	3.35045929859604e-06	2.3433480606301578e-07	0.0	0.0	2e-06	0.0	0.0	0.0	0.0	2.2484337353735603e-08	1.475888923215085e-07	0.0	0.0	0.0	0.0	0.0	7.577100759307356e-09	0.0	1.5474530074335758e-09	0.0	0.0	0.0	0.0	0.0	4.516201269439271e-09	7.520620254497499e-09	0.0	0.0	2.2550419623135482e-08	0.0	0.0	2.580512702494592e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.043213838329182e-07	0.0	0.0	1.0698641862086928e-07	0.0	0.0	6.632002595202745e-10	0.0	1.3547152972598044e-08	0.0	6.640000000000001e-06
0.0	9.559296238261113e-09	5.544452967932607e-09	1.7433260472788585e-07	6.520788218799241e-09	0.0	1.1607223681683079e-07	8.672914954627102e-08	0.0	1.2408370981555849e-06	7.861498893514834e-08	0.0	0.0	3.2842348241325386e-06	2.117317638025612e-07	0.0	0.0	2e-06	0.0	0.0	0.0	0.0	2.4476839483379362e-08	1.4993787250974952e-07	0.0	0.0	0.0	0.0	0.0	6.335458031651402e-09	0.0	1.5327422072603176e-09	0.0	0.0	0.0	0.0	0.0	4.56344264166746e-09	6.896675910449117e-09	0.0	0.0	2.4134653064853762e-08	0.0	0.0	2.379858033505134e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.01152684342395e-07	0.0	0.0	1.0637417454327913e-07	0.0	0.0	8.260232062934426e-10	0.0	1.2364320541501594e-08	0.0	6.640000000000001e-06
0.0	9.87395233286343e-09	6.541852802976509e-09	1.7308034114590095e-07	6.151719848401793e-09	0.0	1.1720616931722227e-07	8.776420636268578e-08	0.0	1.3164633207035508e-06	7.68449740660508e-08	0.0	0.0	3.2321076882230368e-06	1.914166106205929e-07	0.0	0.0	2e-06	0.0	0.0	0.0	0.0	2.6254076697692677e-08	1.5064962343944866e-07	0.0	0.0	0.0	0.0	0.0	5.847219682960107e-09	0.0	1.4880533435845752e-09	0.0	0.0	0.0	0.0	0.0	4.509063897254397e-09	6.308735152485084e-09	0.0	0.0	2.54316055105144e-08	0.0	0.0	2.3709035296204266e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.982235369997633e-07	0.0	0.0	1.0592705848482835e-07	0.0	0.0	9.805334995678482e-10	0.0	1.1284766785523178e-08	0.0	6.640000000000001e-06
0.0	1.015690237484363e-08	7.517509719996118e-09	1.720772287153641e-07	6.219880112133972e-09	0.0	1.1823252643688886e-07	8.862795932082323e-08	0.0	1.378818707370662e-06	7.44320979761458e-08	0.0	0.0	3.1900715132551607e-06	1.7430009975011682e-07	0.0	0.0	2e-06	0.0	0.0	0.0	0.0	2.785619971614372e-08	1.5033931707134785e-07	0.0	0.0	0.0	0.0	0.0	5.812111642094797e-09	0.0	1.4331168470179607e-09	0.0	0.0	0.0	0.0	0.0	4.407544608635385e-09	5.798186864448535e-09	0.0	0.0	2.6489654437617792e-08	0.0	0.0	2.503184478900044e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.955007838683383e-07	0.0	0.0	1.0557385381472747e-07	0.0	0.0	1.1255066955221365e-09	0.0	1.035992895447554e-08	0.0	6.640000000000001e-06
0.0	1.0413644358638371e-08	8.468084531173348e-09	1.7127121433630433e-07	6.55353672951315e-09	0.0	1.1909417695504806e-07	8.934693226998207e-08	0.0	1.4298738618659159e-06	7.205366807104832e-08	0.0	0.0	3.1553975516263788e-06	1.606117226208297e-07	0.0	0.0	2e-06	0.0	0.0	0.0	0.0	2.9311789973716687e-08	1.494100825161006e-07	0.0	0.0	0.0	0.0	0.0	6.0443050498224166e-09	0.0	1.3806791576064216e-09	0.0	0.0	0.0	0.0	0.0	4.297577432599829e-09	5.381893912026609e-09	0.0	0.0	2.734810650608914e-08	0.0	0.0	2.7312143273435895e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.929592641178912e-07	0.0	0.0	1.0527117381799055e-07	0.0	0.0	1.2608613772189934e-09	0.0	9.60824561235188e-09	0.0	6.640000000000001e-06
0.0	1.0648252271891097e-08	9.391640661430952e-09	1.7062202918722917e-07	7.041786569654985e-09	0.0	1.197670760286141e-07	8.994430005038102e-08	0.0	1.471353444076154e-06	7.011605188238686e-08	0.0	0.0	3.1261967658685237e-06	1.5021990280887686e-07	0.0	0.0	2e-06	0.0	0.0	0.0	0.0	3.0642213738657685e-08	1.4812390794366786e-07	0.0	0.0	0.0	0.0	0.0	6.428528386317912e-09	0.0	1.3381422308968508e-09	0.0	0.0	0.0	0.0	0.0	4.204114230109521e-09	5.062425119237063e-09	0.0	0.0	2.80398285818739e-08	0.0	0.0	3.018712243968672e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.9057908074352224e-07	0.0	0.0	1.0499327483038116e-07	0.0	0.0	1.3870648563893278e-09	0.0	9.02880974127613e-09	0.0	6.640000000000001e-06
0.0	1.086385451116971e-08	1.0287116232277696e-08	1.7009820842200593e-07	7.61368254724974e-09	0.0	1.2024896508586364e-07	9.044003196096335e-08	0.0	1.5047683679380467e-06	6.882843095790293e-08	0.0	0.0	3.101141232911047e-06	1.4281711738459984e-07	0.0	0.0	2e-06	0.0	0.0	0.0	0.0	3.1864078401299936e-08	1.4664945326067974e-07	0.0	0.0	0.0	0.0	0.0	6.89334204805502e-09	0.0	1.3091342064285389e-09	0.0	0.0	0.0	0.0	0.0	4.141269858527798e-09	4.834457817813941e-09	0.0	0.0	2.8592657371565435e-08	0.0	0.0	3.3387142291848664e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8834399745159323e-07	0.0	0.0	1.0472551022122193e-07	0.0	0.0	1.5048079148293756e-09	0.0	8.60976505560833e-09	0.0	6.640000000000001e-06
0.0	1.1062922241335513e-08	1.1154028747890723e-08	1.6967496603017062e-07	8.224323834930875e-09	0.0	1.2055107899247835e-07	9.085114837108952e-08	0.0	1.5314345532025111e-06	6.826647084317411e-08	0.0	0.0	3.0792834250872806e-06	1.3802587170195987e-07	0.0	0.0	2e-06	0.0	0.0	0.0	0.0	3.2990689578909417e-08	1.4509396840363744e-07	0.0	0.0	0.0	0.0	0.0	7.394699640877654e-09	0.0	1.2947904982681574e-09	0.0	0.0	0.0	0.0	0.0	4.115262356042441e-09	4.6887384128691875e-09	0.0	0.0	2.903024347156105e-08	0.0	0.0	3.672172917939575e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.862404464705869e-07	0.0	0.0	1.0446011321604047e-07	0.0	0.0	1.6148352026132256e-09	0.0	8.333658651478987e-09	0.0	6.640000000000001e-06
