MEK-PP	RAF-P	MAPK phosphatase	MEK phosphatase	MAPK-P	MEK-P	RAF	RAF phosphatase	MAPK	MEK_RAF-P	MAPK-P_MEK-PP	MEK-P_MEKPase	MAPK-P_MAPKPase	RAFK	MAPK-PP	MEK	MEK-PP_MEKPase	MAPK_MEK-PP	RAF-P_RAFPase	MAPK-PP_MAPKPase	MEK-P_RAF-P	RAF_RAFK
0.0	0.0	0.3	0.2	0.0	0.0	0.3	0.3	0.4	0.0	0.0	0.0	0.0	0.2	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0
4.426438852293797e-11	0.0017482157359388233	0.2999999999999346	0.19999704080844855	4.370287068141446e-13	7.636551624033989e-06	0.25949129017015	0.29991467796324744	0.39999999995623114	0.00038260881016734537	2.338542525481571e-23	2.959180965024624e-06	6.542776418307012e-14	0.16170744364093642	1.2885365252603225e-25	0.19960678847119848	1.0586525747126552e-11	4.3266509662207476e-11	8.532203675252583e-05	1.0157305456484565e-26	6.88792770011855e-09	0.03829255635906366
2.9172580354544567e-09	0.004560359203568013	0.2999999999645927	0.1999523002089997	1.1315689959632179e-10	6.591110146276873e-05	0.24010583900304225	0.2995832690585742	0.3999999940355423	0.0018963467244750916	8.445500538111079e-19	4.769839917179906e-05	3.540719284359518e-11	0.14697959784653541	9.343335330029411e-21	0.19798971167588578	1.3918285748959766e-09	5.815893705245577e-09	0.00041673094142574913	1.6154287695941757e-21	3.2197402426338384e-07	0.05302040215346464
2.586827929350953e-08	0.007318809145328075	0.29999999899145746	0.19980032441337453	2.111111622940189e-09	0.00020078388514713796	0.22901176176444382	0.2990859744097736	0.39999992062523876	0.004198300889977415	2.1650871430215345e-16	0.0001996577195746702	1.0085424128829483e-09	0.1414452580764597	3.5653290615726755e-18	0.19539877682837933	1.786705089002455e-08	7.625510706277416e-08	0.0009140255902263552	9.645608317447163e-19	2.3606864839920563e-06	0.05855474192354035
1.0906793396464132e-07	0.009928387164334722	0.2999999908252073	0.19950200661552492	1.4412565622974068e-08	0.00041324058514281636	0.2213981589107881	0.29851392087279544	0.399999564378389	0.006854137286231442	8.336086126786697e-15	0.0004978987285746196	9.174792685500278e-09	0.13967534305427248	1.7929621340314204e-16	0.19222552707625043	9.465590057547981e-08	4.1203424440714217e-07	0.0014860791272045817	6.61874711524068e-17	8.580565713446271e-06	0.06032465694572766
3.137989581374139e-07	0.012437029360936075	0.2999999539168864	0.19904797971466429	5.862949531880897e-08	0.0006964814753407858	0.21532931147227616	0.29791603194294897	0.3999984818612192	0.009606413961632776	1.2108342815256392e-13	0.0009517014037069818	4.6083112227659605e-08	0.13947853469850888	3.168631710903145e-15	0.18872154520595089	3.1888162885171046e-07	1.4134260478507315e-06	0.002083968057050988	1.4783210006433375e-15	2.1811846612659333e-05	0.06052146530149126
7.198073789211056e-07	0.014885858884847267	0.2999998381986864	0.19844611880023075	1.750442591737017e-07	0.0010420712580137509	0.20999931029048308	0.2973137334130813	0.39999597060299114	0.012326108108818932	9.794362653060929e-13	0.0015530618960610395	1.6180129696201137e-07	0.13994237289564648	2.9832062261631947e-14	0.1850286980500343	8.193037083907101e-07	3.6925504269990372e-06	0.00268626658691873	1.67398885124886e-14	4.4829024578294444e-05	0.06005762710435361
1.4214746017901426e-06	0.01729716148963508	0.2999995516982362	0.19771212745492717	4.2638639828580554e-07	0.0014416202939017163	0.20506623426805815	0.29671529505490146	0.3999910642516464	0.014952677237307317	5.383170892686133e-12	0.0022861113698457135	4.4830164290268766e-07	0.14068092288882694	1.854768523737829e-13	0.18122820244038212	1.761175227474928e-06	8.061054623128096e-06	0.0032847049450985635	1.2100855400170397e-13	8.014494872761251e-05	0.059319077111173193
2.52534144052697e-06	0.01968132270176099	0.29999894890770706	0.19686444933762548	9.001779186305372e-07	0.001887215969392143	0.2003827586865926	0.29612349883295647	0.39998254364197844	0.017458840910479525	2.2513784941558406e-11	0.0031322116781379227	1.0510916573260216e-06	0.14152933753463914	8.598307261310305e-13	0.17737044796060056	3.338984236896629e-06	1.5505064436622425e-05	0.0038765011670436416	6.3580678750566e-13	0.00012991406876210554	0.05847066246536101
4.14647822114276e-06	0.02204261263623684	0.299997821753072	0.19592180392630118	1.7098614081808453e-06	0.002371518764617669	0.19588410932165434	0.29553908254720024	0.3999689563134598	0.01983308014643614	7.691029682836943e-11	0.004072427199864107	2.1782442888973834e-06	0.14241660949119533	3.2088632664242757e-12	0.1734900130279626	5.768873835049977e-06	2.715549808521125e-05	0.004460917452799865	2.6391810533240676e-12	0.00019588993406791314	0.05758339050880479
