bound_BoNT/A	transloc_BoNT/A	free_BoNT/A	lytic_BoNT/A	Values[tension]
0.0	0.0	1.0	0.0	1.0
0.052521890077164256	0.0038113530546381343	0.9436499474273283	1.6809440868052414e-05	0.999983190559132
0.09517697898800219	0.014220148453091873	0.8904752232881853	0.00012764927071901857	0.9998723507292809
0.12942963074130925	0.029864281834366756	0.8402968976496148	0.0004091897747076479	0.9995908102252924
0.15654223218269486	0.04958986345616935	0.7929461232983064	0.0009217810628277512	0.9990782189371723
0.17760228454617177	0.07242218132995494	0.7482635675707446	0.001711966553127056	0.9982880334468729
0.19354590267103547	0.09754057607700738	0.7060988762070111	0.002814645044944375	0.9971853549550557
0.20517819531928363	0.12425670855705528	0.6663101674179345	0.004254928705724857	0.9957450712942751
0.2131909389573569	0.15199576844563317	0.6287635544605664	0.006049738136441755	0.9939502618635583
0.21817790211622737	0.18028023265562365	0.5933326951168636	0.008209170111283725	0.9917908298887163
0.22064813061034455	0.20871583396196605	0.5598983665595485	0.010737668868139226	0.9892623311318608
0.221037463521739	0.23697944454291983	0.5283480641738645	0.013635027761474912	0.986364972238525
0.21971851348124027	0.26480861910337317	0.49857562298599994	0.01689724442938486	0.9831027555706151
0.21700931458642117	0.29199257539789125	0.47048086042400594	0.02051724959167993	0.9794827504083201
0.2131808142861977	0.3183644196217113	0.4439692392091147	0.02448552688297463	0.9755144731170253
0.20846336224125545	0.34379444973083145	0.41895154924321487	0.02879063878469653	0.9712093612153034
0.20305232919793081	0.36818439166185646	0.39534360742190405	0.03341967171830705	0.9665803282816929
0.19711297110852272	0.3914624429491651	0.3730659743631349	0.03835861157917567	0.9616413884208244
0.19078463869353282	0.41357901472113173	0.35204368709821193	0.04359265948712187	0.9564073405128781
0.1841844193704186	0.43450307759952644	0.3322060068256669	0.049106496204386334	0.9508935037956137
0.17741028696995506	0.45421902962609245	0.3134861808792128	0.05488450252473794	0.945115497475262
0.17054382474375354	0.4727240151971724	0.29582121810881623	0.0609109419502561	0.9390890580497439
0.16365257845951597	0.49002563351445716	0.27915167691905657	0.06717011110696854	0.9328298888930314
0.15679208891715377	0.506139983220932	0.2634214652515198	0.07364646261039272	0.9263535373896072
0.15000764662042182	0.5210899971024878	0.2485776518382937	0.08032470443879504	0.919675295561205
0.14333580586706557	0.5349040267097886	0.2345702880911338	0.08718987933201025	0.9128101206679897
0.1368056902623616	0.5476146424952604	0.2213522400274049	0.09422742721497154	0.9057725727850284
0.13044011778679715	0.5592576192808854	0.2088790296668498	0.1014232332654661	0.8985767667345339
0.12425656954748146	0.5698710812338621	0.19710868536574622	0.10876366385290852	0.8912363361470915
0.11826802326105389	0.5794947838798552	0.18600160058469956	0.11623559227438961	0.8837644077256104
0.11248366973376528	0.588169513707649	0.17552040061489027	0.12382641594369359	0.8761735840563064
0.10690952808731864	0.5959365886538243	0.16562981681430686	0.13152406644454856	0.8684759335554515
0.10154897348993164	0.6028374449113353	0.15629656793076827	0.139317013667963	0.860682986332037
0.09640318924588966	0.6089132975717851	0.1474892481124036	0.1471942650699199	0.8528057349300802
0.09147155354621841	0.6142048642873801	0.13917822122874562	0.15514536093765416	0.8448546390623458
0.0867519698114359	0.6187521426193816	0.1313355211468368	0.16316036642234394	0.836839633577656
0.08224114835088435	0.6225942330404061	0.12393475762678169	0.17122986098192625	0.8287701390180737
0.07793484603728977	0.6257692006611218	0.11695102752009025	0.17934492578149658	0.8206550742185035
0.07382806980016934	0.62831396971249	0.11036083097199872	0.18749712951534028	0.8125028704846597
0.06991524895426114	0.6302642456582055	0.10414199234579462	0.1956785130417371	0.8043214869582629
0.0661903807122484	0.6316544605240743	0.09827358560305978	0.20388157316061592	0.796118426839384
0.06264715264298637	0.6325177376575637	0.09273586388874092	0.2120992458107074	0.7879007541892926
0.05927904532483965	0.6328858726742345	0.08751019308410486	0.22032488891681945	0.7796751110831805
0.056079418010929576	0.6327893278055713	0.08257898910398859	0.22855226507950901	0.771447734920491
0.05304157973417289	0.6322572372732612	0.07792565872735228	0.2367755242652121	0.7632244757347879
0.05015884795366095	0.6313174216575617	0.07353454376203424	0.24498918662674152	0.7550108133732585
0.04742459655642146	0.6299964095281831	0.06939086835582377	0.25318812555957004	0.74681187444043
0.044832294778324906	0.6283194648667717	0.0654806892765588	0.261367551078343	0.738632448921657
0.04237553839700403	0.62631061902825	0.06179084899391723	0.26952299358082693	0.730477006419173
0.0400480743526828	0.6239927061916271	0.05830893140516562	0.2776502880505229	0.7223497119494771
0.037843819813002874	0.6213874013928369	0.05502322005562104	0.2857455587385376	0.7142544412614624
0.03575687653145638	0.6185152604028619	0.05192265871352691	0.2938052043521532	0.7061947956478468
0.033781541253994796	0.6153957608089645	0.048996814166166414	0.30182588377087266	0.6981741162291273
0.0319123127947954	0.6120473437916357	0.04623584111275783	0.3098045023008094	0.6901954976991906
0.030143896334631864	0.6084874561552923	0.04363044903599027	0.3177381984740839	0.6822618015259161
0.02847120542432134	0.6047325922409325	0.04117187093969963	0.325624331395045	0.674375668604955
0.026889362078574782	0.6007983354443286	0.03885183384838191	0.33346046862871326	0.6665395313712867
0.025393695306914696	0.596699399099	0.03666253096912413	0.3412443746249596	0.6587556253750404
