d	e	r	rs	x	ip3	atp	y	ad	kg	gstar	ro	ip3con	rscon	delta	ca
0.0	1.0	0.0	1.1	0.0	0.0	0.0	0.0	0.41000000000000003	8.823529411764705	0.0013541666666666667	0.0	0.08317269649392241	2.0611536366565986e-09	0.011964731652544193	0.0159835
0.07883777096993891	1.206940870936232	0.01688013582875125	1.0479423945708046	0.11143546099689713	0.013097621831343225	0.0023823624624927987	499.9987992907423	0.41000000000000003	8.823529411764705	0.0013649363370720952	9.528541832355847e-05	0.5546617508804198	6.850886360515453e-05	0.011964731652544193	0.0159835
0.16381044083123236	1.3985190437920094	0.04960047331217421	0.9806810965136552	0.1761287337324202	0.9439717363123495	477.7519180909681	478.18606307522015	0.6940051534574018	8.823529411764705	0.09833039511720086	0.950273685489	1.0	0.979442963155544	0.011964731652544193	0.2999886534574017
0.21479818339479856	1.5780376066826645	0.08510070828436983	0.9085441087424644	0.22832319311752824	0.9439726130092585	477.76128949176007	478.1865012459141	0.694005533179251	8.823529411764705	0.09833048052183452	0.9502746123806143	1.0	0.9999999886173808	0.011964731652544193	0.299989033179251
0.23125866167708373	1.7433969559560647	0.11869323455623941	0.8466903998195667	0.27908068609926395	0.9439726130096683	477.7612894924116	478.18650124982605	0.6940055331794284	8.823529411764705	0.09833048052184044	0.9502746123806788	1.0	0.9999999999999518	0.011964731652544193	0.29998903317942843
0.22929587612608446	1.88972389296155	0.149446858006508	0.8018154177551344	0.33236958287022583	0.9439726130096644	477.7612894923795	478.18650124985913	0.6940055331794268	8.823529411764705	0.09833048052184014	0.9502746123806756	1.0	1.0	0.011964731652544193	0.29998903317942677
0.2199072180991366	2.011291394451054	0.1782822578566302	0.7751230219631775	0.39064937537416033	0.9439726130096673	477.76128949241144	478.1865012498263	0.6940055331794279	8.823529411764705	0.09833048052184044	0.9502746123806788	1.0	1.0	0.011964731652544193	0.299989033179428
0.20940445449476253	2.1022525075467287	0.20688548872187293	0.7652423599006727	0.45692429515979843	0.9439726130096683	477.7612894924115	478.1865012498262	0.6940055331794284	8.823529411764705	0.09833048052184044	0.9502746123806788	1.0	1.0	0.011964731652544193	0.29998903317942843
0.20086601503633747	2.1565930766399513	0.23721686025759922	0.770036001710454	0.5361481928860514	0.9439726130096678	477.76128949240757	478.1865012498326	0.6940055331794281	8.823529411764705	0.0983304805218404	0.9502746123806783	1.0	1.0	0.011964731652544193	0.2999890331794282
0.19562279557064752	2.167385209084377	0.27150915484366084	0.7875070484670188	0.6377219872840032	0.9439726130096684	477.7612894924115	478.1865012498263	0.6940055331794285	8.823529411764705	0.09833048052184044	0.9502746123806788	1.0	1.0	0.011964731652544193	0.2999890331794285
0.19438810603962964	2.1248200541025835	0.3127279061021142	0.8161998928737477	0.7825460730432507	0.9439726130096641	477.76128949241115	478.18650124982776	0.6940055331794266	8.823529411764705	0.09833048052184044	0.9502746123806787	1.0	1.0	0.011964731652544193	0.2999890331794266
0.19815210884437542	2.0106075735756903	0.3658483041271727	0.8554701027204282	1.0294355818838365	0.9439726130097489	477.7612894909531	478.18650125154124	0.6940055331794633	8.823529411764705	0.09833048052182716	0.9502746123805345	1.0	0.9999999999997206	0.011964731652544193	0.2999890331794634
0.2095858763642437	1.7764187445434256	0.44164224910469324	0.9060733365570652	1.6279783876744043	0.9439726130094324	477.7612894895771	478.18650124994247	0.6940055331793263	8.823529411764705	0.0983304805218146	0.9502746123803983	1.0	0.999999993055617	0.011964731652544193	0.2999890331793263
0.23979257829608785	1.1833484389130733	0.5692532487420766	0.9724459845793838	5.729731661094623	0.9439724796949497	477.75965986671076	478.1865889429596	0.6940054754372841	8.823529411764705	0.09833046567075948	0.950274451202732	1.0	0.9959734195751814	0.011964731652544193	0.2999889754372839
0.34565093111139694	0.013225420310610235	0.7443862916468056	1.0724199125765426	82.0504539451722	0.013000980363636384	2.0527600794926414e-05	499.99999089121883	0.41000000000000003	8.823529411764705	0.0013542594731761023	8.21103357585779e-07	0.5498825280875818	5.124908253884009e-07	0.011964731652544193	0.0159835
0.44128028955604715	0.01996386595520514	0.837410753798142	1.1542000035896547	50.34246864378597	0.013000000000070228	1.5257246123461732e-12	500.0000000000246	0.41000000000000003	8.823529411764705	0.001354166666673565	6.102898449384321e-14	0.5498339973159543	4.04121180963557e-14	0.011964731652544193	0.0159835
0.5345215298568746	0.031634276454593054	0.8840055813530645	1.197211946849651	29.795402908893298	0.013000000000044601	3.658639273474601e-14	500.0000000012969	0.41000000000000003	8.823529411764705	0.0013541666666668322	1.463455709389838e-15	0.5498339973146859	0.0	0.011964731652544193	0.0159835
0.6232431702854089	0.05148934037128032	0.9068202222000572	1.2120161198529176	17.093484798300086	0.012999999999999914	-3.444505915207237e-16	500.0000000000023	0.41000000000000003	8.823529411764705	0.0013541666666666652	-1.377802366082895e-17	0.5498339973124737	0.0	0.011964731652544193	0.0159835
0.7036588139524346	0.08449916600949613	0.9144618569067382	1.2095073594077004	9.473674311502	0.01300000000000022	-8.284307472270565e-17	500.0000000000014	0.41000000000000003	8.823529411764705	0.0013541666666666663	-3.3137229889082265e-18	0.5498339973124887	0.0	0.011964731652544193	0.0159835
0.7695711223885169	0.13747617621495148	0.9090553056383379	1.1972894087304398	5.020941383968818	0.01299999999977006	7.497624042430725e-15	499.9999999972709	0.41000000000000003	8.823529411764705	0.001354166666666701	2.9990496169722896e-16	0.5498339973010951	0.0	0.011964731652544193	0.0159835
