pEGFR	pAkt	EGFR	S6	EGF_EGFR	Akt	pS6	pEGFR_Akt	pAkt_S6	EGF	Values[pEGFR_total]	Values[pAkt_total]	Values[pS6_total]
0.0	0.0	68190.1837333797	3.54316740542218	0.0	0.0433090165709309	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.011799112773764072	1.2161118987193748e-11	68188.29496117894	3.54316740542218	1.8767437937967786	0.04330901457156948	2.6551802385204822e-21	1.9872002847915255e-09	1.5184638372969407e-17	0.008333333333333333	2.144309924466638e-06	7.303825263481113e-10	1.3245693571899677e-16
0.09074459443464569	3.747310481570499e-10	68182.72868282233	3.5431674054221793	7.36024153302478	0.04330898560950702	3.289269216957997e-19	3.058669189416427e-08	9.400499027084586e-16	0.016666666666666666	1.6491457534510338e-05	2.2505935086547205e-08	1.640892452091513e-14
0.29452532380125984	2.7405044359357867e-09	68173.62884084844	3.5431674054221696	16.239591594249642	0.04330886483727861	5.4617076156822834e-18	1.489931374998415e-07	1.0366141987284714e-14	0.025	5.352553196708101e-05	1.6459189548884046e-07	2.7246400981407526e-13
0.6716032492186763	1.1123671779727857e-08	68161.13158965606	3.5431674054221234	28.315609365808	0.04330855225080178	3.9770790818349163e-17	4.531964009568966e-07	5.639340955503102e-14	0.03333333333333333	0.0001220537738273075	6.680772180216614e-07	1.9840148726984828e-12
1.2622975201576898	3.270324836832579e-08	68145.36573078667	3.543167405421972	43.40017369210916	0.04330791877562261	1.843543532439845e-16	1.0650918516202144e-06	2.0831818641816865e-13	0.041666666666666664	0.0002294035983907628	1.96412875456437e-06	9.196743920767662e-12
2.099754096637377	7.840750234662473e-08	68126.45312426773	3.543167405421577	61.315609435521935	0.04330681165694181	6.422330032961469e-16	2.1265058843213453e-06	6.024389178925487e-13	0.05	0.0003815988063055913	4.709092823930618e-06	3.203858419856937e-11
3.210812349146641	1.6331234200931815e-07	68104.50907731564	3.5431674054207067	81.89410418316481	0.0433050592265343	1.8371375257878e-15	3.7940305831346517e-06	1.471468611948692e-12	0.058333333333333334	0.0005835170740291958	9.80842362152679e-06	9.164786767764814e-11
4.616779031467856	3.0688253194019135e-07	68079.64271162845	3.543167405418999	104.97715723248359	0.043302475112511805	4.5494310575366825e-15	6.234572710879993e-06	3.1762751798283186e-12	0.06666666666666667	0.0008390306108263507	1.8431172265629563e-05	2.2695397035717856e-10
6.334118994496495	5.330809971429586e-07	68051.95731043223	3.543167405415931	130.41505908984874	0.04329886195126043	1.009128082359411e-14	9.62153243446217e-06	6.238872674189439e-12	0.075	0.0011511316848221642	3.201655344835091e-05	5.034159700276929e-10
8.375071083994744	8.703682425086961e-07	68021.55064638251	3.5431674054107836	158.0663998123257	0.043294014654733	2.0521987989617425e-14	1.4131536579633205e-05	1.1375764437615054e-11	0.08333333333333333	0.0015220445524719887	5.227391257212517e-05	1.0237646411083027e-09
10.748196837638147	1.3516110846829757e-06	67988.51529136262	3.54316740540261	187.79760461276686	0.04328772328070711	3.890339249003495e-14	1.9941659608222755e-05	1.9530892705794156e-11	0.09166666666666666	0.001953325175412	8.117724627857572e-05	1.9407436389986186e-09
13.458868843555935	2.013917373078867e-06	67952.93890916507	3.5431674053902027	219.48249523408597	0.04327977554852646	6.959444415531181e-14	2.7227073123784848e-05	3.1907583944630686e-11	0.1	0.0024459499717804393	0.0001209552779176238	3.471804543489689e-09
16.509704946955594	2.8984111723690408e-06	67914.90453198935	3.5431674053720625	253.0018756793554	0.04326995903827453	1.1858336794858228e-13	3.615907148502056e-05	4.999899510370211e-11	0.10833333333333334	0.0030003947263188774	0.00017407795711737615	5.915677330613102e-09
19.900953877024335	4.049960920286756e-06	67874.49082163842	3.5431674053463698	288.24314096110595	0.04325806310719287	1.9385531027636816e-13	4.690342720108654e-05	7.561666738936033e-11	0.11666666666666667	0.0036167046719064837	0.0002432401349961489	9.670710861561345e-09
23.6308373135929	5.5168713607916446e-06	67831.77231624923	3.5431674053109576	325.0999076057125	0.04324388055346417	3.057929321983363e-13	5.9619035189078064e-05	1.1091688126544822e-10	0.125	0.004294556654735102	0.0003313430636360981	1.5254856968236702e-08
27.695852916258755	7.350548556285938e-06	67786.81966334739	3.543167405263288	363.47166471723807	0.043227209054197135	4.676070977851036e-13	7.445680975291668e-05	1.5842458088806885e-10	0.13333333333333333	0.005033314205050084	0.00044147427857227367	2.3327155872318873e-08
32.09104238658112	9.605145954576166e-06	67739.69983997334	3.5431674052004296	403.26344447013304	0.04320785240150295	6.957945638267638e-13	9.155880241869892e-05	2.2105470110270783e-10	0.14166666666666666	0.00583207625322308	0.0005768863432973545	3.4710568599962145e-08
36.810228227383455	1.2337198328540332e-05	67690.47636058748	3.5431674051190387	444.38551096165213	0.04318562155794068	1.0106194127311688e-12	0.00011105751253092084	3.021307852823192e-10	0.15	0.006689720157034507	0.0007409748652535154	5.041599385475015e-08
41.846222496902975	1.5605249394754364e-05	67639.20947342242	3.5431674050153426	486.7530664129661	0.04316033555029639	1.4366148684503393e-12	0.00013307536583895206	4.054008292124525e-10	0.15833333333333333	0.007604939639475288	0.0009372561320238838	7.166730172310812e-08
47.19101052451907	1.946947803039984e-05	67585.95634591588	3.5431674048851267	530.2859737629738	0.043131822218606425	2.003102085462859e-12	0.000157724339243782	5.350503261425646e-10	0.16666666666666666	0.008576278176222366	0.0011693446631704284	9.992721410151289e-08
