A	R	G	E	Values[mA]	Values[mG]	Values[R0]
1.0	0.0	100000000.0	0.0	0.5	5.0025	0.79960019990005
4.03605285852756	842.1583122220463	1846784.459914331	3639.458689967148	0.5	5.0025	0.79960019990005
2.811750001432332	1475.001174958788	2186514.8258814295	5787.019051668033	0.5	5.0025	0.79960019990005
2.1779413774644705	1799.8891070131006	2615841.455301394	6671.743402249367	0.5	5.0025	0.79960019990005
1.845936428409819	1946.345673342132	2767017.9030449158	6955.098478675746	0.5	5.0025	0.79960019990005
1.659246839571868	1995.6076103848684	2785338.9584762324	6956.696803218151	0.5	5.0025	0.79960019990005
1.5429084560851618	1992.1008763069372	2742273.9610389858	6828.864112066032	0.5	5.0025	0.79960019990005
1.4611133512613208	1959.4840836651247	2671846.3939306615	6644.050599679118	0.5	5.0025	0.79960019990005
1.39675272957817	1910.5292667741028	2590206.6738158525	6436.621541994059	0.5	5.0025	0.79960019990005
1.3416354608541572	1852.37903446609	2504986.8744290816	6222.79293873354	0.5	5.0025	0.79960019990005
1.2918211994125028	1789.2178983623087	2419760.607863728	6010.134345534583	0.5	5.0025	0.79960019990005
1.2453961184214937	1723.6195497802692	2336168.5039505716	5802.097572098238	0.5	5.0025	0.79960019990005
1.2014133305611578	1657.236186636492	2254931.2047475697	5600.175131630452	0.5	5.0025	0.79960019990005
1.1593882022941098	1591.1622900185914	2176332.303142465	5404.929377172877	0.5	5.0025	0.79960019990005
1.1190579267626348	1526.1354471487195	2100448.712617137	5216.483493141245	0.5	5.0025	0.79960019990005
1.0802669296313818	1462.653547165948	2027260.6398148048	5034.755928225728	0.5	5.0025	0.79960019990005
1.0429121929534413	1401.047397106487	1956704.1279570705	4859.572425951939	0.5	5.0025	0.79960019990005
1.0069171174900893	1341.5283480085413	1888696.1764244025	4690.719586409993	0.5	5.0025	0.79960019990005
0.97221898193332	1284.22106540288	1823146.7446239614	4527.970453682617	0.5	5.0025	0.79960019990005
0.9387628862561929	1229.1869127142033	1759964.4686498295	4371.096683966269	0.5	5.0025	0.79960019990005
0.9064987909913822	1176.4410610986563	1699059.355160945	4219.874255634192	0.5	5.0025	0.79960019990005
0.8753800374116504	1125.965213308441	1640344.0146614679	4074.0860597371898	0.5	5.0025	0.79960019990005
0.8453625803564466	1077.717150372939	1583734.1881348304	3933.5229727695937	0.5	5.0025	0.79960019990005
0.8164045650948231	1031.637926149339	1529148.9273720742	3797.9841909046745	0.5	5.0025	0.79960019990005
0.788466073289596	987.6572912432752	1476510.6068758979	3667.277202142898	0.5	5.0025	0.79960019990005
0.7615089535308754	945.6977733456057	1425744.8543468222	3541.2175831363734	0.5	5.0025	0.79960019990005
0.7354966959491799	905.6777316788543	1376780.440350991	3419.6287130173714	0.5	5.0025	0.79960019990005
0.7103943310891234	867.5136271533744	1329549.1530630707	3302.3414523478805	0.5	5.0025	0.79960019990005
0.686168343220864	831.1216930897479	1283985.6651038988	3189.1938101251058	0.5	5.0025	0.79960019990005
0.6627865932434118	796.4191461652961	1240027.4011533577	3080.030612805882	0.5	5.0025	0.79960019990005
0.6402182485618423	763.3250487671941	1197614.4079420348	2974.703181797216	0.5	5.0025	0.79960019990005
0.6184337180994567	731.7609043914865	1156689.2287796238	2873.069021386551	0.5	5.0025	0.79960019990005
0.5974045925312855	701.6510535240686	1117196.7841509327	2774.9915234383357	0.5	5.0025	0.79960019990005
0.5771035878144263	672.9229168142497	1079084.2571814805	2680.339683207754	0.5	5.0025	0.79960019990005
0.5575044925682253	645.5071263689805	1042300.9849240509	2588.9878311158377	0.5	5.0025	0.79960019990005
0.5385821187192678	619.3375726391638	1006798.3560064861	2500.815379178104	0.5	5.0025	0.79960019990005
0.5203122548768038	594.3513912565104	972529.7135246566	2415.7065803429555	0.5	5.0025	0.79960019990005
0.5026716225196285	570.4889056970002	939450.2631513581	2333.550301579436	0.5	5.0025	0.79960019990005
0.4856378346512865	547.6935394192335	907516.9858765783	2254.2398094130804	0.5	5.0025	0.79960019990005
0.46918935666366024	525.9117073473813	876688.5570017019	2177.672567369246	0.5	5.0025	0.79960019990005
0.4533054694053374	505.0926941159058	846925.2683181696	2103.750044644729	0.5	5.0025	0.79960019990005
0.43796623420019065	485.18852472741867	818188.9547840153	2032.3775352823825	0.5	5.0025	0.79960019990005
0.42315245968046705	466.15383171001866	790442.9257377915	1963.4639872785428	0.5	5.0025	0.79960019990005
