R	X	E	Ep	Values[Km3]	Values[Km4]
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
0.0	0.0	1.0	0.0	0.3	0.3
