Active Calcineurin in cytosol	Active Calcineurin in Nucleus	NFAT_nuc	NFAT Calcineurin complex in cytosol	Phosphorylated NFAT Calcineurin complex in nucleus	Phosphorylated NFAT in cytosol	Inactive Calcineurin in nucleus	NFAT_Cyt	Phosphorylated NFAT Calcineurin complex in cytosol	Phosphorylated NFAT in nucleus	Inactive Calcineurin in cytosol	NFAT Calcineurin complex in nucleus
9.1e-06	5.05e-05	0.0005219	6.1e-06	2.5000000000000006e-06	0.009439700000000002	0.049198	0.0001101	2.2e-06	0.0002272	0.0097108	0.0009477000000000001
0.004074656433479625	0.021248594045194212	0.0004759386731612694	3.250880227889334e-05	1.7162588742219394e-05	0.009271130208211222	0.027933510903221118	0.00010816205863934078	0.00014232145060496441	0.00020978481452955532	0.005476003844293351	0.001005882438535482
0.004489263828810359	0.02406845091278189	0.0004089275149816296	0.00011487402232114963	2.9124614652750397e-05	0.009003048108767656	0.025014766587661566	0.0001051707751414402	0.0002980281777372594	0.00018964470411736371	0.0047952531339391586	0.0011596326212282902
0.004432907002991249	0.024412886492024537	0.0003491883028739007	0.00021262157804991617	3.393502368198396e-05	0.008734676162582933	0.02457852270907603	0.00010232921513251826	0.0003910898645469904	0.00017573723420268372	0.004588025683145342	0.001419873734250095
0.004321320489933873	0.024427001643530035	0.00029874381021330484	0.00029799982964222413	3.563049614086822e-05	0.008478430574089306	0.02448235529886679	9.976878444186666e-05	0.0004374388147358788	0.00016608616520186642	0.004450029622244405	0.001780788884350228
0.004208425733350083	0.024399714410288882	0.0002566320071526338	0.00036173069420203526	3.6285586914197156e-05	0.008235273340857385	0.024436108116931102	9.746360615904682e-05	0.00045508632223673464	0.0001588684082828088	0.004327629806113731	0.0022200704917260516
0.004100807989914885	0.02436952944970166	0.0002217003992995507	0.0004039642919329808	3.667464089112063e-05	0.00800459804592927	0.024399919255924142	9.536710832989471e-05	0.00045601763218633054	0.00015304067851544564	0.004213235744483228	0.002711805838074343
0.003998899820206181	0.02434122252445334	0.00019290564367956795	0.0004284070257431768	3.704510187691499e-05	0.007785584761519392	0.024367866210011364	9.343652950076775e-05	0.00044757616767392416	0.00014804505150763266	0.004105361253571	0.003233097952372866
0.0039023733755766832	0.024315077834546228	0.0001693330518049232	0.00043947285847926825	3.745744778362832e-05	0.0075774161460079315	0.024338705666744596	9.163759538216276e-05	0.00043415565092987677	0.00014358404861502478	0.004003376264332324	0.003766158854761087
0.0038108414423646004	0.024290825911978748	0.00015018716296597384	0.0004411148314387439	3.791265361701012e-05	0.007379322547792381	0.02431189750909185	8.994439844836143e-05	0.00041834914462561697	0.00013949611387835945	0.003906810499052453	0.004298255236794663
