SeqAggP	MisP	PolyQ	Proteasome	ROS	AggP_Proteasome	AggP2	AggP4	AggPolyQ2	AggPolyQ4	AggP1	AggPolyQ1	mRFPu	MisP_Proteasome	NatP	AggP3	AggPolyQ3	PolyQ_Proteasome	mRFPu_Proteasome	p38_P	AggPolyQ5	p38death	PIdeath	AggP5	p38	Values[oligomers]
0.0	0.0	1000.0	1000.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	300.0	0.0	19500.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0
3.382538465156879e-27	0.3899889249237504	999.9320336130978	999.8004517070866	9.999701809883534	3.121281037794616e-08	-7.380762761269292e-24	-9.191852638124012e-46	1.5607176671411203e-07	8.131576807500182e-18	-7.214624772093463e-13	0.01248627387695356	299.98801797475585	9.716098514852417e-06	19502.01000132655	-6.011707315857224e-35	1.3006843241590648e-12	0.04993086613373853	0.1496076794681196	0.004994803855977751	4.371660118499819e-23	2.2484406933272152e-10	2.601482682871416e-16	-1.2745055556055453e-56	99.995005196144	0.012486429950020965
1.7668598549764987e-25	0.7799557992479624	999.864084414071	999.6018039882692	9.999407234200222	1.2482755471898923e-07	-8.659437194030996e-23	-7.742300051113908e-44	6.241993227378209e-07	1.3002269158376153e-16	-1.871987873209412e-12	0.024970099048487453	299.9760717953148	3.8729510255112856e-05	19504.020005212587	-2.5839013919645343e-33	1.0402517385936463e-11	0.09972372621612727	0.29843343117657184	0.009979230827570048	1.345877824270452e-21	8.987533701027287e-10	2.0806857817370716e-15	-1.6676682154131107e-54	99.99002076917242	0.024970723258212833
1.8317983194928277e-24	1.1699007720596972	999.7961523456229	999.4040525981267	9.999116264961726	2.808088495451637e-07	-2.835073138652044e-22	-1.1806655068038467e-42	1.4042514244478763e-06	6.580655214396513e-16	-1.930826396405979e-12	0.0374514808158829	299.96416130665494	8.683944497293006e-05	19506.03001151783	-2.029905485983689e-32	3.510162663049897e-11	0.14937897190534838	0.4464813097139727	0.014953303983910227	9.992837116228804e-21	2.020795003774644e-09	7.021247326336753e-15	-4.977342641239548e-53	99.98504669601607	0.037452885102409635
9.944539035529254e-24	1.5598239921003823	999.7282373507066	999.2071933114211	9.998828894197615	4.991215115467886e-07	-3.990587907840765e-22	-7.324449970061488e-42	2.496097343993392e-06	2.0793179208886136e-15	6.224791544405724e-13	0.04993042446664994	299.9522863544965	0.00015384717426584766	19508.040020102286	-6.921923170235577e-32	8.318822722835564e-11	0.1988969936503563	0.5937553486326799	0.019917046342156873	4.178058634513695e-20	3.590038163165571e-09	1.66405564243813e-14	-5.866304727309742e-52	99.98008295365781	0.04993292064718424
3.744047380744203e-23	1.9497256077695602	999.6603393725245	999.0112219229256	9.998545113955164	7.797305557103153e-07	2.5058750885485357e-22	-2.316698999702648e-41	3.899606865132244e-06	5.07527683423743e-15	7.308124174128406e-12	0.06240693527465886	299.9404467852952	0.00023955600669338782	19510.050030826256	-9.566523782067081e-32	1.6244680033095466e-10	0.248278180702347	0.7402595606344996	0.024870480868043734	1.271282959654426e-19	5.6055541102951255e-09	3.249645952559843e-14	-3.331420886707507e-51	99.97512951913193	0.06241083504397586
1.151232029575857e-22	2.33960576712618	999.5924583545253	998.816134247302	9.998264916299306	1.122601193710661e-06	3.156103122584869e-21	1.5318889115430603e-40	5.6146502809406e-06	1.0521577586378179e-14	1.9646045414926826e-11	0.07488101850018378	299.92864244623746	0.0003437712599710557	19512.06004355032	4.831912003951409e-31	2.8065613636230597e-10	0.29752292112026507	0.8859979377163358	0.029813630476037307	3.1766044857336033e-19	8.066416170113407e-09	5.614593269313032e-14	2.692994907231663e-50	99.97018636952393	0.07488663343113137
2.982125947497434e-22	2.729464617889307	999.5245942404043	998.6219261190311	9.997988293312604	1.5276988330278044e-06	1.0792719133811231e-20	1.1298277463675227e-39	7.641098392551488e-06	1.9487828849121883e-14	3.915592272902878e-11	0.08735267938992655	299.91687318523765	0.00046630024575085283	19514.07005813533	3.1457184718302035e-30	4.4558935883811254e-10	0.34663160177383384	1.0309744512502395	0.03474651802942366	6.898351783352706e-19	1.097169972704543e-08	8.914508527569412e-14	2.0171007827400277e-49	99.96525348197055	0.08736032093392794
6.61172297975323e-22	3.1193023074378945	999.4567469741031	998.4285933924357	9.997715237095258	1.994989077224284e-06	2.6562237794684105e-20	3.608419792407315e-39	9.97882250955914e-06	3.32376638891558e-14	6.735717851002705e-11	0.09982192317700925	299.9051388509391	0.0006069522742287311	19516.08007444243	9.82449581077301e-30	6.650139167962517e-10	0.3956046083425915	1.1751930519582194	0.039669166340280504	1.343771654445609e-18	1.43204822261026e-08	1.3304915875937698e-13	6.424409761455381e-49	99.96033083365968	0.09983190266456596
1.3104577300450845e-21	3.5091189828122804	999.3889164998079	998.2361319415369	9.997445739765046	2.5244377240861894e-06	5.516653947060497e-20	8.945699977555032e-39	1.2627694447366178e-05	5.322839299846529e-14	1.0576898135710345e-10	0.11228875508102447	299.89343929270825	0.000765538622038384	19518.090092333034	2.3647428826249223e-29	9.466916349085152e-10	0.4444423253222676	1.3186576700807895	0.044581598169659835	2.410879058065151e-18	1.811184316561495e-08	1.8941253450175826e-13	1.734568992169566e-48	99.95541840183031	0.11230138372221671
