Pr	S	Xi	V	preS	Ya	Pfr	prepreS	Pi	Xa	Yi
0.0	0.0	6.0	30.000000000000004	0.0	0.9	10.0	200.0	0.0	0.0	0.0
0.9048374180274674	0.5036278868619087	5.786692066536574	42.15602277415525	2.468107286860123	0.9	9.048374180364084	196.91728463285662	0.046788401608446814	0.2133079334634238	0.0
1.6374615061486846	4.4361678596680845	5.394985551300174	21.620748759481707	11.788634559509001	0.9	8.187307530783878	181.57547565769016	0.17523096306743233	0.6050144486998255	0.0
2.2224546620389334	12.089096776231676	5.023536527329531	8.030856224001054	22.81646208351417	0.9	7.408182206820848	154.8460190871406	0.369363131140209	0.9764634726704684	0.0
2.6812801841372607	20.329539381495017	4.730047012584577	2.9617456347464404	29.980538847538163	0.9	6.703200460359713	123.51948663504444	0.6155193555030161	1.2699529874154214	0.0
3.0326532985586754	29.33930992687504	4.5147854692564096	1.0916707443936955	31.698231951583733	0.9	6.065306597129336	93.66205367317446	0.902040104311977	1.4852145307435862	0.0
3.2928698165603656	43.02043058975085	4.362401029427206	0.40225267022027344	29.228335170240577	0.9	5.488116360942979	68.47732386498514	1.2190138224966423	1.637598970572787	0.0
3.4760971265366787	49.63690380425866	4.257324993774695	0.1482758098828651	24.59111114269146	0.9	4.965853037916554	48.80334003209498	1.5580498355467531	1.7426750062252967	0.0
3.5946317129351106	49.48062417769993	4.187521437912206	0.05480203780412436	19.412321731134725	0.9	4.493289641174442	34.184638822019956	1.9120786458904342	1.8124785620877863	0.0
3.6591269376631845	46.598348343297644	4.144386314172761	0.020448403345477924	14.644614839112693	0.9	4.065696597408005	23.678788792229348	2.275176464928798	1.855613685827232	0.0
3.6787944117126083	43.0874873204561	4.121841838113486	0.007880896261125623	10.6928885809874	0.9	3.678794411716247	16.29567740675547	2.6424111765711347	1.8781581618865073	0.0
3.661581920677397	39.84271007857679	4.115523981006729	0.0033538345701010865	7.626139709663009	0.9	3.328710836982447	11.183010195499984	3.009707242340145	1.8844760189932646	0.0
3.6143305429452375	37.17225370965048	4.122212833721116	0.001800407996552064	5.349056180811762	0.9	3.0119421191235136	7.675050748337617	3.3737273379312382	1.8777871662788777	0.0
3.542913309441219	35.11286049978907	4.139461532068356	0.0013449790782665912	3.7093569289689294	0.9	2.7253179303414785	5.280303812190805	3.7317687602172924	1.8605384679316406	0.0
