Cdc20	MCC	O-Mad2	Cdc20:C-Mad2	Bub3:BubR1:Cdc20	MCC:APC	Mad1:C-Mad2:O-Mad2*	APC	Mad1:C-Mad2	Bub3:BubR1	APC:Cdc20
2.2000000000000004e-07	0.0	1.3e-07	0.0	0.0	0.0	0.0	9.000000000000001e-08	5.0000000000000004e-08	1.2700000000000004e-07	0.0
1.6583214704858036e-07	1.7652136188956772e-10	1.2870106881410038e-07	7.090781530583993e-10	2.1403661735459221e-10	3.375009739768884e-10	7.583069697490495e-11	3.69317831808827e-08	4.9924169303025086e-08	1.262719410467791e-07	5.2730715845140354e-08
1.4822421480162118e-07	4.3804562774527194e-10	1.2742710005242328e-07	9.258444680849337e-10	3.52200854208391e-10	1.1246900283061652e-09	8.431982344049228e-11	1.9940305751659456e-08	4.991568017655951e-08	1.2508506348974024e-07	6.893500422003433e-08
1.4104332418282037e-07	7.141875599350876e-10	1.2616996048295813e-07	9.908458501165622e-10	4.507828649900068e-10	2.0371067808951318e-09	8.789932609523328e-11	1.3199140457861735e-08	4.991210067390475e-08	1.2379792279417996e-07	7.476375276124309e-08
1.3776598436521338e-07	9.660503216899597e-10	1.249270069967297e-07	1.0132359747899522e-09	5.243624719155255e-10	3.004527130283469e-09	8.917957650703581e-11	1.0269633133608625e-08	4.991082042349295e-08	1.2250506007611126e-07	7.672583973610786e-08
1.3613312956747037e-07	1.169103440505662e-09	1.236971602931694e-07	1.0229403409377402e-09	5.804238577774762e-10	4.021400031447975e-09	8.939589393929557e-11	8.905597206691052e-09	4.9910604106060683e-08	1.212290726702691e-07	7.707300276186091e-08
1.3524484228735087e-07	1.3183126128447672e-09	1.2247990153621376e-07	1.0282913314744318e-09	6.234398340352285e-10	5.084380384484205e-09	8.911413498287657e-11	8.214886065705148e-09	4.991088586501711e-08	1.19973867168636e-07	7.670073354981059e-08
1.347148913277399e-07	1.421592070229185e-09	1.212749299899492e-07	1.03174525106245e-09	6.56389759568449e-10	6.183139942825514e-09	8.859274593367482e-11	7.824618408599783e-09	4.991140725406632e-08	1.1873887822737708e-07	7.599224164857463e-08
1.343677808573638e-07	1.4909543099495737e-09	1.200820370449967e-07	1.0341565905449966e-09	6.81412420819426e-10	7.304899796832774e-09	8.795225767599669e-11	7.574304178677633e-09	4.9912047742323994e-08	1.1752273347239845e-07	7.512079602448951e-08
1.3411920902478265e-07	1.5373094782855368e-09	1.189010567635327e-07	1.0359168034820845e-09	7.001187782776661e-10	8.438465802966687e-09	8.725115173303198e-11	7.392554084827812e-09	4.991274884826694e-08	1.1632410594047032e-07	7.416898011220541e-08
1.339263896835946e-07	1.568823620968898e-09	1.1773184496736862e-07	1.037253032097468e-09	7.137584848165829e-10	9.575559294670456e-09	8.651908489461297e-11	7.246224821477434e-09	4.9913480915105365e-08	1.1514185859954423e-07	7.317821588385203e-08
1.3376648124722987e-07	1.5910475175200527e-09	1.1657426960733556e-07	1.0383117537456037e-09	7.233183688625701e-10	1.0710599250658856e-08	8.577187073998812e-11	7.119158887357962e-09	4.9914228129259987e-08	1.1397503486295872e-07	7.217024186198312e-08
1.3362675035293388e-07	1.6075651622462346e-09	1.1542820594964214e-07	1.0391898063839185e-09	7.295863167867701e-10	1.1840020872449258e-08	8.50182092785323e-11	7.003091638350694e-09	4.991498179072146e-08	1.1282282764851795e-07	7.115688748919995e-08
